,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,J Charles,LMP Simmons,KD Mills,0,0,null,0,0,null,null
1,0.2,J Charles,LMP Simmons,KD Mills,0,0,null,0,0,null,null
2,0.3,J Charles,LMP Simmons,KD Mills,0,0,null,0,1,J Charles,caught
3,0.4,LMP Simmons,CAK Walton,KD Mills,0,1,legbyes ,1,0,null,null
4,0.5,CAK Walton,LMP Simmons,KD Mills,0,0,null,0,0,null,null
5,0.6,CAK Walton,LMP Simmons,KD Mills,1,0,null,1,0,null,null
6,1.1,CAK Walton,LMP Simmons,MJ McClenaghan,0,0,null,0,0,null,null
7,1.2,CAK Walton,LMP Simmons,MJ McClenaghan,1,0,null,1,0,null,null
8,1.3,LMP Simmons,CAK Walton,MJ McClenaghan,0,0,null,0,0,null,null
9,1.4,LMP Simmons,CAK Walton,MJ McClenaghan,0,0,null,0,0,null,null
10,1.5,LMP Simmons,CAK Walton,MJ McClenaghan,4,0,null,4,0,null,null
11,1.6,LMP Simmons,CAK Walton,MJ McClenaghan,0,0,null,0,0,null,null
12,2.1,CAK Walton,LMP Simmons,KD Mills,1,0,null,1,0,null,null
13,2.2,LMP Simmons,CAK Walton,KD Mills,0,0,null,0,0,null,null
14,2.3,LMP Simmons,CAK Walton,KD Mills,0,0,null,0,0,null,null
15,2.4,LMP Simmons,CAK Walton,KD Mills,6,0,null,6,0,null,null
16,2.5,LMP Simmons,CAK Walton,KD Mills,2,0,null,2,0,null,null
17,2.6,LMP Simmons,CAK Walton,KD Mills,1,0,null,1,0,null,null
18,3.1,LMP Simmons,CAK Walton,MJ McClenaghan,0,0,null,0,1,LMP Simmons,caught
19,3.2,KOA Powell,CAK Walton,MJ McClenaghan,1,0,null,1,0,null,null
20,3.3,CAK Walton,KOA Powell,MJ McClenaghan,1,0,null,1,0,null,null
21,3.4,KOA Powell,CAK Walton,MJ McClenaghan,0,0,null,0,0,null,null
22,3.5,KOA Powell,CAK Walton,MJ McClenaghan,0,0,null,0,1,KOA Powell,caught
23,3.6,DJ Bravo,CAK Walton,MJ McClenaghan,0,0,null,0,0,null,null
24,4.1,CAK Walton,DJ Bravo,NL McCullum,0,0,null,0,0,null,null
25,4.2,CAK Walton,DJ Bravo,NL McCullum,0,0,null,0,0,null,null
26,4.3,CAK Walton,DJ Bravo,NL McCullum,1,0,null,1,0,null,null
27,4.4,DJ Bravo,CAK Walton,NL McCullum,0,0,null,0,0,null,null
28,4.5,DJ Bravo,CAK Walton,NL McCullum,0,0,null,0,0,null,null
29,4.6,DJ Bravo,CAK Walton,NL McCullum,0,0,null,0,0,null,null
30,5.1,CAK Walton,DJ Bravo,JD Ryder,0,0,null,0,0,null,null
31,5.2,CAK Walton,DJ Bravo,JD Ryder,1,0,null,1,0,null,null
32,5.3,DJ Bravo,CAK Walton,JD Ryder,0,0,null,0,0,null,null
33,5.4,DJ Bravo,CAK Walton,JD Ryder,0,0,null,0,0,null,null
34,5.5,DJ Bravo,CAK Walton,JD Ryder,0,0,null,0,0,null,null
35,5.6,DJ Bravo,CAK Walton,JD Ryder,1,0,null,1,0,null,null
36,6.1,DJ Bravo,CAK Walton,NL McCullum,1,0,null,1,0,null,null
37,6.2,CAK Walton,DJ Bravo,NL McCullum,1,0,null,1,0,null,null
38,6.3,DJ Bravo,CAK Walton,NL McCullum,0,1,legbyes ,1,0,null,null
39,6.4,CAK Walton,DJ Bravo,NL McCullum,1,0,null,1,0,null,null
40,6.5,DJ Bravo,CAK Walton,NL McCullum,0,0,null,0,0,null,null
41,6.6,DJ Bravo,CAK Walton,NL McCullum,0,0,null,0,0,null,null
42,7.1,CAK Walton,DJ Bravo,JD Ryder,0,1,legbyes ,1,0,null,null
43,7.2,DJ Bravo,CAK Walton,JD Ryder,0,0,null,0,0,null,null
44,7.3,DJ Bravo,CAK Walton,JD Ryder,2,0,null,2,0,null,null
45,7.4,DJ Bravo,CAK Walton,JD Ryder,2,0,null,2,0,null,null
46,7.5,DJ Bravo,CAK Walton,JD Ryder,1,0,null,1,0,null,null
47,7.6,CAK Walton,DJ Bravo,JD Ryder,1,0,null,1,0,null,null
48,8.1,CAK Walton,DJ Bravo,NL McCullum,4,0,null,4,0,null,null
49,8.2,CAK Walton,DJ Bravo,NL McCullum,0,0,null,0,0,null,null
