,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,H Masakadza,S Matsikenyeri,KD Mills,0,0,null,0,0,null,null
1,0.2,H Masakadza,S Matsikenyeri,KD Mills,0,0,null,0,0,null,null
2,0.3,H Masakadza,S Matsikenyeri,KD Mills,0,0,null,0,0,null,null
3,0.4,H Masakadza,S Matsikenyeri,KD Mills,3,0,null,3,0,null,null
4,0.5,S Matsikenyeri,H Masakadza,KD Mills,0,0,null,0,0,null,null
5,0.6,S Matsikenyeri,H Masakadza,KD Mills,0,0,null,0,0,null,null
6,1.1,H Masakadza,S Matsikenyeri,TG Southee,0,0,null,0,0,null,null
7,1.2,H Masakadza,S Matsikenyeri,TG Southee,0,0,null,0,0,null,null
8,1.3,H Masakadza,S Matsikenyeri,TG Southee,2,0,null,2,0,null,null
9,1.4,H Masakadza,S Matsikenyeri,TG Southee,0,0,null,0,1,H Masakadza,caught
10,1.5,RW Chakabva,S Matsikenyeri,TG Southee,2,0,null,2,0,null,null
11,1.6,RW Chakabva,S Matsikenyeri,TG Southee,0,0,null,0,0,null,null
12,2.1,S Matsikenyeri,RW Chakabva,KD Mills,1,0,null,1,0,null,null
13,2.2,RW Chakabva,S Matsikenyeri,KD Mills,1,0,null,1,0,null,null
14,2.3,S Matsikenyeri,RW Chakabva,KD Mills,1,0,null,1,0,null,null
15,2.4,RW Chakabva,S Matsikenyeri,KD Mills,0,0,null,0,0,null,null
16,2.5,RW Chakabva,S Matsikenyeri,KD Mills,0,0,null,0,0,null,null
17,2.6,RW Chakabva,S Matsikenyeri,KD Mills,0,0,null,0,0,null,null
18,3.1,S Matsikenyeri,RW Chakabva,TG Southee,0,0,null,0,0,null,null
19,3.2,S Matsikenyeri,RW Chakabva,TG Southee,0,0,null,0,0,null,null
20,3.3,S Matsikenyeri,RW Chakabva,TG Southee,1,0,null,1,0,null,null
21,3.4,RW Chakabva,S Matsikenyeri,TG Southee,0,0,null,0,0,null,null
22,3.5,RW Chakabva,S Matsikenyeri,TG Southee,0,1,wides ,1,0,null,null
23,3.6,RW Chakabva,S Matsikenyeri,TG Southee,0,0,null,0,0,null,null
24,3.7,RW Chakabva,S Matsikenyeri,TG Southee,0,0,null,0,0,null,null
25,4.1,S Matsikenyeri,RW Chakabva,KD Mills,0,0,null,0,0,null,null
26,4.2,S Matsikenyeri,RW Chakabva,KD Mills,0,0,null,0,1,S Matsikenyeri,caught
27,4.3,RW Chakabva,BRM Taylor,KD Mills,0,0,null,0,0,null,null
28,4.4,RW Chakabva,BRM Taylor,KD Mills,0,0,null,0,0,null,null
29,4.5,RW Chakabva,BRM Taylor,KD Mills,0,0,null,0,0,null,null
30,4.6,RW Chakabva,BRM Taylor,KD Mills,0,0,null,0,0,null,null
31,5.1,BRM Taylor,RW Chakabva,TG Southee,0,0,null,0,0,null,null
32,5.2,BRM Taylor,RW Chakabva,TG Southee,0,0,null,0,0,null,null
33,5.3,BRM Taylor,RW Chakabva,TG Southee,2,0,null,2,0,null,null
34,5.4,BRM Taylor,RW Chakabva,TG Southee,0,0,null,0,0,null,null
35,5.5,BRM Taylor,RW Chakabva,TG Southee,0,0,null,0,0,null,null
36,5.6,BRM Taylor,RW Chakabva,TG Southee,2,0,null,2,0,null,null
37,6.1,RW Chakabva,BRM Taylor,KD Mills,0,0,null,0,0,null,null
38,6.2,RW Chakabva,BRM Taylor,KD Mills,0,0,null,0,0,null,null
39,6.3,RW Chakabva,BRM Taylor,KD Mills,1,0,null,1,0,null,null
40,6.4,BRM Taylor,RW Chakabva,KD Mills,0,0,null,0,0,null,null
41,6.5,BRM Taylor,RW Chakabva,KD Mills,0,0,null,0,1,BRM Taylor,caught
42,6.6,RW Chakabva,T Taibu,KD Mills,0,0,null,0,0,null,null
43,7.1,T Taibu,RW Chakabva,TG Southee,0,0,null,0,0,null,null
44,7.2,T Taibu,RW Chakabva,TG Southee,0,0,null,0,0,null,null
45,7.3,T Taibu,RW Chakabva,TG Southee,1,0,null,1,0,null,null
46,7.4,RW Chakabva,T Taibu,TG Southee,0,0,null,0,0,null,null
47,7.5,RW Chakabva,T Taibu,TG Southee,0,0,null,0,0,null,null
48,7.6,RW Chakabva,T Taibu,TG Southee,0,0,null,0,0,null,null
49,8.1,T Taibu,RW Chakabva,KD Mills,0,0,null,0,0,null,null
50,8.2,T Taibu,RW Chakabva,KD Mills,0,0,null,0,0,null,null
51,8.3,T Taibu,RW Chakabva,KD Mills,0,0,null,0,0,null,null
52,8.4,T Taibu,RW Chakabva,KD Mills,0,0,null,0,0,null,null
53,8.5,T Taibu,RW Chakabva,KD Mills,0,0,null,0,0,null,null
54,8.6,T Taibu,RW Chakabva,KD Mills,2,0,null,2,0,null,null
55,9.1,RW Chakabva,T Taibu,JDP Oram,0,0,null,0,0,null,null
56,9.2,RW Chakabva,T Taibu,JDP Oram,1,0,null,1,0,null,null
57,9.3,T Taibu,RW Chakabva,JDP Oram,0,1,wides ,1,0,null,null
58,9.4,T Taibu,RW Chakabva,JDP Oram,0,0,null,0,0,null,null
59,9.5,T Taibu,RW Chakabva,JDP Oram,0,0,null,0,0,null,null
60,9.6,T Taibu,RW Chakabva,JDP Oram,0,0,null,0,0,null,null
61,9.7,T Taibu,RW Chakabva,JDP Oram,0,0,null,0,0,null,null
62,10.1,RW Chakabva,T Taibu,TS Nethula,0,0,null,0,0,null,null
63,10.2,RW Chakabva,T Taibu,TS Nethula,0,0,null,0,0,null,null
64,10.3,RW Chakabva,T Taibu,TS Nethula,0,0,null,0,0,null,null
65,10.4,RW Chakabva,T Taibu,TS Nethula,1,0,null,1,0,null,null
66,10.5,T Taibu,RW Chakabva,TS Nethula,2,0,null,2,0,null,null
67,10.6,T Taibu,RW Chakabva,TS Nethula,0,0,null,0,0,null,null
68,11.1,RW Chakabva,T Taibu,JDP Oram,1,0,null,1,0,null,null
69,11.2,T Taibu,RW Chakabva,JDP Oram,0,0,null,0,0,null,null
70,11.3,T Taibu,RW Chakabva,JDP Oram,0,0,null,0,0,null,null
71,11.4,T Taibu,RW Chakabva,JDP Oram,2,0,null,2,0,null,null
72,11.5,T Taibu,RW Chakabva,JDP Oram,1,0,null,1,0,null,null
73,11.6,RW Chakabva,T Taibu,JDP Oram,1,0,null,1,0,null,null
74,12.1,RW Chakabva,T Taibu,TS Nethula,1,0,null,1,0,null,null
75,12.2,T Taibu,RW Chakabva,TS Nethula,0,0,null,0,0,null,null
76,12.3,T Taibu,RW Chakabva,TS Nethula,1,0,null,1,0,null,null
77,12.4,RW Chakabva,T Taibu,TS Nethula,0,0,null,0,0,null,null
78,12.5,RW Chakabva,T Taibu,TS Nethula,1,0,null,1,0,null,null
79,12.6,T Taibu,RW Chakabva,TS Nethula,0,0,null,0,0,null,null
80,13.1,RW Chakabva,T Taibu,JDP Oram,1,0,null,1,0,null,null
81,13.2,T Taibu,RW Chakabva,JDP Oram,1,0,null,1,0,null,null
82,13.3,RW Chakabva,T Taibu,JDP Oram,0,0,null,0,1,RW Chakabva,lbw
83,13.4,MN Waller,T Taibu,JDP Oram,0,0,null,0,0,null,null
84,13.5,MN Waller,T Taibu,JDP Oram,0,0,null,0,0,null,null
85,13.6,MN Waller,T Taibu,JDP Oram,0,0,null,0,0,null,null
86,14.1,T Taibu,MN Waller,TS Nethula,2,0,null,2,0,null,null
87,14.2,T Taibu,MN Waller,TS Nethula,1,0,null,1,0,null,null
88,14.3,MN Waller,T Taibu,TS Nethula,0,0,null,0,0,null,null
89,14.4,MN Waller,T Taibu,TS Nethula,2,0,null,2,0,null,null
90,14.5,MN Waller,T Taibu,TS Nethula,0,0,null,0,0,null,null
91,14.6,MN Waller,T Taibu,TS Nethula,0,0,null,0,0,null,null
92,15.1,T Taibu,MN Waller,JDP Oram,1,0,null,1,0,null,null
93,15.2,MN Waller,T Taibu,JDP Oram,0,0,null,0,0,null,null
94,15.3,MN Waller,T Taibu,JDP Oram,0,0,null,0,0,null,null
95,15.4,MN Waller,T Taibu,JDP Oram,0,1,wides ,1,0,null,null
96,15.5,MN Waller,T Taibu,JDP Oram,0,0,null,0,0,null,null
97,15.6,MN Waller,T Taibu,JDP Oram,4,0,null,4,0,null,null
98,15.7,MN Waller,T Taibu,JDP Oram,1,0,null,1,0,null,null
99,16.1,MN Waller,T Taibu,TS Nethula,1,0,null,1,0,null,null
100,16.2,T Taibu,MN Waller,TS Nethula,1,0,null,1,0,null,null
101,16.3,MN Waller,T Taibu,TS Nethula,4,0,null,4,0,null,null
102,16.4,MN Waller,T Taibu,TS Nethula,0,0,null,0,0,null,null
103,16.5,MN Waller,T Taibu,TS Nethula,1,0,null,1,0,null,null
104,16.6,T Taibu,MN Waller,TS Nethula,0,0,null,0,0,null,null
105,17.1,MN Waller,T Taibu,RJ Nicol,1,0,null,1,0,null,null
106,17.2,T Taibu,MN Waller,RJ Nicol,1,0,null,1,0,null,null
107,17.3,MN Waller,T Taibu,RJ Nicol,1,0,null,1,0,null,null
108,17.4,T Taibu,MN Waller,RJ Nicol,0,0,null,0,0,null,null
109,17.5,T Taibu,MN Waller,RJ Nicol,1,0,null,1,0,null,null
110,17.6,MN Waller,T Taibu,RJ Nicol,1,0,null,1,0,null,null
111,18.1,MN Waller,T Taibu,TG Southee,0,0,null,0,0,null,null
112,18.2,MN Waller,T Taibu,TG Southee,1,0,null,1,0,null,null
113,18.3,T Taibu,MN Waller,TG Southee,0,0,null,0,0,null,null
114,18.4,T Taibu,MN Waller,TG Southee,1,0,null,1,0,null,null
115,18.5,MN Waller,T Taibu,TG Southee,1,0,null,1,0,null,null
116,18.6,T Taibu,MN Waller,TG Southee,0,0,null,0,0,null,null
117,19.1,MN Waller,T Taibu,JDP Oram,0,0,null,0,1,MN Waller,caught
118,19.2,E Chigumbura,T Taibu,JDP Oram,0,0,null,0,0,null,null
