,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Khawar Ali,Jatinder Singh,N Pokana,1,0,null,1,0,null,null
1,0.2,Jatinder Singh,Khawar Ali,N Pokana,0,1,legbyes ,1,0,null,null
2,0.3,Khawar Ali,Jatinder Singh,N Pokana,0,0,null,0,0,null,null
3,0.4,Khawar Ali,Jatinder Singh,N Pokana,0,4,legbyes ,4,0,null,null
4,0.5,Khawar Ali,Jatinder Singh,N Pokana,0,0,null,0,0,null,null
5,0.6,Khawar Ali,Jatinder Singh,N Pokana,0,0,null,0,0,null,null
6,1.1,Jatinder Singh,Khawar Ali,N Vanua,0,0,null,0,0,null,null
7,1.2,Jatinder Singh,Khawar Ali,N Vanua,2,0,null,2,0,null,null
8,1.3,Jatinder Singh,Khawar Ali,N Vanua,4,0,null,4,0,null,null
9,1.4,Jatinder Singh,Khawar Ali,N Vanua,0,0,null,0,1,Jatinder Singh,caught and bowled
10,1.5,Aqib Ilyas,Khawar Ali,N Vanua,0,0,null,0,0,null,null
11,1.6,Aqib Ilyas,Khawar Ali,N Vanua,4,0,null,4,0,null,null
12,2.1,Khawar Ali,Aqib Ilyas,N Pokana,1,0,null,1,0,null,null
13,2.2,Aqib Ilyas,Khawar Ali,N Pokana,0,0,null,0,0,null,null
14,2.3,Aqib Ilyas,Khawar Ali,N Pokana,1,0,null,1,0,null,null
15,2.4,Khawar Ali,Aqib Ilyas,N Pokana,0,0,null,0,0,null,null
16,2.5,Khawar Ali,Aqib Ilyas,N Pokana,0,0,null,0,0,null,null
17,2.6,Khawar Ali,Aqib Ilyas,N Pokana,0,0,null,0,0,null,null
18,3.1,Aqib Ilyas,Khawar Ali,N Vanua,2,0,null,2,0,null,null
19,3.2,Aqib Ilyas,Khawar Ali,N Vanua,1,0,null,1,0,null,null
20,3.3,Khawar Ali,Aqib Ilyas,N Vanua,2,0,null,2,0,null,null
21,3.4,Khawar Ali,Aqib Ilyas,N Vanua,2,0,null,2,0,null,null
22,3.5,Khawar Ali,Aqib Ilyas,N Vanua,0,0,null,0,0,null,null
23,3.6,Khawar Ali,Aqib Ilyas,N Vanua,0,0,null,0,0,null,null
24,4.1,Aqib Ilyas,Khawar Ali,N Pokana,0,0,null,0,0,null,null
25,4.2,Aqib Ilyas,Khawar Ali,N Pokana,0,0,null,0,0,null,null
26,4.3,Aqib Ilyas,Khawar Ali,N Pokana,0,0,null,0,0,null,null
27,4.4,Aqib Ilyas,Khawar Ali,N Pokana,4,0,null,4,0,null,null
28,4.5,Aqib Ilyas,Khawar Ali,N Pokana,0,0,null,0,0,null,null
29,4.6,Aqib Ilyas,Khawar Ali,N Pokana,1,0,null,1,0,null,null
30,5.1,Aqib Ilyas,Khawar Ali,N Vanua,1,0,null,1,0,null,null
31,5.2,Khawar Ali,Aqib Ilyas,N Vanua,1,0,null,1,0,null,null
32,5.3,Aqib Ilyas,Khawar Ali,N Vanua,0,0,null,0,0,null,null
33,5.4,Aqib Ilyas,Khawar Ali,N Vanua,0,0,null,0,0,null,null
34,5.5,Aqib Ilyas,Khawar Ali,N Vanua,0,0,null,0,0,null,null
35,5.6,Aqib Ilyas,Khawar Ali,N Vanua,0,0,null,0,0,null,null
36,6.1,Khawar Ali,Aqib Ilyas,N Pokana,1,0,null,1,0,null,null
37,6.2,Aqib Ilyas,Khawar Ali,N Pokana,2,0,null,2,0,null,null
38,6.3,Aqib Ilyas,Khawar Ali,N Pokana,0,0,null,0,0,null,null
39,6.4,Aqib Ilyas,Khawar Ali,N Pokana,1,0,null,1,0,null,null
40,6.5,Khawar Ali,Aqib Ilyas,N Pokana,0,0,null,0,0,null,null
41,6.6,Khawar Ali,Aqib Ilyas,N Pokana,0,0,null,0,0,null,null
42,7.1,Aqib Ilyas,Khawar Ali,S Bau,1,0,null,1,0,null,null
43,7.2,Khawar Ali,Aqib Ilyas,S Bau,0,0,null,0,0,null,null
44,7.3,Khawar Ali,Aqib Ilyas,S Bau,1,0,null,1,0,null,null
45,7.4,Aqib Ilyas,Khawar Ali,S Bau,0,0,null,0,0,null,null
46,7.5,Aqib Ilyas,Khawar Ali,S Bau,0,0,null,0,0,null,null
47,7.6,Aqib Ilyas,Khawar Ali,S Bau,2,0,null,2,0,null,null
48,8.1,Khawar Ali,Aqib Ilyas,N Pokana,1,0,null,1,0,null,null
49,8.2,Aqib Ilyas,Khawar Ali,N Pokana,0,0,null,0,0,null,null
50,8.3,Aqib Ilyas,Khawar Ali,N Pokana,0,0,null,0,0,null,null
51,8.4,Aqib Ilyas,Khawar Ali,N Pokana,0,0,null,0,0,null,null
52,8.5,Aqib Ilyas,Khawar Ali,N Pokana,1,0,null,1,0,null,null
53,8.6,Khawar Ali,Aqib Ilyas,N Pokana,0,0,null,0,0,null,null
54,9.1,Aqib Ilyas,Khawar Ali,S Bau,1,0,null,1,0,null,null
55,9.2,Khawar Ali,Aqib Ilyas,S Bau,1,0,null,1,0,null,null
56,9.3,Aqib Ilyas,Khawar Ali,S Bau,0,0,null,0,0,null,null
57,9.4,Aqib Ilyas,Khawar Ali,S Bau,2,0,null,2,0,null,null
58,9.5,Aqib Ilyas,Khawar Ali,S Bau,1,0,null,1,0,null,null
59,9.6,Khawar Ali,Aqib Ilyas,S Bau,0,0,null,0,0,null,null
60,10.1,Aqib Ilyas,Khawar Ali,CJA Amini,1,0,null,1,0,null,null
61,10.2,Khawar Ali,Aqib Ilyas,CJA Amini,0,0,null,0,0,null,null
62,10.3,Khawar Ali,Aqib Ilyas,CJA Amini,0,0,null,0,0,null,null
63,10.4,Khawar Ali,Aqib Ilyas,CJA Amini,0,0,null,0,0,null,null
64,10.5,Khawar Ali,Aqib Ilyas,CJA Amini,0,0,null,0,0,null,null
65,10.6,Khawar Ali,Aqib Ilyas,CJA Amini,0,0,null,0,0,null,null
66,11.1,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
67,11.2,Aqib Ilyas,Khawar Ali,A Vala,1,0,null,1,0,null,null
68,11.3,Khawar Ali,Aqib Ilyas,A Vala,0,0,null,0,0,null,null
69,11.4,Khawar Ali,Aqib Ilyas,A Vala,0,0,null,0,0,null,null
70,11.5,Khawar Ali,Aqib Ilyas,A Vala,0,1,wides ,1,0,null,null
71,11.6,Khawar Ali,Aqib Ilyas,A Vala,1,0,null,1,0,null,null
72,11.7,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
73,12.1,Khawar Ali,Aqib Ilyas,CJA Amini,0,0,null,0,0,null,null
74,12.2,Khawar Ali,Aqib Ilyas,CJA Amini,1,0,null,1,0,null,null
75,12.3,Aqib Ilyas,Khawar Ali,CJA Amini,0,0,null,0,0,null,null
76,12.4,Aqib Ilyas,Khawar Ali,CJA Amini,0,4,wides ,4,0,null,null
77,12.5,Khawar Ali,Aqib Ilyas,CJA Amini,0,0,null,0,0,null,null
78,12.6,Khawar Ali,Aqib Ilyas,CJA Amini,1,0,null,1,0,null,null
79,12.7,Aqib Ilyas,Khawar Ali,CJA Amini,2,0,null,2,0,null,null
80,13.1,Khawar Ali,Aqib Ilyas,A Vala,1,0,null,1,0,null,null
81,13.2,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
82,13.3,Aqib Ilyas,Khawar Ali,A Vala,1,0,null,1,0,null,null
83,13.4,Khawar Ali,Aqib Ilyas,A Vala,1,0,null,1,0,null,null
84,13.5,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
85,13.6,Aqib Ilyas,Khawar Ali,A Vala,1,0,null,1,0,null,null
86,14.1,Aqib Ilyas,Khawar Ali,CJA Amini,0,0,null,0,0,null,null
87,14.2,Aqib Ilyas,Khawar Ali,CJA Amini,4,0,null,4,0,null,null
88,14.3,Aqib Ilyas,Khawar Ali,CJA Amini,2,0,null,2,0,null,null
89,14.4,Aqib Ilyas,Khawar Ali,CJA Amini,0,0,null,0,0,null,null
90,14.5,Aqib Ilyas,Khawar Ali,CJA Amini,0,0,null,0,0,null,null
91,14.6,Aqib Ilyas,Khawar Ali,CJA Amini,1,0,null,1,0,null,null
92,15.1,Aqib Ilyas,Khawar Ali,A Vala,2,0,null,2,0,null,null
93,15.2,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
94,15.3,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
95,15.4,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
96,15.5,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
97,15.6,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
98,16.1,Khawar Ali,Aqib Ilyas,CJA Amini,1,0,null,1,0,null,null
99,16.2,Aqib Ilyas,Khawar Ali,CJA Amini,0,3,wides ,3,0,null,null
100,16.3,Aqib Ilyas,Khawar Ali,CJA Amini,0,0,null,0,0,null,null
101,16.4,Aqib Ilyas,Khawar Ali,CJA Amini,0,0,null,0,0,null,null
102,16.5,Aqib Ilyas,Khawar Ali,CJA Amini,2,0,null,2,0,null,null
103,16.6,Aqib Ilyas,Khawar Ali,CJA Amini,0,0,null,0,0,null,null
104,16.7,Aqib Ilyas,Khawar Ali,CJA Amini,1,0,null,1,0,null,null
105,17.1,Aqib Ilyas,Khawar Ali,A Vala,4,0,null,4,0,null,null
106,17.2,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
107,17.3,Aqib Ilyas,Khawar Ali,A Vala,0,0,null,0,0,null,null
108,17.4,Aqib Ilyas,Khawar Ali,A Vala,1,0,null,1,0,null,null
109,17.5,Khawar Ali,Aqib Ilyas,A Vala,0,0,null,0,0,null,null
110,17.6,Khawar Ali,Aqib Ilyas,A Vala,0,0,null,0,0,null,null
111,18.1,Aqib Ilyas,Khawar Ali,CA Soper,0,0,null,0,0,null,null
112,18.2,Aqib Ilyas,Khawar Ali,CA Soper,0,0,null,0,0,null,null
113,18.3,Aqib Ilyas,Khawar Ali,CA Soper,0,0,null,0,0,null,null
114,18.4,Aqib Ilyas,Khawar Ali,CA Soper,4,0,null,4,0,null,null
115,18.5,Aqib Ilyas,Khawar Ali,CA Soper,1,0,null,1,0,null,null
116,18.6,Khawar Ali,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
117,19.1,Aqib Ilyas,Khawar Ali,H Hiri,0,0,null,0,0,null,null
118,19.2,Aqib Ilyas,Khawar Ali,H Hiri,1,0,null,1,0,null,null
119,19.3,Khawar Ali,Aqib Ilyas,H Hiri,0,0,null,0,0,null,null
120,19.4,Khawar Ali,Aqib Ilyas,H Hiri,0,0,null,0,0,null,null
121,19.5,Khawar Ali,Aqib Ilyas,H Hiri,0,0,null,0,0,null,null
122,19.6,Khawar Ali,Aqib Ilyas,H Hiri,0,0,null,0,0,null,null
123,20.1,Aqib Ilyas,Khawar Ali,CA Soper,1,0,null,1,0,null,null
124,20.2,Khawar Ali,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
125,20.3,Khawar Ali,Aqib Ilyas,CA Soper,4,0,null,4,0,null,null
126,20.4,Khawar Ali,Aqib Ilyas,CA Soper,1,0,null,1,0,null,null
