,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
1,0.2,Jatinder Singh,Khawar Ali,Kashif Daud,4,0,null,4,0,null,null
2,0.3,Jatinder Singh,Khawar Ali,Kashif Daud,1,0,null,1,0,null,null
3,0.4,Khawar Ali,Jatinder Singh,Kashif Daud,0,0,null,0,0,null,null
4,0.5,Khawar Ali,Jatinder Singh,Kashif Daud,0,0,null,0,0,null,null
5,0.6,Khawar Ali,Jatinder Singh,Kashif Daud,0,0,null,0,0,null,null
6,1.1,Jatinder Singh,Khawar Ali,Akif Raja,0,1,wides ,1,0,null,null
7,1.2,Jatinder Singh,Khawar Ali,Akif Raja,0,0,null,0,0,null,null
8,1.3,Jatinder Singh,Khawar Ali,Akif Raja,1,0,null,1,0,null,null
9,1.4,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
10,1.5,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
11,1.6,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
12,1.7,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
13,2.1,Jatinder Singh,Khawar Ali,Kashif Daud,2,0,null,2,0,null,null
14,2.2,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
15,2.3,Jatinder Singh,Khawar Ali,Kashif Daud,6,0,null,6,0,null,null
16,2.4,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
17,2.5,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
18,2.6,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
19,3.1,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
20,3.2,Khawar Ali,Jatinder Singh,Akif Raja,4,0,null,4,0,null,null
21,3.3,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
22,3.4,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
23,3.5,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
24,3.6,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
25,4.1,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
26,4.2,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
27,4.3,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
28,4.4,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
29,4.5,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
30,4.6,Jatinder Singh,Khawar Ali,Kashif Daud,2,0,null,2,0,null,null
31,5.1,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
32,5.2,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
33,5.3,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
34,5.4,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
35,5.5,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
36,5.6,Khawar Ali,Jatinder Singh,Akif Raja,0,0,null,0,0,null,null
37,6.1,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
38,6.2,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
39,6.3,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
40,6.4,Jatinder Singh,Khawar Ali,Kashif Daud,0,0,null,0,0,null,null
41,6.5,Jatinder Singh,Khawar Ali,Kashif Daud,1,0,null,1,0,null,null
42,6.6,Khawar Ali,Jatinder Singh,Kashif Daud,0,0,null,0,0,null,null
43,7.1,Jatinder Singh,Khawar Ali,Akif Raja,0,0,null,0,0,null,null
44,7.2,Jatinder Singh,Khawar Ali,Akif Raja,0,0,null,0,0,null,null
45,7.3,Jatinder Singh,Khawar Ali,Akif Raja,0,0,null,0,1,Jatinder Singh,bowled
46,7.4,KH Prajapati,Khawar Ali,Akif Raja,4,0,null,4,0,null,null
47,7.5,KH Prajapati,Khawar Ali,Akif Raja,0,0,null,0,0,null,null
48,7.6,KH Prajapati,Khawar Ali,Akif Raja,0,0,null,0,0,null,null
49,8.1,Khawar Ali,KH Prajapati,Kashif Daud,0,0,null,0,0,null,null
50,8.2,Khawar Ali,KH Prajapati,Kashif Daud,0,0,null,0,0,null,null
51,8.3,Khawar Ali,KH Prajapati,Kashif Daud,0,0,null,0,0,null,null
52,8.4,Khawar Ali,KH Prajapati,Kashif Daud,0,0,null,0,0,null,null
53,8.5,Khawar Ali,KH Prajapati,Kashif Daud,0,0,null,0,0,null,null
54,8.6,Khawar Ali,KH Prajapati,Kashif Daud,0,0,null,0,0,null,null
55,9.1,KH Prajapati,Khawar Ali,Akif Raja,4,0,null,4,0,null,null
56,9.2,KH Prajapati,Khawar Ali,Akif Raja,0,0,null,0,0,null,null
57,9.3,KH Prajapati,Khawar Ali,Akif Raja,0,0,null,0,0,null,null
58,9.4,KH Prajapati,Khawar Ali,Akif Raja,0,0,null,0,0,null,null
59,9.5,KH Prajapati,Khawar Ali,Akif Raja,0,0,null,0,0,null,null
60,9.6,KH Prajapati,Khawar Ali,Akif Raja,6,0,null,6,0,null,null
61,10.1,Khawar Ali,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
62,10.2,Khawar Ali,KH Prajapati,Ahmed Raza,1,0,null,1,0,null,null
63,10.3,KH Prajapati,Khawar Ali,Ahmed Raza,0,0,null,0,0,null,null
64,10.4,KH Prajapati,Khawar Ali,Ahmed Raza,1,0,null,1,0,null,null
65,10.5,Khawar Ali,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
66,10.6,Khawar Ali,KH Prajapati,Ahmed Raza,0,0,null,0,1,Khawar Ali,lbw
67,11.1,KH Prajapati,Ayan Khan,Zahoor Khan,0,0,null,0,0,null,null
68,11.2,KH Prajapati,Ayan Khan,Zahoor Khan,1,0,null,1,0,null,null
69,11.3,Ayan Khan,KH Prajapati,Zahoor Khan,0,0,null,0,0,null,null
70,11.4,Ayan Khan,KH Prajapati,Zahoor Khan,0,0,null,0,0,null,null
71,11.5,Ayan Khan,KH Prajapati,Zahoor Khan,0,0,null,0,0,null,null
72,11.6,Ayan Khan,KH Prajapati,Zahoor Khan,0,0,null,0,0,null,null
73,12.1,KH Prajapati,Ayan Khan,Ahmed Raza,4,0,null,4,0,null,null
74,12.2,KH Prajapati,Ayan Khan,Ahmed Raza,1,0,null,1,0,null,null
75,12.3,Ayan Khan,KH Prajapati,Ahmed Raza,1,0,null,1,0,null,null
76,12.4,KH Prajapati,Ayan Khan,Ahmed Raza,1,0,null,1,0,null,null
77,12.5,Ayan Khan,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
78,12.6,Ayan Khan,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
79,13.1,KH Prajapati,Ayan Khan,Zahoor Khan,0,0,null,0,0,null,null
80,13.2,KH Prajapati,Ayan Khan,Zahoor Khan,0,0,null,0,0,null,null
81,13.3,KH Prajapati,Ayan Khan,Zahoor Khan,1,0,null,1,0,null,null
82,13.4,Ayan Khan,KH Prajapati,Zahoor Khan,0,0,null,0,0,null,null
83,13.5,Ayan Khan,KH Prajapati,Zahoor Khan,0,0,null,0,0,null,null
84,13.6,Ayan Khan,KH Prajapati,Zahoor Khan,1,0,null,1,0,null,null
85,14.1,Ayan Khan,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
86,14.2,Ayan Khan,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
87,14.3,Ayan Khan,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
88,14.4,Ayan Khan,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
89,14.5,Ayan Khan,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
90,14.6,Ayan Khan,KH Prajapati,Ahmed Raza,0,0,null,0,0,null,null
91,15.1,KH Prajapati,Ayan Khan,Zahoor Khan,1,0,null,1,0,null,null
92,15.2,Ayan Khan,KH Prajapati,Zahoor Khan,0,0,null,0,0,null,null
93,15.3,Ayan Khan,KH Prajapati,Zahoor Khan,0,0,null,0,0,null,null
