,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Salman Butt,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
1,0.2,Salman Butt,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
2,0.3,Salman Butt,Shoaib Malik,Afzaal Haider,0,0,null,0,1,Salman Butt,caught
3,0.4,Younis Khan,Shoaib Malik,Afzaal Haider,2,0,null,2,0,null,null
4,0.5,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
5,0.6,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
6,1.1,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
7,1.2,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
8,1.3,Shoaib Malik,Younis Khan,Irfan Ahmed,0,1,legbyes ,1,0,null,null
9,1.4,Younis Khan,Shoaib Malik,Irfan Ahmed,0,0,null,0,0,null,null
10,1.5,Younis Khan,Shoaib Malik,Irfan Ahmed,3,0,null,3,0,null,null
11,1.6,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
12,2.1,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
13,2.2,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
14,2.3,Younis Khan,Shoaib Malik,Afzaal Haider,4,0,null,4,0,null,null
15,2.4,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
16,2.5,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
17,2.6,Younis Khan,Shoaib Malik,Afzaal Haider,1,0,null,1,0,null,null
18,3.1,Younis Khan,Shoaib Malik,Irfan Ahmed,1,0,null,1,0,null,null
19,3.2,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
20,3.3,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
21,3.4,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
22,3.5,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
23,3.6,Shoaib Malik,Younis Khan,Irfan Ahmed,2,0,null,2,0,null,null
24,4.1,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
25,4.2,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
26,4.3,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
27,4.4,Younis Khan,Shoaib Malik,Afzaal Haider,1,0,null,1,0,null,null
28,4.5,Shoaib Malik,Younis Khan,Afzaal Haider,0,0,null,0,0,null,null
29,4.6,Shoaib Malik,Younis Khan,Afzaal Haider,0,1,wides ,1,0,null,null
30,4.7,Shoaib Malik,Younis Khan,Afzaal Haider,4,0,null,4,0,null,null
31,5.1,Younis Khan,Shoaib Malik,Irfan Ahmed,0,0,null,0,0,null,null
32,5.2,Younis Khan,Shoaib Malik,Irfan Ahmed,0,0,null,0,0,null,null
33,5.3,Younis Khan,Shoaib Malik,Irfan Ahmed,2,0,null,2,0,null,null
34,5.4,Younis Khan,Shoaib Malik,Irfan Ahmed,0,0,null,0,0,null,null
35,5.5,Younis Khan,Shoaib Malik,Irfan Ahmed,0,0,null,0,0,null,null
36,5.6,Younis Khan,Shoaib Malik,Irfan Ahmed,1,0,null,1,0,null,null
37,6.1,Younis Khan,Shoaib Malik,Afzaal Haider,2,0,null,2,0,null,null
38,6.2,Younis Khan,Shoaib Malik,Afzaal Haider,0,1,wides ,1,0,null,null
39,6.3,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
40,6.4,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
41,6.5,Younis Khan,Shoaib Malik,Afzaal Haider,0,0,null,0,0,null,null
42,6.6,Younis Khan,Shoaib Malik,Afzaal Haider,1,0,null,1,0,null,null
43,6.7,Shoaib Malik,Younis Khan,Afzaal Haider,1,0,null,1,0,null,null
44,7.1,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
45,7.2,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
46,7.3,Shoaib Malik,Younis Khan,Irfan Ahmed,1,0,null,1,0,null,null
47,7.4,Younis Khan,Shoaib Malik,Irfan Ahmed,3,0,null,3,0,null,null
48,7.5,Shoaib Malik,Younis Khan,Irfan Ahmed,1,0,null,1,0,null,null
49,7.6,Younis Khan,Shoaib Malik,Irfan Ahmed,0,0,null,0,0,null,null
50,8.1,Shoaib Malik,Younis Khan,Afzaal Haider,0,1,wides ,1,0,null,null
51,8.2,Shoaib Malik,Younis Khan,Afzaal Haider,0,0,null,0,0,null,null
52,8.3,Shoaib Malik,Younis Khan,Afzaal Haider,4,0,null,4,0,null,null
53,8.4,Shoaib Malik,Younis Khan,Afzaal Haider,4,0,null,4,0,null,null
54,8.5,Shoaib Malik,Younis Khan,Afzaal Haider,4,0,null,4,0,null,null
55,8.6,Shoaib Malik,Younis Khan,Afzaal Haider,1,0,null,1,0,null,null
56,8.7,Younis Khan,Shoaib Malik,Afzaal Haider,4,0,null,4,0,null,null
57,9.1,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
58,9.2,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
59,9.3,Shoaib Malik,Younis Khan,Irfan Ahmed,4,0,null,4,0,null,null
60,9.4,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
61,9.5,Shoaib Malik,Younis Khan,Irfan Ahmed,4,0,null,4,0,null,null
62,9.6,Shoaib Malik,Younis Khan,Irfan Ahmed,4,0,null,4,0,null,null
63,10.1,Younis Khan,Shoaib Malik,Zain Abbas,0,0,null,0,0,null,null
64,10.2,Younis Khan,Shoaib Malik,Zain Abbas,3,0,null,3,0,null,null
65,10.3,Shoaib Malik,Younis Khan,Zain Abbas,1,0,null,1,0,null,null
66,10.4,Younis Khan,Shoaib Malik,Zain Abbas,0,0,null,0,0,null,null
67,10.5,Younis Khan,Shoaib Malik,Zain Abbas,0,0,null,0,0,null,null
68,10.6,Younis Khan,Shoaib Malik,Zain Abbas,0,0,null,0,0,null,null
69,11.1,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
70,11.2,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
71,11.3,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
72,11.4,Shoaib Malik,Younis Khan,Irfan Ahmed,0,0,null,0,1,Shoaib Malik,caught
73,11.5,Mohammad Yousuf,Younis Khan,Irfan Ahmed,0,0,null,0,0,null,null
74,11.6,Mohammad Yousuf,Younis Khan,Irfan Ahmed,4,0,null,4,0,null,null
75,12.1,Younis Khan,Mohammad Yousuf,Zain Abbas,1,0,null,1,0,null,null
76,12.2,Mohammad Yousuf,Younis Khan,Zain Abbas,2,0,null,2,0,null,null
77,12.3,Mohammad Yousuf,Younis Khan,Zain Abbas,1,0,null,1,0,null,null
78,12.4,Younis Khan,Mohammad Yousuf,Zain Abbas,4,0,null,4,0,null,null
79,12.5,Younis Khan,Mohammad Yousuf,Zain Abbas,4,0,null,4,0,null,null
80,12.6,Younis Khan,Mohammad Yousuf,Zain Abbas,1,0,null,1,0,null,null
81,13.1,Younis Khan,Mohammad Yousuf,Irfan Ahmed,0,0,null,0,0,null,null
