,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
1,0.2,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
2,0.3,V Sehwag,SR Tendulkar,Naved-ul-Hasan,4,0,null,4,0,null,null
3,0.4,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
4,0.5,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
5,0.6,V Sehwag,SR Tendulkar,Naved-ul-Hasan,1,0,null,1,0,null,null
6,1.1,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
7,1.2,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
8,1.3,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
9,1.4,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
10,1.5,V Sehwag,SR Tendulkar,Mohammad Asif,1,0,null,1,0,null,null
11,1.6,SR Tendulkar,V Sehwag,Mohammad Asif,0,1,legbyes ,1,0,null,null
12,2.1,SR Tendulkar,V Sehwag,Naved-ul-Hasan,4,0,null,4,0,null,null
13,2.2,SR Tendulkar,V Sehwag,Naved-ul-Hasan,0,0,null,0,0,null,null
14,2.3,SR Tendulkar,V Sehwag,Naved-ul-Hasan,0,0,null,0,0,null,null
15,2.4,SR Tendulkar,V Sehwag,Naved-ul-Hasan,1,0,null,1,0,null,null
16,2.5,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
17,2.6,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
18,3.1,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
19,3.2,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
20,3.3,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
21,3.4,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
22,3.5,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
23,3.6,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
24,4.1,V Sehwag,SR Tendulkar,Naved-ul-Hasan,6,0,null,6,0,null,null
25,4.2,V Sehwag,SR Tendulkar,Naved-ul-Hasan,4,0,null,4,0,null,null
26,4.3,V Sehwag,SR Tendulkar,Naved-ul-Hasan,4,0,null,4,0,null,null
27,4.4,V Sehwag,SR Tendulkar,Naved-ul-Hasan,4,0,null,4,0,null,null
28,4.5,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,0,null,0,0,null,null
29,4.6,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,1,noballs ,1,0,null,null
30,4.7,V Sehwag,SR Tendulkar,Naved-ul-Hasan,0,1,noballs ,1,0,null,null
31,4.8,V Sehwag,SR Tendulkar,Naved-ul-Hasan,2,0,null,2,0,null,null
32,5.1,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
33,5.2,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
34,5.3,SR Tendulkar,V Sehwag,Mohammad Asif,1,0,null,1,0,null,null
35,5.4,V Sehwag,SR Tendulkar,Mohammad Asif,4,0,null,4,0,null,null
36,5.5,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
37,5.6,V Sehwag,SR Tendulkar,Mohammad Asif,4,0,null,4,0,null,null
38,6.1,SR Tendulkar,V Sehwag,Umar Gul,0,1,wides ,1,0,null,null
39,6.2,SR Tendulkar,V Sehwag,Umar Gul,1,0,null,1,0,null,null
40,6.3,V Sehwag,SR Tendulkar,Umar Gul,0,1,noballs ,1,0,null,null
41,6.4,V Sehwag,SR Tendulkar,Umar Gul,0,0,null,0,0,null,null
42,6.5,V Sehwag,SR Tendulkar,Umar Gul,0,0,null,0,0,null,null
43,6.6,V Sehwag,SR Tendulkar,Umar Gul,0,0,null,0,0,null,null
44,6.7,V Sehwag,SR Tendulkar,Umar Gul,1,0,null,1,0,null,null
45,6.8,SR Tendulkar,V Sehwag,Umar Gul,0,0,null,0,0,null,null
46,7.1,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
47,7.2,V Sehwag,SR Tendulkar,Mohammad Asif,1,0,null,1,0,null,null
48,7.3,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
49,7.4,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
50,7.5,SR Tendulkar,V Sehwag,Mohammad Asif,4,0,null,4,0,null,null
51,7.6,SR Tendulkar,V Sehwag,Mohammad Asif,0,0,null,0,0,null,null
52,8.1,V Sehwag,SR Tendulkar,Umar Gul,0,0,null,0,0,null,null
53,8.2,V Sehwag,SR Tendulkar,Umar Gul,0,0,null,0,0,null,null
54,8.3,V Sehwag,SR Tendulkar,Umar Gul,0,0,null,0,0,null,null
55,8.4,V Sehwag,SR Tendulkar,Umar Gul,4,0,null,4,0,null,null
56,8.5,V Sehwag,SR Tendulkar,Umar Gul,1,0,null,1,0,null,null
57,8.6,SR Tendulkar,V Sehwag,Umar Gul,0,0,null,0,0,null,null
58,9.1,V Sehwag,SR Tendulkar,Mohammad Asif,4,0,null,4,0,null,null
59,9.2,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
60,9.3,V Sehwag,SR Tendulkar,Mohammad Asif,1,0,null,1,0,null,null
61,9.4,SR Tendulkar,V Sehwag,Mohammad Asif,0,1,legbyes ,1,0,null,null
62,9.5,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
63,9.6,V Sehwag,SR Tendulkar,Mohammad Asif,1,0,null,1,0,null,null
64,10.1,V Sehwag,SR Tendulkar,Umar Gul,1,0,null,1,0,null,null
65,10.2,SR Tendulkar,V Sehwag,Umar Gul,0,0,null,0,0,null,null
66,10.3,SR Tendulkar,V Sehwag,Umar Gul,4,0,null,4,0,null,null
67,10.4,SR Tendulkar,V Sehwag,Umar Gul,0,1,legbyes ,1,0,null,null
68,10.5,V Sehwag,SR Tendulkar,Umar Gul,0,1,wides ,1,0,null,null
69,10.6,V Sehwag,SR Tendulkar,Umar Gul,0,0,null,0,0,null,null
70,10.7,V Sehwag,SR Tendulkar,Umar Gul,1,0,null,1,0,null,null
71,11.1,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
72,11.2,V Sehwag,SR Tendulkar,Mohammad Asif,1,0,null,1,0,null,null
73,11.3,SR Tendulkar,V Sehwag,Mohammad Asif,1,0,null,1,0,null,null
74,11.4,V Sehwag,SR Tendulkar,Mohammad Asif,0,0,null,0,0,null,null
75,11.5,V Sehwag,SR Tendulkar,Mohammad Asif,1,0,null,1,0,null,null
76,11.6,SR Tendulkar,V Sehwag,Mohammad Asif,4,0,null,4,0,null,null
77,12.1,V Sehwag,SR Tendulkar,Umar Gul,1,0,null,1,0,null,null
78,12.2,SR Tendulkar,V Sehwag,Umar Gul,0,0,null,0,0,null,null
79,12.3,SR Tendulkar,V Sehwag,Umar Gul,4,0,null,4,0,null,null
80,12.4,SR Tendulkar,V Sehwag,Umar Gul,0,0,null,0,0,null,null
81,12.5,SR Tendulkar,V Sehwag,Umar Gul,4,0,null,4,0,null,null
82,12.6,SR Tendulkar,V Sehwag,Umar Gul,4,0,null,4,0,null,null
83,13.1,V Sehwag,SR Tendulkar,Abdul Razzaq,1,0,null,1,0,null,null
84,13.2,SR Tendulkar,V Sehwag,Abdul Razzaq,1,0,null,1,0,null,null
85,13.3,V Sehwag,SR Tendulkar,Abdul Razzaq,1,0,null,1,0,null,null
86,13.4,SR Tendulkar,V Sehwag,Abdul Razzaq,0,0,null,0,0,null,null
87,13.5,SR Tendulkar,V Sehwag,Abdul Razzaq,0,0,null,0,0,null,null
88,13.6,SR Tendulkar,V Sehwag,Abdul Razzaq,0,1,legbyes ,1,0,null,null
89,14.1,SR Tendulkar,V Sehwag,Naved-ul-Hasan,0,0,null,0,0,null,null
