,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Azhar Ali,Imam-ul-Haq,TG Southee,0,0,null,0,0,null,null
1,0.2,Azhar Ali,Imam-ul-Haq,TG Southee,0,0,null,0,0,null,null
2,0.3,Azhar Ali,Imam-ul-Haq,TG Southee,0,0,null,0,0,null,null
3,0.4,Azhar Ali,Imam-ul-Haq,TG Southee,0,0,null,0,0,null,null
4,0.5,Azhar Ali,Imam-ul-Haq,TG Southee,0,1,wides ,1,0,null,null
5,0.6,Azhar Ali,Imam-ul-Haq,TG Southee,0,0,null,0,0,null,null
6,0.7,Azhar Ali,Imam-ul-Haq,TG Southee,0,0,null,0,0,null,null
7,1.1,Imam-ul-Haq,Azhar Ali,TA Boult,0,0,null,0,0,null,null
8,1.2,Imam-ul-Haq,Azhar Ali,TA Boult,0,0,null,0,0,null,null
9,1.3,Imam-ul-Haq,Azhar Ali,TA Boult,1,0,null,1,0,null,null
10,1.4,Azhar Ali,Imam-ul-Haq,TA Boult,0,0,null,0,0,null,null
11,1.5,Azhar Ali,Imam-ul-Haq,TA Boult,1,0,null,1,0,null,null
12,1.6,Imam-ul-Haq,Azhar Ali,TA Boult,1,0,null,1,0,null,null
13,2.1,Imam-ul-Haq,Azhar Ali,TG Southee,0,0,null,0,0,null,null
14,2.2,Imam-ul-Haq,Azhar Ali,TG Southee,0,0,null,0,0,null,null
15,2.3,Imam-ul-Haq,Azhar Ali,TG Southee,0,0,null,0,0,null,null
16,2.4,Imam-ul-Haq,Azhar Ali,TG Southee,0,0,null,0,0,null,null
17,2.5,Imam-ul-Haq,Azhar Ali,TG Southee,0,0,null,0,0,null,null
18,2.6,Imam-ul-Haq,Azhar Ali,TG Southee,0,0,null,0,0,null,null
19,3.1,Azhar Ali,Imam-ul-Haq,TA Boult,0,0,null,0,0,null,null
20,3.2,Azhar Ali,Imam-ul-Haq,TA Boult,0,0,null,0,0,null,null
21,3.3,Azhar Ali,Imam-ul-Haq,TA Boult,0,0,null,0,0,null,null
22,3.4,Azhar Ali,Imam-ul-Haq,TA Boult,1,0,null,1,0,null,null
23,3.5,Imam-ul-Haq,Azhar Ali,TA Boult,0,0,null,0,1,Imam-ul-Haq,caught
24,3.6,Babar Azam,Azhar Ali,TA Boult,0,0,null,0,0,null,null
25,4.1,Azhar Ali,Babar Azam,TG Southee,0,0,null,0,0,null,null
26,4.2,Azhar Ali,Babar Azam,TG Southee,0,0,null,0,0,null,null
27,4.3,Azhar Ali,Babar Azam,TG Southee,4,0,null,4,0,null,null
28,4.4,Azhar Ali,Babar Azam,TG Southee,0,5,wides ,5,0,null,null
29,4.5,Azhar Ali,Babar Azam,TG Southee,0,0,null,0,1,Azhar Ali,lbw
30,4.6,Mohammad Hafeez,Babar Azam,TG Southee,1,0,null,1,0,null,null
31,4.7,Babar Azam,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
32,5.1,Mohammad Hafeez,Babar Azam,TA Boult,1,0,null,1,0,null,null
33,5.2,Babar Azam,Mohammad Hafeez,TA Boult,0,0,null,0,0,null,null
34,5.3,Babar Azam,Mohammad Hafeez,TA Boult,0,0,null,0,0,null,null
35,5.4,Babar Azam,Mohammad Hafeez,TA Boult,0,0,null,0,0,null,null
36,5.5,Babar Azam,Mohammad Hafeez,TA Boult,1,0,null,1,0,null,null
37,5.6,Mohammad Hafeez,Babar Azam,TA Boult,1,0,null,1,0,null,null
38,6.1,Mohammad Hafeez,Babar Azam,TG Southee,0,0,null,0,0,null,null
39,6.2,Mohammad Hafeez,Babar Azam,TG Southee,2,0,null,2,0,null,null
40,6.3,Mohammad Hafeez,Babar Azam,TG Southee,0,0,null,0,0,null,null
41,6.4,Mohammad Hafeez,Babar Azam,TG Southee,2,0,null,2,0,null,null
42,6.5,Mohammad Hafeez,Babar Azam,TG Southee,4,0,null,4,0,null,null
43,6.6,Mohammad Hafeez,Babar Azam,TG Southee,0,0,null,0,0,null,null
44,7.1,Babar Azam,Mohammad Hafeez,TA Boult,4,0,null,4,0,null,null
45,7.2,Babar Azam,Mohammad Hafeez,TA Boult,0,0,null,0,0,null,null
46,7.3,Babar Azam,Mohammad Hafeez,TA Boult,1,0,null,1,0,null,null
47,7.4,Mohammad Hafeez,Babar Azam,TA Boult,4,0,null,4,0,null,null
48,7.5,Mohammad Hafeez,Babar Azam,TA Boult,0,0,null,0,0,null,null
49,7.6,Mohammad Hafeez,Babar Azam,TA Boult,0,0,null,0,0,null,null
50,8.1,Babar Azam,Mohammad Hafeez,TG Southee,4,0,null,4,0,null,null
51,8.2,Babar Azam,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
52,8.3,Babar Azam,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
53,8.4,Babar Azam,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
54,8.5,Babar Azam,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
55,8.6,Babar Azam,Mohammad Hafeez,TG Southee,0,0,null,0,0,null,null
56,9.1,Mohammad Hafeez,Babar Azam,MJ Santner,0,0,null,0,0,null,null
57,9.2,Mohammad Hafeez,Babar Azam,MJ Santner,0,0,null,0,0,null,null
58,9.3,Mohammad Hafeez,Babar Azam,MJ Santner,0,0,null,0,0,null,null
59,9.4,Mohammad Hafeez,Babar Azam,MJ Santner,0,0,null,0,0,null,null
60,9.5,Mohammad Hafeez,Babar Azam,MJ Santner,0,0,null,0,0,null,null
61,9.6,Mohammad Hafeez,Babar Azam,MJ Santner,0,0,null,0,0,null,null
62,10.1,Babar Azam,Mohammad Hafeez,LH Ferguson,0,0,null,0,0,null,null
63,10.2,Babar Azam,Mohammad Hafeez,LH Ferguson,0,0,null,0,1,Babar Azam,caught
64,10.3,Shoaib Malik,Mohammad Hafeez,LH Ferguson,0,0,null,0,0,null,null
