,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
1,0.2,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
2,0.3,JN Malan,AK Markram,Shaheen Shah Afridi,1,0,null,1,0,null,null
3,0.4,AK Markram,JN Malan,Shaheen Shah Afridi,0,0,null,0,0,null,null
4,0.5,AK Markram,JN Malan,Shaheen Shah Afridi,0,0,null,0,0,null,null
5,0.6,AK Markram,JN Malan,Shaheen Shah Afridi,1,0,null,1,0,null,null
6,1.1,AK Markram,JN Malan,Hasan Ali,0,0,null,0,0,null,null
7,1.2,AK Markram,JN Malan,Hasan Ali,0,0,null,0,0,null,null
8,1.3,AK Markram,JN Malan,Hasan Ali,0,0,null,0,0,null,null
9,1.4,AK Markram,JN Malan,Hasan Ali,0,0,null,0,0,null,null
10,1.5,AK Markram,JN Malan,Hasan Ali,0,0,null,0,0,null,null
11,1.6,AK Markram,JN Malan,Hasan Ali,4,0,null,4,0,null,null
12,2.1,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
13,2.2,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
14,2.3,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
15,2.4,JN Malan,AK Markram,Shaheen Shah Afridi,2,0,null,2,0,null,null
16,2.5,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
17,2.6,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
18,3.1,AK Markram,JN Malan,Hasan Ali,4,0,null,4,0,null,null
19,3.2,AK Markram,JN Malan,Hasan Ali,6,0,null,6,0,null,null
20,3.3,AK Markram,JN Malan,Hasan Ali,0,0,null,0,0,null,null
21,3.4,AK Markram,JN Malan,Hasan Ali,0,0,null,0,0,null,null
22,3.5,AK Markram,JN Malan,Hasan Ali,0,0,null,0,0,null,null
23,3.6,AK Markram,JN Malan,Hasan Ali,0,0,null,0,0,null,null
24,4.1,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
25,4.2,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
26,4.3,JN Malan,AK Markram,Shaheen Shah Afridi,4,0,null,4,0,null,null
27,4.4,JN Malan,AK Markram,Shaheen Shah Afridi,0,0,null,0,0,null,null
28,4.5,JN Malan,AK Markram,Shaheen Shah Afridi,4,0,null,4,0,null,null
