,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Yasir Hameed,Mohammad Hafeez,SM Pollock,0,1,wides ,1,0,null,null
1,0.2,Yasir Hameed,Mohammad Hafeez,SM Pollock,0,0,null,0,0,null,null
2,0.3,Yasir Hameed,Mohammad Hafeez,SM Pollock,0,0,null,0,0,null,null
3,0.4,Yasir Hameed,Mohammad Hafeez,SM Pollock,0,0,null,0,0,null,null
4,0.5,Yasir Hameed,Mohammad Hafeez,SM Pollock,0,0,null,0,0,null,null
5,0.6,Yasir Hameed,Mohammad Hafeez,SM Pollock,0,0,null,0,0,null,null
6,0.7,Yasir Hameed,Mohammad Hafeez,SM Pollock,0,0,null,0,0,null,null
7,1.1,Mohammad Hafeez,Yasir Hameed,A Nel,0,1,wides ,1,0,null,null
8,1.2,Mohammad Hafeez,Yasir Hameed,A Nel,0,1,wides ,1,0,null,null
9,1.3,Mohammad Hafeez,Yasir Hameed,A Nel,0,0,null,0,0,null,null
10,1.4,Mohammad Hafeez,Yasir Hameed,A Nel,0,0,null,0,1,Mohammad Hafeez,bowled
11,1.5,Mohammad Yousuf,Yasir Hameed,A Nel,0,0,null,0,0,null,null
12,1.6,Mohammad Yousuf,Yasir Hameed,A Nel,0,0,null,0,0,null,null
13,1.7,Mohammad Yousuf,Yasir Hameed,A Nel,0,0,null,0,0,null,null
14,1.8,Mohammad Yousuf,Yasir Hameed,A Nel,0,0,null,0,0,null,null
15,2.1,Yasir Hameed,Mohammad Yousuf,SM Pollock,2,0,null,2,0,null,null
16,2.2,Yasir Hameed,Mohammad Yousuf,SM Pollock,0,0,null,0,0,null,null
17,2.3,Yasir Hameed,Mohammad Yousuf,SM Pollock,0,0,null,0,0,null,null
18,2.4,Yasir Hameed,Mohammad Yousuf,SM Pollock,1,0,null,1,0,null,null
19,2.5,Mohammad Yousuf,Yasir Hameed,SM Pollock,0,0,null,0,0,null,null
20,2.6,Mohammad Yousuf,Yasir Hameed,SM Pollock,0,0,null,0,0,null,null
21,3.1,Yasir Hameed,Mohammad Yousuf,A Nel,2,0,null,2,0,null,null
22,3.2,Yasir Hameed,Mohammad Yousuf,A Nel,0,0,null,0,0,null,null
23,3.3,Yasir Hameed,Mohammad Yousuf,A Nel,0,0,null,0,0,null,null
24,3.4,Yasir Hameed,Mohammad Yousuf,A Nel,4,0,null,4,0,null,null
25,3.5,Yasir Hameed,Mohammad Yousuf,A Nel,0,0,null,0,0,null,null
26,3.6,Yasir Hameed,Mohammad Yousuf,A Nel,1,0,null,1,0,null,null
27,4.1,Yasir Hameed,Mohammad Yousuf,SM Pollock,0,0,null,0,0,null,null
28,4.2,Yasir Hameed,Mohammad Yousuf,SM Pollock,3,0,null,3,0,null,null
29,4.3,Mohammad Yousuf,Yasir Hameed,SM Pollock,0,0,null,0,0,null,null
30,4.4,Mohammad Yousuf,Yasir Hameed,SM Pollock,0,0,null,0,0,null,null
31,4.5,Mohammad Yousuf,Yasir Hameed,SM Pollock,0,0,null,0,0,null,null
32,4.6,Mohammad Yousuf,Yasir Hameed,SM Pollock,0,0,null,0,1,Mohammad Yousuf,lbw
33,5.1,Yasir Hameed,Younis Khan,A Nel,0,0,null,0,0,null,null
