,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,0,0,null,0,0,null,null
1,0.2,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,0,0,null,0,0,null,null
2,0.3,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,0,0,null,0,0,null,null
3,0.4,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,0,0,null,0,0,null,null
4,0.5,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,0,0,null,0,0,null,null
5,0.6,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,0,0,null,0,0,null,null
6,1.1,Imam-ul-Haq,Fakhar Zaman,N Pradeep,0,0,null,0,0,null,null
7,1.2,Imam-ul-Haq,Fakhar Zaman,N Pradeep,0,0,null,0,0,null,null
8,1.3,Imam-ul-Haq,Fakhar Zaman,N Pradeep,1,0,null,1,0,null,null
9,1.4,Fakhar Zaman,Imam-ul-Haq,N Pradeep,0,0,null,0,0,null,null
10,1.5,Fakhar Zaman,Imam-ul-Haq,N Pradeep,1,0,null,1,0,null,null
11,1.6,Imam-ul-Haq,Fakhar Zaman,N Pradeep,2,0,null,2,0,null,null
12,2.1,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,1,0,null,1,0,null,null
13,2.2,Imam-ul-Haq,Fakhar Zaman,GSNFG Jayasuriya,0,0,null,0,0,null,null
14,2.3,Imam-ul-Haq,Fakhar Zaman,GSNFG Jayasuriya,1,0,null,1,0,null,null
15,2.4,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,1,0,null,1,0,null,null
16,2.5,Imam-ul-Haq,Fakhar Zaman,GSNFG Jayasuriya,0,0,null,0,0,null,null
17,2.6,Imam-ul-Haq,Fakhar Zaman,GSNFG Jayasuriya,1,0,null,1,0,null,null
18,3.1,Imam-ul-Haq,Fakhar Zaman,N Pradeep,1,0,null,1,0,null,null
19,3.2,Fakhar Zaman,Imam-ul-Haq,N Pradeep,0,0,null,0,0,null,null
20,3.3,Fakhar Zaman,Imam-ul-Haq,N Pradeep,0,0,null,0,0,null,null
21,3.4,Fakhar Zaman,Imam-ul-Haq,N Pradeep,1,0,null,1,0,null,null
22,3.5,Imam-ul-Haq,Fakhar Zaman,N Pradeep,4,0,null,4,0,null,null
23,3.6,Imam-ul-Haq,Fakhar Zaman,N Pradeep,0,0,null,0,0,null,null
24,4.1,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,6,0,null,6,0,null,null
25,4.2,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,1,0,null,1,0,null,null
26,4.3,Imam-ul-Haq,Fakhar Zaman,GSNFG Jayasuriya,0,0,null,0,0,null,null
27,4.4,Imam-ul-Haq,Fakhar Zaman,GSNFG Jayasuriya,0,0,null,0,0,null,null
28,4.5,Imam-ul-Haq,Fakhar Zaman,GSNFG Jayasuriya,1,0,null,1,0,null,null
29,4.6,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,0,0,null,0,0,null,null
30,5.1,Imam-ul-Haq,Fakhar Zaman,N Pradeep,0,0,null,0,0,null,null
31,5.2,Imam-ul-Haq,Fakhar Zaman,N Pradeep,1,0,null,1,0,null,null
32,5.3,Fakhar Zaman,Imam-ul-Haq,N Pradeep,4,0,null,4,0,null,null
33,5.4,Fakhar Zaman,Imam-ul-Haq,N Pradeep,0,0,null,0,0,null,null
34,5.5,Fakhar Zaman,Imam-ul-Haq,N Pradeep,0,0,null,0,0,null,null
35,5.6,Fakhar Zaman,Imam-ul-Haq,N Pradeep,0,0,null,0,0,null,null
36,6.1,Imam-ul-Haq,Fakhar Zaman,GSNFG Jayasuriya,1,0,null,1,0,null,null
37,6.2,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,0,0,null,0,0,null,null
38,6.3,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,0,0,null,0,0,null,null
39,6.4,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,1,0,null,1,0,null,null
40,6.5,Imam-ul-Haq,Fakhar Zaman,GSNFG Jayasuriya,1,0,null,1,0,null,null
41,6.6,Fakhar Zaman,Imam-ul-Haq,GSNFG Jayasuriya,4,0,null,4,0,null,null
42,7.1,Imam-ul-Haq,Fakhar Zaman,I Udana,1,0,null,1,0,null,null
43,7.2,Fakhar Zaman,Imam-ul-Haq,I Udana,4,0,null,4,0,null,null
44,7.3,Fakhar Zaman,Imam-ul-Haq,I Udana,0,0,null,0,0,null,null
45,7.4,Fakhar Zaman,Imam-ul-Haq,I Udana,0,0,null,0,0,null,null
46,7.5,Fakhar Zaman,Imam-ul-Haq,I Udana,4,0,null,4,0,null,null
47,7.6,Fakhar Zaman,Imam-ul-Haq,I Udana,0,0,null,0,0,null,null
48,8.1,Imam-ul-Haq,Fakhar Zaman,CBRLS Kumara,1,0,null,1,0,null,null
49,8.2,Fakhar Zaman,Imam-ul-Haq,CBRLS Kumara,0,0,null,0,0,null,null
50,8.3,Fakhar Zaman,Imam-ul-Haq,CBRLS Kumara,0,0,null,0,0,null,null
51,8.4,Fakhar Zaman,Imam-ul-Haq,CBRLS Kumara,0,0,null,0,0,null,null
52,8.5,Fakhar Zaman,Imam-ul-Haq,CBRLS Kumara,0,0,null,0,0,null,null
53,8.6,Fakhar Zaman,Imam-ul-Haq,CBRLS Kumara,0,0,null,0,0,null,null
54,9.1,Imam-ul-Haq,Fakhar Zaman,I Udana,0,0,null,0,0,null,null
55,9.2,Imam-ul-Haq,Fakhar Zaman,I Udana,0,0,null,0,0,null,null
56,9.3,Imam-ul-Haq,Fakhar Zaman,I Udana,0,0,null,0,0,null,null
57,9.4,Imam-ul-Haq,Fakhar Zaman,I Udana,1,0,null,1,0,null,null
58,9.5,Fakhar Zaman,Imam-ul-Haq,I Udana,1,0,null,1,0,null,null
59,9.6,Imam-ul-Haq,Fakhar Zaman,I Udana,1,0,null,1,0,null,null
60,10.1,Imam-ul-Haq,Fakhar Zaman,CBRLS Kumara,2,0,null,2,0,null,null
61,10.2,Imam-ul-Haq,Fakhar Zaman,CBRLS Kumara,0,0,null,0,0,null,null
62,10.3,Imam-ul-Haq,Fakhar Zaman,CBRLS Kumara,1,0,null,1,0,null,null
63,10.4,Fakhar Zaman,Imam-ul-Haq,CBRLS Kumara,1,0,null,1,0,null,null
64,10.5,Imam-ul-Haq,Fakhar Zaman,CBRLS Kumara,1,0,null,1,0,null,null
65,10.6,Fakhar Zaman,Imam-ul-Haq,CBRLS Kumara,1,0,null,1,0,null,null
66,11.1,Fakhar Zaman,Imam-ul-Haq,I Udana,4,0,null,4,0,null,null
67,11.2,Fakhar Zaman,Imam-ul-Haq,I Udana,1,0,null,1,0,null,null
68,11.3,Imam-ul-Haq,Fakhar Zaman,I Udana,1,0,null,1,0,null,null
69,11.4,Fakhar Zaman,Imam-ul-Haq,I Udana,0,0,null,0,0,null,null
70,11.5,Fakhar Zaman,Imam-ul-Haq,I Udana,0,0,null,0,0,null,null
71,11.6,Fakhar Zaman,Imam-ul-Haq,I Udana,0,0,null,0,0,null,null
72,12.1,Imam-ul-Haq,Fakhar Zaman,CBRLS Kumara,2,0,null,2,0,null,null
73,12.2,Imam-ul-Haq,Fakhar Zaman,CBRLS Kumara,1,0,null,1,0,null,null
74,12.3,Fakhar Zaman,Imam-ul-Haq,CBRLS Kumara,1,0,null,1,0,null,null
75,12.4,Imam-ul-Haq,Fakhar Zaman,CBRLS Kumara,0,0,null,0,0,null,null
76,12.5,Imam-ul-Haq,Fakhar Zaman,CBRLS Kumara,1,0,null,1,0,null,null
77,12.6,Fakhar Zaman,Imam-ul-Haq,CBRLS Kumara,2,0,null,2,0,null,null
78,13.1,Imam-ul-Haq,Fakhar Zaman,MD Gunathilaka,0,0,null,0,0,null,null
79,13.2,Imam-ul-Haq,Fakhar Zaman,MD Gunathilaka,1,0,null,1,0,null,null
80,13.3,Fakhar Zaman,Imam-ul-Haq,MD Gunathilaka,1,0,null,1,0,null,null
81,13.4,Imam-ul-Haq,Fakhar Zaman,MD Gunathilaka,0,0,null,0,0,null,null
82,13.5,Imam-ul-Haq,Fakhar Zaman,MD Gunathilaka,1,0,null,1,0,null,null
83,13.6,Fakhar Zaman,Imam-ul-Haq,MD Gunathilaka,1,0,null,1,0,null,null
84,14.1,Fakhar Zaman,Imam-ul-Haq,PWH de Silva,1,0,null,1,0,null,null
85,14.2,Imam-ul-Haq,Fakhar Zaman,PWH de Silva,2,0,null,2,0,null,null
86,14.3,Imam-ul-Haq,Fakhar Zaman,PWH de Silva,0,0,null,0,0,null,null
87,14.4,Imam-ul-Haq,Fakhar Zaman,PWH de Silva,0,0,null,0,1,Imam-ul-Haq,lbw
88,14.5,Babar Azam,Fakhar Zaman,PWH de Silva,0,0,null,0,0,null,null
89,14.6,Babar Azam,Fakhar Zaman,PWH de Silva,1,0,null,1,0,null,null
90,15.1,Babar Azam,Fakhar Zaman,MD Gunathilaka,0,0,null,0,0,null,null
91,15.2,Babar Azam,Fakhar Zaman,MD Gunathilaka,1,0,null,1,0,null,null
92,15.3,Fakhar Zaman,Babar Azam,MD Gunathilaka,1,0,null,1,0,null,null
93,15.4,Babar Azam,Fakhar Zaman,MD Gunathilaka,1,0,null,1,0,null,null
94,15.5,Fakhar Zaman,Babar Azam,MD Gunathilaka,0,0,null,0,0,null,null
95,15.6,Fakhar Zaman,Babar Azam,MD Gunathilaka,1,0,null,1,0,null,null
96,16.1,Fakhar Zaman,Babar Azam,PWH de Silva,0,0,null,0,0,null,null
97,16.2,Fakhar Zaman,Babar Azam,PWH de Silva,1,0,null,1,0,null,null
98,16.3,Babar Azam,Fakhar Zaman,PWH de Silva,0,0,null,0,0,null,null
99,16.4,Babar Azam,Fakhar Zaman,PWH de Silva,0,0,null,0,0,null,null
100,16.5,Babar Azam,Fakhar Zaman,PWH de Silva,1,0,null,1,0,null,null
101,16.6,Fakhar Zaman,Babar Azam,PWH de Silva,0,0,null,0,0,null,null
102,17.1,Babar Azam,Fakhar Zaman,CBRLS Kumara,0,0,null,0,0,null,null
103,17.2,Babar Azam,Fakhar Zaman,CBRLS Kumara,0,0,null,0,0,null,null
104,17.3,Babar Azam,Fakhar Zaman,CBRLS Kumara,4,0,null,4,0,null,null
105,17.4,Babar Azam,Fakhar Zaman,CBRLS Kumara,0,0,null,0,0,null,null
106,17.5,Babar Azam,Fakhar Zaman,CBRLS Kumara,1,0,null,1,0,null,null
107,17.6,Fakhar Zaman,Babar Azam,CBRLS Kumara,0,0,null,0,0,null,null
108,18.1,Babar Azam,Fakhar Zaman,PWH de Silva,6,0,null,6,0,null,null
109,18.2,Babar Azam,Fakhar Zaman,PWH de Silva,0,0,null,0,0,null,null
110,18.3,Babar Azam,Fakhar Zaman,PWH de Silva,1,0,null,1,0,null,null
111,18.4,Fakhar Zaman,Babar Azam,PWH de Silva,4,0,null,4,0,null,null
112,18.5,Fakhar Zaman,Babar Azam,PWH de Silva,0,0,null,0,0,null,null
113,18.6,Fakhar Zaman,Babar Azam,PWH de Silva,1,0,null,1,0,null,null
114,19.1,Fakhar Zaman,Babar Azam,CBRLS Kumara,0,0,null,0,0,null,null
115,19.2,Fakhar Zaman,Babar Azam,CBRLS Kumara,0,0,null,0,0,null,null
116,19.3,Fakhar Zaman,Babar Azam,CBRLS Kumara,0,0,null,0,0,null,null
117,19.4,Fakhar Zaman,Babar Azam,CBRLS Kumara,1,0,null,1,0,null,null
118,19.5,Babar Azam,Fakhar Zaman,CBRLS Kumara,1,0,null,1,0,null,null
119,19.6,Fakhar Zaman,Babar Azam,CBRLS Kumara,0,0,null,0,0,null,null
120,20.1,Babar Azam,Fakhar Zaman,PWH de Silva,1,0,null,1,0,null,null
121,20.2,Fakhar Zaman,Babar Azam,PWH de Silva,2,0,null,2,0,null,null
122,20.3,Fakhar Zaman,Babar Azam,PWH de Silva,1,0,null,1,0,null,null
123,20.4,Babar Azam,Fakhar Zaman,PWH de Silva,1,0,null,1,0,null,null
124,20.5,Fakhar Zaman,Babar Azam,PWH de Silva,0,0,null,0,1,Fakhar Zaman,caught
125,20.6,Haris Sohail,Babar Azam,PWH de Silva,1,0,null,1,0,null,null
126,21.1,Haris Sohail,Babar Azam,N Pradeep,1,0,null,1,0,null,null
127,21.2,Babar Azam,Haris Sohail,N Pradeep,0,0,null,0,0,null,null
128,21.3,Babar Azam,Haris Sohail,N Pradeep,0,0,null,0,0,null,null
129,21.4,Babar Azam,Haris Sohail,N Pradeep,0,0,null,0,0,null,null
130,21.5,Babar Azam,Haris Sohail,N Pradeep,0,0,null,0,0,null,null
131,21.6,Babar Azam,Haris Sohail,N Pradeep,1,0,null,1,0,null,null
132,22.1,Babar Azam,Haris Sohail,PWH de Silva,1,0,null,1,0,null,null
133,22.2,Haris Sohail,Babar Azam,PWH de Silva,0,0,null,0,0,null,null
134,22.3,Haris Sohail,Babar Azam,PWH de Silva,0,0,null,0,0,null,null
135,22.4,Haris Sohail,Babar Azam,PWH de Silva,0,0,null,0,0,null,null
136,22.5,Haris Sohail,Babar Azam,PWH de Silva,1,0,null,1,0,null,null
137,22.6,Babar Azam,Haris Sohail,PWH de Silva,0,0,null,0,0,null,null
138,23.1,Haris Sohail,Babar Azam,N Pradeep,3,0,null,3,0,null,null
139,23.2,Babar Azam,Haris Sohail,N Pradeep,2,0,null,2,0,null,null
140,23.3,Babar Azam,Haris Sohail,N Pradeep,0,0,null,0,0,null,null
141,23.4,Babar Azam,Haris Sohail,N Pradeep,4,0,null,4,0,null,null
142,23.5,Babar Azam,Haris Sohail,N Pradeep,0,0,null,0,0,null,null
143,23.6,Babar Azam,Haris Sohail,N Pradeep,1,0,null,1,0,null,null
144,24.1,Babar Azam,Haris Sohail,PWH de Silva,0,0,null,0,0,null,null
145,24.2,Babar Azam,Haris Sohail,PWH de Silva,0,0,null,0,0,null,null
146,24.3,Babar Azam,Haris Sohail,PWH de Silva,1,0,null,1,0,null,null
147,24.4,Haris Sohail,Babar Azam,PWH de Silva,0,0,null,0,0,null,null
148,24.5,Haris Sohail,Babar Azam,PWH de Silva,2,0,null,2,0,null,null
149,24.6,Haris Sohail,Babar Azam,PWH de Silva,1,0,null,1,0,null,null
150,25.1,Haris Sohail,Babar Azam,GSNFG Jayasuriya,1,0,null,1,0,null,null
151,25.2,Babar Azam,Haris Sohail,GSNFG Jayasuriya,1,0,null,1,0,null,null
152,25.3,Haris Sohail,Babar Azam,GSNFG Jayasuriya,1,0,null,1,0,null,null
153,25.4,Babar Azam,Haris Sohail,GSNFG Jayasuriya,1,0,null,1,0,null,null
154,25.5,Haris Sohail,Babar Azam,GSNFG Jayasuriya,0,0,null,0,0,null,null
155,25.6,Haris Sohail,Babar Azam,GSNFG Jayasuriya,0,0,null,0,0,null,null
156,26.1,Babar Azam,Haris Sohail,I Udana,0,0,null,0,0,null,null
157,26.2,Babar Azam,Haris Sohail,I Udana,4,0,null,4,0,null,null
158,26.3,Babar Azam,Haris Sohail,I Udana,0,0,null,0,0,null,null
159,26.4,Babar Azam,Haris Sohail,I Udana,0,0,null,0,0,null,null
160,26.5,Babar Azam,Haris Sohail,I Udana,2,0,null,2,0,null,null
161,26.6,Babar Azam,Haris Sohail,I Udana,2,0,null,2,0,null,null
162,27.1,Haris Sohail,Babar Azam,GSNFG Jayasuriya,0,0,null,0,0,null,null
163,27.2,Haris Sohail,Babar Azam,GSNFG Jayasuriya,0,0,null,0,0,null,null
164,27.3,Haris Sohail,Babar Azam,GSNFG Jayasuriya,1,0,null,1,0,null,null
165,27.4,Babar Azam,Haris Sohail,GSNFG Jayasuriya,1,0,null,1,0,null,null
166,27.5,Haris Sohail,Babar Azam,GSNFG Jayasuriya,1,0,null,1,0,null,null
167,27.6,Babar Azam,Haris Sohail,GSNFG Jayasuriya,1,0,null,1,0,null,null
168,28.1,Babar Azam,Haris Sohail,I Udana,1,0,null,1,0,null,null
