,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
1,0.2,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
2,0.3,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
3,0.4,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,1,wides ,1,0,null,null
4,0.5,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
5,0.6,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
6,0.7,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,4,0,null,4,0,null,null
7,1.1,ST Jayasuriya,DA Gunawardene,Mohammad Sami,1,0,null,1,0,null,null
8,1.2,DA Gunawardene,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
9,1.3,DA Gunawardene,ST Jayasuriya,Mohammad Sami,1,0,null,1,0,null,null
10,1.4,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
11,1.5,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
12,1.6,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,1,wides ,1,0,null,null
13,1.7,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
14,2.1,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
15,2.2,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,1,wides ,1,0,null,null
16,2.3,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,1,0,null,1,0,null,null
17,2.4,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,2,0,null,2,0,null,null
18,2.5,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,0,0,null,0,0,null,null
19,2.6,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,0,0,null,0,0,null,null
20,2.7,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,0,0,null,0,0,null,null
21,3.1,DA Gunawardene,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
22,3.2,DA Gunawardene,ST Jayasuriya,Mohammad Sami,1,0,null,1,0,null,null
23,3.3,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
24,3.4,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,1,wides ,1,0,null,null
25,3.5,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,1,wides ,1,0,null,null
26,3.6,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
27,3.7,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
28,3.8,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
29,4.1,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,1,0,null,1,0,null,null
30,4.2,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,1,0,null,1,0,null,null
31,4.3,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
32,4.4,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
33,4.5,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
34,4.6,DA Gunawardene,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
35,5.1,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
36,5.2,ST Jayasuriya,DA Gunawardene,Mohammad Sami,1,0,null,1,0,null,null
37,5.3,DA Gunawardene,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
38,5.4,DA Gunawardene,ST Jayasuriya,Mohammad Sami,1,0,null,1,0,null,null
39,5.5,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,1,wides ,1,0,null,null
40,5.6,ST Jayasuriya,DA Gunawardene,Mohammad Sami,1,0,null,1,0,null,null
41,5.7,DA Gunawardene,ST Jayasuriya,Mohammad Sami,0,1,noballs ,1,0,null,null
42,5.8,DA Gunawardene,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
43,6.1,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,0,0,null,0,0,null,null
44,6.2,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,0,0,null,0,0,null,null
45,6.3,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,0,0,null,0,0,null,null
46,6.4,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,0,0,null,0,0,null,null
47,6.5,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,0,0,null,0,0,null,null
48,6.6,ST Jayasuriya,DA Gunawardene,Shoaib Akhtar,0,4,legbyes ,4,0,null,null
