,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CH Gayle,WW Hinds,Shoaib Akhtar,0,0,null,0,0,null,null
1,0.2,CH Gayle,WW Hinds,Shoaib Akhtar,0,1,legbyes ,1,0,null,null
2,0.3,WW Hinds,CH Gayle,Shoaib Akhtar,0,0,null,0,0,null,null
3,0.4,WW Hinds,CH Gayle,Shoaib Akhtar,1,0,null,1,0,null,null
4,0.5,CH Gayle,WW Hinds,Shoaib Akhtar,0,0,null,0,0,null,null
5,0.6,CH Gayle,WW Hinds,Shoaib Akhtar,0,1,wides ,1,0,null,null
6,0.7,CH Gayle,WW Hinds,Shoaib Akhtar,0,1,wides ,1,0,null,null
7,0.8,CH Gayle,WW Hinds,Shoaib Akhtar,0,0,null,0,0,null,null
8,1.1,WW Hinds,CH Gayle,Mohammad Sami,0,2,byes ,2,0,null,null
9,1.2,WW Hinds,CH Gayle,Mohammad Sami,0,0,null,0,0,null,null
10,1.3,WW Hinds,CH Gayle,Mohammad Sami,1,0,null,1,0,null,null
11,1.4,CH Gayle,WW Hinds,Mohammad Sami,0,0,null,0,0,null,null
12,1.5,CH Gayle,WW Hinds,Mohammad Sami,1,0,null,1,0,null,null
13,1.6,WW Hinds,CH Gayle,Mohammad Sami,0,0,null,0,0,null,null
14,2.1,CH Gayle,WW Hinds,Shoaib Akhtar,0,0,null,0,0,null,null
15,2.2,CH Gayle,WW Hinds,Shoaib Akhtar,0,0,null,0,1,CH Gayle,lbw
16,2.3,RR Sarwan,WW Hinds,Shoaib Akhtar,0,0,null,0,0,null,null
17,2.4,RR Sarwan,WW Hinds,Shoaib Akhtar,0,0,null,0,0,null,null
18,2.5,RR Sarwan,WW Hinds,Shoaib Akhtar,0,1,wides ,1,0,null,null
19,2.6,RR Sarwan,WW Hinds,Shoaib Akhtar,0,0,null,0,0,null,null
20,2.7,RR Sarwan,WW Hinds,Shoaib Akhtar,0,0,null,0,0,null,null
21,3.1,WW Hinds,RR Sarwan,Mohammad Sami,0,0,null,0,0,null,null
22,3.2,WW Hinds,RR Sarwan,Mohammad Sami,0,0,null,0,0,null,null
23,3.3,WW Hinds,RR Sarwan,Mohammad Sami,0,0,null,0,0,null,null
24,3.4,WW Hinds,RR Sarwan,Mohammad Sami,3,0,null,3,0,null,null
25,3.5,RR Sarwan,WW Hinds,Mohammad Sami,4,0,null,4,0,null,null
26,3.6,RR Sarwan,WW Hinds,Mohammad Sami,4,0,null,4,0,null,null
27,4.1,WW Hinds,RR Sarwan,Shoaib Akhtar,0,0,null,0,0,null,null
28,4.2,WW Hinds,RR Sarwan,Shoaib Akhtar,0,0,null,0,1,WW Hinds,caught and bowled
29,4.3,BC Lara,RR Sarwan,Shoaib Akhtar,2,0,null,2,0,null,null
30,4.4,BC Lara,RR Sarwan,Shoaib Akhtar,1,0,null,1,0,null,null
31,4.5,RR Sarwan,BC Lara,Shoaib Akhtar,0,0,null,0,0,null,null
32,4.6,RR Sarwan,BC Lara,Shoaib Akhtar,3,0,null,3,0,null,null
33,5.1,RR Sarwan,BC Lara,Naved-ul-Hasan,0,0,null,0,0,null,null
34,5.2,RR Sarwan,BC Lara,Naved-ul-Hasan,0,0,null,0,0,null,null
35,5.3,RR Sarwan,BC Lara,Naved-ul-Hasan,0,0,null,0,0,null,null
36,5.4,RR Sarwan,BC Lara,Naved-ul-Hasan,0,0,null,0,0,null,null
37,5.5,RR Sarwan,BC Lara,Naved-ul-Hasan,0,0,null,0,0,null,null
38,5.6,RR Sarwan,BC Lara,Naved-ul-Hasan,0,0,null,0,0,null,null
39,6.1,BC Lara,RR Sarwan,Shoaib Akhtar,1,0,null,1,0,null,null
40,6.2,RR Sarwan,BC Lara,Shoaib Akhtar,0,1,wides ,1,0,null,null
41,6.3,RR Sarwan,BC Lara,Shoaib Akhtar,0,0,null,0,0,null,null
42,6.4,RR Sarwan,BC Lara,Shoaib Akhtar,0,0,null,0,0,null,null
43,6.5,RR Sarwan,BC Lara,Shoaib Akhtar,0,0,null,0,0,null,null
44,6.6,RR Sarwan,BC Lara,Shoaib Akhtar,0,0,null,0,0,null,null
45,6.7,RR Sarwan,BC Lara,Shoaib Akhtar,2,0,null,2,0,null,null
46,7.1,BC Lara,RR Sarwan,Naved-ul-Hasan,1,0,null,1,0,null,null
47,7.2,RR Sarwan,BC Lara,Naved-ul-Hasan,4,0,null,4,0,null,null
48,7.3,RR Sarwan,BC Lara,Naved-ul-Hasan,0,0,null,0,0,null,null
49,7.4,RR Sarwan,BC Lara,Naved-ul-Hasan,3,0,null,3,0,null,null
50,7.5,BC Lara,RR Sarwan,Naved-ul-Hasan,0,0,null,0,0,null,null
51,7.6,BC Lara,RR Sarwan,Naved-ul-Hasan,0,0,null,0,0,null,null
52,8.1,RR Sarwan,BC Lara,Mohammad Sami,0,0,null,0,0,null,null
53,8.2,RR Sarwan,BC Lara,Mohammad Sami,0,0,null,0,0,null,null
54,8.3,RR Sarwan,BC Lara,Mohammad Sami,6,0,null,6,0,null,null
