,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,BB Chari,CJ Chibhabha,Mohammad Amir,1,0,null,1,0,null,null
1,0.2,CJ Chibhabha,BB Chari,Mohammad Amir,1,0,null,1,0,null,null
2,0.3,BB Chari,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
3,0.4,BB Chari,CJ Chibhabha,Mohammad Amir,1,0,null,1,0,null,null
4,0.5,CJ Chibhabha,BB Chari,Mohammad Amir,0,0,null,0,0,null,null
5,0.6,CJ Chibhabha,BB Chari,Mohammad Amir,0,0,null,0,0,null,null
6,1.1,BB Chari,CJ Chibhabha,Usman Shinwari,0,0,null,0,1,BB Chari,caught
7,1.2,H Masakadza,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
8,1.3,H Masakadza,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
9,1.4,H Masakadza,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
10,1.5,H Masakadza,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
11,1.6,H Masakadza,CJ Chibhabha,Usman Shinwari,3,0,null,3,0,null,null
12,2.1,H Masakadza,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
13,2.2,H Masakadza,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
14,2.3,H Masakadza,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
15,2.4,H Masakadza,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
16,2.5,H Masakadza,CJ Chibhabha,Mohammad Amir,4,0,null,4,0,null,null
17,2.6,H Masakadza,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
18,3.1,CJ Chibhabha,H Masakadza,Usman Shinwari,1,0,null,1,0,null,null
19,3.2,H Masakadza,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
20,3.3,H Masakadza,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
21,3.4,H Masakadza,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
22,3.5,H Masakadza,CJ Chibhabha,Usman Shinwari,0,0,null,0,1,H Masakadza,caught
23,3.6,TK Musakanda,CJ Chibhabha,Usman Shinwari,1,0,null,1,0,null,null
24,4.1,TK Musakanda,CJ Chibhabha,Mohammad Amir,4,0,null,4,0,null,null
25,4.2,TK Musakanda,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
26,4.3,TK Musakanda,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
27,4.4,TK Musakanda,CJ Chibhabha,Mohammad Amir,1,0,null,1,0,null,null
28,4.5,CJ Chibhabha,TK Musakanda,Mohammad Amir,1,0,null,1,0,null,null
29,4.6,TK Musakanda,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
30,5.1,CJ Chibhabha,TK Musakanda,Usman Shinwari,0,0,null,0,0,null,null
31,5.2,CJ Chibhabha,TK Musakanda,Usman Shinwari,0,0,null,0,0,null,null
32,5.3,CJ Chibhabha,TK Musakanda,Usman Shinwari,0,0,null,0,0,null,null
33,5.4,CJ Chibhabha,TK Musakanda,Usman Shinwari,0,0,null,0,0,null,null
34,5.5,CJ Chibhabha,TK Musakanda,Usman Shinwari,0,0,null,0,0,null,null
35,5.6,CJ Chibhabha,TK Musakanda,Usman Shinwari,0,0,null,0,0,null,null
36,6.1,TK Musakanda,CJ Chibhabha,Mohammad Amir,1,0,null,1,0,null,null
37,6.2,CJ Chibhabha,TK Musakanda,Mohammad Amir,0,0,null,0,0,null,null
38,6.3,CJ Chibhabha,TK Musakanda,Mohammad Amir,4,0,null,4,0,null,null
39,6.4,CJ Chibhabha,TK Musakanda,Mohammad Amir,0,0,null,0,0,null,null
40,6.5,CJ Chibhabha,TK Musakanda,Mohammad Amir,1,0,null,1,0,null,null
41,6.6,TK Musakanda,CJ Chibhabha,Mohammad Amir,0,0,null,0,0,null,null
42,7.1,CJ Chibhabha,TK Musakanda,Usman Shinwari,0,0,null,0,0,null,null
43,7.2,CJ Chibhabha,TK Musakanda,Usman Shinwari,1,0,null,1,0,null,null
44,7.3,TK Musakanda,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
45,7.4,TK Musakanda,CJ Chibhabha,Usman Shinwari,4,0,null,4,0,null,null
46,7.5,TK Musakanda,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
47,7.6,TK Musakanda,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
48,8.1,CJ Chibhabha,TK Musakanda,Faheem Ashraf,2,0,null,2,0,null,null
49,8.2,CJ Chibhabha,TK Musakanda,Faheem Ashraf,0,0,null,0,0,null,null
50,8.3,CJ Chibhabha,TK Musakanda,Faheem Ashraf,0,0,null,0,0,null,null
51,8.4,CJ Chibhabha,TK Musakanda,Faheem Ashraf,0,0,null,0,0,null,null
52,8.5,CJ Chibhabha,TK Musakanda,Faheem Ashraf,1,0,null,1,0,null,null
53,8.6,TK Musakanda,CJ Chibhabha,Faheem Ashraf,1,0,null,1,0,null,null
54,9.1,TK Musakanda,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
55,9.2,TK Musakanda,CJ Chibhabha,Usman Shinwari,0,1,wides ,1,0,null,null
56,9.3,TK Musakanda,CJ Chibhabha,Usman Shinwari,4,0,null,4,0,null,null
57,9.4,TK Musakanda,CJ Chibhabha,Usman Shinwari,0,0,null,0,0,null,null
58,9.5,TK Musakanda,CJ Chibhabha,Usman Shinwari,1,0,null,1,0,null,null
59,9.6,CJ Chibhabha,TK Musakanda,Usman Shinwari,1,0,null,1,0,null,null
60,9.7,TK Musakanda,CJ Chibhabha,Usman Shinwari,4,0,null,4,0,null,null
61,10.1,CJ Chibhabha,TK Musakanda,Faheem Ashraf,0,0,null,0,0,null,null
62,10.2,CJ Chibhabha,TK Musakanda,Faheem Ashraf,0,0,null,0,0,null,null
63,10.3,CJ Chibhabha,TK Musakanda,Faheem Ashraf,0,0,null,0,0,null,null
64,10.4,CJ Chibhabha,TK Musakanda,Faheem Ashraf,1,0,null,1,0,null,null
65,10.5,TK Musakanda,CJ Chibhabha,Faheem Ashraf,0,0,null,0,0,null,null
66,10.6,TK Musakanda,CJ Chibhabha,Faheem Ashraf,0,0,null,0,1,TK Musakanda,caught
67,11.1,CJ Chibhabha,PJ Moor,Hasan Ali,2,0,null,2,0,null,null
68,11.2,CJ Chibhabha,PJ Moor,Hasan Ali,2,0,null,2,0,null,null
