,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Jatinder Singh,KH Prajapati,KV Morea,0,0,null,0,0,null,null
1,0.2,Jatinder Singh,KH Prajapati,KV Morea,1,0,null,1,0,null,null
2,0.3,KH Prajapati,Jatinder Singh,KV Morea,0,0,null,0,0,null,null
3,0.4,KH Prajapati,Jatinder Singh,KV Morea,0,0,null,0,0,null,null
4,0.5,KH Prajapati,Jatinder Singh,KV Morea,0,1,legbyes ,1,0,null,null
5,0.6,Jatinder Singh,KH Prajapati,KV Morea,1,0,null,1,0,null,null
6,1.1,Jatinder Singh,KH Prajapati,D Ravu,0,0,null,0,0,null,null
7,1.2,Jatinder Singh,KH Prajapati,D Ravu,0,0,null,0,0,null,null
8,1.3,Jatinder Singh,KH Prajapati,D Ravu,0,0,null,0,0,null,null
9,1.4,Jatinder Singh,KH Prajapati,D Ravu,2,0,null,2,0,null,null
10,1.5,Jatinder Singh,KH Prajapati,D Ravu,0,0,null,0,0,null,null
11,1.6,Jatinder Singh,KH Prajapati,D Ravu,0,0,null,0,0,null,null
12,2.1,KH Prajapati,Jatinder Singh,KV Morea,1,0,null,1,0,null,null
13,2.2,Jatinder Singh,KH Prajapati,KV Morea,1,0,null,1,0,null,null
14,2.3,KH Prajapati,Jatinder Singh,KV Morea,0,0,null,0,0,null,null
15,2.4,KH Prajapati,Jatinder Singh,KV Morea,6,0,null,6,0,null,null
16,2.5,KH Prajapati,Jatinder Singh,KV Morea,0,0,null,0,0,null,null
17,2.6,KH Prajapati,Jatinder Singh,KV Morea,0,0,null,0,0,null,null
18,3.1,Jatinder Singh,KH Prajapati,D Ravu,0,0,null,0,0,null,null
19,3.2,Jatinder Singh,KH Prajapati,D Ravu,0,0,null,0,0,null,null
20,3.3,Jatinder Singh,KH Prajapati,D Ravu,0,0,null,0,0,null,null
21,3.4,Jatinder Singh,KH Prajapati,D Ravu,1,0,null,1,0,null,null
22,3.5,KH Prajapati,Jatinder Singh,D Ravu,0,1,noballs ,1,0,null,null
23,3.6,KH Prajapati,Jatinder Singh,D Ravu,6,0,null,6,0,null,null
24,3.7,KH Prajapati,Jatinder Singh,D Ravu,2,0,null,2,0,null,null
25,4.1,Jatinder Singh,KH Prajapati,KV Morea,2,0,null,2,0,null,null
26,4.2,Jatinder Singh,KH Prajapati,KV Morea,0,0,null,0,1,Jatinder Singh,caught
27,4.3,KH Prajapati,Aqib Ilyas,KV Morea,6,0,null,6,0,null,null
28,4.4,KH Prajapati,Aqib Ilyas,KV Morea,0,0,null,0,1,KH Prajapati,bowled
29,4.5,Ayan Khan,Aqib Ilyas,KV Morea,0,0,null,0,0,null,null
30,4.6,Ayan Khan,Aqib Ilyas,KV Morea,0,0,null,0,0,null,null
31,5.1,Aqib Ilyas,Ayan Khan,N Vanua,0,0,null,0,0,null,null
32,5.2,Aqib Ilyas,Ayan Khan,N Vanua,4,0,null,4,0,null,null
33,5.3,Aqib Ilyas,Ayan Khan,N Vanua,1,0,null,1,0,null,null
34,5.4,Ayan Khan,Aqib Ilyas,N Vanua,4,0,null,4,0,null,null
35,5.5,Ayan Khan,Aqib Ilyas,N Vanua,0,0,null,0,0,null,null
36,5.6,Ayan Khan,Aqib Ilyas,N Vanua,0,0,null,0,0,null,null
37,6.1,Aqib Ilyas,Ayan Khan,KV Morea,1,0,null,1,0,null,null
38,6.2,Ayan Khan,Aqib Ilyas,KV Morea,0,1,legbyes ,1,0,null,null
39,6.3,Aqib Ilyas,Ayan Khan,KV Morea,0,0,null,0,0,null,null
40,6.4,Aqib Ilyas,Ayan Khan,KV Morea,0,0,null,0,0,null,null
41,6.5,Aqib Ilyas,Ayan Khan,KV Morea,1,0,null,1,0,null,null
42,6.6,Ayan Khan,Aqib Ilyas,KV Morea,0,0,null,0,0,null,null
43,7.1,Aqib Ilyas,Ayan Khan,N Vanua,1,0,null,1,0,null,null
44,7.2,Ayan Khan,Aqib Ilyas,N Vanua,2,0,null,2,0,null,null
45,7.3,Ayan Khan,Aqib Ilyas,N Vanua,0,0,null,0,0,null,null
46,7.4,Ayan Khan,Aqib Ilyas,N Vanua,0,0,null,0,0,null,null
47,7.5,Ayan Khan,Aqib Ilyas,N Vanua,1,0,null,1,0,null,null
48,7.6,Aqib Ilyas,Ayan Khan,N Vanua,0,0,null,0,0,null,null
49,8.1,Ayan Khan,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
50,8.2,Ayan Khan,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
51,8.3,Ayan Khan,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
52,8.4,Ayan Khan,Aqib Ilyas,CA Soper,0,0,null,0,1,Ayan Khan,caught
53,8.5,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
54,8.6,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
55,9.1,Aqib Ilyas,Mohammad Nadeem,N Vanua,0,0,null,0,0,null,null
56,9.2,Aqib Ilyas,Mohammad Nadeem,N Vanua,0,0,null,0,0,null,null
57,9.3,Aqib Ilyas,Mohammad Nadeem,N Vanua,0,0,null,0,0,null,null
58,9.4,Aqib Ilyas,Mohammad Nadeem,N Vanua,2,0,null,2,0,null,null
59,9.5,Aqib Ilyas,Mohammad Nadeem,N Vanua,4,0,null,4,0,null,null
60,9.6,Aqib Ilyas,Mohammad Nadeem,N Vanua,0,0,null,0,0,null,null
61,10.1,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
62,10.2,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
63,10.3,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
64,10.4,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
65,10.5,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
66,10.6,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
67,11.1,Aqib Ilyas,Mohammad Nadeem,L Siaka,0,0,null,0,0,null,null
68,11.2,Aqib Ilyas,Mohammad Nadeem,L Siaka,0,0,null,0,0,null,null
69,11.3,Aqib Ilyas,Mohammad Nadeem,L Siaka,1,0,null,1,0,null,null
70,11.4,Mohammad Nadeem,Aqib Ilyas,L Siaka,1,0,null,1,0,null,null
71,11.5,Aqib Ilyas,Mohammad Nadeem,L Siaka,0,0,null,0,0,null,null
72,11.6,Aqib Ilyas,Mohammad Nadeem,L Siaka,0,0,null,0,0,null,null
73,12.1,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,5,wides ,5,0,null,null
74,12.2,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
75,12.3,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
76,12.4,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
77,12.5,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,5,wides ,5,0,null,null
78,12.6,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
79,12.7,Mohammad Nadeem,Aqib Ilyas,CA Soper,2,0,null,2,0,null,null
80,12.8,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
81,13.1,Aqib Ilyas,Mohammad Nadeem,L Siaka,0,0,null,0,0,null,null
82,13.2,Aqib Ilyas,Mohammad Nadeem,L Siaka,1,0,null,1,0,null,null
83,13.3,Mohammad Nadeem,Aqib Ilyas,L Siaka,0,0,null,0,0,null,null
84,13.4,Mohammad Nadeem,Aqib Ilyas,L Siaka,1,0,null,1,0,null,null
85,13.5,Aqib Ilyas,Mohammad Nadeem,L Siaka,1,0,null,1,0,null,null
86,13.6,Mohammad Nadeem,Aqib Ilyas,L Siaka,0,0,null,0,0,null,null
87,14.1,Aqib Ilyas,Mohammad Nadeem,CA Soper,4,0,null,4,0,null,null
88,14.2,Aqib Ilyas,Mohammad Nadeem,CA Soper,0,0,null,0,0,null,null
89,14.3,Aqib Ilyas,Mohammad Nadeem,CA Soper,0,0,null,0,0,null,null
90,14.4,Aqib Ilyas,Mohammad Nadeem,CA Soper,0,0,null,0,0,null,null
91,14.5,Aqib Ilyas,Mohammad Nadeem,CA Soper,1,0,null,1,0,null,null
92,14.6,Mohammad Nadeem,Aqib Ilyas,CA Soper,0,0,null,0,0,null,null
93,15.1,Aqib Ilyas,Mohammad Nadeem,L Siaka,1,0,null,1,0,null,null
94,15.2,Mohammad Nadeem,Aqib Ilyas,L Siaka,1,0,null,1,0,null,null
95,15.3,Aqib Ilyas,Mohammad Nadeem,L Siaka,1,0,null,1,0,null,null
96,15.4,Mohammad Nadeem,Aqib Ilyas,L Siaka,4,0,null,4,0,null,null
97,15.5,Mohammad Nadeem,Aqib Ilyas,L Siaka,0,0,null,0,0,null,null
98,15.6,Mohammad Nadeem,Aqib Ilyas,L Siaka,1,0,null,1,0,null,null
99,16.1,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
100,16.2,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
101,16.3,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
102,16.4,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
103,16.5,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
104,16.6,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
105,17.1,Aqib Ilyas,Mohammad Nadeem,A Vala,1,0,null,1,0,null,null
106,17.2,Mohammad Nadeem,Aqib Ilyas,A Vala,0,0,null,0,0,null,null
107,17.3,Mohammad Nadeem,Aqib Ilyas,A Vala,1,0,null,1,0,null,null
108,17.4,Aqib Ilyas,Mohammad Nadeem,A Vala,0,0,null,0,0,null,null
109,17.5,Aqib Ilyas,Mohammad Nadeem,A Vala,0,0,null,0,0,null,null
110,17.6,Aqib Ilyas,Mohammad Nadeem,A Vala,0,0,null,0,0,null,null
111,18.1,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
112,18.2,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
113,18.3,Mohammad Nadeem,Aqib Ilyas,D Ravu,2,0,null,2,0,null,null
114,18.4,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
115,18.5,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
116,18.6,Mohammad Nadeem,Aqib Ilyas,D Ravu,0,0,null,0,0,null,null
117,19.1,Aqib Ilyas,Mohammad Nadeem,A Vala,0,0,null,0,0,null,null
118,19.2,Aqib Ilyas,Mohammad Nadeem,A Vala,0,0,null,0,0,null,null
