,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,TP Ura,L Siaka,SN Netravalkar,1,0,null,1,0,null,null
1,0.2,L Siaka,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
2,0.3,L Siaka,TP Ura,SN Netravalkar,1,0,null,1,0,null,null
3,0.4,TP Ura,L Siaka,SN Netravalkar,1,0,null,1,0,null,null
4,0.5,L Siaka,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
5,0.6,L Siaka,TP Ura,SN Netravalkar,1,0,null,1,0,null,null
6,1.1,L Siaka,TP Ura,Jasdeep Singh,0,1,wides ,1,0,null,null
7,1.2,L Siaka,TP Ura,Jasdeep Singh,0,0,null,0,0,null,null
8,1.3,L Siaka,TP Ura,Jasdeep Singh,0,0,null,0,0,null,null
9,1.4,L Siaka,TP Ura,Jasdeep Singh,0,0,null,0,0,null,null
10,1.5,L Siaka,TP Ura,Jasdeep Singh,0,0,null,0,0,null,null
11,1.6,L Siaka,TP Ura,Jasdeep Singh,4,0,null,4,0,null,null
12,1.7,L Siaka,TP Ura,Jasdeep Singh,1,0,null,1,0,null,null
13,2.1,L Siaka,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
14,2.2,L Siaka,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
15,2.3,L Siaka,TP Ura,SN Netravalkar,0,0,null,0,1,L Siaka,caught
16,2.4,A Vala,TP Ura,SN Netravalkar,0,1,wides ,1,0,null,null
17,2.5,A Vala,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
18,2.6,A Vala,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
19,2.7,A Vala,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
20,3.1,TP Ura,A Vala,Jasdeep Singh,0,0,null,0,0,null,null
21,3.2,TP Ura,A Vala,Jasdeep Singh,0,0,null,0,0,null,null
22,3.3,TP Ura,A Vala,Jasdeep Singh,0,0,null,0,0,null,null
23,3.4,TP Ura,A Vala,Jasdeep Singh,1,0,null,1,0,null,null
24,3.5,A Vala,TP Ura,Jasdeep Singh,0,0,null,0,0,null,null
25,3.6,A Vala,TP Ura,Jasdeep Singh,1,0,null,1,0,null,null
26,4.1,A Vala,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
27,4.2,A Vala,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
28,4.3,A Vala,TP Ura,SN Netravalkar,1,0,null,1,0,null,null
29,4.4,TP Ura,A Vala,SN Netravalkar,0,0,null,0,0,null,null
30,4.5,TP Ura,A Vala,SN Netravalkar,0,0,null,0,0,null,null
31,4.6,TP Ura,A Vala,SN Netravalkar,0,0,null,0,0,null,null
32,5.1,A Vala,TP Ura,Jasdeep Singh,0,0,null,0,0,null,null
33,5.2,A Vala,TP Ura,Jasdeep Singh,0,0,null,0,0,null,null
34,5.3,A Vala,TP Ura,Jasdeep Singh,4,0,null,4,0,null,null
35,5.4,A Vala,TP Ura,Jasdeep Singh,2,0,null,2,0,null,null
36,5.5,A Vala,TP Ura,Jasdeep Singh,0,0,null,0,0,null,null
37,5.6,A Vala,TP Ura,Jasdeep Singh,4,0,null,4,0,null,null
38,6.1,TP Ura,A Vala,SN Netravalkar,0,0,null,0,0,null,null
39,6.2,TP Ura,A Vala,SN Netravalkar,0,0,null,0,0,null,null
40,6.3,TP Ura,A Vala,SN Netravalkar,1,0,null,1,0,null,null
41,6.4,A Vala,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
42,6.5,A Vala,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
43,6.6,A Vala,TP Ura,SN Netravalkar,0,0,null,0,0,null,null
44,7.1,TP Ura,A Vala,NP Kenjige,0,0,null,0,0,null,null
45,7.2,TP Ura,A Vala,NP Kenjige,0,0,null,0,0,null,null
46,7.3,TP Ura,A Vala,NP Kenjige,0,0,null,0,0,null,null
47,7.4,TP Ura,A Vala,NP Kenjige,0,0,null,0,0,null,null
48,7.5,TP Ura,A Vala,NP Kenjige,0,1,legbyes ,1,0,null,null
49,7.6,A Vala,TP Ura,NP Kenjige,0,0,null,0,0,null,null
50,8.1,TP Ura,A Vala,EH Hutchinson,0,0,null,0,0,null,null
51,8.2,TP Ura,A Vala,EH Hutchinson,0,0,null,0,0,null,null
52,8.3,TP Ura,A Vala,EH Hutchinson,1,0,null,1,0,null,null
53,8.4,A Vala,TP Ura,EH Hutchinson,0,1,byes ,1,0,null,null
54,8.5,TP Ura,A Vala,EH Hutchinson,0,0,null,0,0,null,null
55,8.6,TP Ura,A Vala,EH Hutchinson,0,0,null,0,0,null,null
56,9.1,A Vala,TP Ura,NP Kenjige,1,0,null,1,0,null,null
57,9.2,TP Ura,A Vala,NP Kenjige,0,0,null,0,0,null,null
58,9.3,TP Ura,A Vala,NP Kenjige,0,0,null,0,0,null,null
59,9.4,TP Ura,A Vala,NP Kenjige,0,0,null,0,0,null,null
60,9.5,TP Ura,A Vala,NP Kenjige,0,0,null,0,0,null,null
61,9.6,TP Ura,A Vala,NP Kenjige,0,0,null,0,0,null,null
62,10.1,A Vala,TP Ura,EH Hutchinson,0,1,legbyes ,1,0,null,null
63,10.2,TP Ura,A Vala,EH Hutchinson,0,0,null,0,0,null,null
64,10.3,TP Ura,A Vala,EH Hutchinson,0,0,null,0,0,null,null
65,10.4,TP Ura,A Vala,EH Hutchinson,0,0,null,0,0,null,null
66,10.5,TP Ura,A Vala,EH Hutchinson,0,0,null,0,1,TP Ura,bowled
67,10.6,CJA Amini,A Vala,EH Hutchinson,2,0,null,2,0,null,null
68,11.1,A Vala,CJA Amini,NP Kenjige,0,0,null,0,0,null,null
69,11.2,A Vala,CJA Amini,NP Kenjige,2,0,null,2,0,null,null
70,11.3,A Vala,CJA Amini,NP Kenjige,0,0,null,0,0,null,null
71,11.4,A Vala,CJA Amini,NP Kenjige,0,0,null,0,0,null,null
72,11.5,A Vala,CJA Amini,NP Kenjige,0,0,null,0,0,null,null
73,11.6,A Vala,CJA Amini,NP Kenjige,0,0,null,0,0,null,null
74,12.1,CJA Amini,A Vala,EH Hutchinson,0,0,null,0,0,null,null
75,12.2,CJA Amini,A Vala,EH Hutchinson,0,0,null,0,0,null,null
76,12.3,CJA Amini,A Vala,EH Hutchinson,0,0,null,0,0,null,null
77,12.4,CJA Amini,A Vala,EH Hutchinson,2,0,null,2,0,null,null
78,12.5,CJA Amini,A Vala,EH Hutchinson,0,0,null,0,0,null,null
79,12.6,CJA Amini,A Vala,EH Hutchinson,0,0,null,0,0,null,null
80,13.1,A Vala,CJA Amini,NP Kenjige,6,0,null,6,0,null,null
81,13.2,A Vala,CJA Amini,NP Kenjige,1,0,null,1,0,null,null
82,13.3,CJA Amini,A Vala,NP Kenjige,0,0,null,0,0,null,null
83,13.4,CJA Amini,A Vala,NP Kenjige,0,0,null,0,1,CJA Amini,caught
84,13.5,S Bau,A Vala,NP Kenjige,0,0,null,0,0,null,null
85,13.6,S Bau,A Vala,NP Kenjige,0,0,null,0,0,null,null
