,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,TP Ura,VV Morea,JO Holder,1,0,null,1,0,null,null
1,0.2,VV Morea,TP Ura,JO Holder,0,0,null,0,0,null,null
2,0.3,VV Morea,TP Ura,JO Holder,0,0,null,0,1,VV Morea,run out
3,0.4,TP Ura,A Vala,JO Holder,0,0,null,0,0,null,null
4,0.5,TP Ura,A Vala,JO Holder,3,0,null,3,0,null,null
5,0.6,A Vala,TP Ura,JO Holder,0,4,legbyes ,4,0,null,null
6,1.1,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
7,1.2,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
8,1.3,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
9,1.4,TP Ura,A Vala,KOK Williams,1,0,null,1,0,null,null
10,1.5,A Vala,TP Ura,KOK Williams,0,0,null,0,0,null,null
11,1.6,A Vala,TP Ura,KOK Williams,0,0,null,0,0,null,null
12,2.1,TP Ura,A Vala,JO Holder,0,0,null,0,0,null,null
13,2.2,TP Ura,A Vala,JO Holder,2,0,null,2,0,null,null
14,2.3,TP Ura,A Vala,JO Holder,0,0,null,0,0,null,null
15,2.4,TP Ura,A Vala,JO Holder,1,0,null,1,0,null,null
16,2.5,A Vala,TP Ura,JO Holder,0,0,null,0,0,null,null
17,2.6,A Vala,TP Ura,JO Holder,0,0,null,0,0,null,null
18,3.1,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
19,3.2,TP Ura,A Vala,KOK Williams,4,0,null,4,0,null,null
20,3.3,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
21,3.4,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
22,3.5,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
23,3.6,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
24,4.1,A Vala,TP Ura,JO Holder,0,0,null,0,0,null,null
25,4.2,A Vala,TP Ura,JO Holder,0,0,null,0,0,null,null
26,4.3,A Vala,TP Ura,JO Holder,0,0,null,0,0,null,null
27,4.4,A Vala,TP Ura,JO Holder,0,0,null,0,0,null,null
28,4.5,A Vala,TP Ura,JO Holder,0,0,null,0,0,null,null
29,4.6,A Vala,TP Ura,JO Holder,1,0,null,1,0,null,null
30,5.1,A Vala,TP Ura,KOK Williams,2,0,null,2,0,null,null
31,5.2,A Vala,TP Ura,KOK Williams,0,0,null,0,0,null,null
32,5.3,A Vala,TP Ura,KOK Williams,1,0,null,1,0,null,null
33,5.4,TP Ura,A Vala,KOK Williams,2,0,null,2,0,null,null
34,5.5,TP Ura,A Vala,KOK Williams,1,0,null,1,0,null,null
35,5.6,A Vala,TP Ura,KOK Williams,0,0,null,0,0,null,null
36,6.1,TP Ura,A Vala,JO Holder,0,0,null,0,0,null,null
37,6.2,TP Ura,A Vala,JO Holder,4,0,null,4,0,null,null
38,6.3,TP Ura,A Vala,JO Holder,0,0,null,0,0,null,null
39,6.4,TP Ura,A Vala,JO Holder,0,0,null,0,0,null,null
40,6.5,TP Ura,A Vala,JO Holder,1,1,noballs ,2,0,null,null
41,6.6,A Vala,TP Ura,JO Holder,4,0,null,4,0,null,null
42,6.7,A Vala,TP Ura,JO Holder,0,0,null,0,0,null,null
43,7.1,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
44,7.2,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
45,7.3,TP Ura,A Vala,KOK Williams,0,1,legbyes ,1,0,null,null
46,7.4,A Vala,TP Ura,KOK Williams,4,0,null,4,0,null,null
47,7.5,A Vala,TP Ura,KOK Williams,2,0,null,2,0,null,null
48,7.6,A Vala,TP Ura,KOK Williams,0,0,null,0,0,null,null
49,8.1,TP Ura,A Vala,AR Nurse,0,0,null,0,0,null,null
50,8.2,TP Ura,A Vala,AR Nurse,6,0,null,6,0,null,null
51,8.3,TP Ura,A Vala,AR Nurse,0,0,null,0,0,null,null
52,8.4,TP Ura,A Vala,AR Nurse,0,0,null,0,0,null,null
53,8.5,TP Ura,A Vala,AR Nurse,6,0,null,6,0,null,null
54,8.6,TP Ura,A Vala,AR Nurse,1,0,null,1,0,null,null
55,9.1,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
56,9.2,TP Ura,A Vala,KOK Williams,0,0,null,0,0,null,null
57,9.3,TP Ura,A Vala,KOK Williams,0,1,wides ,1,0,null,null
58,9.4,TP Ura,A Vala,KOK Williams,1,0,null,1,0,null,null
59,9.5,A Vala,TP Ura,KOK Williams,0,0,null,0,0,null,null
60,9.6,A Vala,TP Ura,KOK Williams,0,0,null,0,0,null,null
