,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,GM Hamilton,DF Watts,Shapoor Zadran,0,0,null,0,0,null,null
1,0.2,GM Hamilton,DF Watts,Shapoor Zadran,0,0,null,0,0,null,null
2,0.3,GM Hamilton,DF Watts,Shapoor Zadran,0,0,null,0,0,null,null
3,0.4,GM Hamilton,DF Watts,Shapoor Zadran,0,0,null,0,0,null,null
4,0.5,GM Hamilton,DF Watts,Shapoor Zadran,0,0,null,0,0,null,null
5,0.6,GM Hamilton,DF Watts,Shapoor Zadran,0,0,null,0,0,null,null
6,1.1,DF Watts,GM Hamilton,Mirwais Ashraf,0,0,null,0,0,null,null
7,1.2,DF Watts,GM Hamilton,Mirwais Ashraf,0,0,null,0,0,null,null
8,1.3,DF Watts,GM Hamilton,Mirwais Ashraf,1,0,null,1,0,null,null
9,1.4,GM Hamilton,DF Watts,Mirwais Ashraf,1,0,null,1,0,null,null
10,1.5,DF Watts,GM Hamilton,Mirwais Ashraf,0,0,null,0,0,null,null
11,1.6,DF Watts,GM Hamilton,Mirwais Ashraf,3,0,null,3,0,null,null
12,2.1,DF Watts,GM Hamilton,Shapoor Zadran,0,0,null,0,0,null,null
13,2.2,DF Watts,GM Hamilton,Shapoor Zadran,1,0,null,1,0,null,null
14,2.3,GM Hamilton,DF Watts,Shapoor Zadran,1,0,null,1,0,null,null
15,2.4,DF Watts,GM Hamilton,Shapoor Zadran,2,0,null,2,0,null,null
16,2.5,DF Watts,GM Hamilton,Shapoor Zadran,0,0,null,0,0,null,null
17,2.6,DF Watts,GM Hamilton,Shapoor Zadran,0,1,wides ,1,0,null,null
18,2.7,DF Watts,GM Hamilton,Shapoor Zadran,1,0,null,1,0,null,null
19,3.1,DF Watts,GM Hamilton,Mirwais Ashraf,1,0,null,1,0,null,null
20,3.2,GM Hamilton,DF Watts,Mirwais Ashraf,0,0,null,0,0,null,null
21,3.3,GM Hamilton,DF Watts,Mirwais Ashraf,0,0,null,0,0,null,null
22,3.4,GM Hamilton,DF Watts,Mirwais Ashraf,0,0,null,0,0,null,null
23,3.5,GM Hamilton,DF Watts,Mirwais Ashraf,0,0,null,0,1,GM Hamilton,caught
24,3.6,R Flannigan,DF Watts,Mirwais Ashraf,0,0,null,0,0,null,null
25,4.1,DF Watts,R Flannigan,Shapoor Zadran,0,0,null,0,0,null,null
26,4.2,DF Watts,R Flannigan,Shapoor Zadran,0,0,null,0,0,null,null
27,4.3,DF Watts,R Flannigan,Shapoor Zadran,0,0,null,0,0,null,null
28,4.4,DF Watts,R Flannigan,Shapoor Zadran,0,0,null,0,0,null,null
29,4.5,DF Watts,R Flannigan,Shapoor Zadran,0,0,null,0,0,null,null
30,4.6,DF Watts,R Flannigan,Shapoor Zadran,1,0,null,1,0,null,null
31,5.1,DF Watts,R Flannigan,Mirwais Ashraf,0,0,null,0,0,null,null
32,5.2,DF Watts,R Flannigan,Mirwais Ashraf,0,0,null,0,0,null,null
33,5.3,DF Watts,R Flannigan,Mirwais Ashraf,0,0,null,0,0,null,null
34,5.4,DF Watts,R Flannigan,Mirwais Ashraf,0,0,null,0,0,null,null
35,5.5,DF Watts,R Flannigan,Mirwais Ashraf,0,0,null,0,0,null,null
36,5.6,DF Watts,R Flannigan,Mirwais Ashraf,1,0,null,1,0,null,null
37,6.1,DF Watts,R Flannigan,Shapoor Zadran,1,0,null,1,0,null,null
38,6.2,R Flannigan,DF Watts,Shapoor Zadran,0,0,null,0,1,R Flannigan,caught
39,6.3,JH Davey,DF Watts,Shapoor Zadran,1,0,null,1,0,null,null
40,6.4,DF Watts,JH Davey,Shapoor Zadran,0,0,null,0,0,null,null
41,6.5,DF Watts,JH Davey,Shapoor Zadran,0,0,null,0,0,null,null
42,6.6,DF Watts,JH Davey,Shapoor Zadran,0,0,null,0,0,null,null
43,7.1,JH Davey,DF Watts,Mirwais Ashraf,0,0,null,0,0,null,null
44,7.2,JH Davey,DF Watts,Mirwais Ashraf,0,0,null,0,0,null,null
45,7.3,JH Davey,DF Watts,Mirwais Ashraf,1,0,null,1,0,null,null
46,7.4,DF Watts,JH Davey,Mirwais Ashraf,0,0,null,0,0,null,null
47,7.5,DF Watts,JH Davey,Mirwais Ashraf,0,0,null,0,0,null,null
48,7.6,DF Watts,JH Davey,Mirwais Ashraf,0,0,null,0,0,null,null
49,8.1,JH Davey,DF Watts,Shapoor Zadran,0,0,null,0,0,null,null
50,8.2,JH Davey,DF Watts,Shapoor Zadran,0,0,null,0,0,null,null
