,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,DF Watts,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
1,0.2,DF Watts,KJ Coetzer,Mudassar Bukhari,0,0,null,0,1,DF Watts,caught
2,0.3,CS MacLeod,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
3,0.4,CS MacLeod,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
4,0.5,CS MacLeod,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
5,0.6,CS MacLeod,KJ Coetzer,Mudassar Bukhari,1,0,null,1,0,null,null
6,1.1,CS MacLeod,KJ Coetzer,Ahsan Malik,0,0,null,0,0,null,null
7,1.2,CS MacLeod,KJ Coetzer,Ahsan Malik,1,0,null,1,0,null,null
8,1.3,KJ Coetzer,CS MacLeod,Ahsan Malik,0,0,null,0,0,null,null
9,1.4,KJ Coetzer,CS MacLeod,Ahsan Malik,3,0,null,3,0,null,null
10,1.5,CS MacLeod,KJ Coetzer,Ahsan Malik,0,0,null,0,0,null,null
11,1.6,CS MacLeod,KJ Coetzer,Ahsan Malik,0,0,null,0,0,null,null
12,2.1,KJ Coetzer,CS MacLeod,Mudassar Bukhari,1,0,null,1,0,null,null
13,2.2,CS MacLeod,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
14,2.3,CS MacLeod,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
15,2.4,CS MacLeod,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
16,2.5,CS MacLeod,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
17,2.6,CS MacLeod,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
18,3.1,KJ Coetzer,CS MacLeod,Ahsan Malik,4,0,null,4,0,null,null
19,3.2,KJ Coetzer,CS MacLeod,Ahsan Malik,0,0,null,0,0,null,null
20,3.3,KJ Coetzer,CS MacLeod,Ahsan Malik,0,0,null,0,0,null,null
21,3.4,KJ Coetzer,CS MacLeod,Ahsan Malik,0,0,null,0,0,null,null
22,3.5,KJ Coetzer,CS MacLeod,Ahsan Malik,0,0,null,0,0,null,null
23,3.6,KJ Coetzer,CS MacLeod,Ahsan Malik,4,0,null,4,0,null,null
24,4.1,CS MacLeod,KJ Coetzer,Mudassar Bukhari,0,0,null,0,1,CS MacLeod,bowled
25,4.2,JH Davey,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
26,4.3,JH Davey,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
27,4.4,JH Davey,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
28,4.5,JH Davey,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
29,4.6,JH Davey,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
30,5.1,KJ Coetzer,JH Davey,Ahsan Malik,0,0,null,0,0,null,null
31,5.2,KJ Coetzer,JH Davey,Ahsan Malik,0,0,null,0,0,null,null
32,5.3,KJ Coetzer,JH Davey,Ahsan Malik,0,0,null,0,0,null,null
33,5.4,KJ Coetzer,JH Davey,Ahsan Malik,0,0,null,0,0,null,null
34,5.5,KJ Coetzer,JH Davey,Ahsan Malik,1,0,null,1,0,null,null
35,5.6,JH Davey,KJ Coetzer,Ahsan Malik,0,0,null,0,0,null,null
36,6.1,KJ Coetzer,JH Davey,Mudassar Bukhari,0,0,null,0,0,null,null
37,6.2,KJ Coetzer,JH Davey,Mudassar Bukhari,0,0,null,0,0,null,null
38,6.3,KJ Coetzer,JH Davey,Mudassar Bukhari,0,0,null,0,0,null,null
39,6.4,KJ Coetzer,JH Davey,Mudassar Bukhari,0,0,null,0,0,null,null
40,6.5,KJ Coetzer,JH Davey,Mudassar Bukhari,0,0,null,0,0,null,null
41,6.6,KJ Coetzer,JH Davey,Mudassar Bukhari,4,0,null,4,0,null,null
42,7.1,JH Davey,KJ Coetzer,Ahsan Malik,0,0,null,0,0,null,null
43,7.2,JH Davey,KJ Coetzer,Ahsan Malik,0,0,null,0,0,null,null
44,7.3,JH Davey,KJ Coetzer,Ahsan Malik,0,0,null,0,0,null,null
45,7.4,JH Davey,KJ Coetzer,Ahsan Malik,0,0,null,0,0,null,null
46,7.5,JH Davey,KJ Coetzer,Ahsan Malik,3,0,null,3,0,null,null
47,7.6,KJ Coetzer,JH Davey,Ahsan Malik,4,0,null,4,0,null,null
48,8.1,JH Davey,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
49,8.2,JH Davey,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
50,8.3,JH Davey,KJ Coetzer,Mudassar Bukhari,0,0,null,0,0,null,null
51,8.4,JH Davey,KJ Coetzer,Mudassar Bukhari,1,0,null,1,0,null,null
52,8.5,KJ Coetzer,JH Davey,Mudassar Bukhari,0,0,null,0,0,null,null
