,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,L Siaka,A Vala,SM Sharif,1,0,null,1,0,null,null
1,0.2,A Vala,L Siaka,SM Sharif,0,0,null,0,0,null,null
2,0.3,A Vala,L Siaka,SM Sharif,1,0,null,1,0,null,null
3,0.4,L Siaka,A Vala,SM Sharif,2,0,null,2,0,null,null
4,0.5,L Siaka,A Vala,SM Sharif,0,0,null,0,0,null,null
5,0.6,L Siaka,A Vala,SM Sharif,0,0,null,0,0,null,null
6,1.1,A Vala,L Siaka,Hamza Tahir,0,0,null,0,0,null,null
7,1.2,A Vala,L Siaka,Hamza Tahir,1,0,null,1,0,null,null
8,1.3,L Siaka,A Vala,Hamza Tahir,0,0,null,0,0,null,null
9,1.4,L Siaka,A Vala,Hamza Tahir,0,0,null,0,0,null,null
10,1.5,L Siaka,A Vala,Hamza Tahir,1,0,null,1,0,null,null
11,1.6,A Vala,L Siaka,Hamza Tahir,0,0,null,0,0,null,null
12,2.1,L Siaka,A Vala,SM Sharif,0,0,null,0,0,null,null
13,2.2,L Siaka,A Vala,SM Sharif,0,0,null,0,0,null,null
14,2.3,L Siaka,A Vala,SM Sharif,0,0,null,0,0,null,null
15,2.4,L Siaka,A Vala,SM Sharif,1,0,null,1,0,null,null
16,2.5,A Vala,L Siaka,SM Sharif,1,0,null,1,0,null,null
17,2.6,L Siaka,A Vala,SM Sharif,0,0,null,0,0,null,null
18,3.1,A Vala,L Siaka,Hamza Tahir,1,0,null,1,0,null,null
19,3.2,L Siaka,A Vala,Hamza Tahir,0,0,null,0,0,null,null
20,3.3,L Siaka,A Vala,Hamza Tahir,3,0,null,3,0,null,null
21,3.4,A Vala,L Siaka,Hamza Tahir,0,0,null,0,0,null,null
22,3.5,A Vala,L Siaka,Hamza Tahir,1,0,null,1,0,null,null
23,3.6,L Siaka,A Vala,Hamza Tahir,0,0,null,0,0,null,null
24,4.1,A Vala,L Siaka,SM Sharif,0,0,null,0,0,null,null
25,4.2,A Vala,L Siaka,SM Sharif,1,0,null,1,0,null,null
26,4.3,L Siaka,A Vala,SM Sharif,0,0,null,0,0,null,null
27,4.4,L Siaka,A Vala,SM Sharif,0,0,null,0,0,null,null
28,4.5,L Siaka,A Vala,SM Sharif,1,0,null,1,0,null,null
29,4.6,A Vala,L Siaka,SM Sharif,4,0,null,4,0,null,null
30,5.1,L Siaka,A Vala,Hamza Tahir,1,0,null,1,0,null,null
31,5.2,A Vala,L Siaka,Hamza Tahir,0,0,null,0,0,null,null
32,5.3,A Vala,L Siaka,Hamza Tahir,0,0,null,0,0,null,null
33,5.4,A Vala,L Siaka,Hamza Tahir,0,0,null,0,0,null,null
34,5.5,A Vala,L Siaka,Hamza Tahir,0,0,null,0,1,A Vala,caught and bowled
35,5.6,CJA Amini,L Siaka,Hamza Tahir,0,0,null,0,0,null,null
36,6.1,L Siaka,CJA Amini,GT Main,0,0,null,0,0,null,null
37,6.2,L Siaka,CJA Amini,GT Main,0,0,null,0,0,null,null
38,6.3,L Siaka,CJA Amini,GT Main,0,0,null,0,0,null,null
39,6.4,L Siaka,CJA Amini,GT Main,0,0,null,0,0,null,null
40,6.5,L Siaka,CJA Amini,GT Main,0,0,null,0,0,null,null
41,6.6,L Siaka,CJA Amini,GT Main,3,0,null,3,0,null,null
42,7.1,L Siaka,CJA Amini,Hamza Tahir,0,0,null,0,1,L Siaka,caught
43,7.2,TP Ura,CJA Amini,Hamza Tahir,1,0,null,1,0,null,null
44,7.3,CJA Amini,TP Ura,Hamza Tahir,0,0,null,0,0,null,null
45,7.4,CJA Amini,TP Ura,Hamza Tahir,0,0,null,0,0,null,null
46,7.5,CJA Amini,TP Ura,Hamza Tahir,0,0,null,0,0,null,null
47,7.6,CJA Amini,TP Ura,Hamza Tahir,0,0,null,0,0,null,null
48,8.1,TP Ura,CJA Amini,GT Main,0,0,null,0,0,null,null
49,8.2,TP Ura,CJA Amini,GT Main,0,0,null,0,0,null,null
50,8.3,TP Ura,CJA Amini,GT Main,0,0,null,0,1,TP Ura,caught
51,8.4,S Bau,CJA Amini,GT Main,0,1,wides ,1,0,null,null
52,8.5,S Bau,CJA Amini,GT Main,2,0,null,2,0,null,null
53,8.6,S Bau,CJA Amini,GT Main,0,0,null,0,0,null,null
54,8.7,S Bau,CJA Amini,GT Main,0,0,null,0,0,null,null
55,9.1,CJA Amini,S Bau,Hamza Tahir,1,0,null,1,0,null,null
56,9.2,S Bau,CJA Amini,Hamza Tahir,0,0,null,0,0,null,null
57,9.3,S Bau,CJA Amini,Hamza Tahir,0,0,null,0,0,null,null
58,9.4,S Bau,CJA Amini,Hamza Tahir,0,0,null,0,0,null,null
59,9.5,S Bau,CJA Amini,Hamza Tahir,0,0,null,0,0,null,null
60,9.6,S Bau,CJA Amini,Hamza Tahir,0,0,null,0,0,null,null
61,10.1,CJA Amini,S Bau,GT Main,0,0,null,0,0,null,null
62,10.2,CJA Amini,S Bau,GT Main,0,0,null,0,0,null,null
