,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,KJ Coetzer,MH Cross,SI Kamea,0,0,null,0,0,null,null
1,0.2,KJ Coetzer,MH Cross,SI Kamea,0,0,null,0,0,null,null
2,0.3,KJ Coetzer,MH Cross,SI Kamea,2,0,null,2,0,null,null
3,0.4,KJ Coetzer,MH Cross,SI Kamea,0,0,null,0,0,null,null
4,0.5,KJ Coetzer,MH Cross,SI Kamea,0,1,wides ,1,0,null,null
5,0.6,KJ Coetzer,MH Cross,SI Kamea,0,1,wides ,1,0,null,null
6,0.7,KJ Coetzer,MH Cross,SI Kamea,0,0,null,0,0,null,null
7,0.8,KJ Coetzer,MH Cross,SI Kamea,4,0,null,4,0,null,null
8,1.1,MH Cross,KJ Coetzer,N Vanua,4,0,null,4,0,null,null
9,1.2,MH Cross,KJ Coetzer,N Vanua,0,1,wides ,1,0,null,null
10,1.3,MH Cross,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
11,1.4,MH Cross,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
12,1.5,MH Cross,KJ Coetzer,N Vanua,0,0,null,0,1,MH Cross,lbw
13,1.6,CS MacLeod,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
14,1.7,CS MacLeod,KJ Coetzer,N Vanua,1,0,null,1,0,null,null
15,2.1,CS MacLeod,KJ Coetzer,SI Kamea,0,0,null,0,0,null,null
16,2.2,CS MacLeod,KJ Coetzer,SI Kamea,1,0,null,1,0,null,null
17,2.3,KJ Coetzer,CS MacLeod,SI Kamea,1,0,null,1,0,null,null
18,2.4,CS MacLeod,KJ Coetzer,SI Kamea,4,0,null,4,0,null,null
19,2.5,CS MacLeod,KJ Coetzer,SI Kamea,2,0,null,2,0,null,null
20,2.6,CS MacLeod,KJ Coetzer,SI Kamea,0,0,null,0,0,null,null
21,3.1,KJ Coetzer,CS MacLeod,N Vanua,0,1,wides ,1,0,null,null
22,3.2,KJ Coetzer,CS MacLeod,N Vanua,0,1,wides ,1,0,null,null
23,3.3,KJ Coetzer,CS MacLeod,N Vanua,0,0,null,0,0,null,null
24,3.4,KJ Coetzer,CS MacLeod,N Vanua,1,0,null,1,0,null,null
25,3.5,CS MacLeod,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
26,3.6,CS MacLeod,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
27,3.7,CS MacLeod,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
28,3.8,CS MacLeod,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
29,4.1,KJ Coetzer,CS MacLeod,SI Kamea,0,0,null,0,0,null,null
30,4.2,KJ Coetzer,CS MacLeod,SI Kamea,0,0,null,0,0,null,null
31,4.3,KJ Coetzer,CS MacLeod,SI Kamea,0,0,null,0,0,null,null
32,4.4,KJ Coetzer,CS MacLeod,SI Kamea,0,0,null,0,0,null,null
33,4.5,KJ Coetzer,CS MacLeod,SI Kamea,1,0,null,1,0,null,null
34,4.6,CS MacLeod,KJ Coetzer,SI Kamea,0,0,null,0,0,null,null
35,5.1,KJ Coetzer,CS MacLeod,N Vanua,0,0,null,0,0,null,null
36,5.2,KJ Coetzer,CS MacLeod,N Vanua,4,0,null,4,0,null,null
37,5.3,KJ Coetzer,CS MacLeod,N Vanua,4,0,null,4,0,null,null
38,5.4,KJ Coetzer,CS MacLeod,N Vanua,0,0,null,0,0,null,null
39,5.5,KJ Coetzer,CS MacLeod,N Vanua,0,0,null,0,0,null,null
40,5.6,KJ Coetzer,CS MacLeod,N Vanua,0,0,null,0,0,null,null
41,6.1,CS MacLeod,KJ Coetzer,CA Soper,0,0,null,0,0,null,null
42,6.2,CS MacLeod,KJ Coetzer,CA Soper,0,0,null,0,0,null,null
43,6.3,CS MacLeod,KJ Coetzer,CA Soper,0,0,null,0,1,CS MacLeod,caught
44,6.4,RD Berrington,KJ Coetzer,CA Soper,0,0,null,0,0,null,null
45,6.5,RD Berrington,KJ Coetzer,CA Soper,0,0,null,0,0,null,null
46,6.6,RD Berrington,KJ Coetzer,CA Soper,1,0,null,1,0,null,null
47,7.1,RD Berrington,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
48,7.2,RD Berrington,KJ Coetzer,N Vanua,2,0,null,2,0,null,null
49,7.3,RD Berrington,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
50,7.4,RD Berrington,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
51,7.5,RD Berrington,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
52,7.6,RD Berrington,KJ Coetzer,N Vanua,0,0,null,0,0,null,null
53,8.1,KJ Coetzer,RD Berrington,CA Soper,2,0,null,2,0,null,null
54,8.2,KJ Coetzer,RD Berrington,CA Soper,0,0,null,0,0,null,null
55,8.3,KJ Coetzer,RD Berrington,CA Soper,0,0,null,0,0,null,null
56,8.4,KJ Coetzer,RD Berrington,CA Soper,1,0,null,1,0,null,null
57,8.5,RD Berrington,KJ Coetzer,CA Soper,0,1,wides ,1,0,null,null
58,8.6,RD Berrington,KJ Coetzer,CA Soper,0,0,null,0,0,null,null
59,8.7,RD Berrington,KJ Coetzer,CA Soper,0,0,null,0,0,null,null
60,9.1,KJ Coetzer,RD Berrington,A Vala,0,0,null,0,0,null,null
61,9.2,KJ Coetzer,RD Berrington,A Vala,0,0,null,0,0,null,null
62,9.3,KJ Coetzer,RD Berrington,A Vala,1,0,null,1,0,null,null
63,9.4,RD Berrington,KJ Coetzer,A Vala,0,0,null,0,0,null,null
