,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,MA Leask,KJ Coetzer,Mohammad Naveed,4,0,null,4,0,null,null
1,0.2,MA Leask,KJ Coetzer,Mohammad Naveed,0,0,null,0,0,null,null
2,0.3,MA Leask,KJ Coetzer,Mohammad Naveed,0,0,null,0,0,null,null
3,0.4,MA Leask,KJ Coetzer,Mohammad Naveed,0,0,null,0,0,null,null
4,0.5,MA Leask,KJ Coetzer,Mohammad Naveed,0,1,legbyes ,1,0,null,null
5,0.6,KJ Coetzer,MA Leask,Mohammad Naveed,0,0,null,0,0,null,null
6,1.1,MA Leask,KJ Coetzer,Amir Hayat,0,0,null,0,0,null,null
7,1.2,MA Leask,KJ Coetzer,Amir Hayat,4,0,null,4,0,null,null
8,1.3,MA Leask,KJ Coetzer,Amir Hayat,2,0,null,2,0,null,null
9,1.4,MA Leask,KJ Coetzer,Amir Hayat,1,0,null,1,0,null,null
10,1.5,KJ Coetzer,MA Leask,Amir Hayat,0,0,null,0,0,null,null
11,1.6,KJ Coetzer,MA Leask,Amir Hayat,0,0,null,0,0,null,null
12,2.1,MA Leask,KJ Coetzer,Mohammad Naveed,4,0,null,4,0,null,null
13,2.2,MA Leask,KJ Coetzer,Mohammad Naveed,0,0,null,0,0,null,null
14,2.3,MA Leask,KJ Coetzer,Mohammad Naveed,0,0,null,0,0,null,null
15,2.4,MA Leask,KJ Coetzer,Mohammad Naveed,0,0,null,0,0,null,null
16,2.5,MA Leask,KJ Coetzer,Mohammad Naveed,0,0,null,0,1,MA Leask,caught
17,2.6,MH Cross,KJ Coetzer,Mohammad Naveed,0,0,null,0,0,null,null
18,3.1,KJ Coetzer,MH Cross,Amir Hayat,0,0,null,0,0,null,null
19,3.2,KJ Coetzer,MH Cross,Amir Hayat,4,0,null,4,0,null,null
20,3.3,KJ Coetzer,MH Cross,Amir Hayat,0,0,null,0,0,null,null
21,3.4,KJ Coetzer,MH Cross,Amir Hayat,0,0,null,0,0,null,null
22,3.5,KJ Coetzer,MH Cross,Amir Hayat,0,0,null,0,0,null,null
23,3.6,KJ Coetzer,MH Cross,Amir Hayat,0,0,null,0,0,null,null
24,4.1,MH Cross,KJ Coetzer,Mohammad Naveed,0,0,null,0,0,null,null
25,4.2,MH Cross,KJ Coetzer,Mohammad Naveed,1,0,null,1,0,null,null
26,4.3,KJ Coetzer,MH Cross,Mohammad Naveed,0,0,null,0,0,null,null
27,4.4,KJ Coetzer,MH Cross,Mohammad Naveed,0,0,null,0,0,null,null
28,4.5,KJ Coetzer,MH Cross,Mohammad Naveed,0,0,null,0,0,null,null
29,4.6,KJ Coetzer,MH Cross,Mohammad Naveed,0,0,null,0,0,null,null
