,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,GC Smith,HH Dippenaar,B Lee,0,0,null,0,0,null,null
1,0.2,GC Smith,HH Dippenaar,B Lee,4,0,null,4,0,null,null
2,0.3,GC Smith,HH Dippenaar,B Lee,1,0,null,1,0,null,null
3,0.4,HH Dippenaar,GC Smith,B Lee,0,0,null,0,0,null,null
4,0.5,HH Dippenaar,GC Smith,B Lee,0,0,null,0,0,null,null
5,0.6,HH Dippenaar,GC Smith,B Lee,4,0,null,4,0,null,null
6,1.1,GC Smith,HH Dippenaar,NW Bracken,0,1,wides ,1,0,null,null
7,1.2,GC Smith,HH Dippenaar,NW Bracken,0,0,null,0,0,null,null
8,1.3,GC Smith,HH Dippenaar,NW Bracken,0,0,null,0,0,null,null
9,1.4,GC Smith,HH Dippenaar,NW Bracken,0,0,null,0,0,null,null
10,1.5,GC Smith,HH Dippenaar,NW Bracken,0,0,null,0,0,null,null
11,1.6,GC Smith,HH Dippenaar,NW Bracken,0,0,null,0,0,null,null
12,1.7,GC Smith,HH Dippenaar,NW Bracken,0,0,null,0,0,null,null
13,2.1,HH Dippenaar,GC Smith,B Lee,0,0,null,0,0,null,null
14,2.2,HH Dippenaar,GC Smith,B Lee,1,0,null,1,0,null,null
15,2.3,GC Smith,HH Dippenaar,B Lee,0,0,null,0,0,null,null
16,2.4,GC Smith,HH Dippenaar,B Lee,1,0,null,1,0,null,null
17,2.5,HH Dippenaar,GC Smith,B Lee,4,0,null,4,0,null,null
18,2.6,HH Dippenaar,GC Smith,B Lee,0,0,null,0,0,null,null
19,3.1,GC Smith,HH Dippenaar,NW Bracken,0,0,null,0,0,null,null
20,3.2,GC Smith,HH Dippenaar,NW Bracken,0,0,null,0,0,null,null
21,3.3,GC Smith,HH Dippenaar,NW Bracken,0,0,null,0,0,null,null
22,3.4,GC Smith,HH Dippenaar,NW Bracken,0,1,wides ,1,0,null,null
23,3.5,GC Smith,HH Dippenaar,NW Bracken,1,0,null,1,0,null,null
24,3.6,HH Dippenaar,GC Smith,NW Bracken,0,0,null,0,0,null,null
25,3.7,HH Dippenaar,GC Smith,NW Bracken,0,0,null,0,0,null,null
26,4.1,GC Smith,HH Dippenaar,B Lee,4,0,null,4,0,null,null
27,4.2,GC Smith,HH Dippenaar,B Lee,1,0,null,1,0,null,null
28,4.3,HH Dippenaar,GC Smith,B Lee,0,0,null,0,0,null,null
29,4.4,HH Dippenaar,GC Smith,B Lee,1,0,null,1,0,null,null
30,4.5,GC Smith,HH Dippenaar,B Lee,0,0,null,0,0,null,null
31,4.6,GC Smith,HH Dippenaar,B Lee,0,0,null,0,0,null,null
32,5.1,HH Dippenaar,GC Smith,NW Bracken,0,0,null,0,0,null,null
33,5.2,HH Dippenaar,GC Smith,NW Bracken,0,0,null,0,0,null,null
34,5.3,HH Dippenaar,GC Smith,NW Bracken,0,0,null,0,0,null,null
35,5.4,HH Dippenaar,GC Smith,NW Bracken,0,0,null,0,0,null,null
36,5.5,HH Dippenaar,GC Smith,NW Bracken,0,0,null,0,1,HH Dippenaar,bowled
37,5.6,HH Gibbs,GC Smith,NW Bracken,0,0,null,0,0,null,null
38,6.1,GC Smith,HH Gibbs,B Lee,4,0,null,4,0,null,null
39,6.2,GC Smith,HH Gibbs,B Lee,0,0,null,0,0,null,null
40,6.3,GC Smith,HH Gibbs,B Lee,0,0,null,0,0,null,null
41,6.4,GC Smith,HH Gibbs,B Lee,0,0,null,0,0,null,null
42,6.5,GC Smith,HH Gibbs,B Lee,0,0,null,0,1,HH Gibbs,run out
43,6.6,GC Smith,AB de Villiers,B Lee,4,0,null,4,0,null,null
44,7.1,AB de Villiers,GC Smith,NW Bracken,1,0,null,1,0,null,null
45,7.2,GC Smith,AB de Villiers,NW Bracken,1,0,null,1,0,null,null
46,7.3,AB de Villiers,GC Smith,NW Bracken,0,0,null,0,0,null,null
47,7.4,AB de Villiers,GC Smith,NW Bracken,3,0,null,3,0,null,null
48,7.5,GC Smith,AB de Villiers,NW Bracken,1,0,null,1,0,null,null
49,7.6,AB de Villiers,GC Smith,NW Bracken,0,0,null,0,0,null,null
50,8.1,GC Smith,AB de Villiers,B Lee,1,0,null,1,0,null,null
51,8.2,AB de Villiers,GC Smith,B Lee,0,0,null,0,0,null,null
52,8.3,AB de Villiers,GC Smith,B Lee,4,0,null,4,0,null,null
53,8.4,AB de Villiers,GC Smith,B Lee,0,0,null,0,0,null,null
54,8.5,AB de Villiers,GC Smith,B Lee,0,0,null,0,0,null,null
55,8.6,AB de Villiers,GC Smith,B Lee,4,0,null,4,0,null,null
56,9.1,GC Smith,AB de Villiers,NW Bracken,3,0,null,3,0,null,null
57,9.2,AB de Villiers,GC Smith,NW Bracken,0,0,null,0,0,null,null
58,9.3,AB de Villiers,GC Smith,NW Bracken,1,0,null,1,0,null,null
59,9.4,GC Smith,AB de Villiers,NW Bracken,1,0,null,1,0,null,null
60,9.5,AB de Villiers,GC Smith,NW Bracken,0,0,null,0,0,null,null
61,9.6,AB de Villiers,GC Smith,NW Bracken,0,0,null,0,0,null,null
62,10.1,GC Smith,AB de Villiers,MG Johnson,0,0,null,0,0,null,null
63,10.2,GC Smith,AB de Villiers,MG Johnson,0,0,null,0,0,null,null
64,10.3,GC Smith,AB de Villiers,MG Johnson,2,0,null,2,0,null,null
65,10.4,GC Smith,AB de Villiers,MG Johnson,0,0,null,0,0,null,null
66,10.5,GC Smith,AB de Villiers,MG Johnson,1,0,null,1,0,null,null
67,10.6,AB de Villiers,GC Smith,MG Johnson,0,0,null,0,0,null,null
68,11.1,GC Smith,AB de Villiers,ML Lewis,0,0,null,0,0,null,null
69,11.2,GC Smith,AB de Villiers,ML Lewis,2,0,null,2,0,null,null
70,11.3,GC Smith,AB de Villiers,ML Lewis,2,0,null,2,0,null,null
71,11.4,GC Smith,AB de Villiers,ML Lewis,4,0,null,4,0,null,null
72,11.5,GC Smith,AB de Villiers,ML Lewis,0,0,null,0,0,null,null
73,11.6,GC Smith,AB de Villiers,ML Lewis,1,0,null,1,0,null,null
74,12.1,GC Smith,AB de Villiers,MG Johnson,4,0,null,4,0,null,null
75,12.2,GC Smith,AB de Villiers,MG Johnson,1,0,null,1,0,null,null
76,12.3,AB de Villiers,GC Smith,MG Johnson,0,0,null,0,0,null,null
77,12.4,AB de Villiers,GC Smith,MG Johnson,4,0,null,4,0,null,null
78,12.5,AB de Villiers,GC Smith,MG Johnson,4,0,null,4,0,null,null
79,12.6,AB de Villiers,GC Smith,MG Johnson,6,0,null,6,0,null,null
80,13.1,GC Smith,AB de Villiers,ML Lewis,1,0,null,1,0,null,null
81,13.2,AB de Villiers,GC Smith,ML Lewis,0,1,wides ,1,0,null,null
82,13.3,AB de Villiers,GC Smith,ML Lewis,4,0,null,4,0,null,null
83,13.4,AB de Villiers,GC Smith,ML Lewis,0,0,null,0,0,null,null
84,13.5,AB de Villiers,GC Smith,ML Lewis,0,0,null,0,0,null,null
