,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
1,0.2,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
2,0.3,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
3,0.4,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
4,0.5,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
5,0.6,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
6,1.1,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
7,1.2,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
8,1.3,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
9,1.4,RR Hendricks,Q de Kock,S Mahmood,4,0,null,4,0,null,null
10,1.5,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
11,1.6,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
12,2.1,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
13,2.2,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
14,2.3,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
15,2.4,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
16,2.5,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
17,2.6,Q de Kock,RR Hendricks,TK Curran,4,0,null,4,0,null,null
18,3.1,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
19,3.2,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
20,3.3,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
21,3.4,RR Hendricks,Q de Kock,S Mahmood,1,0,null,1,0,null,null
22,3.5,Q de Kock,RR Hendricks,S Mahmood,1,0,null,1,0,null,null
23,3.6,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
24,4.1,Q de Kock,RR Hendricks,TK Curran,3,0,null,3,0,null,null
25,4.2,RR Hendricks,Q de Kock,TK Curran,1,0,null,1,0,null,null
26,4.3,Q de Kock,RR Hendricks,TK Curran,1,0,null,1,0,null,null
27,4.4,RR Hendricks,Q de Kock,TK Curran,0,0,null,0,0,null,null
28,4.5,RR Hendricks,Q de Kock,TK Curran,0,0,null,0,0,null,null
29,4.6,RR Hendricks,Q de Kock,TK Curran,1,0,null,1,0,null,null
30,5.1,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
31,5.2,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
32,5.3,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
33,5.4,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
34,5.5,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
35,5.6,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
36,6.1,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
37,6.2,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
38,6.3,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
39,6.4,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
40,6.5,Q de Kock,RR Hendricks,TK Curran,0,0,null,0,0,null,null
41,6.6,Q de Kock,RR Hendricks,TK Curran,2,0,null,2,0,null,null
42,7.1,RR Hendricks,Q de Kock,S Mahmood,4,0,null,4,0,null,null
43,7.2,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
44,7.3,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
45,7.4,RR Hendricks,Q de Kock,S Mahmood,0,1,wides ,1,0,null,null
46,7.5,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,0,null,null
47,7.6,RR Hendricks,Q de Kock,S Mahmood,0,0,null,0,1,RR Hendricks,bowled
48,7.7,T Bavuma,Q de Kock,S Mahmood,0,0,null,0,0,null,null
49,8.1,Q de Kock,T Bavuma,TK Curran,1,0,null,1,0,null,null
50,8.2,T Bavuma,Q de Kock,TK Curran,0,0,null,0,0,null,null
51,8.3,T Bavuma,Q de Kock,TK Curran,0,0,null,0,0,null,null
52,8.4,T Bavuma,Q de Kock,TK Curran,0,0,null,0,0,null,null
53,8.5,T Bavuma,Q de Kock,TK Curran,0,1,wides ,1,0,null,null
54,8.6,T Bavuma,Q de Kock,TK Curran,4,0,null,4,0,null,null
55,8.7,T Bavuma,Q de Kock,TK Curran,1,0,null,1,0,null,null
56,9.1,T Bavuma,Q de Kock,S Mahmood,1,0,null,1,0,null,null
57,9.2,Q de Kock,T Bavuma,S Mahmood,1,0,null,1,0,null,null
58,9.3,T Bavuma,Q de Kock,S Mahmood,0,0,null,0,0,null,null
59,9.4,T Bavuma,Q de Kock,S Mahmood,0,0,null,0,0,null,null
60,9.5,T Bavuma,Q de Kock,S Mahmood,0,0,null,0,0,null,null
61,9.6,T Bavuma,Q de Kock,S Mahmood,4,0,null,4,0,null,null
62,10.1,Q de Kock,T Bavuma,CJ Jordan,0,1,wides ,1,0,null,null
63,10.2,Q de Kock,T Bavuma,CJ Jordan,1,0,null,1,0,null,null
64,10.3,T Bavuma,Q de Kock,CJ Jordan,0,0,null,0,0,null,null
65,10.4,T Bavuma,Q de Kock,CJ Jordan,0,0,null,0,0,null,null
66,10.5,T Bavuma,Q de Kock,CJ Jordan,0,0,null,0,0,null,null
67,10.6,T Bavuma,Q de Kock,CJ Jordan,1,0,null,1,0,null,null
68,10.7,Q de Kock,T Bavuma,CJ Jordan,0,0,null,0,0,null,null
69,11.1,T Bavuma,Q de Kock,JE Root,1,0,null,1,0,null,null
70,11.2,Q de Kock,T Bavuma,JE Root,0,0,null,0,0,null,null
71,11.3,Q de Kock,T Bavuma,JE Root,0,0,null,0,0,null,null
72,11.4,Q de Kock,T Bavuma,JE Root,4,0,null,4,0,null,null
73,11.5,Q de Kock,T Bavuma,JE Root,0,0,null,0,0,null,null
74,11.6,Q de Kock,T Bavuma,JE Root,4,0,null,4,0,null,null
75,12.1,T Bavuma,Q de Kock,CJ Jordan,1,0,null,1,0,null,null
76,12.2,Q de Kock,T Bavuma,CJ Jordan,1,0,null,1,0,null,null
77,12.3,T Bavuma,Q de Kock,CJ Jordan,0,0,null,0,0,null,null
78,12.4,T Bavuma,Q de Kock,CJ Jordan,0,0,null,0,0,null,null
79,12.5,T Bavuma,Q de Kock,CJ Jordan,1,0,null,1,0,null,null
80,12.6,Q de Kock,T Bavuma,CJ Jordan,0,0,null,0,0,null,null
81,13.1,T Bavuma,Q de Kock,JE Root,1,0,null,1,0,null,null
82,13.2,Q de Kock,T Bavuma,JE Root,0,0,null,0,0,null,null
83,13.3,Q de Kock,T Bavuma,JE Root,1,0,null,1,0,null,null
84,13.4,T Bavuma,Q de Kock,JE Root,1,0,null,1,0,null,null
85,13.5,Q de Kock,T Bavuma,JE Root,1,0,null,1,0,null,null
86,13.6,T Bavuma,Q de Kock,JE Root,4,0,null,4,0,null,null
87,14.1,Q de Kock,T Bavuma,CJ Jordan,0,0,null,0,0,null,null
88,14.2,Q de Kock,T Bavuma,CJ Jordan,1,0,null,1,0,null,null
89,14.3,T Bavuma,Q de Kock,CJ Jordan,0,0,null,0,0,null,null
90,14.4,T Bavuma,Q de Kock,CJ Jordan,0,0,null,0,0,null,null
91,14.5,T Bavuma,Q de Kock,CJ Jordan,0,0,null,0,0,null,null
92,14.6,T Bavuma,Q de Kock,CJ Jordan,0,0,null,0,0,null,null
93,15.1,Q de Kock,T Bavuma,JE Root,1,0,null,1,0,null,null
94,15.2,T Bavuma,Q de Kock,JE Root,1,0,null,1,0,null,null
95,15.3,Q de Kock,T Bavuma,JE Root,4,0,null,4,0,null,null
96,15.4,Q de Kock,T Bavuma,JE Root,1,0,null,1,0,null,null
97,15.5,T Bavuma,Q de Kock,JE Root,1,0,null,1,0,null,null
98,15.6,Q de Kock,T Bavuma,JE Root,0,0,null,0,0,null,null
99,16.1,T Bavuma,Q de Kock,CJ Jordan,1,0,null,1,0,null,null
100,16.2,Q de Kock,T Bavuma,CJ Jordan,0,1,wides ,1,0,null,null
101,16.3,Q de Kock,T Bavuma,CJ Jordan,0,0,null,0,0,null,null
102,16.4,Q de Kock,T Bavuma,CJ Jordan,0,0,null,0,0,null,null
103,16.5,Q de Kock,T Bavuma,CJ Jordan,0,0,null,0,0,null,null
104,16.6,Q de Kock,T Bavuma,CJ Jordan,0,0,null,0,0,null,null
105,16.7,Q de Kock,T Bavuma,CJ Jordan,6,0,null,6,0,null,null
106,17.1,T Bavuma,Q de Kock,MM Ali,0,0,null,0,0,null,null
107,17.2,T Bavuma,Q de Kock,MM Ali,1,0,null,1,0,null,null
108,17.3,Q de Kock,T Bavuma,MM Ali,1,0,null,1,0,null,null
109,17.4,T Bavuma,Q de Kock,MM Ali,0,0,null,0,0,null,null
110,17.5,T Bavuma,Q de Kock,MM Ali,1,0,null,1,0,null,null
111,17.6,Q de Kock,T Bavuma,MM Ali,1,0,null,1,0,null,null
112,18.1,Q de Kock,T Bavuma,AU Rashid,1,0,null,1,0,null,null
113,18.2,T Bavuma,Q de Kock,AU Rashid,0,0,null,0,0,null,null
114,18.3,T Bavuma,Q de Kock,AU Rashid,0,0,null,0,0,null,null
115,18.4,T Bavuma,Q de Kock,AU Rashid,3,0,null,3,0,null,null
116,18.5,Q de Kock,T Bavuma,AU Rashid,0,0,null,0,0,null,null
117,18.6,Q de Kock,T Bavuma,AU Rashid,1,0,null,1,0,null,null
118,19.1,Q de Kock,T Bavuma,MM Ali,1,0,null,1,0,null,null
