,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,ME Trescothick,GO Jones,SM Pollock,0,0,null,0,0,null,null
1,0.2,ME Trescothick,GO Jones,SM Pollock,0,0,null,0,0,null,null
2,0.3,ME Trescothick,GO Jones,SM Pollock,1,0,null,1,0,null,null
3,0.4,GO Jones,ME Trescothick,SM Pollock,0,0,null,0,0,null,null
4,0.5,GO Jones,ME Trescothick,SM Pollock,1,0,null,1,0,null,null
5,0.6,ME Trescothick,GO Jones,SM Pollock,0,0,null,0,1,ME Trescothick,caught
6,1.1,GO Jones,MP Vaughan,M Ntini,0,0,null,0,0,null,null
7,1.2,GO Jones,MP Vaughan,M Ntini,1,0,null,1,0,null,null
8,1.3,MP Vaughan,GO Jones,M Ntini,0,0,null,0,0,null,null
9,1.4,MP Vaughan,GO Jones,M Ntini,0,0,null,0,0,null,null
10,1.5,MP Vaughan,GO Jones,M Ntini,0,1,wides ,1,0,null,null
11,1.6,MP Vaughan,GO Jones,M Ntini,0,0,null,0,0,null,null
12,1.7,MP Vaughan,GO Jones,M Ntini,1,0,null,1,0,null,null
13,2.1,MP Vaughan,GO Jones,SM Pollock,0,1,legbyes ,1,0,null,null
14,2.2,GO Jones,MP Vaughan,SM Pollock,0,0,null,0,0,null,null
15,2.3,GO Jones,MP Vaughan,SM Pollock,0,0,null,0,0,null,null
16,2.4,GO Jones,MP Vaughan,SM Pollock,0,0,null,0,0,null,null
17,2.5,GO Jones,MP Vaughan,SM Pollock,0,0,null,0,0,null,null
18,2.6,GO Jones,MP Vaughan,SM Pollock,0,0,null,0,0,null,null
19,3.1,MP Vaughan,GO Jones,M Ntini,1,0,null,1,0,null,null
20,3.2,GO Jones,MP Vaughan,M Ntini,0,0,null,0,0,null,null
21,3.3,GO Jones,MP Vaughan,M Ntini,0,0,null,0,0,null,null
22,3.4,GO Jones,MP Vaughan,M Ntini,0,0,null,0,1,GO Jones,caught
