,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,GC Smith,LE Bosman,Z Khan,0,0,null,0,0,null,null
1,0.2,GC Smith,LE Bosman,Z Khan,0,0,null,0,0,null,null
2,0.3,GC Smith,LE Bosman,Z Khan,0,0,null,0,1,GC Smith,lbw
3,0.4,JH Kallis,LE Bosman,Z Khan,4,0,null,4,0,null,null
4,0.5,JH Kallis,LE Bosman,Z Khan,0,0,null,0,0,null,null
5,0.6,JH Kallis,LE Bosman,Z Khan,1,0,null,1,0,null,null
6,1.1,JH Kallis,LE Bosman,S Sreesanth,0,0,null,0,0,null,null
7,1.2,JH Kallis,LE Bosman,S Sreesanth,0,0,null,0,0,null,null
8,1.3,JH Kallis,LE Bosman,S Sreesanth,0,0,null,0,0,null,null
9,1.4,JH Kallis,LE Bosman,S Sreesanth,0,0,null,0,0,null,null
10,1.5,JH Kallis,LE Bosman,S Sreesanth,1,0,null,1,0,null,null
11,1.6,LE Bosman,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
12,2.1,JH Kallis,LE Bosman,Z Khan,0,0,null,0,0,null,null
13,2.2,JH Kallis,LE Bosman,Z Khan,0,0,null,0,0,null,null
14,2.3,JH Kallis,LE Bosman,Z Khan,0,0,null,0,0,null,null
15,2.4,JH Kallis,LE Bosman,Z Khan,0,0,null,0,0,null,null
16,2.5,JH Kallis,LE Bosman,Z Khan,0,0,null,0,0,null,null
17,2.6,JH Kallis,LE Bosman,Z Khan,0,0,null,0,0,null,null
18,3.1,LE Bosman,JH Kallis,S Sreesanth,0,0,null,0,1,LE Bosman,bowled
19,3.2,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
20,3.3,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
21,3.4,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
22,3.5,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
23,3.6,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
24,4.1,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
25,4.2,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
26,4.3,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
27,4.4,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
28,4.5,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
29,4.6,JH Kallis,HH Gibbs,Z Khan,1,0,null,1,0,null,null
30,5.1,JH Kallis,HH Gibbs,S Sreesanth,0,0,null,0,0,null,null
31,5.2,JH Kallis,HH Gibbs,S Sreesanth,4,0,null,4,0,null,null
32,5.3,JH Kallis,HH Gibbs,S Sreesanth,4,0,null,4,0,null,null
33,5.4,JH Kallis,HH Gibbs,S Sreesanth,0,1,noballs ,1,0,null,null
34,5.5,JH Kallis,HH Gibbs,S Sreesanth,0,0,null,0,0,null,null
35,5.6,JH Kallis,HH Gibbs,S Sreesanth,0,0,null,0,0,null,null
36,5.7,JH Kallis,HH Gibbs,S Sreesanth,1,0,null,1,0,null,null
37,6.1,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
38,6.2,JH Kallis,HH Gibbs,Z Khan,4,0,null,4,0,null,null
39,6.3,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
40,6.4,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
41,6.5,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
42,6.6,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
43,7.1,HH Gibbs,JH Kallis,S Sreesanth,2,0,null,2,0,null,null
44,7.2,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
45,7.3,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
46,7.4,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
47,7.5,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
48,7.6,HH Gibbs,JH Kallis,S Sreesanth,0,1,noballs ,1,0,null,null
49,7.7,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
50,8.1,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
51,8.2,JH Kallis,HH Gibbs,Z Khan,4,0,null,4,0,null,null
52,8.3,JH Kallis,HH Gibbs,Z Khan,4,0,null,4,0,null,null
53,8.4,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
54,8.5,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
55,8.6,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
56,9.1,HH Gibbs,JH Kallis,S Sreesanth,1,0,null,1,0,null,null
57,9.2,JH Kallis,HH Gibbs,S Sreesanth,0,0,null,0,0,null,null
58,9.3,JH Kallis,HH Gibbs,S Sreesanth,0,0,null,0,0,null,null
59,9.4,JH Kallis,HH Gibbs,S Sreesanth,0,0,null,0,0,null,null
60,9.5,JH Kallis,HH Gibbs,S Sreesanth,1,0,null,1,0,null,null
61,9.6,HH Gibbs,JH Kallis,S Sreesanth,0,0,null,0,0,null,null
62,10.1,JH Kallis,HH Gibbs,Z Khan,4,0,null,4,0,null,null
63,10.2,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
64,10.3,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
65,10.4,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
66,10.5,JH Kallis,HH Gibbs,Z Khan,4,0,null,4,0,null,null
67,10.6,JH Kallis,HH Gibbs,Z Khan,0,0,null,0,0,null,null
