,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,MA Ouma,SR Waters,M Zondeki,1,0,null,1,0,null,null
1,0.2,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
2,0.3,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
3,0.4,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
4,0.5,SR Waters,MA Ouma,M Zondeki,2,0,null,2,0,null,null
5,0.6,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
6,1.1,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
7,1.2,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
8,1.3,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
9,1.4,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
10,1.5,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
11,1.6,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
12,2.1,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
13,2.2,SR Waters,MA Ouma,M Zondeki,0,1,wides ,1,0,null,null
14,2.3,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
15,2.4,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
16,2.5,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
17,2.6,SR Waters,MA Ouma,M Zondeki,1,0,null,1,0,null,null
18,2.7,MA Ouma,SR Waters,M Zondeki,1,0,null,1,0,null,null
19,3.1,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
20,3.2,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
21,3.3,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
22,3.4,MA Ouma,SR Waters,JA Morkel,2,0,null,2,0,null,null
23,3.5,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
24,3.6,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
25,4.1,SR Waters,MA Ouma,M Zondeki,4,0,null,4,0,null,null
26,4.2,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
27,4.3,SR Waters,MA Ouma,M Zondeki,4,0,null,4,0,null,null
28,4.4,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
29,4.5,SR Waters,MA Ouma,M Zondeki,2,0,null,2,0,null,null
30,4.6,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
31,5.1,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
32,5.2,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
33,5.3,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
34,5.4,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
35,5.5,MA Ouma,SR Waters,JA Morkel,4,0,null,4,0,null,null
36,5.6,MA Ouma,SR Waters,JA Morkel,0,0,null,0,0,null,null
37,6.1,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
38,6.2,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
39,6.3,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
40,6.4,SR Waters,MA Ouma,M Zondeki,0,0,null,0,0,null,null
41,6.5,SR Waters,MA Ouma,M Zondeki,2,0,null,2,0,null,null
42,6.6,SR Waters,MA Ouma,M Zondeki,0,0,null,0,1,SR Waters,caught
43,7.1,MA Ouma,AA Obanda,JA Morkel,4,0,null,4,0,null,null
44,7.2,MA Ouma,AA Obanda,JA Morkel,0,0,null,0,0,null,null
