,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JN Malan,RR Hendricks,FJ Klaassen,0,1,wides ,1,0,null,null
1,0.2,JN Malan,RR Hendricks,FJ Klaassen,4,0,null,4,0,null,null
2,0.3,JN Malan,RR Hendricks,FJ Klaassen,0,0,null,0,0,null,null
3,0.4,JN Malan,RR Hendricks,FJ Klaassen,0,0,null,0,0,null,null
4,0.5,JN Malan,RR Hendricks,FJ Klaassen,0,0,null,0,0,null,null
5,0.6,JN Malan,RR Hendricks,FJ Klaassen,1,0,null,1,0,null,null
6,0.7,RR Hendricks,JN Malan,FJ Klaassen,0,1,noballs ,1,0,null,null
7,0.8,RR Hendricks,JN Malan,FJ Klaassen,2,0,null,2,0,null,null
8,1.1,JN Malan,RR Hendricks,VJ Kingma,0,0,null,0,0,null,null
9,1.2,JN Malan,RR Hendricks,VJ Kingma,0,0,null,0,0,null,null
10,1.3,JN Malan,RR Hendricks,VJ Kingma,4,0,null,4,0,null,null
11,1.4,JN Malan,RR Hendricks,VJ Kingma,0,0,null,0,0,null,null
12,1.5,JN Malan,RR Hendricks,VJ Kingma,0,0,null,0,0,null,null
13,1.6,JN Malan,RR Hendricks,VJ Kingma,0,0,null,0,0,null,null
14,2.1,RR Hendricks,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
15,2.2,RR Hendricks,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
16,2.3,RR Hendricks,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
17,2.4,RR Hendricks,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
18,2.5,RR Hendricks,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
19,2.6,RR Hendricks,JN Malan,FJ Klaassen,4,0,null,4,0,null,null
20,3.1,JN Malan,RR Hendricks,VJ Kingma,4,0,null,4,0,null,null
21,3.2,JN Malan,RR Hendricks,VJ Kingma,2,0,null,2,0,null,null
22,3.3,JN Malan,RR Hendricks,VJ Kingma,0,0,null,0,0,null,null
23,3.4,JN Malan,RR Hendricks,VJ Kingma,0,0,null,0,0,null,null
24,3.5,JN Malan,RR Hendricks,VJ Kingma,0,0,null,0,0,null,null
25,3.6,JN Malan,RR Hendricks,VJ Kingma,0,0,null,0,0,null,null
26,4.1,RR Hendricks,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
27,4.2,RR Hendricks,JN Malan,FJ Klaassen,0,0,null,0,1,RR Hendricks,caught
28,4.3,Zubayr Hamza,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
29,4.4,Zubayr Hamza,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
30,4.5,Zubayr Hamza,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
31,4.6,Zubayr Hamza,JN Malan,FJ Klaassen,0,0,null,0,0,null,null
32,5.1,JN Malan,Zubayr Hamza,VJ Kingma,0,0,null,0,0,null,null
33,5.2,JN Malan,Zubayr Hamza,VJ Kingma,0,0,null,0,0,null,null
34,5.3,JN Malan,Zubayr Hamza,VJ Kingma,1,0,null,1,0,null,null
35,5.4,Zubayr Hamza,JN Malan,VJ Kingma,0,0,null,0,0,null,null
36,5.5,Zubayr Hamza,JN Malan,VJ Kingma,0,0,null,0,0,null,null
37,5.6,Zubayr Hamza,JN Malan,VJ Kingma,0,0,null,0,0,null,null
38,6.1,JN Malan,Zubayr Hamza,FJ Klaassen,0,0,null,0,0,null,null
39,6.2,JN Malan,Zubayr Hamza,FJ Klaassen,0,0,null,0,1,JN Malan,caught
40,6.3,K Verreynne,Zubayr Hamza,FJ Klaassen,0,0,null,0,0,null,null
41,6.4,K Verreynne,Zubayr Hamza,FJ Klaassen,0,0,null,0,0,null,null
42,6.5,K Verreynne,Zubayr Hamza,FJ Klaassen,0,0,null,0,0,null,null
43,6.6,K Verreynne,Zubayr Hamza,FJ Klaassen,0,0,null,0,0,null,null
44,7.1,Zubayr Hamza,K Verreynne,VJ Kingma,1,0,null,1,0,null,null
45,7.2,K Verreynne,Zubayr Hamza,VJ Kingma,0,0,null,0,0,null,null
46,7.3,K Verreynne,Zubayr Hamza,VJ Kingma,0,0,null,0,0,null,null
47,7.4,K Verreynne,Zubayr Hamza,VJ Kingma,4,0,null,4,0,null,null
48,7.5,K Verreynne,Zubayr Hamza,VJ Kingma,0,0,null,0,0,null,null
49,7.6,K Verreynne,Zubayr Hamza,VJ Kingma,2,0,null,2,0,null,null
50,8.1,Zubayr Hamza,K Verreynne,FJ Klaassen,0,0,null,0,0,null,null
51,8.2,Zubayr Hamza,K Verreynne,FJ Klaassen,4,0,null,4,0,null,null
52,8.3,Zubayr Hamza,K Verreynne,FJ Klaassen,0,0,null,0,0,null,null
53,8.4,Zubayr Hamza,K Verreynne,FJ Klaassen,0,0,null,0,0,null,null
54,8.5,Zubayr Hamza,K Verreynne,FJ Klaassen,1,0,null,1,0,null,null
55,8.6,K Verreynne,Zubayr Hamza,FJ Klaassen,2,0,null,2,0,null,null
56,9.1,Zubayr Hamza,K Verreynne,VJ Kingma,0,0,null,0,0,null,null
57,9.2,Zubayr Hamza,K Verreynne,VJ Kingma,0,0,null,0,0,null,null
58,9.3,Zubayr Hamza,K Verreynne,VJ Kingma,0,0,null,0,0,null,null
59,9.4,Zubayr Hamza,K Verreynne,VJ Kingma,0,0,null,0,0,null,null
60,9.5,Zubayr Hamza,K Verreynne,VJ Kingma,1,0,null,1,0,null,null
61,9.6,K Verreynne,Zubayr Hamza,VJ Kingma,4,0,null,4,0,null,null
62,10.1,Zubayr Hamza,K Verreynne,BD Glover,0,1,wides ,1,0,null,null
63,10.2,Zubayr Hamza,K Verreynne,BD Glover,6,0,null,6,0,null,null
64,10.3,Zubayr Hamza,K Verreynne,BD Glover,0,0,null,0,0,null,null
65,10.4,Zubayr Hamza,K Verreynne,BD Glover,0,1,wides ,1,0,null,null
66,10.5,Zubayr Hamza,K Verreynne,BD Glover,0,0,null,0,0,null,null
67,10.6,Zubayr Hamza,K Verreynne,BD Glover,0,1,wides ,1,0,null,null
68,10.7,Zubayr Hamza,K Verreynne,BD Glover,0,0,null,0,0,null,null
69,10.8,Zubayr Hamza,K Verreynne,BD Glover,1,0,null,1,0,null,null
70,10.9,K Verreynne,Zubayr Hamza,BD Glover,4,0,null,4,0,null,null
71,11.1,Zubayr Hamza,K Verreynne,VJ Kingma,0,0,null,0,0,null,null
72,11.2,Zubayr Hamza,K Verreynne,VJ Kingma,2,0,null,2,0,null,null
73,11.3,Zubayr Hamza,K Verreynne,VJ Kingma,0,0,null,0,0,null,null
74,11.4,Zubayr Hamza,K Verreynne,VJ Kingma,0,0,null,0,0,null,null
75,11.5,Zubayr Hamza,K Verreynne,VJ Kingma,0,0,null,0,0,null,null
76,11.6,Zubayr Hamza,K Verreynne,VJ Kingma,0,0,null,0,0,null,null
77,12.1,K Verreynne,Zubayr Hamza,BD Glover,0,0,null,0,0,null,null
78,12.2,K Verreynne,Zubayr Hamza,BD Glover,1,1,noballs ,2,0,null,null
79,12.3,Zubayr Hamza,K Verreynne,BD Glover,0,0,null,0,0,null,null
80,12.4,Zubayr Hamza,K Verreynne,BD Glover,1,0,null,1,0,null,null
81,12.5,K Verreynne,Zubayr Hamza,BD Glover,0,0,null,0,0,null,null
82,12.6,K Verreynne,Zubayr Hamza,BD Glover,0,1,legbyes ,1,0,null,null
83,12.7,Zubayr Hamza,K Verreynne,BD Glover,1,0,null,1,0,null,null
84,13.1,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
85,13.2,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
86,13.3,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
87,13.4,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
88,13.5,Zubayr Hamza,K Verreynne,PM Seelaar,1,0,null,1,0,null,null
89,13.6,K Verreynne,Zubayr Hamza,PM Seelaar,1,0,null,1,0,null,null
90,14.1,K Verreynne,Zubayr Hamza,BD Glover,1,0,null,1,0,null,null
91,14.2,Zubayr Hamza,K Verreynne,BD Glover,1,0,null,1,0,null,null
92,14.3,K Verreynne,Zubayr Hamza,BD Glover,0,0,null,0,0,null,null
93,14.4,K Verreynne,Zubayr Hamza,BD Glover,3,0,null,3,0,null,null
94,14.5,Zubayr Hamza,K Verreynne,BD Glover,1,0,null,1,0,null,null
95,14.6,K Verreynne,Zubayr Hamza,BD Glover,0,0,null,0,0,null,null
96,15.1,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
97,15.2,Zubayr Hamza,K Verreynne,PM Seelaar,3,0,null,3,0,null,null
98,15.3,K Verreynne,Zubayr Hamza,PM Seelaar,0,0,null,0,0,null,null
99,15.4,K Verreynne,Zubayr Hamza,PM Seelaar,1,0,null,1,0,null,null
100,15.5,Zubayr Hamza,K Verreynne,PM Seelaar,1,0,null,1,0,null,null
101,15.6,K Verreynne,Zubayr Hamza,PM Seelaar,1,0,null,1,0,null,null
102,16.1,K Verreynne,Zubayr Hamza,T van der Gugten,0,0,null,0,0,null,null
103,16.2,K Verreynne,Zubayr Hamza,T van der Gugten,0,0,null,0,0,null,null
104,16.3,K Verreynne,Zubayr Hamza,T van der Gugten,0,0,null,0,0,null,null
105,16.4,K Verreynne,Zubayr Hamza,T van der Gugten,0,0,null,0,0,null,null
106,16.5,K Verreynne,Zubayr Hamza,T van der Gugten,4,0,null,4,0,null,null
107,16.6,K Verreynne,Zubayr Hamza,T van der Gugten,1,0,null,1,0,null,null
108,17.1,K Verreynne,Zubayr Hamza,PM Seelaar,0,0,null,0,0,null,null
109,17.2,K Verreynne,Zubayr Hamza,PM Seelaar,1,0,null,1,0,null,null
110,17.3,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
111,17.4,Zubayr Hamza,K Verreynne,PM Seelaar,1,0,null,1,0,null,null
112,17.5,K Verreynne,Zubayr Hamza,PM Seelaar,0,0,null,0,0,null,null
113,17.6,K Verreynne,Zubayr Hamza,PM Seelaar,0,0,null,0,0,null,null
114,18.1,Zubayr Hamza,K Verreynne,T van der Gugten,1,0,null,1,0,null,null
115,18.2,K Verreynne,Zubayr Hamza,T van der Gugten,1,0,null,1,0,null,null
116,18.3,Zubayr Hamza,K Verreynne,T van der Gugten,1,0,null,1,0,null,null
117,18.4,K Verreynne,Zubayr Hamza,T van der Gugten,0,0,null,0,0,null,null
118,18.5,K Verreynne,Zubayr Hamza,T van der Gugten,0,0,null,0,0,null,null
119,18.6,K Verreynne,Zubayr Hamza,T van der Gugten,0,0,null,0,0,null,null
120,19.1,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
121,19.2,Zubayr Hamza,K Verreynne,PM Seelaar,4,0,null,4,0,null,null
122,19.3,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
123,19.4,Zubayr Hamza,K Verreynne,PM Seelaar,1,0,null,1,0,null,null
124,19.5,K Verreynne,Zubayr Hamza,PM Seelaar,0,0,null,0,0,null,null
125,19.6,K Verreynne,Zubayr Hamza,PM Seelaar,0,0,null,0,0,null,null
126,20.1,Zubayr Hamza,K Verreynne,T van der Gugten,4,0,null,4,0,null,null
127,20.2,Zubayr Hamza,K Verreynne,T van der Gugten,0,0,null,0,0,null,null
128,20.3,Zubayr Hamza,K Verreynne,T van der Gugten,4,0,null,4,0,null,null
129,20.4,Zubayr Hamza,K Verreynne,T van der Gugten,1,0,null,1,0,null,null
130,20.5,K Verreynne,Zubayr Hamza,T van der Gugten,4,0,null,4,0,null,null
131,20.6,K Verreynne,Zubayr Hamza,T van der Gugten,0,0,null,0,0,null,null
132,21.1,Zubayr Hamza,K Verreynne,PM Seelaar,1,0,null,1,0,null,null
133,21.2,K Verreynne,Zubayr Hamza,PM Seelaar,1,0,null,1,0,null,null
134,21.3,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
135,21.4,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
136,21.5,Zubayr Hamza,K Verreynne,PM Seelaar,1,0,null,1,0,null,null
137,21.6,K Verreynne,Zubayr Hamza,PM Seelaar,1,0,null,1,0,null,null
138,22.1,K Verreynne,Zubayr Hamza,RE van der Merwe,1,0,null,1,0,null,null
139,22.2,Zubayr Hamza,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
140,22.3,K Verreynne,Zubayr Hamza,RE van der Merwe,2,0,null,2,0,null,null
141,22.4,K Verreynne,Zubayr Hamza,RE van der Merwe,1,0,null,1,0,null,null
142,22.5,Zubayr Hamza,K Verreynne,RE van der Merwe,0,0,null,0,0,null,null
143,22.6,Zubayr Hamza,K Verreynne,RE van der Merwe,0,0,null,0,0,null,null
144,23.1,K Verreynne,Zubayr Hamza,PM Seelaar,4,0,null,4,0,null,null
145,23.2,K Verreynne,Zubayr Hamza,PM Seelaar,1,0,null,1,0,null,null
146,23.3,Zubayr Hamza,K Verreynne,PM Seelaar,1,0,null,1,0,null,null
147,23.4,K Verreynne,Zubayr Hamza,PM Seelaar,1,0,null,1,0,null,null
148,23.5,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
149,23.6,Zubayr Hamza,K Verreynne,PM Seelaar,0,0,null,0,0,null,null
150,24.1,K Verreynne,Zubayr Hamza,FJ Klaassen,1,0,null,1,0,null,null
151,24.2,Zubayr Hamza,K Verreynne,FJ Klaassen,0,0,null,0,0,null,null
152,24.3,Zubayr Hamza,K Verreynne,FJ Klaassen,0,0,null,0,0,null,null
153,24.4,Zubayr Hamza,K Verreynne,FJ Klaassen,0,0,null,0,0,null,null
154,24.5,Zubayr Hamza,K Verreynne,FJ Klaassen,1,0,null,1,0,null,null
155,24.6,K Verreynne,Zubayr Hamza,FJ Klaassen,0,0,null,0,0,null,null
156,25.1,Zubayr Hamza,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
157,25.2,K Verreynne,Zubayr Hamza,RE van der Merwe,0,0,null,0,0,null,null
158,25.3,K Verreynne,Zubayr Hamza,RE van der Merwe,2,0,null,2,0,null,null
159,25.4,K Verreynne,Zubayr Hamza,RE van der Merwe,4,0,null,4,0,null,null
160,25.5,K Verreynne,Zubayr Hamza,RE van der Merwe,1,0,null,1,0,null,null
161,25.6,Zubayr Hamza,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
162,26.1,Zubayr Hamza,K Verreynne,FJ Klaassen,1,0,null,1,0,null,null
163,26.2,K Verreynne,Zubayr Hamza,FJ Klaassen,0,0,null,0,0,null,null
164,26.3,K Verreynne,Zubayr Hamza,FJ Klaassen,0,0,null,0,0,null,null
165,26.4,K Verreynne,Zubayr Hamza,FJ Klaassen,0,0,null,0,0,null,null
166,26.5,K Verreynne,Zubayr Hamza,FJ Klaassen,1,0,null,1,0,null,null
167,26.6,Zubayr Hamza,K Verreynne,FJ Klaassen,4,0,null,4,0,null,null
168,27.1,K Verreynne,Zubayr Hamza,RE van der Merwe,1,0,null,1,0,null,null
169,27.2,Zubayr Hamza,K Verreynne,RE van der Merwe,0,0,null,0,0,null,null
170,27.3,Zubayr Hamza,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
171,27.4,K Verreynne,Zubayr Hamza,RE van der Merwe,1,0,null,1,0,null,null
172,27.5,Zubayr Hamza,K Verreynne,RE van der Merwe,0,0,null,0,0,null,null
173,27.6,Zubayr Hamza,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
174,28.1,Zubayr Hamza,K Verreynne,BD Glover,0,0,null,0,0,null,null
175,28.2,Zubayr Hamza,K Verreynne,BD Glover,0,0,null,0,0,null,null
176,28.3,Zubayr Hamza,K Verreynne,BD Glover,0,0,null,0,1,Zubayr Hamza,caught
177,28.4,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
178,28.5,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
179,28.6,K Verreynne,DA Miller,BD Glover,1,0,null,1,0,null,null
180,29.1,K Verreynne,DA Miller,CN Ackermann,0,0,null,0,0,null,null
181,29.2,K Verreynne,DA Miller,CN Ackermann,1,0,null,1,0,null,null
182,29.3,DA Miller,K Verreynne,CN Ackermann,0,0,null,0,0,null,null
183,29.4,DA Miller,K Verreynne,CN Ackermann,0,0,null,0,0,null,null
184,29.5,DA Miller,K Verreynne,CN Ackermann,0,0,null,0,0,null,null
185,29.6,DA Miller,K Verreynne,CN Ackermann,0,0,null,0,0,null,null
186,30.1,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
187,30.2,K Verreynne,DA Miller,BD Glover,4,0,null,4,0,null,null
188,30.3,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
189,30.4,K Verreynne,DA Miller,BD Glover,6,0,null,6,0,null,null
190,30.5,K Verreynne,DA Miller,BD Glover,0,1,legbyes ,1,0,null,null
191,30.6,DA Miller,K Verreynne,BD Glover,0,0,null,0,0,null,null
192,31.1,K Verreynne,DA Miller,CN Ackermann,0,0,null,0,0,null,null
193,31.2,K Verreynne,DA Miller,CN Ackermann,1,0,null,1,0,null,null
194,31.3,DA Miller,K Verreynne,CN Ackermann,1,0,null,1,0,null,null
195,31.4,K Verreynne,DA Miller,CN Ackermann,1,0,null,1,0,null,null
196,31.5,DA Miller,K Verreynne,CN Ackermann,1,0,null,1,0,null,null
197,31.6,K Verreynne,DA Miller,CN Ackermann,1,0,null,1,0,null,null
198,32.1,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
199,32.2,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
200,32.3,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
201,32.4,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
202,32.5,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
203,32.6,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
204,33.1,DA Miller,K Verreynne,CN Ackermann,0,0,null,0,0,null,null
205,33.2,DA Miller,K Verreynne,CN Ackermann,0,0,null,0,0,null,null
206,33.3,DA Miller,K Verreynne,CN Ackermann,1,0,null,1,0,null,null
207,33.4,K Verreynne,DA Miller,CN Ackermann,1,0,null,1,0,null,null
208,33.5,DA Miller,K Verreynne,CN Ackermann,0,0,null,0,0,null,null
209,33.6,DA Miller,K Verreynne,CN Ackermann,6,0,null,6,0,null,null
210,34.1,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
211,34.2,K Verreynne,DA Miller,BD Glover,2,0,null,2,0,null,null
212,34.3,K Verreynne,DA Miller,BD Glover,1,0,null,1,0,null,null
213,34.4,DA Miller,K Verreynne,BD Glover,0,1,wides ,1,0,null,null
214,34.5,DA Miller,K Verreynne,BD Glover,0,0,null,0,0,null,null
215,34.6,DA Miller,K Verreynne,BD Glover,1,0,null,1,0,null,null
216,34.7,K Verreynne,DA Miller,BD Glover,0,0,null,0,0,null,null
217,35.1,DA Miller,K Verreynne,CN Ackermann,1,0,null,1,0,null,null
218,35.2,K Verreynne,DA Miller,CN Ackermann,1,0,null,1,0,null,null
219,35.3,DA Miller,K Verreynne,CN Ackermann,0,0,null,0,0,null,null
220,35.4,DA Miller,K Verreynne,CN Ackermann,1,0,null,1,0,null,null
221,35.5,K Verreynne,DA Miller,CN Ackermann,0,0,null,0,0,null,null
222,35.6,K Verreynne,DA Miller,CN Ackermann,1,0,null,1,0,null,null
223,36.1,K Verreynne,DA Miller,T van der Gugten,1,0,null,1,0,null,null
224,36.2,DA Miller,K Verreynne,T van der Gugten,0,0,null,0,1,DA Miller,caught
225,36.3,K Verreynne,K Zondo,T van der Gugten,0,0,null,0,0,null,null
226,36.4,K Verreynne,K Zondo,T van der Gugten,0,0,null,0,0,null,null
227,36.5,K Verreynne,K Zondo,T van der Gugten,0,0,null,0,0,null,null
228,36.6,K Verreynne,K Zondo,T van der Gugten,4,0,null,4,0,null,null
229,37.1,K Zondo,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
230,37.2,K Verreynne,K Zondo,RE van der Merwe,0,0,null,0,0,null,null
231,37.3,K Verreynne,K Zondo,RE van der Merwe,0,0,null,0,0,null,null
232,37.4,K Verreynne,K Zondo,RE van der Merwe,0,0,null,0,0,null,null
233,37.5,K Verreynne,K Zondo,RE van der Merwe,1,0,null,1,0,null,null
234,37.6,K Zondo,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
235,38.1,K Zondo,K Verreynne,T van der Gugten,1,0,null,1,0,null,null
236,38.2,K Verreynne,K Zondo,T van der Gugten,1,0,null,1,0,null,null
237,38.3,K Zondo,K Verreynne,T van der Gugten,0,0,null,0,0,null,null
238,38.4,K Zondo,K Verreynne,T van der Gugten,0,0,null,0,0,null,null
239,38.5,K Zondo,K Verreynne,T van der Gugten,1,0,null,1,0,null,null
240,38.6,K Verreynne,K Zondo,T van der Gugten,1,0,null,1,0,null,null
241,39.1,K Verreynne,K Zondo,RE van der Merwe,1,0,null,1,0,null,null
242,39.2,K Zondo,K Verreynne,RE van der Merwe,0,0,null,0,1,K Zondo,bowled
243,39.3,WD Parnell,K Verreynne,RE van der Merwe,0,0,null,0,0,null,null
244,39.4,WD Parnell,K Verreynne,RE van der Merwe,0,0,null,0,0,null,null
245,39.5,WD Parnell,K Verreynne,RE van der Merwe,0,0,null,0,0,null,null
246,39.6,WD Parnell,K Verreynne,RE van der Merwe,0,0,null,0,0,null,null
247,40.1,K Verreynne,WD Parnell,T van der Gugten,0,0,null,0,0,null,null
248,40.2,K Verreynne,WD Parnell,T van der Gugten,1,0,null,1,0,null,null
249,40.3,WD Parnell,K Verreynne,T van der Gugten,1,0,null,1,0,null,null
250,40.4,K Verreynne,WD Parnell,T van der Gugten,1,0,null,1,0,null,null
251,40.5,WD Parnell,K Verreynne,T van der Gugten,2,0,null,2,0,null,null
252,40.6,WD Parnell,K Verreynne,T van der Gugten,1,0,null,1,0,null,null
253,41.1,WD Parnell,K Verreynne,RE van der Merwe,0,0,null,0,0,null,null
254,41.2,WD Parnell,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
255,41.3,K Verreynne,WD Parnell,RE van der Merwe,1,0,null,1,0,null,null
256,41.4,WD Parnell,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
257,41.5,K Verreynne,WD Parnell,RE van der Merwe,1,0,null,1,0,null,null
258,41.6,WD Parnell,K Verreynne,RE van der Merwe,1,0,null,1,0,null,null
259,42.1,WD Parnell,K Verreynne,T van der Gugten,0,0,null,0,0,null,null
260,42.2,WD Parnell,K Verreynne,T van der Gugten,1,0,null,1,0,null,null
261,42.3,K Verreynne,WD Parnell,T van der Gugten,1,0,null,1,0,null,null
262,42.4,WD Parnell,K Verreynne,T van der Gugten,1,0,null,1,0,null,null
263,42.5,K Verreynne,WD Parnell,T van der Gugten,0,0,null,0,0,null,null
264,42.6,K Verreynne,WD Parnell,T van der Gugten,1,0,null,1,0,null,null
265,43.1,K Verreynne,WD Parnell,VJ Kingma,1,0,null,1,0,null,null
266,43.2,WD Parnell,K Verreynne,VJ Kingma,1,0,null,1,0,null,null
267,43.3,K Verreynne,WD Parnell,VJ Kingma,0,0,null,0,1,K Verreynne,caught
268,43.4,WD Parnell,AL Phehlukwayo,VJ Kingma,0,1,wides ,1,0,null,null
269,43.5,WD Parnell,AL Phehlukwayo,VJ Kingma,0,0,null,0,1,WD Parnell,caught
270,43.6,AL Phehlukwayo,KA Maharaj,VJ Kingma,0,0,null,0,0,null,null
271,43.7,AL Phehlukwayo,KA Maharaj,VJ Kingma,0,0,null,0,0,null,null
272,44.1,KA Maharaj,AL Phehlukwayo,BD Glover,0,0,null,0,0,null,null
273,44.2,KA Maharaj,AL Phehlukwayo,BD Glover,1,0,null,1,0,null,null
274,44.3,AL Phehlukwayo,KA Maharaj,BD Glover,0,0,null,0,0,null,null
275,44.4,AL Phehlukwayo,KA Maharaj,BD Glover,1,0,null,1,0,null,null
276,44.5,KA Maharaj,AL Phehlukwayo,BD Glover,1,0,null,1,0,null,null
277,44.6,AL Phehlukwayo,KA Maharaj,BD Glover,1,0,null,1,0,null,null
278,45.1,AL Phehlukwayo,KA Maharaj,VJ Kingma,1,0,null,1,0,null,null
279,45.2,KA Maharaj,AL Phehlukwayo,VJ Kingma,0,0,null,0,0,null,null
280,45.3,KA Maharaj,AL Phehlukwayo,VJ Kingma,0,0,null,0,0,null,null
281,45.4,KA Maharaj,AL Phehlukwayo,VJ Kingma,1,0,null,1,0,null,null
282,45.5,AL Phehlukwayo,KA Maharaj,VJ Kingma,1,0,null,1,0,null,null
283,45.6,KA Maharaj,AL Phehlukwayo,VJ Kingma,0,0,null,0,0,null,null
284,46.1,AL Phehlukwayo,KA Maharaj,BD Glover,1,0,null,1,0,null,null
285,46.2,KA Maharaj,AL Phehlukwayo,BD Glover,4,0,null,4,0,null,null
286,46.3,KA Maharaj,AL Phehlukwayo,BD Glover,1,0,null,1,0,null,null
287,46.4,AL Phehlukwayo,KA Maharaj,BD Glover,1,0,null,1,0,null,null
