,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
1,0.2,MJ Guptill,TWM Latham,VD Philander,1,0,null,1,0,null,null
2,0.3,TWM Latham,MJ Guptill,VD Philander,0,0,null,0,0,null,null
3,0.4,TWM Latham,MJ Guptill,VD Philander,1,0,null,1,0,null,null
4,0.5,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
5,0.6,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
6,1.1,TWM Latham,MJ Guptill,AM Phangiso,0,0,null,0,0,null,null
7,1.2,TWM Latham,MJ Guptill,AM Phangiso,0,0,null,0,0,null,null
8,1.3,TWM Latham,MJ Guptill,AM Phangiso,1,0,null,1,0,null,null
9,1.4,MJ Guptill,TWM Latham,AM Phangiso,0,0,null,0,0,null,null
10,1.5,MJ Guptill,TWM Latham,AM Phangiso,0,0,null,0,0,null,null
11,1.6,MJ Guptill,TWM Latham,AM Phangiso,4,0,null,4,0,null,null
12,2.1,TWM Latham,MJ Guptill,VD Philander,0,0,null,0,0,null,null
13,2.2,TWM Latham,MJ Guptill,VD Philander,0,0,null,0,0,null,null
14,2.3,TWM Latham,MJ Guptill,VD Philander,0,0,null,0,0,null,null
15,2.4,TWM Latham,MJ Guptill,VD Philander,0,0,null,0,0,null,null
16,2.5,TWM Latham,MJ Guptill,VD Philander,4,0,null,4,0,null,null
17,2.6,TWM Latham,MJ Guptill,VD Philander,0,0,null,0,0,null,null
18,3.1,MJ Guptill,TWM Latham,AM Phangiso,0,1,wides ,1,0,null,null
19,3.2,MJ Guptill,TWM Latham,AM Phangiso,4,0,null,4,0,null,null
20,3.3,MJ Guptill,TWM Latham,AM Phangiso,0,0,null,0,0,null,null
21,3.4,MJ Guptill,TWM Latham,AM Phangiso,4,0,null,4,0,null,null
22,3.5,MJ Guptill,TWM Latham,AM Phangiso,0,0,null,0,0,null,null
23,3.6,MJ Guptill,TWM Latham,AM Phangiso,4,0,null,4,0,null,null
24,3.7,MJ Guptill,TWM Latham,AM Phangiso,0,0,null,0,0,null,null
25,4.1,TWM Latham,MJ Guptill,VD Philander,0,0,null,0,0,null,null
26,4.2,TWM Latham,MJ Guptill,VD Philander,1,0,null,1,0,null,null
27,4.3,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
28,4.4,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
29,4.5,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
30,4.6,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
31,5.1,TWM Latham,MJ Guptill,DW Steyn,0,0,null,0,0,null,null
32,5.2,TWM Latham,MJ Guptill,DW Steyn,4,0,null,4,0,null,null
33,5.3,TWM Latham,MJ Guptill,DW Steyn,0,1,wides ,1,0,null,null
34,5.4,TWM Latham,MJ Guptill,DW Steyn,1,0,null,1,0,null,null
35,5.5,MJ Guptill,TWM Latham,DW Steyn,0,1,wides ,1,0,null,null
36,5.6,MJ Guptill,TWM Latham,DW Steyn,0,0,null,0,0,null,null
37,5.7,MJ Guptill,TWM Latham,DW Steyn,0,0,null,0,0,null,null
38,5.8,MJ Guptill,TWM Latham,DW Steyn,0,0,null,0,0,null,null
39,6.1,TWM Latham,MJ Guptill,VD Philander,0,0,null,0,0,null,null
40,6.2,TWM Latham,MJ Guptill,VD Philander,1,0,null,1,0,null,null
41,6.3,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
42,6.4,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
43,6.5,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
44,6.6,MJ Guptill,TWM Latham,VD Philander,0,0,null,0,0,null,null
45,7.1,TWM Latham,MJ Guptill,D Wiese,4,0,null,4,0,null,null
46,7.2,TWM Latham,MJ Guptill,D Wiese,1,0,null,1,0,null,null
47,7.3,MJ Guptill,TWM Latham,D Wiese,1,0,null,1,0,null,null
48,7.4,TWM Latham,MJ Guptill,D Wiese,0,0,null,0,0,null,null
49,7.5,TWM Latham,MJ Guptill,D Wiese,1,0,null,1,0,null,null
50,7.6,MJ Guptill,TWM Latham,D Wiese,4,0,null,4,0,null,null
51,8.1,TWM Latham,MJ Guptill,DW Steyn,0,0,null,0,0,null,null
52,8.2,TWM Latham,MJ Guptill,DW Steyn,4,0,null,4,0,null,null
53,8.3,TWM Latham,MJ Guptill,DW Steyn,0,0,null,0,0,null,null
54,8.4,TWM Latham,MJ Guptill,DW Steyn,4,0,null,4,0,null,null
55,8.5,TWM Latham,MJ Guptill,DW Steyn,0,0,null,0,0,null,null
56,8.6,TWM Latham,MJ Guptill,DW Steyn,0,0,null,0,0,null,null
57,9.1,MJ Guptill,TWM Latham,D Wiese,1,0,null,1,0,null,null
58,9.2,TWM Latham,MJ Guptill,D Wiese,1,0,null,1,0,null,null
59,9.3,MJ Guptill,TWM Latham,D Wiese,0,0,null,0,0,null,null
60,9.4,MJ Guptill,TWM Latham,D Wiese,1,0,null,1,0,null,null
61,9.5,TWM Latham,MJ Guptill,D Wiese,0,0,null,0,0,null,null
62,9.6,TWM Latham,MJ Guptill,D Wiese,1,0,null,1,0,null,null
63,10.1,TWM Latham,MJ Guptill,Imran Tahir,1,0,null,1,0,null,null
64,10.2,MJ Guptill,TWM Latham,Imran Tahir,0,0,null,0,0,null,null
65,10.3,MJ Guptill,TWM Latham,Imran Tahir,0,0,null,0,0,null,null
66,10.4,MJ Guptill,TWM Latham,Imran Tahir,2,0,null,2,0,null,null
67,10.5,MJ Guptill,TWM Latham,Imran Tahir,1,0,null,1,0,null,null
68,10.6,TWM Latham,MJ Guptill,Imran Tahir,2,0,null,2,0,null,null
69,11.1,MJ Guptill,TWM Latham,D Wiese,1,0,null,1,0,null,null
70,11.2,TWM Latham,MJ Guptill,D Wiese,1,0,null,1,0,null,null
71,11.3,MJ Guptill,TWM Latham,D Wiese,0,0,null,0,0,null,null
72,11.4,MJ Guptill,TWM Latham,D Wiese,0,0,null,0,0,null,null
73,11.5,MJ Guptill,TWM Latham,D Wiese,0,0,null,0,0,null,null
74,11.6,MJ Guptill,TWM Latham,D Wiese,1,0,null,1,0,null,null
75,12.1,MJ Guptill,TWM Latham,F Behardien,1,0,null,1,0,null,null
76,12.2,TWM Latham,MJ Guptill,F Behardien,0,0,null,0,0,null,null
77,12.3,TWM Latham,MJ Guptill,F Behardien,1,0,null,1,0,null,null
78,12.4,MJ Guptill,TWM Latham,F Behardien,0,0,null,0,0,null,null
79,12.5,MJ Guptill,TWM Latham,F Behardien,1,0,null,1,0,null,null
80,12.6,TWM Latham,MJ Guptill,F Behardien,0,0,null,0,0,null,null
81,13.1,MJ Guptill,TWM Latham,Imran Tahir,0,0,null,0,0,null,null
82,13.2,MJ Guptill,TWM Latham,Imran Tahir,0,0,null,0,0,null,null
83,13.3,MJ Guptill,TWM Latham,Imran Tahir,0,0,null,0,0,null,null
84,13.4,MJ Guptill,TWM Latham,Imran Tahir,0,0,null,0,0,null,null
85,13.5,MJ Guptill,TWM Latham,Imran Tahir,1,0,null,1,0,null,null
86,13.6,TWM Latham,MJ Guptill,Imran Tahir,0,0,null,0,0,null,null
87,14.1,MJ Guptill,TWM Latham,F Behardien,0,1,wides ,1,0,null,null
88,14.2,MJ Guptill,TWM Latham,F Behardien,4,0,null,4,0,null,null
89,14.3,MJ Guptill,TWM Latham,F Behardien,0,1,legbyes ,1,0,null,null
90,14.4,TWM Latham,MJ Guptill,F Behardien,4,0,null,4,0,null,null
91,14.5,TWM Latham,MJ Guptill,F Behardien,0,0,null,0,0,null,null
92,14.6,TWM Latham,MJ Guptill,F Behardien,4,0,null,4,0,null,null
93,14.7,TWM Latham,MJ Guptill,F Behardien,2,0,null,2,0,null,null
94,15.1,MJ Guptill,TWM Latham,Imran Tahir,1,0,null,1,0,null,null
95,15.2,TWM Latham,MJ Guptill,Imran Tahir,1,0,null,1,0,null,null
96,15.3,MJ Guptill,TWM Latham,Imran Tahir,1,0,null,1,0,null,null
97,15.4,TWM Latham,MJ Guptill,Imran Tahir,1,0,null,1,0,null,null
