,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Mohammad Hafeez,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
1,0.2,Mohammad Hafeez,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
2,0.3,Mohammad Hafeez,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
3,0.4,Mohammad Hafeez,Kamran Akmal,SM Pollock,2,0,null,2,0,null,null
4,0.5,Mohammad Hafeez,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
5,0.6,Mohammad Hafeez,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
6,1.1,Kamran Akmal,Mohammad Hafeez,M Ntini,3,0,null,3,0,null,null
7,1.2,Mohammad Hafeez,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
8,1.3,Mohammad Hafeez,Kamran Akmal,M Ntini,1,0,null,1,0,null,null
9,1.4,Kamran Akmal,Mohammad Hafeez,M Ntini,0,0,null,0,0,null,null
10,1.5,Kamran Akmal,Mohammad Hafeez,M Ntini,3,0,null,3,0,null,null
11,1.6,Mohammad Hafeez,Kamran Akmal,M Ntini,1,0,null,1,0,null,null
12,2.1,Mohammad Hafeez,Kamran Akmal,SM Pollock,0,0,null,0,0,null,null
13,2.2,Mohammad Hafeez,Kamran Akmal,SM Pollock,2,0,null,2,0,null,null
14,2.3,Mohammad Hafeez,Kamran Akmal,SM Pollock,4,0,null,4,0,null,null
15,2.4,Mohammad Hafeez,Kamran Akmal,SM Pollock,4,0,null,4,0,null,null
16,2.5,Mohammad Hafeez,Kamran Akmal,SM Pollock,2,0,null,2,0,null,null
17,2.6,Mohammad Hafeez,Kamran Akmal,SM Pollock,1,0,null,1,0,null,null
18,3.1,Mohammad Hafeez,Kamran Akmal,M Ntini,4,0,null,4,0,null,null
19,3.2,Mohammad Hafeez,Kamran Akmal,M Ntini,0,0,null,0,1,Mohammad Hafeez,caught
20,3.3,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
21,3.4,Younis Khan,Kamran Akmal,M Ntini,1,0,null,1,0,null,null
22,3.5,Kamran Akmal,Younis Khan,M Ntini,1,0,null,1,0,null,null
23,3.6,Younis Khan,Kamran Akmal,M Ntini,0,0,null,0,0,null,null
24,4.1,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
25,4.2,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
26,4.3,Kamran Akmal,Younis Khan,SM Pollock,0,0,null,0,0,null,null
