,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Mohammad Hafeez,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
1,0.2,Mohammad Hafeez,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
2,0.3,Mohammad Hafeez,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
3,0.4,Mohammad Hafeez,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
4,0.5,Mohammad Hafeez,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
5,0.6,Mohammad Hafeez,Imran Nazir,SM Pollock,0,0,null,0,1,Mohammad Hafeez,caught
6,1.1,Imran Nazir,Younis Khan,M Ntini,0,1,wides ,1,0,null,null
7,1.2,Imran Nazir,Younis Khan,M Ntini,0,0,null,0,0,null,null
8,1.3,Imran Nazir,Younis Khan,M Ntini,0,0,null,0,0,null,null
9,1.4,Imran Nazir,Younis Khan,M Ntini,4,0,null,4,0,null,null
10,1.5,Imran Nazir,Younis Khan,M Ntini,0,0,null,0,0,null,null
11,1.6,Imran Nazir,Younis Khan,M Ntini,1,0,null,1,0,null,null
12,1.7,Younis Khan,Imran Nazir,M Ntini,0,0,null,0,0,null,null
13,2.1,Imran Nazir,Younis Khan,SM Pollock,1,0,null,1,0,null,null
14,2.2,Younis Khan,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
15,2.3,Younis Khan,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
16,2.4,Younis Khan,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
17,2.5,Younis Khan,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
18,2.6,Younis Khan,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
19,3.1,Imran Nazir,Younis Khan,M Ntini,0,0,null,0,0,null,null
20,3.2,Imran Nazir,Younis Khan,M Ntini,0,0,null,0,0,null,null
21,3.3,Imran Nazir,Younis Khan,M Ntini,0,0,null,0,0,null,null
22,3.4,Imran Nazir,Younis Khan,M Ntini,1,0,null,1,0,null,null
23,3.5,Younis Khan,Imran Nazir,M Ntini,0,0,null,0,0,null,null
24,3.6,Younis Khan,Imran Nazir,M Ntini,0,0,null,0,0,null,null
25,4.1,Imran Nazir,Younis Khan,SM Pollock,6,0,null,6,0,null,null
26,4.2,Imran Nazir,Younis Khan,SM Pollock,0,4,legbyes ,4,0,null,null
27,4.3,Imran Nazir,Younis Khan,SM Pollock,0,0,null,0,0,null,null
28,4.4,Imran Nazir,Younis Khan,SM Pollock,1,0,null,1,0,null,null
29,4.5,Younis Khan,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
30,4.6,Younis Khan,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
31,5.1,Imran Nazir,Younis Khan,M Ntini,4,0,null,4,0,null,null
32,5.2,Imran Nazir,Younis Khan,M Ntini,2,0,null,2,0,null,null
33,5.3,Imran Nazir,Younis Khan,M Ntini,0,0,null,0,0,null,null
34,5.4,Imran Nazir,Younis Khan,M Ntini,1,0,null,1,0,null,null
35,5.5,Younis Khan,Imran Nazir,M Ntini,0,0,null,0,0,null,null
36,5.6,Younis Khan,Imran Nazir,M Ntini,0,0,null,0,0,null,null
37,6.1,Imran Nazir,Younis Khan,SM Pollock,0,0,null,0,0,null,null
38,6.2,Imran Nazir,Younis Khan,SM Pollock,1,0,null,1,0,null,null
39,6.3,Younis Khan,Imran Nazir,SM Pollock,0,0,null,0,0,null,null
40,6.4,Younis Khan,Imran Nazir,SM Pollock,3,0,null,3,0,null,null
41,6.5,Imran Nazir,Younis Khan,SM Pollock,0,0,null,0,0,null,null
42,6.6,Imran Nazir,Younis Khan,SM Pollock,0,0,null,0,1,Imran Nazir,caught and bowled
43,7.1,Kamran Akmal,Younis Khan,M Ntini,0,0,null,0,0,null,null
44,7.2,Kamran Akmal,Younis Khan,M Ntini,0,0,null,0,0,null,null
