,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Q de Kock,HM Amla,SL Malinga,1,0,null,1,0,null,null
1,0.2,HM Amla,Q de Kock,SL Malinga,0,0,null,0,0,null,null
2,0.3,HM Amla,Q de Kock,SL Malinga,0,0,null,0,0,null,null
3,0.4,HM Amla,Q de Kock,SL Malinga,4,0,null,4,0,null,null
4,0.5,HM Amla,Q de Kock,SL Malinga,4,0,null,4,0,null,null
5,0.6,HM Amla,Q de Kock,SL Malinga,0,0,null,0,0,null,null
6,1.1,Q de Kock,HM Amla,DM de Silva,0,0,null,0,0,null,null
7,1.2,Q de Kock,HM Amla,DM de Silva,0,0,null,0,0,null,null
8,1.3,Q de Kock,HM Amla,DM de Silva,0,0,null,0,0,null,null
9,1.4,Q de Kock,HM Amla,DM de Silva,0,0,null,0,0,null,null
10,1.5,Q de Kock,HM Amla,DM de Silva,1,0,null,1,0,null,null
11,1.6,HM Amla,Q de Kock,DM de Silva,0,0,null,0,0,null,null
12,2.1,Q de Kock,HM Amla,SL Malinga,4,0,null,4,0,null,null
13,2.2,Q de Kock,HM Amla,SL Malinga,1,0,null,1,0,null,null
14,2.3,HM Amla,Q de Kock,SL Malinga,0,0,null,0,0,null,null
15,2.4,HM Amla,Q de Kock,SL Malinga,0,1,wides ,1,0,null,null
16,2.5,HM Amla,Q de Kock,SL Malinga,0,0,null,0,0,null,null
17,2.6,HM Amla,Q de Kock,SL Malinga,4,0,null,4,0,null,null
18,2.7,HM Amla,Q de Kock,SL Malinga,0,0,null,0,0,null,null
19,3.1,Q de Kock,HM Amla,DM de Silva,0,0,null,0,0,null,null
20,3.2,Q de Kock,HM Amla,DM de Silva,0,0,null,0,0,null,null
21,3.3,Q de Kock,HM Amla,DM de Silva,4,0,null,4,0,null,null
22,3.4,Q de Kock,HM Amla,DM de Silva,0,0,null,0,0,null,null
23,3.5,Q de Kock,HM Amla,DM de Silva,4,0,null,4,0,null,null
24,3.6,Q de Kock,HM Amla,DM de Silva,0,0,null,0,0,null,null
25,4.1,HM Amla,Q de Kock,SL Malinga,0,0,null,0,0,null,null
26,4.2,HM Amla,Q de Kock,SL Malinga,0,0,null,0,0,null,null
27,4.3,HM Amla,Q de Kock,SL Malinga,3,0,null,3,0,null,null
28,4.4,Q de Kock,HM Amla,SL Malinga,0,0,null,0,0,null,null
29,4.5,Q de Kock,HM Amla,SL Malinga,0,0,null,0,1,Q de Kock,bowled
30,4.6,F du Plessis,HM Amla,SL Malinga,0,0,null,0,0,null,null
31,5.1,HM Amla,F du Plessis,RAS Lakmal,0,1,legbyes ,1,0,null,null
32,5.2,F du Plessis,HM Amla,RAS Lakmal,0,0,null,0,0,null,null
33,5.3,F du Plessis,HM Amla,RAS Lakmal,0,0,null,0,0,null,null
