,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,HM Amla,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
1,0.2,HM Amla,Q de Kock,Mohammad Naveed,4,0,null,4,0,null,null
2,0.3,HM Amla,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
3,0.4,HM Amla,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
4,0.5,HM Amla,Q de Kock,Mohammad Naveed,4,0,null,4,0,null,null
5,0.6,HM Amla,Q de Kock,Mohammad Naveed,0,1,noballs ,1,0,null,null
6,0.7,HM Amla,Q de Kock,Mohammad Naveed,0,1,noballs ,1,0,null,null
7,0.8,HM Amla,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
8,1.1,Q de Kock,HM Amla,Kamran Shazad,1,0,null,1,0,null,null
9,1.2,HM Amla,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
10,1.3,HM Amla,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
11,1.4,HM Amla,Q de Kock,Kamran Shazad,4,0,null,4,0,null,null
12,1.5,HM Amla,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
13,1.6,HM Amla,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
14,2.1,Q de Kock,HM Amla,Mohammad Naveed,0,0,null,0,0,null,null
15,2.2,Q de Kock,HM Amla,Mohammad Naveed,0,1,noballs ,1,0,null,null
16,2.3,Q de Kock,HM Amla,Mohammad Naveed,1,0,null,1,0,null,null
17,2.4,HM Amla,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
18,2.5,HM Amla,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
19,2.6,HM Amla,Q de Kock,Mohammad Naveed,0,0,null,0,1,HM Amla,caught
20,2.7,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
21,3.1,RR Rossouw,Q de Kock,Kamran Shazad,1,0,null,1,0,null,null
22,3.2,Q de Kock,RR Rossouw,Kamran Shazad,0,0,null,0,0,null,null
23,3.3,Q de Kock,RR Rossouw,Kamran Shazad,0,0,null,0,0,null,null
24,3.4,Q de Kock,RR Rossouw,Kamran Shazad,1,0,null,1,0,null,null
25,3.5,RR Rossouw,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
26,3.6,RR Rossouw,Q de Kock,Kamran Shazad,4,0,null,4,0,null,null
27,4.1,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
28,4.2,Q de Kock,RR Rossouw,Mohammad Naveed,2,0,null,2,0,null,null
29,4.3,Q de Kock,RR Rossouw,Mohammad Naveed,1,0,null,1,0,null,null
30,4.4,RR Rossouw,Q de Kock,Mohammad Naveed,4,0,null,4,0,null,null
31,4.5,RR Rossouw,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
32,4.6,RR Rossouw,Q de Kock,Mohammad Naveed,1,0,null,1,0,null,null
33,5.1,RR Rossouw,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
34,5.2,RR Rossouw,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
35,5.3,RR Rossouw,Q de Kock,Kamran Shazad,2,0,null,2,0,null,null
36,5.4,RR Rossouw,Q de Kock,Kamran Shazad,4,0,null,4,0,null,null
37,5.5,RR Rossouw,Q de Kock,Kamran Shazad,4,0,null,4,0,null,null
38,5.6,RR Rossouw,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
39,6.1,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
40,6.2,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
41,6.3,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
42,6.4,Q de Kock,RR Rossouw,Mohammad Naveed,1,0,null,1,0,null,null
43,6.5,RR Rossouw,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
44,6.6,RR Rossouw,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
45,7.1,Q de Kock,RR Rossouw,Kamran Shazad,1,0,null,1,0,null,null
46,7.2,RR Rossouw,Q de Kock,Kamran Shazad,4,0,null,4,0,null,null
47,7.3,RR Rossouw,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
48,7.4,RR Rossouw,Q de Kock,Kamran Shazad,4,0,null,4,0,null,null
49,7.5,RR Rossouw,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
50,7.6,RR Rossouw,Q de Kock,Kamran Shazad,0,0,null,0,0,null,null
51,8.1,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
52,8.2,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
53,8.3,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
54,8.4,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
55,8.5,Q de Kock,RR Rossouw,Mohammad Naveed,1,0,null,1,0,null,null
56,8.6,RR Rossouw,Q de Kock,Mohammad Naveed,0,0,null,0,0,null,null
57,9.1,Q de Kock,RR Rossouw,Kamran Shazad,0,0,null,0,0,null,null
58,9.2,Q de Kock,RR Rossouw,Kamran Shazad,4,0,null,4,0,null,null
59,9.3,Q de Kock,RR Rossouw,Kamran Shazad,0,0,null,0,0,null,null
60,9.4,Q de Kock,RR Rossouw,Kamran Shazad,0,1,noballs ,1,0,null,null
61,9.5,Q de Kock,RR Rossouw,Kamran Shazad,4,0,null,4,0,null,null
62,9.6,Q de Kock,RR Rossouw,Kamran Shazad,0,0,null,0,0,null,null
63,9.7,Q de Kock,RR Rossouw,Kamran Shazad,0,0,null,0,0,null,null
64,10.1,RR Rossouw,Q de Kock,Mohammad Naveed,1,0,null,1,0,null,null
65,10.2,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
66,10.3,Q de Kock,RR Rossouw,Mohammad Naveed,2,0,null,2,0,null,null
67,10.4,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
68,10.5,Q de Kock,RR Rossouw,Mohammad Naveed,0,0,null,0,0,null,null
69,10.6,Q de Kock,RR Rossouw,Mohammad Naveed,1,0,null,1,0,null,null
70,11.1,Q de Kock,RR Rossouw,Amjad Javed,0,0,null,0,0,null,null
71,11.2,Q de Kock,RR Rossouw,Amjad Javed,0,1,wides ,1,0,null,null
72,11.3,Q de Kock,RR Rossouw,Amjad Javed,0,0,null,0,0,null,null
73,11.4,Q de Kock,RR Rossouw,Amjad Javed,1,0,null,1,0,null,null
74,11.5,RR Rossouw,Q de Kock,Amjad Javed,0,0,null,0,0,null,null
75,11.6,RR Rossouw,Q de Kock,Amjad Javed,0,0,null,0,0,null,null
