,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,BA Parchment,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
1,0.2,BA Parchment,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
2,0.3,BA Parchment,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
3,0.4,BA Parchment,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
4,0.5,BA Parchment,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
5,0.6,BA Parchment,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
6,1.1,S Chattergoon,BA Parchment,DW Steyn,0,0,null,0,0,null,null
7,1.2,S Chattergoon,BA Parchment,DW Steyn,0,0,null,0,0,null,null
8,1.3,S Chattergoon,BA Parchment,DW Steyn,1,0,null,1,0,null,null
9,1.4,BA Parchment,S Chattergoon,DW Steyn,0,1,wides ,1,0,null,null
10,1.5,BA Parchment,S Chattergoon,DW Steyn,0,0,null,0,0,null,null
11,1.6,BA Parchment,S Chattergoon,DW Steyn,1,0,null,1,0,null,null
12,1.7,S Chattergoon,BA Parchment,DW Steyn,0,0,null,0,0,null,null
13,2.1,BA Parchment,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
14,2.2,BA Parchment,S Chattergoon,SM Pollock,0,1,legbyes ,1,0,null,null
15,2.3,S Chattergoon,BA Parchment,SM Pollock,0,0,null,0,0,null,null
16,2.4,S Chattergoon,BA Parchment,SM Pollock,0,0,null,0,0,null,null
17,2.5,S Chattergoon,BA Parchment,SM Pollock,0,0,null,0,0,null,null
18,2.6,S Chattergoon,BA Parchment,SM Pollock,0,0,null,0,0,null,null
19,3.1,BA Parchment,S Chattergoon,DW Steyn,0,0,null,0,0,null,null
20,3.2,BA Parchment,S Chattergoon,DW Steyn,0,0,null,0,0,null,null
21,3.3,BA Parchment,S Chattergoon,DW Steyn,1,0,null,1,0,null,null
22,3.4,S Chattergoon,BA Parchment,DW Steyn,0,0,null,0,0,null,null
23,3.5,S Chattergoon,BA Parchment,DW Steyn,1,0,null,1,0,null,null
24,3.6,BA Parchment,S Chattergoon,DW Steyn,2,0,null,2,0,null,null
25,4.1,S Chattergoon,BA Parchment,SM Pollock,1,0,null,1,0,null,null
26,4.2,BA Parchment,S Chattergoon,SM Pollock,4,0,null,4,0,null,null
27,4.3,BA Parchment,S Chattergoon,SM Pollock,0,0,null,0,1,BA Parchment,caught
28,4.4,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
29,4.5,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
30,4.6,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
31,5.1,S Chattergoon,RS Morton,DW Steyn,0,0,null,0,0,null,null
32,5.2,S Chattergoon,RS Morton,DW Steyn,0,0,null,0,0,null,null
33,5.3,S Chattergoon,RS Morton,DW Steyn,0,0,null,0,0,null,null
34,5.4,S Chattergoon,RS Morton,DW Steyn,0,0,null,0,0,null,null
35,5.5,S Chattergoon,RS Morton,DW Steyn,0,0,null,0,0,null,null
36,5.6,S Chattergoon,RS Morton,DW Steyn,4,0,null,4,0,null,null
37,6.1,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
38,6.2,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
39,6.3,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
40,6.4,RS Morton,S Chattergoon,SM Pollock,2,0,null,2,0,null,null
41,6.5,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
42,6.6,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
43,7.1,S Chattergoon,RS Morton,DW Steyn,0,0,null,0,0,null,null
44,7.2,S Chattergoon,RS Morton,DW Steyn,1,0,null,1,0,null,null
45,7.3,RS Morton,S Chattergoon,DW Steyn,4,0,null,4,0,null,null
46,7.4,RS Morton,S Chattergoon,DW Steyn,4,0,null,4,0,null,null
47,7.5,RS Morton,S Chattergoon,DW Steyn,0,0,null,0,0,null,null
48,7.6,RS Morton,S Chattergoon,DW Steyn,0,0,null,0,0,null,null
49,8.1,S Chattergoon,RS Morton,SM Pollock,0,0,null,0,0,null,null
50,8.2,S Chattergoon,RS Morton,SM Pollock,0,0,null,0,0,null,null
51,8.3,S Chattergoon,RS Morton,SM Pollock,0,0,null,0,0,null,null
52,8.4,S Chattergoon,RS Morton,SM Pollock,0,0,null,0,0,null,null
53,8.5,S Chattergoon,RS Morton,SM Pollock,0,0,null,0,0,null,null
54,8.6,S Chattergoon,RS Morton,SM Pollock,1,0,null,1,0,null,null
55,9.1,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
56,9.2,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
57,9.3,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
58,9.4,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
59,9.5,S Chattergoon,RS Morton,CK Langeveldt,4,0,null,4,0,null,null
60,9.6,S Chattergoon,RS Morton,CK Langeveldt,4,0,null,4,0,null,null
61,10.1,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
62,10.2,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
63,10.3,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
64,10.4,RS Morton,S Chattergoon,SM Pollock,1,0,null,1,0,null,null
65,10.5,S Chattergoon,RS Morton,SM Pollock,1,0,null,1,0,null,null
66,10.6,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
67,11.1,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
68,11.2,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
69,11.3,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
70,11.4,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
71,11.5,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
72,11.6,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
73,12.1,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
74,12.2,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
75,12.3,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
76,12.4,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
77,12.5,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
78,12.6,RS Morton,S Chattergoon,SM Pollock,0,0,null,0,0,null,null
79,13.1,S Chattergoon,RS Morton,CK Langeveldt,4,0,null,4,0,null,null
80,13.2,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
81,13.3,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
82,13.4,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
83,13.5,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
84,13.6,S Chattergoon,RS Morton,CK Langeveldt,4,0,null,4,0,null,null
85,14.1,RS Morton,S Chattergoon,M Morkel,0,0,null,0,0,null,null
86,14.2,RS Morton,S Chattergoon,M Morkel,0,0,null,0,0,null,null
87,14.3,RS Morton,S Chattergoon,M Morkel,0,0,null,0,0,null,null
88,14.4,RS Morton,S Chattergoon,M Morkel,2,0,null,2,0,null,null
89,14.5,RS Morton,S Chattergoon,M Morkel,0,0,null,0,0,null,null
90,14.6,RS Morton,S Chattergoon,M Morkel,0,0,null,0,0,null,null
91,15.1,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
92,15.2,S Chattergoon,RS Morton,CK Langeveldt,4,0,null,4,0,null,null
93,15.3,S Chattergoon,RS Morton,CK Langeveldt,0,1,legbyes ,1,0,null,null
94,15.4,RS Morton,S Chattergoon,CK Langeveldt,0,0,null,0,0,null,null
95,15.5,RS Morton,S Chattergoon,CK Langeveldt,0,0,null,0,0,null,null
96,15.6,RS Morton,S Chattergoon,CK Langeveldt,0,0,null,0,0,null,null
97,16.1,S Chattergoon,RS Morton,M Morkel,0,0,null,0,0,null,null
98,16.2,S Chattergoon,RS Morton,M Morkel,0,0,null,0,0,null,null
99,16.3,S Chattergoon,RS Morton,M Morkel,4,0,null,4,0,null,null
100,16.4,S Chattergoon,RS Morton,M Morkel,0,0,null,0,0,null,null
101,16.5,S Chattergoon,RS Morton,M Morkel,0,0,null,0,0,null,null
102,16.6,S Chattergoon,RS Morton,M Morkel,0,0,null,0,0,null,null
103,17.1,RS Morton,S Chattergoon,CK Langeveldt,1,0,null,1,0,null,null
104,17.2,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
105,17.3,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
106,17.4,S Chattergoon,RS Morton,CK Langeveldt,0,0,null,0,1,S Chattergoon,caught
107,17.5,MN Samuels,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
108,17.6,MN Samuels,RS Morton,CK Langeveldt,0,0,null,0,0,null,null
109,18.1,RS Morton,MN Samuels,M Morkel,0,0,null,0,0,null,null
110,18.2,RS Morton,MN Samuels,M Morkel,1,0,null,1,0,null,null
111,18.3,MN Samuels,RS Morton,M Morkel,0,0,null,0,0,null,null
112,18.4,MN Samuels,RS Morton,M Morkel,0,0,null,0,0,null,null
113,18.5,MN Samuels,RS Morton,M Morkel,1,0,null,1,0,null,null
114,18.6,RS Morton,MN Samuels,M Morkel,0,0,null,0,0,null,null
115,19.1,MN Samuels,RS Morton,CK Langeveldt,1,0,null,1,0,null,null
116,19.2,RS Morton,MN Samuels,CK Langeveldt,0,0,null,0,0,null,null
117,19.3,RS Morton,MN Samuels,CK Langeveldt,0,0,null,0,0,null,null
