,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,LE Bosman,AN Petersen,EC Rainsford,0,0,null,0,0,null,null
1,0.2,LE Bosman,AN Petersen,EC Rainsford,0,0,null,0,0,null,null
2,0.3,LE Bosman,AN Petersen,EC Rainsford,1,0,null,1,0,null,null
3,0.4,AN Petersen,LE Bosman,EC Rainsford,0,0,null,0,0,null,null
4,0.5,AN Petersen,LE Bosman,EC Rainsford,0,0,null,0,0,null,null
5,0.6,AN Petersen,LE Bosman,EC Rainsford,4,0,null,4,0,null,null
6,1.1,LE Bosman,AN Petersen,T Mupariwa,0,0,null,0,0,null,null
7,1.2,LE Bosman,AN Petersen,T Mupariwa,4,0,null,4,0,null,null
8,1.3,LE Bosman,AN Petersen,T Mupariwa,0,0,null,0,0,null,null
9,1.4,LE Bosman,AN Petersen,T Mupariwa,0,0,null,0,0,null,null
10,1.5,LE Bosman,AN Petersen,T Mupariwa,4,0,null,4,0,null,null
11,1.6,LE Bosman,AN Petersen,T Mupariwa,0,0,null,0,0,null,null
12,2.1,AN Petersen,LE Bosman,EC Rainsford,2,0,null,2,0,null,null
13,2.2,AN Petersen,LE Bosman,EC Rainsford,0,0,null,0,0,null,null
14,2.3,AN Petersen,LE Bosman,EC Rainsford,1,1,noballs ,2,0,null,null
15,2.4,LE Bosman,AN Petersen,EC Rainsford,1,0,null,1,0,null,null
16,2.5,AN Petersen,LE Bosman,EC Rainsford,4,0,null,4,0,null,null
17,2.6,AN Petersen,LE Bosman,EC Rainsford,0,0,null,0,0,null,null
18,2.7,AN Petersen,LE Bosman,EC Rainsford,0,0,null,0,0,null,null
19,3.1,LE Bosman,AN Petersen,T Mupariwa,0,1,wides ,1,0,null,null
20,3.2,LE Bosman,AN Petersen,T Mupariwa,0,0,null,0,0,null,null
21,3.3,LE Bosman,AN Petersen,T Mupariwa,0,0,null,0,0,null,null
22,3.4,LE Bosman,AN Petersen,T Mupariwa,4,0,null,4,0,null,null
23,3.5,LE Bosman,AN Petersen,T Mupariwa,1,0,null,1,0,null,null
24,3.6,AN Petersen,LE Bosman,T Mupariwa,0,0,null,0,0,null,null
25,3.7,AN Petersen,LE Bosman,T Mupariwa,0,0,null,0,0,null,null
26,4.1,LE Bosman,AN Petersen,EC Rainsford,0,0,null,0,0,null,null
27,4.2,LE Bosman,AN Petersen,EC Rainsford,0,0,null,0,0,null,null
28,4.3,LE Bosman,AN Petersen,EC Rainsford,0,0,null,0,0,null,null
29,4.4,LE Bosman,AN Petersen,EC Rainsford,0,0,null,0,0,null,null
30,4.5,LE Bosman,AN Petersen,EC Rainsford,0,1,noballs ,1,0,null,null
31,4.6,LE Bosman,AN Petersen,EC Rainsford,0,0,null,0,0,null,null
32,4.7,LE Bosman,AN Petersen,EC Rainsford,1,0,null,1,0,null,null
33,5.1,LE Bosman,AN Petersen,T Mupariwa,0,0,null,0,0,null,null
34,5.2,LE Bosman,AN Petersen,T Mupariwa,4,0,null,4,0,null,null
35,5.3,LE Bosman,AN Petersen,T Mupariwa,0,0,null,0,0,null,null
36,5.4,LE Bosman,AN Petersen,T Mupariwa,4,0,null,4,0,null,null
37,5.5,LE Bosman,AN Petersen,T Mupariwa,0,0,null,0,0,null,null
38,5.6,LE Bosman,AN Petersen,T Mupariwa,1,0,null,1,0,null,null
