,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WU Tharanga,TM Dilshan,B Lee,0,0,null,0,0,null,null
1,0.2,WU Tharanga,TM Dilshan,B Lee,0,0,null,0,0,null,null
2,0.3,WU Tharanga,TM Dilshan,B Lee,0,0,null,0,0,null,null
3,0.4,WU Tharanga,TM Dilshan,B Lee,0,0,null,0,0,null,null
4,0.5,WU Tharanga,TM Dilshan,B Lee,0,0,null,0,0,null,null
5,0.6,WU Tharanga,TM Dilshan,B Lee,0,0,null,0,0,null,null
6,1.1,TM Dilshan,WU Tharanga,DE Bollinger,0,0,null,0,0,null,null
7,1.2,TM Dilshan,WU Tharanga,DE Bollinger,1,0,null,1,0,null,null
8,1.3,WU Tharanga,TM Dilshan,DE Bollinger,0,0,null,0,0,null,null
9,1.4,WU Tharanga,TM Dilshan,DE Bollinger,0,0,null,0,0,null,null
10,1.5,WU Tharanga,TM Dilshan,DE Bollinger,4,0,null,4,0,null,null
11,1.6,WU Tharanga,TM Dilshan,DE Bollinger,0,0,null,0,0,null,null
12,2.1,TM Dilshan,WU Tharanga,B Lee,1,0,null,1,0,null,null
13,2.2,WU Tharanga,TM Dilshan,B Lee,1,0,null,1,0,null,null
14,2.3,TM Dilshan,WU Tharanga,B Lee,0,0,null,0,0,null,null
15,2.4,TM Dilshan,WU Tharanga,B Lee,1,0,null,1,0,null,null
16,2.5,WU Tharanga,TM Dilshan,B Lee,0,0,null,0,0,null,null
17,2.6,WU Tharanga,TM Dilshan,B Lee,0,0,null,0,0,null,null
18,3.1,TM Dilshan,WU Tharanga,DE Bollinger,0,0,null,0,0,null,null
19,3.2,TM Dilshan,WU Tharanga,DE Bollinger,0,0,null,0,0,null,null
20,3.3,TM Dilshan,WU Tharanga,DE Bollinger,4,0,null,4,0,null,null
21,3.4,TM Dilshan,WU Tharanga,DE Bollinger,0,0,null,0,0,null,null
22,3.5,TM Dilshan,WU Tharanga,DE Bollinger,0,0,null,0,0,null,null
23,3.6,TM Dilshan,WU Tharanga,DE Bollinger,4,0,null,4,0,null,null
24,4.1,WU Tharanga,TM Dilshan,B Lee,1,0,null,1,0,null,null
25,4.2,TM Dilshan,WU Tharanga,B Lee,0,0,null,0,0,null,null
26,4.3,TM Dilshan,WU Tharanga,B Lee,1,0,null,1,0,null,null
27,4.4,WU Tharanga,TM Dilshan,B Lee,0,0,null,0,0,null,null
28,4.5,WU Tharanga,TM Dilshan,B Lee,1,0,null,1,0,null,null
29,4.6,TM Dilshan,WU Tharanga,B Lee,0,0,null,0,0,null,null
30,5.1,WU Tharanga,TM Dilshan,DE Bollinger,0,0,null,0,0,null,null
31,5.2,WU Tharanga,TM Dilshan,DE Bollinger,0,0,null,0,0,null,null
32,5.3,WU Tharanga,TM Dilshan,DE Bollinger,0,0,null,0,0,null,null
33,5.4,WU Tharanga,TM Dilshan,DE Bollinger,1,0,null,1,0,null,null
34,5.5,TM Dilshan,WU Tharanga,DE Bollinger,0,0,null,0,1,TM Dilshan,caught
35,5.6,KC Sangakkara,WU Tharanga,DE Bollinger,0,4,legbyes ,4,0,null,null
36,6.1,WU Tharanga,KC Sangakkara,B Lee,0,0,null,0,0,null,null
37,6.2,WU Tharanga,KC Sangakkara,B Lee,0,0,null,0,1,WU Tharanga,bowled
38,6.3,DPMD Jayawardene,KC Sangakkara,B Lee,0,0,null,0,0,null,null
39,6.4,DPMD Jayawardene,KC Sangakkara,B Lee,2,0,null,2,0,null,null
40,6.5,DPMD Jayawardene,KC Sangakkara,B Lee,1,0,null,1,0,null,null
41,6.6,KC Sangakkara,DPMD Jayawardene,B Lee,0,0,null,0,0,null,null
42,7.1,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
43,7.2,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
44,7.3,DPMD Jayawardene,KC Sangakkara,DE Bollinger,1,0,null,1,0,null,null
45,7.4,KC Sangakkara,DPMD Jayawardene,DE Bollinger,0,1,legbyes ,1,0,null,null
46,7.5,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
47,7.6,DPMD Jayawardene,KC Sangakkara,DE Bollinger,4,0,null,4,0,null,null
48,8.1,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
49,8.2,KC Sangakkara,DPMD Jayawardene,MG Johnson,1,0,null,1,0,null,null
50,8.3,DPMD Jayawardene,KC Sangakkara,MG Johnson,1,0,null,1,0,null,null
51,8.4,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
52,8.5,KC Sangakkara,DPMD Jayawardene,MG Johnson,2,0,null,2,0,null,null
53,8.6,KC Sangakkara,DPMD Jayawardene,MG Johnson,1,0,null,1,0,null,null
54,9.1,KC Sangakkara,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
55,9.2,KC Sangakkara,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
56,9.3,KC Sangakkara,DPMD Jayawardene,SR Watson,1,0,null,1,0,null,null
57,9.4,DPMD Jayawardene,KC Sangakkara,SR Watson,0,0,null,0,0,null,null
58,9.5,DPMD Jayawardene,KC Sangakkara,SR Watson,2,0,null,2,0,null,null
59,9.6,DPMD Jayawardene,KC Sangakkara,SR Watson,0,0,null,0,0,null,null
60,10.1,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
61,10.2,KC Sangakkara,DPMD Jayawardene,MG Johnson,2,0,null,2,0,null,null
62,10.3,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
63,10.4,KC Sangakkara,DPMD Jayawardene,MG Johnson,2,0,null,2,0,null,null
64,10.5,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
65,10.6,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
66,11.1,DPMD Jayawardene,KC Sangakkara,SR Watson,0,0,null,0,0,null,null
67,11.2,DPMD Jayawardene,KC Sangakkara,SR Watson,1,0,null,1,0,null,null
68,11.3,KC Sangakkara,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
69,11.4,KC Sangakkara,DPMD Jayawardene,SR Watson,1,0,null,1,0,null,null
70,11.5,DPMD Jayawardene,KC Sangakkara,SR Watson,1,0,null,1,0,null,null
71,11.6,KC Sangakkara,DPMD Jayawardene,SR Watson,1,0,null,1,0,null,null
72,12.1,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
73,12.2,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
74,12.3,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
75,12.4,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
76,12.5,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
77,12.6,KC Sangakkara,DPMD Jayawardene,MG Johnson,1,0,null,1,0,null,null
78,13.1,KC Sangakkara,DPMD Jayawardene,SR Watson,1,0,null,1,0,null,null
79,13.2,DPMD Jayawardene,KC Sangakkara,SR Watson,0,0,null,0,0,null,null
80,13.3,DPMD Jayawardene,KC Sangakkara,SR Watson,0,0,null,0,0,null,null
81,13.4,DPMD Jayawardene,KC Sangakkara,SR Watson,1,0,null,1,0,null,null
82,13.5,KC Sangakkara,DPMD Jayawardene,SR Watson,1,0,null,1,0,null,null
83,13.6,DPMD Jayawardene,KC Sangakkara,SR Watson,0,0,null,0,0,null,null
84,14.1,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
85,14.2,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
86,14.3,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
87,14.4,KC Sangakkara,DPMD Jayawardene,MG Johnson,2,0,null,2,0,null,null
88,14.5,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
89,14.6,KC Sangakkara,DPMD Jayawardene,MG Johnson,4,0,null,4,0,null,null
90,15.1,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
91,15.2,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
92,15.3,DPMD Jayawardene,KC Sangakkara,XJ Doherty,1,0,null,1,0,null,null
93,15.4,KC Sangakkara,DPMD Jayawardene,XJ Doherty,1,0,null,1,0,null,null
94,15.5,DPMD Jayawardene,KC Sangakkara,XJ Doherty,1,0,null,1,0,null,null
95,15.6,KC Sangakkara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
96,16.1,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
97,16.2,DPMD Jayawardene,KC Sangakkara,DE Bollinger,1,0,null,1,0,null,null
98,16.3,KC Sangakkara,DPMD Jayawardene,DE Bollinger,0,0,null,0,0,null,null
99,16.4,KC Sangakkara,DPMD Jayawardene,DE Bollinger,1,0,null,1,0,null,null
100,16.5,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
101,16.6,DPMD Jayawardene,KC Sangakkara,DE Bollinger,1,0,null,1,0,null,null
102,17.1,DPMD Jayawardene,KC Sangakkara,XJ Doherty,1,0,null,1,0,null,null
103,17.2,KC Sangakkara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
104,17.3,KC Sangakkara,DPMD Jayawardene,XJ Doherty,1,0,null,1,0,null,null
105,17.4,DPMD Jayawardene,KC Sangakkara,XJ Doherty,1,0,null,1,0,null,null
106,17.5,KC Sangakkara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
107,17.6,KC Sangakkara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
108,18.1,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
109,18.2,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,1,wides ,1,0,null,null
110,18.3,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
111,18.4,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
112,18.5,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
113,18.6,DPMD Jayawardene,KC Sangakkara,DE Bollinger,0,0,null,0,0,null,null
114,18.7,DPMD Jayawardene,KC Sangakkara,DE Bollinger,1,0,null,1,0,null,null
115,19.1,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
116,19.2,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
117,19.3,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
118,19.4,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
119,19.5,DPMD Jayawardene,KC Sangakkara,XJ Doherty,1,0,null,1,0,null,null
120,19.6,KC Sangakkara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
121,20.1,DPMD Jayawardene,KC Sangakkara,MG Johnson,0,0,null,0,0,null,null
122,20.2,DPMD Jayawardene,KC Sangakkara,MG Johnson,1,0,null,1,0,null,null
123,20.3,KC Sangakkara,DPMD Jayawardene,MG Johnson,2,0,null,2,0,null,null
124,20.4,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
125,20.5,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
126,20.6,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
127,21.1,DPMD Jayawardene,KC Sangakkara,XJ Doherty,4,0,null,4,0,null,null
128,21.2,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
129,21.3,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
130,21.4,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
131,21.5,DPMD Jayawardene,KC Sangakkara,XJ Doherty,2,0,null,2,0,null,null
132,21.6,DPMD Jayawardene,KC Sangakkara,XJ Doherty,0,0,null,0,0,null,null
133,22.1,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
134,22.2,KC Sangakkara,DPMD Jayawardene,MG Johnson,0,0,null,0,0,null,null
135,22.3,KC Sangakkara,DPMD Jayawardene,MG Johnson,1,0,null,1,0,null,null
136,22.4,DPMD Jayawardene,KC Sangakkara,MG Johnson,1,0,null,1,0,null,null
137,22.5,KC Sangakkara,DPMD Jayawardene,MG Johnson,1,0,null,1,0,null,null
138,22.6,DPMD Jayawardene,KC Sangakkara,MG Johnson,0,0,null,0,0,null,null
139,23.1,KC Sangakkara,DPMD Jayawardene,B Lee,0,0,null,0,0,null,null
140,23.2,KC Sangakkara,DPMD Jayawardene,B Lee,2,0,null,2,0,null,null
141,23.3,KC Sangakkara,DPMD Jayawardene,B Lee,1,0,null,1,0,null,null
142,23.4,DPMD Jayawardene,KC Sangakkara,B Lee,0,0,null,0,0,null,null
143,23.5,DPMD Jayawardene,KC Sangakkara,B Lee,0,0,null,0,0,null,null
144,23.6,DPMD Jayawardene,KC Sangakkara,B Lee,0,0,null,0,0,null,null
145,24.1,KC Sangakkara,DPMD Jayawardene,MG Johnson,1,0,null,1,0,null,null
146,24.2,DPMD Jayawardene,KC Sangakkara,MG Johnson,0,0,null,0,0,null,null
147,24.3,DPMD Jayawardene,KC Sangakkara,MG Johnson,0,0,null,0,0,null,null
148,24.4,DPMD Jayawardene,KC Sangakkara,MG Johnson,4,0,null,4,0,null,null
149,24.5,DPMD Jayawardene,KC Sangakkara,MG Johnson,0,1,wides ,1,0,null,null
150,24.6,DPMD Jayawardene,KC Sangakkara,MG Johnson,0,0,null,0,0,null,null
151,24.7,DPMD Jayawardene,KC Sangakkara,MG Johnson,0,0,null,0,0,null,null
152,25.1,KC Sangakkara,DPMD Jayawardene,XJ Doherty,0,2,wides ,2,0,null,null
153,25.2,DPMD Jayawardene,KC Sangakkara,XJ Doherty,1,0,null,1,0,null,null
154,25.3,KC Sangakkara,DPMD Jayawardene,XJ Doherty,0,0,null,0,1,KC Sangakkara,caught
155,25.4,LPC Silva,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
156,25.5,LPC Silva,DPMD Jayawardene,XJ Doherty,0,0,null,0,1,LPC Silva,lbw
157,25.6,AD Mathews,DPMD Jayawardene,XJ Doherty,1,0,null,1,0,null,null
158,25.7,DPMD Jayawardene,AD Mathews,XJ Doherty,0,0,null,0,0,null,null
159,26.1,AD Mathews,DPMD Jayawardene,MG Johnson,2,0,null,2,0,null,null
160,26.2,AD Mathews,DPMD Jayawardene,MG Johnson,1,0,null,1,0,null,null
161,26.3,DPMD Jayawardene,AD Mathews,MG Johnson,0,0,null,0,0,null,null
162,26.4,DPMD Jayawardene,AD Mathews,MG Johnson,0,0,null,0,0,null,null
163,26.5,DPMD Jayawardene,AD Mathews,MG Johnson,0,0,null,0,0,null,null
164,26.6,DPMD Jayawardene,AD Mathews,MG Johnson,0,0,null,0,0,null,null
165,27.1,AD Mathews,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
166,27.2,AD Mathews,DPMD Jayawardene,XJ Doherty,2,0,null,2,0,null,null
167,27.3,AD Mathews,DPMD Jayawardene,XJ Doherty,0,0,null,0,1,AD Mathews,stumped
168,27.4,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
169,27.5,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
170,27.6,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
171,28.1,DPMD Jayawardene,KMDN Kulasekara,SR Watson,0,0,null,0,0,null,null
172,28.2,DPMD Jayawardene,KMDN Kulasekara,SR Watson,0,1,legbyes ,1,0,null,null
173,28.3,KMDN Kulasekara,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
174,28.4,KMDN Kulasekara,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
175,28.5,KMDN Kulasekara,DPMD Jayawardene,SR Watson,1,0,null,1,0,null,null
176,28.6,DPMD Jayawardene,KMDN Kulasekara,SR Watson,0,4,legbyes ,4,0,null,null
177,29.1,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
178,29.2,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
179,29.3,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,4,0,null,4,0,null,null
180,29.4,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
181,29.5,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
182,29.6,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
183,30.1,DPMD Jayawardene,KMDN Kulasekara,SR Watson,0,0,null,0,0,null,null
184,30.2,DPMD Jayawardene,KMDN Kulasekara,SR Watson,1,0,null,1,0,null,null
185,30.3,KMDN Kulasekara,DPMD Jayawardene,SR Watson,1,0,null,1,0,null,null
186,30.4,DPMD Jayawardene,KMDN Kulasekara,SR Watson,1,0,null,1,0,null,null
187,30.5,KMDN Kulasekara,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
188,30.6,KMDN Kulasekara,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
189,31.1,DPMD Jayawardene,KMDN Kulasekara,XJ Doherty,1,0,null,1,0,null,null
190,31.2,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,1,0,null,1,0,null,null
191,31.3,DPMD Jayawardene,KMDN Kulasekara,XJ Doherty,0,0,null,0,0,null,null
192,31.4,DPMD Jayawardene,KMDN Kulasekara,XJ Doherty,1,0,null,1,0,null,null
193,31.5,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
194,31.6,KMDN Kulasekara,DPMD Jayawardene,XJ Doherty,0,0,null,0,0,null,null
195,32.1,DPMD Jayawardene,KMDN Kulasekara,SR Watson,0,0,null,0,0,null,null
196,32.2,DPMD Jayawardene,KMDN Kulasekara,SR Watson,1,0,null,1,0,null,null
197,32.3,KMDN Kulasekara,DPMD Jayawardene,SR Watson,0,0,null,0,1,KMDN Kulasekara,lbw
198,32.4,RMS Eranga,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
199,32.5,RMS Eranga,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
200,32.6,RMS Eranga,DPMD Jayawardene,SR Watson,0,0,null,0,0,null,null
201,33.1,DPMD Jayawardene,RMS Eranga,XJ Doherty,0,0,null,0,0,null,null
