,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Tamim Iqbal,Mohammad Mithun,RAS Lakmal,0,0,null,0,0,null,null
1,0.2,Tamim Iqbal,Mohammad Mithun,RAS Lakmal,0,0,null,0,0,null,null
2,0.3,Tamim Iqbal,Mohammad Mithun,RAS Lakmal,0,0,null,0,0,null,null
3,0.4,Tamim Iqbal,Mohammad Mithun,RAS Lakmal,0,0,null,0,0,null,null
4,0.5,Tamim Iqbal,Mohammad Mithun,RAS Lakmal,0,0,null,0,0,null,null
5,0.6,Tamim Iqbal,Mohammad Mithun,RAS Lakmal,0,0,null,0,0,null,null
6,1.1,Mohammad Mithun,Tamim Iqbal,PVD Chameera,0,0,null,0,0,null,null
7,1.2,Mohammad Mithun,Tamim Iqbal,PVD Chameera,0,0,null,0,0,null,null
8,1.3,Mohammad Mithun,Tamim Iqbal,PVD Chameera,0,0,null,0,0,null,null
9,1.4,Mohammad Mithun,Tamim Iqbal,PVD Chameera,0,0,null,0,0,null,null
10,1.5,Mohammad Mithun,Tamim Iqbal,PVD Chameera,1,0,null,1,0,null,null
11,1.6,Tamim Iqbal,Mohammad Mithun,PVD Chameera,1,0,null,1,0,null,null
12,2.1,Tamim Iqbal,Mohammad Mithun,RAS Lakmal,0,0,null,0,0,null,null
13,2.2,Tamim Iqbal,Mohammad Mithun,RAS Lakmal,0,0,null,0,0,null,null
14,2.3,Tamim Iqbal,Mohammad Mithun,RAS Lakmal,1,0,null,1,0,null,null
15,2.4,Mohammad Mithun,Tamim Iqbal,RAS Lakmal,0,0,null,0,0,null,null
16,2.5,Mohammad Mithun,Tamim Iqbal,RAS Lakmal,0,0,null,0,0,null,null
17,2.6,Mohammad Mithun,Tamim Iqbal,RAS Lakmal,0,0,null,0,0,null,null
18,3.1,Tamim Iqbal,Mohammad Mithun,PVD Chameera,1,0,null,1,0,null,null
19,3.2,Mohammad Mithun,Tamim Iqbal,PVD Chameera,1,0,null,1,0,null,null
20,3.3,Tamim Iqbal,Mohammad Mithun,PVD Chameera,0,0,null,0,0,null,null
21,3.4,Tamim Iqbal,Mohammad Mithun,PVD Chameera,0,0,null,0,0,null,null
22,3.5,Tamim Iqbal,Mohammad Mithun,PVD Chameera,0,0,null,0,0,null,null
23,3.6,Tamim Iqbal,Mohammad Mithun,PVD Chameera,0,0,null,0,0,null,null
24,4.1,Mohammad Mithun,Tamim Iqbal,RAS Lakmal,0,0,null,0,0,null,null
25,4.2,Mohammad Mithun,Tamim Iqbal,RAS Lakmal,6,0,null,6,0,null,null
26,4.3,Mohammad Mithun,Tamim Iqbal,RAS Lakmal,0,0,null,0,0,null,null
27,4.4,Mohammad Mithun,Tamim Iqbal,RAS Lakmal,0,0,null,0,0,null,null
28,4.5,Mohammad Mithun,Tamim Iqbal,RAS Lakmal,0,0,null,0,0,null,null
29,4.6,Mohammad Mithun,Tamim Iqbal,RAS Lakmal,0,0,null,0,0,null,null
30,5.1,Tamim Iqbal,Mohammad Mithun,PVD Chameera,0,0,null,0,0,null,null
31,5.2,Tamim Iqbal,Mohammad Mithun,PVD Chameera,0,0,null,0,0,null,null
32,5.3,Tamim Iqbal,Mohammad Mithun,PVD Chameera,0,0,null,0,1,Tamim Iqbal,caught
33,5.4,Mohammad Mithun,Sabbir Rahman,PVD Chameera,0,0,null,0,0,null,null
34,5.5,Mohammad Mithun,Sabbir Rahman,PVD Chameera,0,0,null,0,0,null,null
35,5.6,Mohammad Mithun,Sabbir Rahman,PVD Chameera,0,1,legbyes ,1,0,null,null
36,6.1,Mohammad Mithun,Sabbir Rahman,RAS Lakmal,0,0,null,0,0,null,null
37,6.2,Mohammad Mithun,Sabbir Rahman,RAS Lakmal,0,0,null,0,0,null,null
38,6.3,Mohammad Mithun,Sabbir Rahman,RAS Lakmal,0,0,null,0,0,null,null
39,6.4,Mohammad Mithun,Sabbir Rahman,RAS Lakmal,0,0,null,0,0,null,null
40,6.5,Mohammad Mithun,Sabbir Rahman,RAS Lakmal,0,0,null,0,0,null,null
41,6.6,Mohammad Mithun,Sabbir Rahman,RAS Lakmal,0,0,null,0,0,null,null
42,7.1,Sabbir Rahman,Mohammad Mithun,PVD Chameera,0,1,wides ,1,0,null,null
43,7.2,Sabbir Rahman,Mohammad Mithun,PVD Chameera,1,0,null,1,0,null,null
44,7.3,Mohammad Mithun,Sabbir Rahman,PVD Chameera,1,0,null,1,0,null,null
45,7.4,Sabbir Rahman,Mohammad Mithun,PVD Chameera,0,1,byes ,1,0,null,null
46,7.5,Mohammad Mithun,Sabbir Rahman,PVD Chameera,1,0,null,1,0,null,null
47,7.6,Sabbir Rahman,Mohammad Mithun,PVD Chameera,0,0,null,0,0,null,null
48,7.7,Sabbir Rahman,Mohammad Mithun,PVD Chameera,0,0,null,0,0,null,null
49,8.1,Mohammad Mithun,Sabbir Rahman,RAS Lakmal,0,0,null,0,1,Mohammad Mithun,run out
50,8.2,Sabbir Rahman,Mushfiqur Rahim,RAS Lakmal,0,0,null,0,0,null,null
51,8.3,Sabbir Rahman,Mushfiqur Rahim,RAS Lakmal,0,0,null,0,0,null,null
52,8.4,Sabbir Rahman,Mushfiqur Rahim,RAS Lakmal,1,0,null,1,0,null,null
53,8.5,Mushfiqur Rahim,Sabbir Rahman,RAS Lakmal,0,0,null,0,0,null,null
54,8.6,Mushfiqur Rahim,Sabbir Rahman,RAS Lakmal,4,0,null,4,0,null,null
55,9.1,Sabbir Rahman,Mushfiqur Rahim,PVD Chameera,0,0,null,0,0,null,null
56,9.2,Sabbir Rahman,Mushfiqur Rahim,PVD Chameera,0,0,null,0,1,Sabbir Rahman,caught
57,9.3,Mahmudullah,Mushfiqur Rahim,PVD Chameera,0,0,null,0,0,null,null
58,9.4,Mahmudullah,Mushfiqur Rahim,PVD Chameera,0,0,null,0,0,null,null
59,9.5,Mahmudullah,Mushfiqur Rahim,PVD Chameera,4,0,null,4,0,null,null
60,9.6,Mahmudullah,Mushfiqur Rahim,PVD Chameera,0,0,null,0,0,null,null
61,10.1,Mushfiqur Rahim,Mahmudullah,RAS Lakmal,0,0,null,0,0,null,null
