,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,TM Dilshan,MDKJ Perera,ST Finn,2,0,null,2,0,null,null
1,0.2,TM Dilshan,MDKJ Perera,ST Finn,0,0,null,0,0,null,null
2,0.3,TM Dilshan,MDKJ Perera,ST Finn,0,0,null,0,0,null,null
3,0.4,TM Dilshan,MDKJ Perera,ST Finn,1,0,null,1,0,null,null
4,0.5,MDKJ Perera,TM Dilshan,ST Finn,0,0,null,0,0,null,null
5,0.6,MDKJ Perera,TM Dilshan,ST Finn,0,0,null,0,0,null,null
6,1.1,TM Dilshan,MDKJ Perera,CR Woakes,2,0,null,2,0,null,null
7,1.2,TM Dilshan,MDKJ Perera,CR Woakes,0,0,null,0,0,null,null
8,1.3,TM Dilshan,MDKJ Perera,CR Woakes,1,0,null,1,0,null,null
9,1.4,MDKJ Perera,TM Dilshan,CR Woakes,0,0,null,0,0,null,null
10,1.5,MDKJ Perera,TM Dilshan,CR Woakes,0,0,null,0,1,MDKJ Perera,caught
11,1.6,KC Sangakkara,TM Dilshan,CR Woakes,0,0,null,0,0,null,null
12,2.1,TM Dilshan,KC Sangakkara,ST Finn,0,0,null,0,0,null,null
13,2.2,TM Dilshan,KC Sangakkara,ST Finn,4,0,null,4,0,null,null
14,2.3,TM Dilshan,KC Sangakkara,ST Finn,0,0,null,0,0,null,null
15,2.4,TM Dilshan,KC Sangakkara,ST Finn,0,0,null,0,0,null,null
16,2.5,TM Dilshan,KC Sangakkara,ST Finn,0,0,null,0,0,null,null
17,2.6,TM Dilshan,KC Sangakkara,ST Finn,4,0,null,4,0,null,null
18,3.1,KC Sangakkara,TM Dilshan,CR Woakes,0,0,null,0,0,null,null
19,3.2,KC Sangakkara,TM Dilshan,CR Woakes,1,0,null,1,0,null,null
20,3.3,TM Dilshan,KC Sangakkara,CR Woakes,4,0,null,4,0,null,null
21,3.4,TM Dilshan,KC Sangakkara,CR Woakes,0,0,null,0,0,null,null
22,3.5,TM Dilshan,KC Sangakkara,CR Woakes,4,0,null,4,0,null,null
23,3.6,TM Dilshan,KC Sangakkara,CR Woakes,0,0,null,0,0,null,null
24,4.1,KC Sangakkara,TM Dilshan,ST Finn,1,0,null,1,0,null,null
25,4.2,TM Dilshan,KC Sangakkara,ST Finn,1,0,null,1,0,null,null
26,4.3,KC Sangakkara,TM Dilshan,ST Finn,4,0,null,4,0,null,null
27,4.4,KC Sangakkara,TM Dilshan,ST Finn,1,0,null,1,0,null,null
28,4.5,TM Dilshan,KC Sangakkara,ST Finn,0,0,null,0,1,TM Dilshan,caught
29,4.6,SHT Kandamby,KC Sangakkara,ST Finn,0,0,null,0,0,null,null
30,5.1,KC Sangakkara,SHT Kandamby,CR Woakes,0,0,null,0,0,null,null
31,5.2,KC Sangakkara,SHT Kandamby,CR Woakes,0,0,null,0,0,null,null
32,5.3,KC Sangakkara,SHT Kandamby,CR Woakes,0,0,null,0,0,null,null
33,5.4,KC Sangakkara,SHT Kandamby,CR Woakes,1,0,null,1,0,null,null
34,5.5,SHT Kandamby,KC Sangakkara,CR Woakes,0,0,null,0,1,SHT Kandamby,caught
35,5.6,AD Mathews,KC Sangakkara,CR Woakes,0,0,null,0,0,null,null
36,6.1,KC Sangakkara,AD Mathews,ST Finn,0,0,null,0,0,null,null
37,6.2,KC Sangakkara,AD Mathews,ST Finn,4,0,null,4,0,null,null
38,6.3,KC Sangakkara,AD Mathews,ST Finn,0,0,null,0,0,null,null
39,6.4,KC Sangakkara,AD Mathews,ST Finn,0,0,null,0,0,null,null
40,6.5,KC Sangakkara,AD Mathews,ST Finn,0,0,null,0,0,null,null
41,6.6,KC Sangakkara,AD Mathews,ST Finn,0,0,null,0,0,null,null
42,7.1,AD Mathews,KC Sangakkara,CR Woakes,0,0,null,0,0,null,null
43,7.2,AD Mathews,KC Sangakkara,CR Woakes,0,0,null,0,0,null,null
44,7.3,AD Mathews,KC Sangakkara,CR Woakes,1,0,null,1,0,null,null
45,7.4,KC Sangakkara,AD Mathews,CR Woakes,1,0,null,1,0,null,null
46,7.5,AD Mathews,KC Sangakkara,CR Woakes,0,0,null,0,0,null,null
47,7.6,AD Mathews,KC Sangakkara,CR Woakes,1,0,null,1,0,null,null
48,8.1,AD Mathews,KC Sangakkara,MM Ali,0,0,null,0,0,null,null
49,8.2,AD Mathews,KC Sangakkara,MM Ali,1,0,null,1,0,null,null
50,8.3,KC Sangakkara,AD Mathews,MM Ali,1,0,null,1,0,null,null
51,8.4,AD Mathews,KC Sangakkara,MM Ali,0,0,null,0,0,null,null
52,8.5,AD Mathews,KC Sangakkara,MM Ali,1,0,null,1,0,null,null
53,8.6,KC Sangakkara,AD Mathews,MM Ali,0,2,legbyes ,2,0,null,null
54,9.1,AD Mathews,KC Sangakkara,CJ Jordan,1,0,null,1,0,null,null
55,9.2,KC Sangakkara,AD Mathews,CJ Jordan,1,0,null,1,0,null,null
56,9.3,AD Mathews,KC Sangakkara,CJ Jordan,1,0,null,1,0,null,null
57,9.4,KC Sangakkara,AD Mathews,CJ Jordan,1,0,null,1,0,null,null
58,9.5,AD Mathews,KC Sangakkara,CJ Jordan,0,0,null,0,0,null,null
59,9.6,AD Mathews,KC Sangakkara,CJ Jordan,1,0,null,1,0,null,null
60,10.1,AD Mathews,KC Sangakkara,MM Ali,1,0,null,1,0,null,null
61,10.2,KC Sangakkara,AD Mathews,MM Ali,1,0,null,1,0,null,null
62,10.3,AD Mathews,KC Sangakkara,MM Ali,1,0,null,1,0,null,null
63,10.4,KC Sangakkara,AD Mathews,MM Ali,0,0,null,0,0,null,null
64,10.5,KC Sangakkara,AD Mathews,MM Ali,1,0,null,1,0,null,null
65,10.6,AD Mathews,KC Sangakkara,MM Ali,1,0,null,1,0,null,null
66,11.1,AD Mathews,KC Sangakkara,CJ Jordan,0,0,null,0,0,null,null
67,11.2,AD Mathews,KC Sangakkara,CJ Jordan,1,0,null,1,0,null,null
68,11.3,KC Sangakkara,AD Mathews,CJ Jordan,0,0,null,0,0,null,null
69,11.4,KC Sangakkara,AD Mathews,CJ Jordan,2,0,null,2,0,null,null
70,11.5,KC Sangakkara,AD Mathews,CJ Jordan,1,0,null,1,0,null,null
71,11.6,AD Mathews,KC Sangakkara,CJ Jordan,1,0,null,1,0,null,null
72,12.1,AD Mathews,KC Sangakkara,MM Ali,1,0,null,1,0,null,null
73,12.2,KC Sangakkara,AD Mathews,MM Ali,1,0,null,1,0,null,null
74,12.3,AD Mathews,KC Sangakkara,MM Ali,0,0,null,0,0,null,null
75,12.4,AD Mathews,KC Sangakkara,MM Ali,0,0,null,0,0,null,null
76,12.5,AD Mathews,KC Sangakkara,MM Ali,1,0,null,1,0,null,null
77,12.6,KC Sangakkara,AD Mathews,MM Ali,0,1,wides ,1,0,null,null
78,12.7,KC Sangakkara,AD Mathews,MM Ali,0,1,wides ,1,0,null,null
79,12.8,KC Sangakkara,AD Mathews,MM Ali,0,0,null,0,0,null,null
80,13.1,AD Mathews,KC Sangakkara,CJ Jordan,0,2,wides ,2,0,null,null
81,13.2,KC Sangakkara,AD Mathews,CJ Jordan,1,0,null,1,0,null,null
82,13.3,AD Mathews,KC Sangakkara,CJ Jordan,4,0,null,4,0,null,null
83,13.4,AD Mathews,KC Sangakkara,CJ Jordan,0,0,null,0,0,null,null
84,13.5,AD Mathews,KC Sangakkara,CJ Jordan,1,0,null,1,0,null,null
85,13.6,KC Sangakkara,AD Mathews,CJ Jordan,0,0,null,0,0,null,null
86,13.7,KC Sangakkara,AD Mathews,CJ Jordan,0,0,null,0,0,null,null
87,14.1,AD Mathews,KC Sangakkara,MM Ali,0,0,null,0,0,null,null
88,14.2,AD Mathews,KC Sangakkara,MM Ali,0,0,null,0,0,null,null
89,14.3,AD Mathews,KC Sangakkara,MM Ali,0,0,null,0,0,null,null
90,14.4,AD Mathews,KC Sangakkara,MM Ali,1,0,null,1,0,null,null
91,14.5,KC Sangakkara,AD Mathews,MM Ali,2,0,null,2,0,null,null
92,14.6,KC Sangakkara,AD Mathews,MM Ali,1,0,null,1,0,null,null
93,15.1,KC Sangakkara,AD Mathews,RS Bopara,2,0,null,2,0,null,null
94,15.2,KC Sangakkara,AD Mathews,RS Bopara,0,1,wides ,1,0,null,null
95,15.3,KC Sangakkara,AD Mathews,RS Bopara,0,0,null,0,0,null,null
96,15.4,KC Sangakkara,AD Mathews,RS Bopara,1,0,null,1,0,null,null
97,15.5,AD Mathews,KC Sangakkara,RS Bopara,1,0,null,1,0,null,null
