,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WU Tharanga,TM Dilshan,Z Khan,0,0,null,0,0,null,null
1,0.2,WU Tharanga,TM Dilshan,Z Khan,0,2,wides ,2,0,null,null
2,0.3,TM Dilshan,WU Tharanga,Z Khan,4,0,null,4,0,null,null
3,0.4,TM Dilshan,WU Tharanga,Z Khan,0,0,null,0,0,null,null
4,0.5,TM Dilshan,WU Tharanga,Z Khan,0,0,null,0,0,null,null
5,0.6,TM Dilshan,WU Tharanga,Z Khan,0,1,legbyes ,1,0,null,null
6,0.7,WU Tharanga,TM Dilshan,Z Khan,0,0,null,0,0,null,null
7,1.1,TM Dilshan,WU Tharanga,IK Pathan,2,0,null,2,0,null,null
8,1.2,TM Dilshan,WU Tharanga,IK Pathan,0,0,null,0,1,TM Dilshan,lbw
9,1.3,KC Sangakkara,WU Tharanga,IK Pathan,0,2,legbyes ,2,0,null,null
10,1.4,KC Sangakkara,WU Tharanga,IK Pathan,4,0,null,4,0,null,null
11,1.5,KC Sangakkara,WU Tharanga,IK Pathan,1,0,null,1,0,null,null
12,1.6,WU Tharanga,KC Sangakkara,IK Pathan,0,0,null,0,0,null,null
13,2.1,KC Sangakkara,WU Tharanga,Z Khan,0,1,wides ,1,0,null,null
14,2.2,KC Sangakkara,WU Tharanga,Z Khan,0,1,legbyes ,1,0,null,null
15,2.3,WU Tharanga,KC Sangakkara,Z Khan,0,0,null,0,0,null,null
16,2.4,WU Tharanga,KC Sangakkara,Z Khan,0,1,wides ,1,0,null,null
17,2.5,WU Tharanga,KC Sangakkara,Z Khan,0,0,null,0,0,null,null
18,2.6,WU Tharanga,KC Sangakkara,Z Khan,0,0,null,0,0,null,null
19,2.7,WU Tharanga,KC Sangakkara,Z Khan,0,1,wides ,1,0,null,null
20,2.8,WU Tharanga,KC Sangakkara,Z Khan,0,1,wides ,1,0,null,null
21,2.9,WU Tharanga,KC Sangakkara,Z Khan,0,0,null,0,0,null,null
22,2.10,WU Tharanga,KC Sangakkara,Z Khan,0,0,null,0,0,null,null
