,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,G Gambhir,V Sehwag,SL Malinga,1,0,null,1,0,null,null
1,0.2,V Sehwag,G Gambhir,SL Malinga,5,0,null,5,0,null,null
2,0.3,G Gambhir,V Sehwag,SL Malinga,1,0,null,1,0,null,null
3,0.4,V Sehwag,G Gambhir,SL Malinga,0,0,null,0,0,null,null
4,0.5,V Sehwag,G Gambhir,SL Malinga,0,0,null,0,0,null,null
5,0.6,V Sehwag,G Gambhir,SL Malinga,0,0,null,0,0,null,null
6,1.1,G Gambhir,V Sehwag,I Udana,0,1,wides ,1,0,null,null
7,1.2,G Gambhir,V Sehwag,I Udana,1,0,null,1,0,null,null
8,1.3,V Sehwag,G Gambhir,I Udana,0,1,wides ,1,0,null,null
9,1.4,V Sehwag,G Gambhir,I Udana,0,1,wides ,1,0,null,null
10,1.5,V Sehwag,G Gambhir,I Udana,0,0,null,0,0,null,null
11,1.6,V Sehwag,G Gambhir,I Udana,0,0,null,0,0,null,null
12,1.7,V Sehwag,G Gambhir,I Udana,4,0,null,4,0,null,null
13,1.8,V Sehwag,G Gambhir,I Udana,0,1,wides ,1,0,null,null
14,1.9,V Sehwag,G Gambhir,I Udana,2,0,null,2,0,null,null
15,1.10,V Sehwag,G Gambhir,I Udana,0,1,wides ,1,0,null,null
16,1.11,V Sehwag,G Gambhir,I Udana,4,0,null,4,0,null,null
17,2.1,G Gambhir,V Sehwag,SL Malinga,0,0,null,0,0,null,null
18,2.2,G Gambhir,V Sehwag,SL Malinga,0,0,null,0,0,null,null
19,2.3,G Gambhir,V Sehwag,SL Malinga,4,0,null,4,0,null,null
20,2.4,G Gambhir,V Sehwag,SL Malinga,4,0,null,4,0,null,null
21,2.5,G Gambhir,V Sehwag,SL Malinga,0,0,null,0,0,null,null
22,2.6,G Gambhir,V Sehwag,SL Malinga,0,0,null,0,0,null,null
23,3.1,V Sehwag,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
24,3.2,V Sehwag,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
25,3.3,V Sehwag,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
26,3.4,V Sehwag,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
27,3.5,V Sehwag,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
28,3.6,V Sehwag,G Gambhir,NLTC Perera,0,0,null,0,1,V Sehwag,caught and bowled
29,4.1,G Gambhir,V Kohli,SL Malinga,0,0,null,0,0,null,null
30,4.2,G Gambhir,V Kohli,SL Malinga,1,0,null,1,0,null,null
31,4.3,V Kohli,G Gambhir,SL Malinga,0,0,null,0,0,null,null
32,4.4,V Kohli,G Gambhir,SL Malinga,1,0,null,1,0,null,null
33,4.5,G Gambhir,V Kohli,SL Malinga,0,0,null,0,0,null,null
34,4.6,G Gambhir,V Kohli,SL Malinga,0,0,null,0,0,null,null
35,5.1,V Kohli,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
36,5.2,V Kohli,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
37,5.3,V Kohli,G Gambhir,NLTC Perera,0,0,null,0,1,V Kohli,caught
38,5.4,RG Sharma,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
39,5.5,RG Sharma,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
40,5.6,RG Sharma,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
41,6.1,G Gambhir,RG Sharma,AD Mathews,4,0,null,4,0,null,null
42,6.2,G Gambhir,RG Sharma,AD Mathews,1,0,null,1,0,null,null
43,6.3,RG Sharma,G Gambhir,AD Mathews,0,0,null,0,0,null,null
44,6.4,RG Sharma,G Gambhir,AD Mathews,0,0,null,0,1,RG Sharma,bowled
45,6.5,SK Raina,G Gambhir,AD Mathews,1,0,null,1,0,null,null
46,6.6,G Gambhir,SK Raina,AD Mathews,0,0,null,0,0,null,null
47,7.1,SK Raina,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
48,7.2,SK Raina,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
49,7.3,SK Raina,G Gambhir,NLTC Perera,0,2,byes ,2,0,null,null
50,7.4,SK Raina,G Gambhir,NLTC Perera,0,0,null,0,1,SK Raina,bowled
51,7.5,MS Dhoni,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
52,7.6,MS Dhoni,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
53,8.1,G Gambhir,MS Dhoni,AD Mathews,0,0,null,0,0,null,null
54,8.2,G Gambhir,MS Dhoni,AD Mathews,0,0,null,0,0,null,null
55,8.3,G Gambhir,MS Dhoni,AD Mathews,0,0,null,0,0,null,null
56,8.4,G Gambhir,MS Dhoni,AD Mathews,0,0,null,0,0,null,null
57,8.5,G Gambhir,MS Dhoni,AD Mathews,0,0,null,0,0,null,null
58,8.6,G Gambhir,MS Dhoni,AD Mathews,0,0,null,0,0,null,null
59,9.1,MS Dhoni,G Gambhir,NLTC Perera,1,0,null,1,0,null,null
60,9.2,G Gambhir,MS Dhoni,NLTC Perera,1,0,null,1,0,null,null
61,9.3,MS Dhoni,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
62,9.4,MS Dhoni,G Gambhir,NLTC Perera,4,0,null,4,0,null,null
63,9.5,MS Dhoni,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
64,9.6,MS Dhoni,G Gambhir,NLTC Perera,0,0,null,0,0,null,null
