,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,DPMD Jayawardene,TM Dilshan,KD Mills,0,0,null,0,0,null,null
1,0.2,DPMD Jayawardene,TM Dilshan,KD Mills,0,0,null,0,0,null,null
2,0.3,DPMD Jayawardene,TM Dilshan,KD Mills,0,0,null,0,0,null,null
3,0.4,DPMD Jayawardene,TM Dilshan,KD Mills,0,0,null,0,0,null,null
4,0.5,DPMD Jayawardene,TM Dilshan,KD Mills,0,0,null,0,0,null,null
5,0.6,DPMD Jayawardene,TM Dilshan,KD Mills,0,0,null,0,0,null,null
6,1.1,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,0,0,null,0,0,null,null
7,1.2,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,0,0,null,0,0,null,null
8,1.3,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,0,0,null,0,0,null,null
9,1.4,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,4,0,null,4,0,null,null
10,1.5,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,2,0,null,2,0,null,null
11,1.6,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,1,0,null,1,0,null,null
12,2.1,TM Dilshan,DPMD Jayawardene,KD Mills,0,0,null,0,0,null,null
13,2.2,TM Dilshan,DPMD Jayawardene,KD Mills,0,0,null,0,0,null,null
14,2.3,TM Dilshan,DPMD Jayawardene,KD Mills,0,0,null,0,0,null,null
15,2.4,TM Dilshan,DPMD Jayawardene,KD Mills,0,0,null,0,0,null,null
16,2.5,TM Dilshan,DPMD Jayawardene,KD Mills,0,0,null,0,0,null,null
17,2.6,TM Dilshan,DPMD Jayawardene,KD Mills,4,0,null,4,0,null,null
18,3.1,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,0,0,null,0,0,null,null
19,3.2,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,4,0,null,4,0,null,null
20,3.3,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,0,0,null,0,0,null,null
21,3.4,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,0,1,legbyes ,1,0,null,null
22,3.5,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,0,0,null,0,0,null,null
23,3.6,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,0,0,null,0,0,null,null
24,4.1,DPMD Jayawardene,TM Dilshan,KD Mills,1,0,null,1,0,null,null
25,4.2,TM Dilshan,DPMD Jayawardene,KD Mills,0,0,null,0,0,null,null
26,4.3,TM Dilshan,DPMD Jayawardene,KD Mills,0,1,wides ,1,0,null,null
27,4.4,TM Dilshan,DPMD Jayawardene,KD Mills,4,0,null,4,0,null,null
28,4.5,TM Dilshan,DPMD Jayawardene,KD Mills,4,0,null,4,0,null,null
29,4.6,TM Dilshan,DPMD Jayawardene,KD Mills,4,0,null,4,0,null,null
30,4.7,TM Dilshan,DPMD Jayawardene,KD Mills,0,0,null,0,0,null,null
31,5.1,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,0,0,null,0,0,null,null
32,5.2,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,0,0,null,0,0,null,null
33,5.3,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,0,1,wides ,1,0,null,null
34,5.4,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,0,1,wides ,1,0,null,null
35,5.5,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,0,0,null,0,0,null,null
36,5.6,DPMD Jayawardene,TM Dilshan,MJ McClenaghan,1,0,null,1,0,null,null
37,5.7,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,0,0,null,0,0,null,null
38,5.8,TM Dilshan,DPMD Jayawardene,MJ McClenaghan,4,0,null,4,0,null,null
39,6.1,DPMD Jayawardene,TM Dilshan,AM Ellis,1,0,null,1,0,null,null
