,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,TWM Latham,AP Devcich,SMSM Senanayake,1,0,null,1,0,null,null
1,0.2,AP Devcich,TWM Latham,SMSM Senanayake,0,0,null,0,0,null,null
2,0.3,AP Devcich,TWM Latham,SMSM Senanayake,0,0,null,0,0,null,null
3,0.4,AP Devcich,TWM Latham,SMSM Senanayake,0,0,null,0,0,null,null
4,0.5,AP Devcich,TWM Latham,SMSM Senanayake,0,0,null,0,0,null,null
5,0.6,AP Devcich,TWM Latham,SMSM Senanayake,0,0,null,0,0,null,null
6,1.1,TWM Latham,AP Devcich,KMDN Kulasekara,0,0,null,0,0,null,null
7,1.2,TWM Latham,AP Devcich,KMDN Kulasekara,0,1,wides ,1,0,null,null
8,1.3,TWM Latham,AP Devcich,KMDN Kulasekara,0,0,null,0,0,null,null
9,1.4,TWM Latham,AP Devcich,KMDN Kulasekara,0,0,null,0,0,null,null
10,1.5,TWM Latham,AP Devcich,KMDN Kulasekara,0,1,wides ,1,0,null,null
11,1.6,TWM Latham,AP Devcich,KMDN Kulasekara,0,0,null,0,0,null,null
12,1.7,TWM Latham,AP Devcich,KMDN Kulasekara,4,0,null,4,0,null,null
13,1.8,TWM Latham,AP Devcich,KMDN Kulasekara,0,0,null,0,0,null,null
14,2.1,AP Devcich,TWM Latham,SMSM Senanayake,4,0,null,4,0,null,null
15,2.2,AP Devcich,TWM Latham,SMSM Senanayake,1,0,null,1,0,null,null
16,2.3,TWM Latham,AP Devcich,SMSM Senanayake,0,0,null,0,0,null,null
17,2.4,TWM Latham,AP Devcich,SMSM Senanayake,0,0,null,0,0,null,null
18,2.5,TWM Latham,AP Devcich,SMSM Senanayake,0,0,null,0,0,null,null
19,2.6,TWM Latham,AP Devcich,SMSM Senanayake,0,0,null,0,0,null,null
20,3.1,AP Devcich,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
21,3.2,AP Devcich,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
22,3.3,AP Devcich,TWM Latham,KMDN Kulasekara,0,0,null,0,1,AP Devcich,caught
23,3.4,RJ Nicol,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
24,3.5,RJ Nicol,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
25,3.6,RJ Nicol,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
26,4.1,TWM Latham,RJ Nicol,SMSM Senanayake,4,0,null,4,0,null,null
27,4.2,TWM Latham,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
28,4.3,TWM Latham,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
29,4.4,TWM Latham,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
30,4.5,TWM Latham,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
31,4.6,TWM Latham,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
32,5.1,RJ Nicol,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
33,5.2,RJ Nicol,TWM Latham,KMDN Kulasekara,0,1,wides ,1,0,null,null
34,5.3,RJ Nicol,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
35,5.4,RJ Nicol,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
36,5.5,RJ Nicol,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
37,5.6,RJ Nicol,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
38,5.7,RJ Nicol,TWM Latham,KMDN Kulasekara,0,0,null,0,0,null,null
39,6.1,TWM Latham,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
40,6.2,TWM Latham,RJ Nicol,SMSM Senanayake,0,0,null,0,1,TWM Latham,lbw
41,6.3,GD Elliott,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
42,6.4,GD Elliott,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
43,6.5,GD Elliott,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
44,6.6,GD Elliott,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
45,7.1,RJ Nicol,GD Elliott,AD Mathews,1,0,null,1,0,null,null
46,7.2,GD Elliott,RJ Nicol,AD Mathews,0,0,null,0,0,null,null
47,7.3,GD Elliott,RJ Nicol,AD Mathews,0,0,null,0,0,null,null
48,7.4,GD Elliott,RJ Nicol,AD Mathews,2,0,null,2,0,null,null
49,7.5,GD Elliott,RJ Nicol,AD Mathews,1,0,null,1,0,null,null
50,7.6,RJ Nicol,GD Elliott,AD Mathews,0,0,null,0,0,null,null
51,8.1,GD Elliott,RJ Nicol,HMRKB Herath,0,0,null,0,0,null,null
52,8.2,GD Elliott,RJ Nicol,HMRKB Herath,0,0,null,0,0,null,null
53,8.3,GD Elliott,RJ Nicol,HMRKB Herath,0,0,null,0,1,GD Elliott,bowled
54,8.4,C Munro,RJ Nicol,HMRKB Herath,0,0,null,0,0,null,null
55,8.5,C Munro,RJ Nicol,HMRKB Herath,0,0,null,0,0,null,null
56,8.6,C Munro,RJ Nicol,HMRKB Herath,1,0,null,1,0,null,null
57,9.1,C Munro,RJ Nicol,SMSM Senanayake,0,0,null,0,1,C Munro,bowled
58,9.2,L Ronchi,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
59,9.3,L Ronchi,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
60,9.4,L Ronchi,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
61,9.5,L Ronchi,RJ Nicol,SMSM Senanayake,4,0,null,4,0,null,null
62,9.6,L Ronchi,RJ Nicol,SMSM Senanayake,0,0,null,0,0,null,null
63,10.1,RJ Nicol,L Ronchi,HMRKB Herath,0,0,null,0,1,RJ Nicol,stumped
64,10.2,JDS Neesham,L Ronchi,HMRKB Herath,1,0,null,1,0,null,null
65,10.3,L Ronchi,JDS Neesham,HMRKB Herath,1,0,null,1,0,null,null
66,10.4,JDS Neesham,L Ronchi,HMRKB Herath,0,1,legbyes ,1,0,null,null
67,10.5,L Ronchi,JDS Neesham,HMRKB Herath,0,0,null,0,0,null,null
68,10.6,L Ronchi,JDS Neesham,HMRKB Herath,4,0,null,4,0,null,null
69,11.1,JDS Neesham,L Ronchi,TM Dilshan,0,0,null,0,0,null,null
70,11.2,JDS Neesham,L Ronchi,TM Dilshan,0,0,null,0,0,null,null
71,11.3,JDS Neesham,L Ronchi,TM Dilshan,0,0,null,0,0,null,null
72,11.4,JDS Neesham,L Ronchi,TM Dilshan,0,0,null,0,0,null,null
