,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
1,0.2,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
2,0.3,WU Tharanga,ST Jayasuriya,Mohammad Amir,4,0,null,4,0,null,null
3,0.4,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
4,0.5,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
5,0.6,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
6,1.1,ST Jayasuriya,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
7,1.2,ST Jayasuriya,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
8,1.3,ST Jayasuriya,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
9,1.4,ST Jayasuriya,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
10,1.5,ST Jayasuriya,WU Tharanga,Abdul Razzaq,4,0,null,4,0,null,null
11,1.6,ST Jayasuriya,WU Tharanga,Abdul Razzaq,2,0,null,2,0,null,null
12,2.1,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
13,2.2,WU Tharanga,ST Jayasuriya,Mohammad Amir,2,0,null,2,0,null,null
14,2.3,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
15,2.4,WU Tharanga,ST Jayasuriya,Mohammad Amir,1,0,null,1,0,null,null
16,2.5,ST Jayasuriya,WU Tharanga,Mohammad Amir,0,0,null,0,0,null,null
17,2.6,ST Jayasuriya,WU Tharanga,Mohammad Amir,0,1,wides ,1,0,null,null
18,2.7,ST Jayasuriya,WU Tharanga,Mohammad Amir,1,0,null,1,0,null,null
19,3.1,ST Jayasuriya,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
20,3.2,ST Jayasuriya,WU Tharanga,Abdul Razzaq,1,0,null,1,0,null,null
21,3.3,WU Tharanga,ST Jayasuriya,Abdul Razzaq,2,0,null,2,0,null,null
22,3.4,WU Tharanga,ST Jayasuriya,Abdul Razzaq,1,0,null,1,0,null,null
23,3.5,ST Jayasuriya,WU Tharanga,Abdul Razzaq,4,0,null,4,0,null,null
24,3.6,ST Jayasuriya,WU Tharanga,Abdul Razzaq,0,0,null,0,0,null,null
25,4.1,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
26,4.2,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
27,4.3,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
28,4.4,WU Tharanga,ST Jayasuriya,Mohammad Amir,0,0,null,0,1,WU Tharanga,caught
29,4.5,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
30,4.6,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
31,5.1,ST Jayasuriya,KC Sangakkara,Abdul Razzaq,2,0,null,2,0,null,null
32,5.2,ST Jayasuriya,KC Sangakkara,Abdul Razzaq,4,0,null,4,0,null,null
33,5.3,ST Jayasuriya,KC Sangakkara,Abdul Razzaq,0,0,null,0,0,null,null
34,5.4,ST Jayasuriya,KC Sangakkara,Abdul Razzaq,1,0,null,1,0,null,null
35,5.5,KC Sangakkara,ST Jayasuriya,Abdul Razzaq,0,0,null,0,0,null,null
36,5.6,KC Sangakkara,ST Jayasuriya,Abdul Razzaq,0,0,null,0,0,null,null
37,6.1,ST Jayasuriya,KC Sangakkara,Mohammad Amir,0,0,null,0,0,null,null
38,6.2,ST Jayasuriya,KC Sangakkara,Mohammad Amir,0,0,null,0,0,null,null
39,6.3,ST Jayasuriya,KC Sangakkara,Mohammad Amir,1,0,null,1,0,null,null
40,6.4,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
41,6.5,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
42,6.6,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,1,legbyes ,1,0,null,null
43,7.1,KC Sangakkara,ST Jayasuriya,Umar Gul,0,0,null,0,0,null,null
44,7.2,KC Sangakkara,ST Jayasuriya,Umar Gul,0,0,null,0,0,null,null
45,7.3,KC Sangakkara,ST Jayasuriya,Umar Gul,1,0,null,1,0,null,null
46,7.4,ST Jayasuriya,KC Sangakkara,Umar Gul,4,0,null,4,0,null,null
47,7.5,ST Jayasuriya,KC Sangakkara,Umar Gul,0,0,null,0,0,null,null
48,7.6,ST Jayasuriya,KC Sangakkara,Umar Gul,0,0,null,0,0,null,null
49,8.1,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
50,8.2,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
51,8.3,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
52,8.4,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
53,8.5,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
54,8.6,KC Sangakkara,ST Jayasuriya,Mohammad Amir,0,0,null,0,0,null,null
55,9.1,ST Jayasuriya,KC Sangakkara,Umar Gul,0,0,null,0,0,null,null
56,9.2,ST Jayasuriya,KC Sangakkara,Umar Gul,0,0,null,0,0,null,null
57,9.3,ST Jayasuriya,KC Sangakkara,Umar Gul,0,0,null,0,0,null,null
58,9.4,ST Jayasuriya,KC Sangakkara,Umar Gul,4,0,null,4,0,null,null
