,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,DA Gunawardene,ST Jayasuriya,Mohammad Sami,0,1,legbyes ,1,0,null,null
1,0.2,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,1,wides ,1,0,null,null
2,0.3,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
3,0.4,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
4,0.5,ST Jayasuriya,DA Gunawardene,Mohammad Sami,0,0,null,0,0,null,null
5,0.6,ST Jayasuriya,DA Gunawardene,Mohammad Sami,1,0,null,1,0,null,null
6,0.7,DA Gunawardene,ST Jayasuriya,Mohammad Sami,1,0,null,1,0,null,null
7,1.1,DA Gunawardene,ST Jayasuriya,Naved-ul-Hasan,0,0,null,0,1,DA Gunawardene,bowled
8,1.2,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,0,0,null,0,0,null,null
9,1.3,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,0,0,null,0,0,null,null
10,1.4,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,3,0,null,3,0,null,null
11,1.5,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
12,1.6,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,1,0,null,1,0,null,null
13,2.1,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,1,wides ,1,0,null,null
14,2.2,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,1,legbyes ,1,0,null,null
15,2.3,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
16,2.4,MS Atapattu,ST Jayasuriya,Mohammad Sami,2,0,null,2,0,null,null
17,2.5,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
18,2.6,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
19,2.7,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
20,3.1,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
21,3.2,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
22,3.3,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
23,3.4,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
24,3.5,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
25,3.6,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,4,0,null,4,0,null,null
26,4.1,MS Atapattu,ST Jayasuriya,Mohammad Sami,4,0,null,4,0,null,null
27,4.2,MS Atapattu,ST Jayasuriya,Mohammad Sami,1,0,null,1,0,null,null
28,4.3,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
29,4.4,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
30,4.5,ST Jayasuriya,MS Atapattu,Mohammad Sami,2,0,null,2,0,null,null
31,4.6,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,2,legbyes ,2,0,null,null
32,5.1,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,0,0,null,0,0,null,null
33,5.2,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,0,0,null,0,0,null,null
34,5.3,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,0,0,null,0,0,null,null
35,5.4,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,0,0,null,0,0,null,null
36,5.5,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,1,0,null,1,0,null,null
37,5.6,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,3,0,null,3,0,null,null
38,6.1,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
39,6.2,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
40,6.3,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
41,6.4,ST Jayasuriya,MS Atapattu,Mohammad Sami,1,0,null,1,0,null,null
42,6.5,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
43,6.6,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
44,7.1,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,1,0,null,1,0,null,null
45,7.2,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,1,0,null,1,0,null,null
46,7.3,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
47,7.4,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,1,0,null,1,0,null,null
48,7.5,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,0,0,null,0,0,null,null
49,7.6,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,4,0,null,4,0,null,null
50,8.1,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
51,8.2,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
52,8.3,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
53,8.4,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,1,legbyes ,1,0,null,null
54,8.5,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
55,8.6,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
56,9.1,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
57,9.2,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,1,0,null,1,0,null,null
58,9.3,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,1,0,null,1,0,null,null
59,9.4,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
60,9.5,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
61,9.6,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,1,0,null,1,0,null,null
62,10.1,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
63,10.2,ST Jayasuriya,MS Atapattu,Mohammad Sami,0,0,null,0,0,null,null
64,10.3,ST Jayasuriya,MS Atapattu,Mohammad Sami,4,0,null,4,0,null,null
65,10.4,ST Jayasuriya,MS Atapattu,Mohammad Sami,1,0,null,1,0,null,null
66,10.5,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
67,10.6,MS Atapattu,ST Jayasuriya,Mohammad Sami,0,0,null,0,0,null,null
68,11.1,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
69,11.2,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
70,11.3,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
71,11.4,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,1,0,null,1,0,null,null
72,11.5,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,2,0,null,2,0,null,null
73,11.6,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,0,0,null,0,0,null,null
74,12.1,ST Jayasuriya,MS Atapattu,Shoaib Akhtar,0,0,null,0,0,null,null
75,12.2,ST Jayasuriya,MS Atapattu,Shoaib Akhtar,6,0,null,6,0,null,null
76,12.3,ST Jayasuriya,MS Atapattu,Shoaib Akhtar,0,1,noballs ,1,0,null,null
77,12.4,ST Jayasuriya,MS Atapattu,Shoaib Akhtar,0,1,noballs ,1,0,null,null
78,12.5,ST Jayasuriya,MS Atapattu,Shoaib Akhtar,1,0,null,1,0,null,null
79,12.6,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
80,12.7,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,1,0,null,1,0,null,null
81,12.8,ST Jayasuriya,MS Atapattu,Shoaib Akhtar,4,0,null,4,0,null,null
82,13.1,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,1,0,null,1,0,null,null
83,13.2,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,1,0,null,1,0,null,null
84,13.3,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,1,0,null,1,0,null,null
85,13.4,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,1,0,null,1,0,null,null
86,13.5,MS Atapattu,ST Jayasuriya,Naved-ul-Hasan,1,0,null,1,0,null,null
87,13.6,ST Jayasuriya,MS Atapattu,Naved-ul-Hasan,0,0,null,0,0,null,null
88,14.1,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,1,0,null,1,0,null,null
89,14.2,ST Jayasuriya,MS Atapattu,Shoaib Akhtar,0,1,legbyes ,1,0,null,null
90,14.3,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,0,1,wides ,1,0,null,null
91,14.4,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
92,14.5,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
93,14.6,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
94,14.7,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
95,15.1,ST Jayasuriya,MS Atapattu,Shahid Afridi,0,5,wides ,5,0,null,null
96,15.2,ST Jayasuriya,MS Atapattu,Shahid Afridi,0,0,null,0,0,null,null
97,15.3,ST Jayasuriya,MS Atapattu,Shahid Afridi,1,0,null,1,0,null,null
98,15.4,MS Atapattu,ST Jayasuriya,Shahid Afridi,0,0,null,0,0,null,null
99,15.5,MS Atapattu,ST Jayasuriya,Shahid Afridi,0,0,null,0,0,null,null
100,15.6,MS Atapattu,ST Jayasuriya,Shahid Afridi,1,0,null,1,0,null,null
101,15.7,ST Jayasuriya,MS Atapattu,Shahid Afridi,0,0,null,0,0,null,null
102,16.1,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,0,0,null,0,0,null,null
103,16.2,MS Atapattu,ST Jayasuriya,Shoaib Akhtar,1,0,null,1,0,null,null
