,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JN Malan,AK Markram,PVD Chameera,0,0,null,0,0,null,null
1,0.2,JN Malan,AK Markram,PVD Chameera,4,0,null,4,0,null,null
2,0.3,JN Malan,AK Markram,PVD Chameera,0,0,null,0,0,null,null
3,0.4,JN Malan,AK Markram,PVD Chameera,0,0,null,0,0,null,null
4,0.5,JN Malan,AK Markram,PVD Chameera,2,0,null,2,0,null,null
5,0.6,JN Malan,AK Markram,PVD Chameera,1,0,null,1,0,null,null
6,1.1,JN Malan,AK Markram,C Karunaratne,0,0,null,0,0,null,null
7,1.2,JN Malan,AK Markram,C Karunaratne,0,1,wides ,1,0,null,null
8,1.3,JN Malan,AK Markram,C Karunaratne,1,0,null,1,0,null,null
9,1.4,AK Markram,JN Malan,C Karunaratne,0,0,null,0,0,null,null
10,1.5,AK Markram,JN Malan,C Karunaratne,0,0,null,0,0,null,null
11,1.6,AK Markram,JN Malan,C Karunaratne,0,0,null,0,0,null,null
12,1.7,AK Markram,JN Malan,C Karunaratne,0,0,null,0,0,null,null
13,2.1,JN Malan,AK Markram,PVD Chameera,0,0,null,0,0,null,null
14,2.2,JN Malan,AK Markram,PVD Chameera,2,0,null,2,0,null,null
15,2.3,JN Malan,AK Markram,PVD Chameera,0,0,null,0,0,null,null
16,2.4,JN Malan,AK Markram,PVD Chameera,0,0,null,0,0,null,null
17,2.5,JN Malan,AK Markram,PVD Chameera,0,0,null,0,0,null,null
18,2.6,JN Malan,AK Markram,PVD Chameera,0,1,wides ,1,0,null,null
19,2.7,JN Malan,AK Markram,PVD Chameera,0,0,null,0,0,null,null
20,3.1,AK Markram,JN Malan,C Karunaratne,3,0,null,3,0,null,null
21,3.2,JN Malan,AK Markram,C Karunaratne,4,0,null,4,0,null,null
22,3.3,JN Malan,AK Markram,C Karunaratne,0,0,null,0,0,null,null
23,3.4,JN Malan,AK Markram,C Karunaratne,4,0,null,4,0,null,null
24,3.5,JN Malan,AK Markram,C Karunaratne,0,0,null,0,0,null,null
25,3.6,JN Malan,AK Markram,C Karunaratne,0,0,null,0,0,null,null
26,4.1,AK Markram,JN Malan,PVD Chameera,0,0,null,0,0,null,null
27,4.2,AK Markram,JN Malan,PVD Chameera,2,0,null,2,0,null,null
28,4.3,AK Markram,JN Malan,PVD Chameera,0,0,null,0,0,null,null
29,4.4,AK Markram,JN Malan,PVD Chameera,4,0,null,4,0,null,null
30,4.5,AK Markram,JN Malan,PVD Chameera,0,0,null,0,0,null,null
31,4.6,AK Markram,JN Malan,PVD Chameera,0,0,null,0,0,null,null
32,5.1,JN Malan,AK Markram,PWH de Silva,0,0,null,0,0,null,null
33,5.2,JN Malan,AK Markram,PWH de Silva,1,0,null,1,0,null,null
34,5.3,AK Markram,JN Malan,PWH de Silva,0,0,null,0,0,null,null
35,5.4,AK Markram,JN Malan,PWH de Silva,0,0,null,0,0,null,null
36,5.5,AK Markram,JN Malan,PWH de Silva,0,0,null,0,0,null,null
37,5.6,AK Markram,JN Malan,PWH de Silva,0,0,null,0,0,null,null
38,6.1,JN Malan,AK Markram,PVD Chameera,1,0,null,1,0,null,null
39,6.2,AK Markram,JN Malan,PVD Chameera,4,0,null,4,0,null,null
40,6.3,AK Markram,JN Malan,PVD Chameera,1,0,null,1,0,null,null
41,6.4,JN Malan,AK Markram,PVD Chameera,0,0,null,0,0,null,null
42,6.5,JN Malan,AK Markram,PVD Chameera,1,0,null,1,0,null,null
43,6.6,AK Markram,JN Malan,PVD Chameera,6,0,null,6,0,null,null
44,7.1,JN Malan,AK Markram,PWH de Silva,1,0,null,1,0,null,null
45,7.2,AK Markram,JN Malan,PWH de Silva,0,0,null,0,0,null,null
46,7.3,AK Markram,JN Malan,PWH de Silva,0,0,null,0,0,null,null
47,7.4,AK Markram,JN Malan,PWH de Silva,0,0,null,0,0,null,null
48,7.5,AK Markram,JN Malan,PWH de Silva,0,0,null,0,0,null,null
49,7.6,AK Markram,JN Malan,PWH de Silva,1,0,null,1,0,null,null
50,8.1,AK Markram,JN Malan,P Jayawickrama,3,0,null,3,0,null,null
51,8.2,JN Malan,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
52,8.3,JN Malan,AK Markram,P Jayawickrama,1,0,null,1,0,null,null
53,8.4,AK Markram,JN Malan,P Jayawickrama,0,0,null,0,0,null,null
54,8.5,AK Markram,JN Malan,P Jayawickrama,0,0,null,0,0,null,null
55,8.6,AK Markram,JN Malan,P Jayawickrama,0,0,null,0,0,null,null
56,9.1,JN Malan,AK Markram,PWH de Silva,0,0,null,0,0,null,null
57,9.2,JN Malan,AK Markram,PWH de Silva,0,0,null,0,0,null,null
58,9.3,JN Malan,AK Markram,PWH de Silva,0,0,null,0,0,null,null
59,9.4,JN Malan,AK Markram,PWH de Silva,0,0,null,0,1,JN Malan,lbw
60,9.5,T Bavuma,AK Markram,PWH de Silva,0,0,null,0,0,null,null
61,9.6,T Bavuma,AK Markram,PWH de Silva,0,0,null,0,0,null,null
62,10.1,AK Markram,T Bavuma,P Jayawickrama,0,0,null,0,0,null,null
63,10.2,AK Markram,T Bavuma,P Jayawickrama,6,0,null,6,0,null,null
64,10.3,AK Markram,T Bavuma,P Jayawickrama,1,0,null,1,0,null,null
65,10.4,T Bavuma,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
66,10.5,T Bavuma,AK Markram,P Jayawickrama,1,0,null,1,0,null,null
67,10.6,AK Markram,T Bavuma,P Jayawickrama,1,0,null,1,0,null,null
68,11.1,AK Markram,T Bavuma,PWH de Silva,1,0,null,1,0,null,null
69,11.2,T Bavuma,AK Markram,PWH de Silva,1,0,null,1,0,null,null
70,11.3,AK Markram,T Bavuma,PWH de Silva,1,0,null,1,0,null,null
71,11.4,T Bavuma,AK Markram,PWH de Silva,1,0,null,1,0,null,null
72,11.5,AK Markram,T Bavuma,PWH de Silva,1,0,null,1,0,null,null
73,11.6,T Bavuma,AK Markram,PWH de Silva,1,0,null,1,0,null,null
74,12.1,T Bavuma,AK Markram,P Jayawickrama,1,0,null,1,0,null,null
75,12.2,AK Markram,T Bavuma,P Jayawickrama,1,0,null,1,0,null,null
76,12.3,T Bavuma,AK Markram,P Jayawickrama,1,0,null,1,0,null,null
77,12.4,AK Markram,T Bavuma,P Jayawickrama,1,0,null,1,0,null,null
78,12.5,T Bavuma,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
79,12.6,T Bavuma,AK Markram,P Jayawickrama,1,0,null,1,0,null,null
80,13.1,T Bavuma,AK Markram,A Dananjaya,1,0,null,1,0,null,null
81,13.2,AK Markram,T Bavuma,A Dananjaya,1,0,null,1,0,null,null
82,13.3,T Bavuma,AK Markram,A Dananjaya,0,0,null,0,0,null,null
83,13.4,T Bavuma,AK Markram,A Dananjaya,0,0,null,0,0,null,null
84,13.5,T Bavuma,AK Markram,A Dananjaya,0,0,null,0,0,null,null
85,13.6,T Bavuma,AK Markram,A Dananjaya,1,0,null,1,0,null,null
86,14.1,T Bavuma,AK Markram,MD Shanaka,1,0,null,1,0,null,null
87,14.2,AK Markram,T Bavuma,MD Shanaka,0,0,null,0,0,null,null
88,14.3,AK Markram,T Bavuma,MD Shanaka,0,0,null,0,0,null,null
89,14.4,AK Markram,T Bavuma,MD Shanaka,1,0,null,1,0,null,null
90,14.5,T Bavuma,AK Markram,MD Shanaka,0,1,wides ,1,0,null,null
91,14.6,T Bavuma,AK Markram,MD Shanaka,1,0,null,1,0,null,null
92,14.7,AK Markram,T Bavuma,MD Shanaka,1,0,null,1,0,null,null
93,15.1,AK Markram,T Bavuma,A Dananjaya,1,0,null,1,0,null,null
94,15.2,T Bavuma,AK Markram,A Dananjaya,1,0,null,1,0,null,null
95,15.3,AK Markram,T Bavuma,A Dananjaya,0,0,null,0,0,null,null
96,15.4,AK Markram,T Bavuma,A Dananjaya,4,0,null,4,0,null,null
97,15.5,AK Markram,T Bavuma,A Dananjaya,2,0,null,2,0,null,null
98,15.6,AK Markram,T Bavuma,A Dananjaya,0,0,null,0,0,null,null
99,16.1,T Bavuma,AK Markram,MD Shanaka,1,0,null,1,0,null,null
100,16.2,AK Markram,T Bavuma,MD Shanaka,1,0,null,1,0,null,null
101,16.3,T Bavuma,AK Markram,MD Shanaka,1,0,null,1,0,null,null
102,16.4,AK Markram,T Bavuma,MD Shanaka,0,0,null,0,0,null,null
103,16.5,AK Markram,T Bavuma,MD Shanaka,6,0,null,6,0,null,null
104,16.6,AK Markram,T Bavuma,MD Shanaka,0,0,null,0,0,null,null
105,17.1,T Bavuma,AK Markram,A Dananjaya,0,0,null,0,0,null,null
106,17.2,T Bavuma,AK Markram,A Dananjaya,0,0,null,0,0,null,null
107,17.3,T Bavuma,AK Markram,A Dananjaya,1,0,null,1,0,null,null
108,17.4,AK Markram,T Bavuma,A Dananjaya,1,0,null,1,0,null,null
109,17.5,T Bavuma,AK Markram,A Dananjaya,0,0,null,0,0,null,null
110,17.6,T Bavuma,AK Markram,A Dananjaya,1,0,null,1,0,null,null
111,18.1,T Bavuma,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
112,18.2,T Bavuma,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
113,18.3,T Bavuma,AK Markram,P Jayawickrama,1,0,null,1,0,null,null
114,18.4,AK Markram,T Bavuma,P Jayawickrama,1,0,null,1,0,null,null
115,18.5,T Bavuma,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
116,18.6,T Bavuma,AK Markram,P Jayawickrama,1,0,null,1,0,null,null
117,19.1,T Bavuma,AK Markram,A Dananjaya,1,0,null,1,0,null,null
118,19.2,AK Markram,T Bavuma,A Dananjaya,0,0,null,0,0,null,null
119,19.3,AK Markram,T Bavuma,A Dananjaya,6,0,null,6,0,null,null
120,19.4,AK Markram,T Bavuma,A Dananjaya,2,0,null,2,0,null,null
121,19.5,AK Markram,T Bavuma,A Dananjaya,0,0,null,0,0,null,null
122,19.6,AK Markram,T Bavuma,A Dananjaya,0,0,null,0,0,null,null
123,20.1,T Bavuma,AK Markram,P Jayawickrama,1,0,null,1,0,null,null
124,20.2,AK Markram,T Bavuma,P Jayawickrama,1,0,null,1,0,null,null
125,20.3,T Bavuma,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
126,20.4,T Bavuma,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
127,20.5,T Bavuma,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
128,20.6,T Bavuma,AK Markram,P Jayawickrama,0,0,null,0,0,null,null
129,21.1,AK Markram,T Bavuma,A Dananjaya,2,0,null,2,0,null,null
130,21.2,AK Markram,T Bavuma,A Dananjaya,3,0,null,3,0,null,null
131,21.3,T Bavuma,AK Markram,A Dananjaya,1,0,null,1,0,null,null
132,21.4,AK Markram,T Bavuma,A Dananjaya,0,0,null,0,0,null,null
133,21.5,AK Markram,T Bavuma,A Dananjaya,4,0,null,4,0,null,null
134,21.6,AK Markram,T Bavuma,A Dananjaya,1,0,null,1,0,null,null
135,22.1,AK Markram,T Bavuma,PWH de Silva,2,0,null,2,0,null,null
136,22.2,AK Markram,T Bavuma,PWH de Silva,0,0,null,0,0,null,null
137,22.3,AK Markram,T Bavuma,PWH de Silva,2,0,null,2,0,null,null
138,22.4,AK Markram,T Bavuma,PWH de Silva,1,0,null,1,0,null,null
139,22.5,T Bavuma,AK Markram,PWH de Silva,1,0,null,1,0,null,null
140,22.6,AK Markram,T Bavuma,PWH de Silva,0,0,null,0,0,null,null
141,23.1,T Bavuma,AK Markram,DM de Silva,4,0,null,4,0,null,null
142,23.2,T Bavuma,AK Markram,DM de Silva,0,0,null,0,0,null,null
143,23.3,T Bavuma,AK Markram,DM de Silva,1,0,null,1,0,null,null
144,23.4,AK Markram,T Bavuma,DM de Silva,1,0,null,1,0,null,null
145,23.5,T Bavuma,AK Markram,DM de Silva,1,0,null,1,0,null,null
146,23.6,AK Markram,T Bavuma,DM de Silva,0,0,null,0,0,null,null
147,24.1,T Bavuma,AK Markram,PWH de Silva,1,0,null,1,0,null,null
148,24.2,AK Markram,T Bavuma,PWH de Silva,0,0,null,0,0,null,null
149,24.3,AK Markram,T Bavuma,PWH de Silva,0,0,null,0,0,null,null
150,24.4,AK Markram,T Bavuma,PWH de Silva,1,0,null,1,0,null,null
151,24.5,T Bavuma,AK Markram,PWH de Silva,2,0,null,2,0,null,null
