,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CH Gayle,SW Ambris,SL Malinga,0,0,null,0,0,null,null
1,0.2,CH Gayle,SW Ambris,SL Malinga,0,0,null,0,0,null,null
2,0.3,CH Gayle,SW Ambris,SL Malinga,1,0,null,1,0,null,null
3,0.4,SW Ambris,CH Gayle,SL Malinga,0,1,wides ,1,0,null,null
4,0.5,SW Ambris,CH Gayle,SL Malinga,0,0,null,0,0,null,null
5,0.6,SW Ambris,CH Gayle,SL Malinga,0,0,null,0,0,null,null
6,0.7,SW Ambris,CH Gayle,SL Malinga,4,0,null,4,0,null,null
7,1.1,CH Gayle,SW Ambris,DM de Silva,2,0,null,2,0,null,null
8,1.2,CH Gayle,SW Ambris,DM de Silva,0,0,null,0,0,null,null
9,1.3,CH Gayle,SW Ambris,DM de Silva,1,0,null,1,0,null,null
10,1.4,SW Ambris,CH Gayle,DM de Silva,0,0,null,0,0,null,null
11,1.5,SW Ambris,CH Gayle,DM de Silva,1,0,null,1,0,null,null
12,1.6,CH Gayle,SW Ambris,DM de Silva,1,0,null,1,0,null,null
13,2.1,CH Gayle,SW Ambris,SL Malinga,0,1,legbyes ,1,0,null,null
14,2.2,SW Ambris,CH Gayle,SL Malinga,0,0,null,0,1,SW Ambris,caught
15,2.3,SD Hope,CH Gayle,SL Malinga,0,0,null,0,0,null,null
16,2.4,SD Hope,CH Gayle,SL Malinga,0,1,noballs ,1,0,null,null
17,2.5,SD Hope,CH Gayle,SL Malinga,4,0,null,4,0,null,null
18,2.6,SD Hope,CH Gayle,SL Malinga,0,0,null,0,0,null,null
19,2.7,SD Hope,CH Gayle,SL Malinga,0,0,null,0,0,null,null
20,3.1,CH Gayle,SD Hope,DM de Silva,0,0,null,0,0,null,null
21,3.2,CH Gayle,SD Hope,DM de Silva,0,0,null,0,0,null,null
22,3.3,CH Gayle,SD Hope,DM de Silva,1,0,null,1,0,null,null
23,3.4,SD Hope,CH Gayle,DM de Silva,1,0,null,1,0,null,null
24,3.5,CH Gayle,SD Hope,DM de Silva,0,0,null,0,0,null,null
25,3.6,CH Gayle,SD Hope,DM de Silva,1,0,null,1,0,null,null
26,4.1,CH Gayle,SD Hope,SL Malinga,1,0,null,1,0,null,null
27,4.2,SD Hope,CH Gayle,SL Malinga,0,0,null,0,0,null,null
28,4.3,SD Hope,CH Gayle,SL Malinga,0,0,null,0,0,null,null
29,4.4,SD Hope,CH Gayle,SL Malinga,0,0,null,0,0,null,null
30,4.5,SD Hope,CH Gayle,SL Malinga,0,0,null,0,0,null,null
31,4.6,SD Hope,CH Gayle,SL Malinga,0,1,wides ,1,0,null,null
32,4.7,SD Hope,CH Gayle,SL Malinga,0,0,null,0,1,SD Hope,bowled
33,5.1,CH Gayle,SO Hetmyer,DM de Silva,0,0,null,0,0,null,null
34,5.2,CH Gayle,SO Hetmyer,DM de Silva,0,0,null,0,0,null,null
35,5.3,CH Gayle,SO Hetmyer,DM de Silva,1,0,null,1,0,null,null
36,5.4,SO Hetmyer,CH Gayle,DM de Silva,1,0,null,1,0,null,null
37,5.5,CH Gayle,SO Hetmyer,DM de Silva,1,0,null,1,0,null,null
38,5.6,SO Hetmyer,CH Gayle,DM de Silva,0,0,null,0,0,null,null
39,6.1,CH Gayle,SO Hetmyer,SL Malinga,1,0,null,1,0,null,null
40,6.2,SO Hetmyer,CH Gayle,SL Malinga,2,0,null,2,0,null,null
41,6.3,SO Hetmyer,CH Gayle,SL Malinga,0,0,null,0,0,null,null
42,6.4,SO Hetmyer,CH Gayle,SL Malinga,0,0,null,0,0,null,null
43,6.5,SO Hetmyer,CH Gayle,SL Malinga,0,0,null,0,0,null,null
44,6.6,SO Hetmyer,CH Gayle,SL Malinga,2,0,null,2,0,null,null
45,7.1,CH Gayle,SO Hetmyer,DM de Silva,0,0,null,0,0,null,null
46,7.2,CH Gayle,SO Hetmyer,DM de Silva,0,0,null,0,0,null,null
47,7.3,CH Gayle,SO Hetmyer,DM de Silva,0,0,null,0,0,null,null
48,7.4,CH Gayle,SO Hetmyer,DM de Silva,0,0,null,0,0,null,null
49,7.5,CH Gayle,SO Hetmyer,DM de Silva,1,0,null,1,0,null,null
50,7.6,SO Hetmyer,CH Gayle,DM de Silva,1,0,null,1,0,null,null
51,8.1,SO Hetmyer,CH Gayle,SL Malinga,0,0,null,0,0,null,null
52,8.2,SO Hetmyer,CH Gayle,SL Malinga,0,0,null,0,0,null,null
53,8.3,SO Hetmyer,CH Gayle,SL Malinga,0,0,null,0,0,null,null
54,8.4,SO Hetmyer,CH Gayle,SL Malinga,1,0,null,1,0,null,null
55,8.5,CH Gayle,SO Hetmyer,SL Malinga,0,0,null,0,0,null,null
56,8.6,CH Gayle,SO Hetmyer,SL Malinga,0,0,null,0,0,null,null
57,9.1,SO Hetmyer,CH Gayle,DM de Silva,0,0,null,0,0,null,null
58,9.2,SO Hetmyer,CH Gayle,DM de Silva,0,0,null,0,0,null,null
59,9.3,SO Hetmyer,CH Gayle,DM de Silva,2,0,null,2,0,null,null
60,9.4,SO Hetmyer,CH Gayle,DM de Silva,0,0,null,0,0,null,null
61,9.5,SO Hetmyer,CH Gayle,DM de Silva,1,0,null,1,0,null,null
62,9.6,CH Gayle,SO Hetmyer,DM de Silva,1,0,null,1,0,null,null
63,10.1,CH Gayle,SO Hetmyer,I Udana,0,0,null,0,0,null,null
