,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SD Hope,SW Ambris,N Pradeep,0,0,null,0,0,null,null
1,0.2,SD Hope,SW Ambris,N Pradeep,0,0,null,0,0,null,null
2,0.3,SD Hope,SW Ambris,N Pradeep,0,0,null,0,0,null,null
3,0.4,SD Hope,SW Ambris,N Pradeep,1,0,null,1,0,null,null
4,0.5,SW Ambris,SD Hope,N Pradeep,0,0,null,0,0,null,null
5,0.6,SW Ambris,SD Hope,N Pradeep,0,0,null,0,0,null,null
6,1.1,SD Hope,SW Ambris,NLTC Perera,4,0,null,4,0,null,null
7,1.2,SD Hope,SW Ambris,NLTC Perera,0,0,null,0,0,null,null
8,1.3,SD Hope,SW Ambris,NLTC Perera,0,0,null,0,0,null,null
9,1.4,SD Hope,SW Ambris,NLTC Perera,0,0,null,0,0,null,null
10,1.5,SD Hope,SW Ambris,NLTC Perera,2,0,null,2,0,null,null
11,1.6,SD Hope,SW Ambris,NLTC Perera,0,0,null,0,0,null,null
12,2.1,SW Ambris,SD Hope,N Pradeep,0,0,null,0,0,null,null
13,2.2,SW Ambris,SD Hope,N Pradeep,0,0,null,0,0,null,null
14,2.3,SW Ambris,SD Hope,N Pradeep,2,0,null,2,0,null,null
15,2.4,SW Ambris,SD Hope,N Pradeep,0,0,null,0,0,null,null
16,2.5,SW Ambris,SD Hope,N Pradeep,0,0,null,0,0,null,null
17,2.6,SW Ambris,SD Hope,N Pradeep,1,0,null,1,0,null,null
18,3.1,SW Ambris,SD Hope,NLTC Perera,0,0,null,0,0,null,null
19,3.2,SW Ambris,SD Hope,NLTC Perera,0,0,null,0,1,SW Ambris,bowled
20,3.3,DM Bravo,SD Hope,NLTC Perera,0,0,null,0,0,null,null
21,3.4,DM Bravo,SD Hope,NLTC Perera,0,0,null,0,0,null,null
22,3.5,DM Bravo,SD Hope,NLTC Perera,0,0,null,0,0,null,null
23,3.6,DM Bravo,SD Hope,NLTC Perera,0,0,null,0,0,null,null
24,4.1,SD Hope,DM Bravo,N Pradeep,0,0,null,0,0,null,null
25,4.2,SD Hope,DM Bravo,N Pradeep,1,0,null,1,0,null,null
26,4.3,DM Bravo,SD Hope,N Pradeep,0,0,null,0,0,null,null
27,4.4,DM Bravo,SD Hope,N Pradeep,0,0,null,0,0,null,null
28,4.5,DM Bravo,SD Hope,N Pradeep,0,0,null,0,0,null,null
29,4.6,DM Bravo,SD Hope,N Pradeep,0,0,null,0,0,null,null
30,5.1,SD Hope,DM Bravo,NLTC Perera,0,0,null,0,0,null,null
31,5.2,SD Hope,DM Bravo,NLTC Perera,2,0,null,2,0,null,null
32,5.3,SD Hope,DM Bravo,NLTC Perera,0,0,null,0,0,null,null
33,5.4,SD Hope,DM Bravo,NLTC Perera,0,0,null,0,0,null,null
34,5.5,SD Hope,DM Bravo,NLTC Perera,0,0,null,0,0,null,null
35,5.6,SD Hope,DM Bravo,NLTC Perera,0,0,null,0,0,null,null
36,6.1,DM Bravo,SD Hope,N Pradeep,1,0,null,1,0,null,null
37,6.2,SD Hope,DM Bravo,N Pradeep,0,0,null,0,0,null,null
38,6.3,SD Hope,DM Bravo,N Pradeep,4,0,null,4,0,null,null
39,6.4,SD Hope,DM Bravo,N Pradeep,0,0,null,0,0,null,null
40,6.5,SD Hope,DM Bravo,N Pradeep,0,0,null,0,0,null,null
41,6.6,SD Hope,DM Bravo,N Pradeep,0,0,null,0,0,null,null
42,7.1,DM Bravo,SD Hope,NLTC Perera,0,0,null,0,0,null,null
43,7.2,DM Bravo,SD Hope,NLTC Perera,0,0,null,0,0,null,null
44,7.3,DM Bravo,SD Hope,NLTC Perera,0,0,null,0,0,null,null
45,7.4,DM Bravo,SD Hope,NLTC Perera,4,0,null,4,0,null,null
46,7.5,DM Bravo,SD Hope,NLTC Perera,1,0,null,1,0,null,null
47,7.6,SD Hope,DM Bravo,NLTC Perera,0,0,null,0,0,null,null
48,8.1,DM Bravo,SD Hope,I Udana,0,0,null,0,0,null,null
49,8.2,DM Bravo,SD Hope,I Udana,0,0,null,0,0,null,null
50,8.3,DM Bravo,SD Hope,I Udana,4,0,null,4,0,null,null
51,8.4,DM Bravo,SD Hope,I Udana,0,0,null,0,0,null,null
52,8.5,DM Bravo,SD Hope,I Udana,0,0,null,0,0,null,null
53,8.6,DM Bravo,SD Hope,I Udana,0,0,null,0,0,null,null
54,9.1,SD Hope,DM Bravo,NLTC Perera,1,0,null,1,0,null,null
55,9.2,DM Bravo,SD Hope,NLTC Perera,0,0,null,0,0,null,null
