,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Amjad Ali,AR Berenger,Mirwais Ashraf,0,1,legbyes ,1,0,null,null
1,0.2,AR Berenger,Amjad Ali,Mirwais Ashraf,0,0,null,0,0,null,null
2,0.3,AR Berenger,Amjad Ali,Mirwais Ashraf,3,0,null,3,0,null,null
3,0.4,Amjad Ali,AR Berenger,Mirwais Ashraf,0,0,null,0,0,null,null
4,0.5,Amjad Ali,AR Berenger,Mirwais Ashraf,4,0,null,4,0,null,null
5,0.6,Amjad Ali,AR Berenger,Mirwais Ashraf,0,0,null,0,0,null,null
6,1.1,AR Berenger,Amjad Ali,Hamid Hassan,0,0,null,0,0,null,null
7,1.2,AR Berenger,Amjad Ali,Hamid Hassan,4,0,null,4,0,null,null
8,1.3,AR Berenger,Amjad Ali,Hamid Hassan,0,0,null,0,1,AR Berenger,caught
9,1.4,Mohammad Shahzad,Amjad Ali,Hamid Hassan,0,0,null,0,0,null,null
10,1.5,Mohammad Shahzad,Amjad Ali,Hamid Hassan,2,0,null,2,0,null,null
11,1.6,Mohammad Shahzad,Amjad Ali,Hamid Hassan,1,0,null,1,0,null,null
12,2.1,Mohammad Shahzad,Amjad Ali,Mirwais Ashraf,0,0,null,0,0,null,null
13,2.2,Mohammad Shahzad,Amjad Ali,Mirwais Ashraf,4,0,null,4,0,null,null
14,2.3,Mohammad Shahzad,Amjad Ali,Mirwais Ashraf,0,0,null,0,0,null,null
15,2.4,Mohammad Shahzad,Amjad Ali,Mirwais Ashraf,1,0,null,1,0,null,null
16,2.5,Amjad Ali,Mohammad Shahzad,Mirwais Ashraf,4,0,null,4,0,null,null
17,2.6,Amjad Ali,Mohammad Shahzad,Mirwais Ashraf,0,0,null,0,0,null,null
18,3.1,Mohammad Shahzad,Amjad Ali,Hamid Hassan,0,1,noballs ,1,0,null,null
