,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Rohan Mustafa,Mohammad Naveed,CA Young,0,0,null,0,0,null,null
1,0.2,Rohan Mustafa,Mohammad Naveed,CA Young,0,0,null,0,0,null,null
2,0.3,Rohan Mustafa,Mohammad Naveed,CA Young,4,0,null,4,0,null,null
3,0.4,Rohan Mustafa,Mohammad Naveed,CA Young,4,0,null,4,0,null,null
4,0.5,Rohan Mustafa,Mohammad Naveed,CA Young,0,0,null,0,0,null,null
5,0.6,Rohan Mustafa,Mohammad Naveed,CA Young,0,0,null,0,0,null,null
6,1.1,Mohammad Naveed,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
7,1.2,Mohammad Naveed,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
8,1.3,Mohammad Naveed,Rohan Mustafa,PKD Chase,4,0,null,4,0,null,null
9,1.4,Mohammad Naveed,Rohan Mustafa,PKD Chase,4,0,null,4,0,null,null
10,1.5,Mohammad Naveed,Rohan Mustafa,PKD Chase,6,0,null,6,0,null,null
11,1.6,Mohammad Naveed,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
12,2.1,Rohan Mustafa,Mohammad Naveed,CA Young,2,0,null,2,0,null,null
13,2.2,Rohan Mustafa,Mohammad Naveed,CA Young,0,0,null,0,0,null,null
14,2.3,Rohan Mustafa,Mohammad Naveed,CA Young,0,0,null,0,0,null,null
15,2.4,Rohan Mustafa,Mohammad Naveed,CA Young,0,0,null,0,0,null,null
16,2.5,Rohan Mustafa,Mohammad Naveed,CA Young,4,0,null,4,0,null,null
17,2.6,Rohan Mustafa,Mohammad Naveed,CA Young,0,1,wides ,1,0,null,null
18,2.7,Rohan Mustafa,Mohammad Naveed,CA Young,4,0,null,4,0,null,null
19,3.1,Mohammad Naveed,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
20,3.2,Mohammad Naveed,Rohan Mustafa,PKD Chase,0,0,null,0,1,Mohammad Naveed,caught
21,3.3,Adnan Mufti,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
22,3.4,Adnan Mufti,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
23,3.5,Adnan Mufti,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
24,3.6,Adnan Mufti,Rohan Mustafa,PKD Chase,1,0,null,1,0,null,null
25,4.1,Adnan Mufti,Rohan Mustafa,AR McBrine,1,0,null,1,0,null,null
26,4.2,Rohan Mustafa,Adnan Mufti,AR McBrine,1,0,null,1,0,null,null
27,4.3,Adnan Mufti,Rohan Mustafa,AR McBrine,0,0,null,0,0,null,null
28,4.4,Adnan Mufti,Rohan Mustafa,AR McBrine,1,0,null,1,0,null,null
29,4.5,Rohan Mustafa,Adnan Mufti,AR McBrine,2,0,null,2,0,null,null
30,4.6,Rohan Mustafa,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
31,5.1,Adnan Mufti,Rohan Mustafa,PKD Chase,1,0,null,1,0,null,null
32,5.2,Rohan Mustafa,Adnan Mufti,PKD Chase,1,0,null,1,0,null,null
33,5.3,Adnan Mufti,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
34,5.4,Adnan Mufti,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
35,5.5,Adnan Mufti,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
36,5.6,Adnan Mufti,Rohan Mustafa,PKD Chase,1,0,null,1,0,null,null
37,6.1,Adnan Mufti,Rohan Mustafa,AR McBrine,0,0,null,0,0,null,null
38,6.2,Adnan Mufti,Rohan Mustafa,AR McBrine,1,0,null,1,0,null,null
39,6.3,Rohan Mustafa,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
40,6.4,Rohan Mustafa,Adnan Mufti,AR McBrine,6,0,null,6,0,null,null
41,6.5,Rohan Mustafa,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
42,6.6,Rohan Mustafa,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
43,7.1,Adnan Mufti,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
44,7.2,Adnan Mufti,Rohan Mustafa,PKD Chase,0,0,null,0,0,null,null
45,7.3,Adnan Mufti,Rohan Mustafa,PKD Chase,1,0,null,1,0,null,null
46,7.4,Rohan Mustafa,Adnan Mufti,PKD Chase,4,0,null,4,0,null,null
47,7.5,Rohan Mustafa,Adnan Mufti,PKD Chase,4,0,null,4,0,null,null
48,7.6,Rohan Mustafa,Adnan Mufti,PKD Chase,0,0,null,0,0,null,null
49,8.1,Adnan Mufti,Rohan Mustafa,GH Dockrell,0,0,null,0,0,null,null
50,8.2,Adnan Mufti,Rohan Mustafa,GH Dockrell,1,0,null,1,0,null,null
51,8.3,Rohan Mustafa,Adnan Mufti,GH Dockrell,0,0,null,0,0,null,null
52,8.4,Rohan Mustafa,Adnan Mufti,GH Dockrell,1,0,null,1,0,null,null
53,8.5,Adnan Mufti,Rohan Mustafa,GH Dockrell,0,0,null,0,0,null,null
54,8.6,Adnan Mufti,Rohan Mustafa,GH Dockrell,0,0,null,0,0,null,null
55,9.1,Rohan Mustafa,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
56,9.2,Rohan Mustafa,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
57,9.3,Rohan Mustafa,Adnan Mufti,AR McBrine,6,0,null,6,0,null,null
58,9.4,Rohan Mustafa,Adnan Mufti,AR McBrine,0,0,null,0,1,Rohan Mustafa,bowled
59,9.5,Shaiman Anwar,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
60,9.6,Shaiman Anwar,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
61,10.1,Adnan Mufti,Shaiman Anwar,CA Young,0,0,null,0,0,null,null
62,10.2,Adnan Mufti,Shaiman Anwar,CA Young,0,0,null,0,0,null,null
63,10.3,Adnan Mufti,Shaiman Anwar,CA Young,0,1,wides ,1,0,null,null
64,10.4,Adnan Mufti,Shaiman Anwar,CA Young,0,0,null,0,0,null,null
65,10.5,Adnan Mufti,Shaiman Anwar,CA Young,1,0,null,1,0,null,null
66,10.6,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
67,10.7,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
68,11.1,Adnan Mufti,Shaiman Anwar,AR McBrine,2,0,null,2,0,null,null
69,11.2,Adnan Mufti,Shaiman Anwar,AR McBrine,1,0,null,1,0,null,null
70,11.3,Shaiman Anwar,Adnan Mufti,AR McBrine,1,0,null,1,0,null,null
71,11.4,Adnan Mufti,Shaiman Anwar,AR McBrine,1,0,null,1,0,null,null
72,11.5,Shaiman Anwar,Adnan Mufti,AR McBrine,1,0,null,1,0,null,null
73,11.6,Adnan Mufti,Shaiman Anwar,AR McBrine,0,0,null,0,0,null,null
74,12.1,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
75,12.2,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
76,12.3,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
77,12.4,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
78,12.5,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
79,12.6,Shaiman Anwar,Adnan Mufti,CA Young,4,0,null,4,0,null,null
80,13.1,Adnan Mufti,Shaiman Anwar,SR Thompson,1,0,null,1,0,null,null
81,13.2,Shaiman Anwar,Adnan Mufti,SR Thompson,0,0,null,0,0,null,null
82,13.3,Shaiman Anwar,Adnan Mufti,SR Thompson,1,0,null,1,0,null,null
83,13.4,Adnan Mufti,Shaiman Anwar,SR Thompson,0,0,null,0,0,null,null
84,13.5,Adnan Mufti,Shaiman Anwar,SR Thompson,1,0,null,1,0,null,null
85,13.6,Shaiman Anwar,Adnan Mufti,SR Thompson,1,0,null,1,0,null,null
86,14.1,Shaiman Anwar,Adnan Mufti,CA Young,1,0,null,1,0,null,null
87,14.2,Adnan Mufti,Shaiman Anwar,CA Young,0,0,null,0,0,null,null
88,14.3,Adnan Mufti,Shaiman Anwar,CA Young,0,0,null,0,0,null,null
89,14.4,Adnan Mufti,Shaiman Anwar,CA Young,0,0,null,0,0,null,null
90,14.5,Adnan Mufti,Shaiman Anwar,CA Young,0,0,null,0,0,null,null
91,14.6,Adnan Mufti,Shaiman Anwar,CA Young,0,0,null,0,0,null,null
92,15.1,Shaiman Anwar,Adnan Mufti,SR Thompson,0,0,null,0,0,null,null
93,15.2,Shaiman Anwar,Adnan Mufti,SR Thompson,0,0,null,0,0,null,null
94,15.3,Shaiman Anwar,Adnan Mufti,SR Thompson,0,1,wides ,1,0,null,null
95,15.4,Shaiman Anwar,Adnan Mufti,SR Thompson,4,0,null,4,0,null,null
96,15.5,Shaiman Anwar,Adnan Mufti,SR Thompson,0,0,null,0,0,null,null
97,15.6,Shaiman Anwar,Adnan Mufti,SR Thompson,0,1,wides ,1,0,null,null
98,15.7,Shaiman Anwar,Adnan Mufti,SR Thompson,0,0,null,0,0,null,null
99,15.8,Shaiman Anwar,Adnan Mufti,SR Thompson,1,0,null,1,0,null,null
100,16.1,Shaiman Anwar,Adnan Mufti,CA Young,1,0,null,1,0,null,null
101,16.2,Adnan Mufti,Shaiman Anwar,CA Young,1,0,null,1,0,null,null
102,16.3,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
103,16.4,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
104,16.5,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
105,16.6,Shaiman Anwar,Adnan Mufti,CA Young,0,0,null,0,0,null,null
106,17.1,Adnan Mufti,Shaiman Anwar,AR McBrine,0,0,null,0,0,null,null
107,17.2,Adnan Mufti,Shaiman Anwar,AR McBrine,1,0,null,1,0,null,null
108,17.3,Shaiman Anwar,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
109,17.4,Shaiman Anwar,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
110,17.5,Shaiman Anwar,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
111,17.6,Shaiman Anwar,Adnan Mufti,AR McBrine,0,0,null,0,0,null,null
112,18.1,Adnan Mufti,Shaiman Anwar,GH Dockrell,0,0,null,0,0,null,null
113,18.2,Adnan Mufti,Shaiman Anwar,GH Dockrell,0,0,null,0,0,null,null
114,18.3,Adnan Mufti,Shaiman Anwar,GH Dockrell,0,0,null,0,1,Shaiman Anwar,run out
115,18.4,Adnan Mufti,Rameez Shahzad,GH Dockrell,1,0,null,1,0,null,null
116,18.5,Rameez Shahzad,Adnan Mufti,GH Dockrell,0,0,null,0,0,null,null
117,18.6,Rameez Shahzad,Adnan Mufti,GH Dockrell,0,0,null,0,0,null,null
118,19.1,Adnan Mufti,Rameez Shahzad,AR McBrine,0,0,null,0,0,null,null
119,19.2,Adnan Mufti,Rameez Shahzad,AR McBrine,1,0,null,1,0,null,null
120,19.3,Rameez Shahzad,Adnan Mufti,AR McBrine,1,0,null,1,0,null,null
121,19.4,Adnan Mufti,Rameez Shahzad,AR McBrine,1,0,null,1,0,null,null
122,19.5,Rameez Shahzad,Adnan Mufti,AR McBrine,1,0,null,1,0,null,null
123,19.6,Adnan Mufti,Rameez Shahzad,AR McBrine,1,0,null,1,0,null,null
124,20.1,Adnan Mufti,Rameez Shahzad,GH Dockrell,0,0,null,0,0,null,null
125,20.2,Adnan Mufti,Rameez Shahzad,GH Dockrell,0,0,null,0,0,null,null
126,20.3,Adnan Mufti,Rameez Shahzad,GH Dockrell,0,0,null,0,1,Adnan Mufti,caught
127,20.4,Muhammad Usman,Rameez Shahzad,GH Dockrell,0,0,null,0,0,null,null
128,20.5,Muhammad Usman,Rameez Shahzad,GH Dockrell,0,0,null,0,0,null,null
129,20.6,Muhammad Usman,Rameez Shahzad,GH Dockrell,1,0,null,1,0,null,null
130,21.1,Muhammad Usman,Rameez Shahzad,AR McBrine,0,0,null,0,0,null,null
131,21.2,Muhammad Usman,Rameez Shahzad,AR McBrine,0,0,null,0,1,Muhammad Usman,caught and bowled
132,21.3,Ghulam Shabber,Rameez Shahzad,AR McBrine,0,0,null,0,0,null,null
133,21.4,Ghulam Shabber,Rameez Shahzad,AR McBrine,0,0,null,0,0,null,null
134,21.5,Ghulam Shabber,Rameez Shahzad,AR McBrine,1,0,null,1,0,null,null
135,21.6,Rameez Shahzad,Ghulam Shabber,AR McBrine,0,0,null,0,0,null,null
136,22.1,Ghulam Shabber,Rameez Shahzad,GH Dockrell,1,0,null,1,0,null,null
137,22.2,Rameez Shahzad,Ghulam Shabber,GH Dockrell,0,0,null,0,0,null,null
138,22.3,Rameez Shahzad,Ghulam Shabber,GH Dockrell,0,2,wides ,2,0,null,null
139,22.4,Ghulam Shabber,Rameez Shahzad,GH Dockrell,1,0,null,1,0,null,null
140,22.5,Rameez Shahzad,Ghulam Shabber,GH Dockrell,4,0,null,4,0,null,null
141,22.6,Rameez Shahzad,Ghulam Shabber,GH Dockrell,0,0,null,0,1,Rameez Shahzad,caught
142,22.7,Ahmed Raza,Ghulam Shabber,GH Dockrell,0,0,null,0,0,null,null
143,23.1,Ghulam Shabber,Ahmed Raza,AR McBrine,1,0,null,1,0,null,null
144,23.2,Ahmed Raza,Ghulam Shabber,AR McBrine,0,0,null,0,0,null,null
145,23.3,Ahmed Raza,Ghulam Shabber,AR McBrine,0,0,null,0,0,null,null
146,23.4,Ahmed Raza,Ghulam Shabber,AR McBrine,1,0,null,1,0,null,null
147,23.5,Ghulam Shabber,Ahmed Raza,AR McBrine,1,0,null,1,0,null,null
148,23.6,Ahmed Raza,Ghulam Shabber,AR McBrine,0,0,null,0,0,null,null
149,24.1,Ghulam Shabber,Ahmed Raza,GH Dockrell,0,0,null,0,0,null,null
150,24.2,Ghulam Shabber,Ahmed Raza,GH Dockrell,0,0,null,0,1,Ghulam Shabber,caught
151,24.3,Amjad Javed,Ahmed Raza,GH Dockrell,0,0,null,0,0,null,null
152,24.4,Amjad Javed,Ahmed Raza,GH Dockrell,0,0,null,0,0,null,null
153,24.5,Amjad Javed,Ahmed Raza,GH Dockrell,0,0,null,0,0,null,null
154,24.6,Amjad Javed,Ahmed Raza,GH Dockrell,0,0,null,0,0,null,null
155,25.1,Ahmed Raza,Amjad Javed,PKD Chase,0,0,null,0,0,null,null
156,25.2,Ahmed Raza,Amjad Javed,PKD Chase,0,0,null,0,0,null,null
157,25.3,Ahmed Raza,Amjad Javed,PKD Chase,1,0,null,1,0,null,null
158,25.4,Amjad Javed,Ahmed Raza,PKD Chase,6,0,null,6,0,null,null
159,25.5,Amjad Javed,Ahmed Raza,PKD Chase,0,0,null,0,0,null,null
160,25.6,Amjad Javed,Ahmed Raza,PKD Chase,1,0,null,1,0,null,null
161,26.1,Amjad Javed,Ahmed Raza,GH Dockrell,1,0,null,1,0,null,null
162,26.2,Ahmed Raza,Amjad Javed,GH Dockrell,1,0,null,1,0,null,null
163,26.3,Amjad Javed,Ahmed Raza,GH Dockrell,0,0,null,0,0,null,null
164,26.4,Amjad Javed,Ahmed Raza,GH Dockrell,4,0,null,4,0,null,null
165,26.5,Amjad Javed,Ahmed Raza,GH Dockrell,1,0,null,1,0,null,null
166,26.6,Ahmed Raza,Amjad Javed,GH Dockrell,0,0,null,0,0,null,null
167,27.1,Amjad Javed,Ahmed Raza,PKD Chase,0,0,null,0,0,null,null
168,27.2,Amjad Javed,Ahmed Raza,PKD Chase,4,0,null,4,0,null,null
169,27.3,Amjad Javed,Ahmed Raza,PKD Chase,1,0,null,1,0,null,null
170,27.4,Ahmed Raza,Amjad Javed,PKD Chase,0,0,null,0,0,null,null
171,27.5,Ahmed Raza,Amjad Javed,PKD Chase,1,0,null,1,0,null,null
172,27.6,Amjad Javed,Ahmed Raza,PKD Chase,4,0,null,4,0,null,null
