,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Waseem Muhammad,Chirag Suri,KS Airee,0,1,wides ,1,0,null,null
1,0.2,Waseem Muhammad,Chirag Suri,KS Airee,4,0,null,4,0,null,null
2,0.3,Waseem Muhammad,Chirag Suri,KS Airee,1,0,null,1,0,null,null
3,0.4,Chirag Suri,Waseem Muhammad,KS Airee,0,0,null,0,0,null,null
4,0.5,Chirag Suri,Waseem Muhammad,KS Airee,0,0,null,0,0,null,null
5,0.6,Chirag Suri,Waseem Muhammad,KS Airee,0,0,null,0,0,null,null
6,0.7,Chirag Suri,Waseem Muhammad,KS Airee,1,0,null,1,0,null,null
7,1.1,Chirag Suri,Waseem Muhammad,Sompal Kami,0,0,null,0,0,null,null
8,1.2,Chirag Suri,Waseem Muhammad,Sompal Kami,3,0,null,3,0,null,null
9,1.3,Waseem Muhammad,Chirag Suri,Sompal Kami,0,0,null,0,0,null,null
10,1.4,Waseem Muhammad,Chirag Suri,Sompal Kami,1,0,null,1,0,null,null
11,1.5,Chirag Suri,Waseem Muhammad,Sompal Kami,0,0,null,0,0,null,null
12,1.6,Chirag Suri,Waseem Muhammad,Sompal Kami,0,0,null,0,0,null,null
13,2.1,Waseem Muhammad,Chirag Suri,KS Airee,0,0,null,0,0,null,null
14,2.2,Waseem Muhammad,Chirag Suri,KS Airee,1,0,null,1,0,null,null
15,2.3,Chirag Suri,Waseem Muhammad,KS Airee,0,0,null,0,0,null,null
16,2.4,Chirag Suri,Waseem Muhammad,KS Airee,0,0,null,0,0,null,null
17,2.5,Chirag Suri,Waseem Muhammad,KS Airee,1,0,null,1,0,null,null
18,2.6,Waseem Muhammad,Chirag Suri,KS Airee,4,0,null,4,0,null,null
19,3.1,Chirag Suri,Waseem Muhammad,Sompal Kami,0,0,null,0,0,null,null
20,3.2,Chirag Suri,Waseem Muhammad,Sompal Kami,1,0,null,1,0,null,null
21,3.3,Waseem Muhammad,Chirag Suri,Sompal Kami,1,0,null,1,0,null,null
22,3.4,Chirag Suri,Waseem Muhammad,Sompal Kami,0,0,null,0,0,null,null
23,3.5,Chirag Suri,Waseem Muhammad,Sompal Kami,0,0,null,0,1,Chirag Suri,caught
24,3.6,V Aravind,Waseem Muhammad,Sompal Kami,2,0,null,2,0,null,null
25,4.1,Waseem Muhammad,V Aravind,KS Airee,1,0,null,1,0,null,null
26,4.2,V Aravind,Waseem Muhammad,KS Airee,0,0,null,0,0,null,null
27,4.3,V Aravind,Waseem Muhammad,KS Airee,1,0,null,1,0,null,null
28,4.4,Waseem Muhammad,V Aravind,KS Airee,4,0,null,4,0,null,null
29,4.5,Waseem Muhammad,V Aravind,KS Airee,0,0,null,0,0,null,null
30,4.6,Waseem Muhammad,V Aravind,KS Airee,0,0,null,0,0,null,null
31,5.1,V Aravind,Waseem Muhammad,Sompal Kami,0,0,null,0,1,V Aravind,caught
