,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Waseem Muhammad,Chirag Suri,CS MacLeod,0,0,null,0,0,null,null
1,0.2,Waseem Muhammad,Chirag Suri,CS MacLeod,1,0,null,1,0,null,null
2,0.3,Chirag Suri,Waseem Muhammad,CS MacLeod,0,0,null,0,0,null,null
3,0.4,Chirag Suri,Waseem Muhammad,CS MacLeod,0,0,null,0,0,null,null
4,0.5,Chirag Suri,Waseem Muhammad,CS MacLeod,0,0,null,0,0,null,null
5,0.6,Chirag Suri,Waseem Muhammad,CS MacLeod,0,1,wides ,1,0,null,null
6,0.7,Chirag Suri,Waseem Muhammad,CS MacLeod,1,0,null,1,0,null,null
7,1.1,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
8,1.2,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
9,1.3,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
10,1.4,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
11,1.5,Chirag Suri,Waseem Muhammad,CB Sole,0,1,wides ,1,0,null,null
12,1.6,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
13,1.7,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
14,2.1,Waseem Muhammad,Chirag Suri,CS MacLeod,1,0,null,1,0,null,null
15,2.2,Chirag Suri,Waseem Muhammad,CS MacLeod,0,0,null,0,0,null,null
16,2.3,Chirag Suri,Waseem Muhammad,CS MacLeod,0,0,null,0,0,null,null
17,2.4,Chirag Suri,Waseem Muhammad,CS MacLeod,0,0,null,0,0,null,null
18,2.5,Chirag Suri,Waseem Muhammad,CS MacLeod,0,1,wides ,1,0,null,null
19,2.6,Chirag Suri,Waseem Muhammad,CS MacLeod,3,0,null,3,0,null,null
20,2.7,Waseem Muhammad,Chirag Suri,CS MacLeod,0,0,null,0,0,null,null
21,3.1,Chirag Suri,Waseem Muhammad,CB Sole,1,0,null,1,0,null,null
22,3.2,Waseem Muhammad,Chirag Suri,CB Sole,0,0,null,0,0,null,null
23,3.3,Waseem Muhammad,Chirag Suri,CB Sole,0,0,null,0,0,null,null
24,3.4,Waseem Muhammad,Chirag Suri,CB Sole,0,0,null,0,0,null,null
25,3.5,Waseem Muhammad,Chirag Suri,CB Sole,0,1,wides ,1,0,null,null
26,3.6,Waseem Muhammad,Chirag Suri,CB Sole,4,0,null,4,0,null,null
27,3.7,Waseem Muhammad,Chirag Suri,CB Sole,0,0,null,0,0,null,null
28,4.1,Chirag Suri,Waseem Muhammad,A Neill,1,0,null,1,0,null,null
29,4.2,Waseem Muhammad,Chirag Suri,A Neill,0,0,null,0,0,null,null
30,4.3,Waseem Muhammad,Chirag Suri,A Neill,0,0,null,0,0,null,null
31,4.4,Waseem Muhammad,Chirag Suri,A Neill,0,0,null,0,0,null,null
32,4.5,Waseem Muhammad,Chirag Suri,A Neill,4,0,null,4,0,null,null
33,4.6,Waseem Muhammad,Chirag Suri,A Neill,0,0,null,0,0,null,null
34,5.1,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
35,5.2,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
36,5.3,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
37,5.4,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
38,5.5,Chirag Suri,Waseem Muhammad,CB Sole,0,0,null,0,0,null,null
39,5.6,Chirag Suri,Waseem Muhammad,CB Sole,2,0,null,2,0,null,null
40,6.1,Waseem Muhammad,Chirag Suri,A Neill,0,0,null,0,0,null,null
41,6.2,Waseem Muhammad,Chirag Suri,A Neill,0,0,null,0,0,null,null
42,6.3,Waseem Muhammad,Chirag Suri,A Neill,1,0,null,1,0,null,null
43,6.4,Chirag Suri,Waseem Muhammad,A Neill,0,0,null,0,0,null,null
