,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,AC Gilchrist,ML Hayden,HR Johnson,0,0,null,0,0,null,null
1,0.2,AC Gilchrist,ML Hayden,HR Johnson,1,0,null,1,0,null,null
2,0.3,ML Hayden,AC Gilchrist,HR Johnson,0,1,noballs ,1,0,null,null
3,0.4,ML Hayden,AC Gilchrist,HR Johnson,4,0,null,4,0,null,null
4,0.5,ML Hayden,AC Gilchrist,HR Johnson,4,0,null,4,0,null,null
5,0.6,ML Hayden,AC Gilchrist,HR Johnson,0,2,noballs ,2,0,null,null
6,0.7,AC Gilchrist,ML Hayden,HR Johnson,0,0,null,0,0,null,null
7,0.8,AC Gilchrist,ML Hayden,HR Johnson,0,0,null,0,0,null,null
8,1.1,ML Hayden,AC Gilchrist,CA Reid,0,0,null,0,0,null,null
9,1.2,ML Hayden,AC Gilchrist,CA Reid,4,0,null,4,0,null,null
10,1.3,ML Hayden,AC Gilchrist,CA Reid,1,0,null,1,0,null,null
11,1.4,AC Gilchrist,ML Hayden,CA Reid,0,0,null,0,0,null,null
12,1.5,AC Gilchrist,ML Hayden,CA Reid,0,0,null,0,0,null,null
13,1.6,AC Gilchrist,ML Hayden,CA Reid,4,0,null,4,0,null,null
14,2.1,ML Hayden,AC Gilchrist,HR Johnson,0,0,null,0,0,null,null
15,2.2,ML Hayden,AC Gilchrist,HR Johnson,2,0,null,2,0,null,null
16,2.3,ML Hayden,AC Gilchrist,HR Johnson,0,0,null,0,0,null,null
17,2.4,ML Hayden,AC Gilchrist,HR Johnson,0,1,noballs ,1,0,null,null
18,2.5,ML Hayden,AC Gilchrist,HR Johnson,0,0,null,0,0,null,null
19,2.6,ML Hayden,AC Gilchrist,HR Johnson,4,0,null,4,0,null,null
20,2.7,ML Hayden,AC Gilchrist,HR Johnson,4,0,null,4,0,null,null
21,3.1,AC Gilchrist,ML Hayden,CA Reid,0,0,null,0,0,null,null
22,3.2,AC Gilchrist,ML Hayden,CA Reid,2,0,null,2,0,null,null
23,3.3,AC Gilchrist,ML Hayden,CA Reid,0,0,null,0,0,null,null
24,3.4,AC Gilchrist,ML Hayden,CA Reid,4,0,null,4,0,null,null
25,3.5,AC Gilchrist,ML Hayden,CA Reid,1,0,null,1,0,null,null
26,3.6,ML Hayden,AC Gilchrist,CA Reid,0,0,null,0,0,null,null
27,4.1,AC Gilchrist,ML Hayden,HR Johnson,0,0,null,0,0,null,null
28,4.2,AC Gilchrist,ML Hayden,HR Johnson,0,0,null,0,0,null,null
29,4.3,AC Gilchrist,ML Hayden,HR Johnson,1,0,null,1,0,null,null
30,4.4,ML Hayden,AC Gilchrist,HR Johnson,0,0,null,0,0,null,null
31,4.5,ML Hayden,AC Gilchrist,HR Johnson,0,1,wides ,1,0,null,null
32,4.6,ML Hayden,AC Gilchrist,HR Johnson,0,0,null,0,1,ML Hayden,caught
33,4.7,RT Ponting,AC Gilchrist,HR Johnson,1,0,null,1,0,null,null
34,5.1,RT Ponting,AC Gilchrist,CA Reid,0,5,wides ,5,0,null,null
35,5.2,RT Ponting,AC Gilchrist,CA Reid,0,0,null,0,0,null,null
36,5.3,RT Ponting,AC Gilchrist,CA Reid,0,0,null,0,0,null,null
37,5.4,RT Ponting,AC Gilchrist,CA Reid,1,0,null,1,0,null,null
38,5.5,AC Gilchrist,RT Ponting,CA Reid,0,0,null,0,0,null,null
39,5.6,AC Gilchrist,RT Ponting,CA Reid,0,0,null,0,0,null,null
40,5.7,AC Gilchrist,RT Ponting,CA Reid,4,0,null,4,0,null,null
41,6.1,RT Ponting,AC Gilchrist,DL Blake,1,0,null,1,0,null,null
42,6.2,AC Gilchrist,RT Ponting,DL Blake,0,1,legbyes ,1,0,null,null
43,6.3,RT Ponting,AC Gilchrist,DL Blake,1,0,null,1,0,null,null
44,6.4,AC Gilchrist,RT Ponting,DL Blake,1,0,null,1,0,null,null
45,6.5,RT Ponting,AC Gilchrist,DL Blake,4,0,null,4,0,null,null
46,6.6,RT Ponting,AC Gilchrist,DL Blake,0,0,null,0,0,null,null
47,7.1,AC Gilchrist,RT Ponting,Rashid Zia,0,0,null,0,0,null,null
48,7.2,AC Gilchrist,RT Ponting,Rashid Zia,0,0,null,0,0,null,null
49,7.3,AC Gilchrist,RT Ponting,Rashid Zia,0,0,null,0,0,null,null
50,7.4,AC Gilchrist,RT Ponting,Rashid Zia,0,0,null,0,0,null,null
51,7.5,AC Gilchrist,RT Ponting,Rashid Zia,6,0,null,6,0,null,null
