,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Jatinder Singh,Shoaib Khan,SN Netravalkar,6,0,null,6,0,null,null
1,0.2,Jatinder Singh,Shoaib Khan,SN Netravalkar,0,0,null,0,0,null,null
2,0.3,Jatinder Singh,Shoaib Khan,SN Netravalkar,4,0,null,4,0,null,null
3,0.4,Jatinder Singh,Shoaib Khan,SN Netravalkar,0,1,legbyes ,1,0,null,null
4,0.5,Shoaib Khan,Jatinder Singh,SN Netravalkar,0,0,null,0,1,Shoaib Khan,lbw
5,0.6,Ayan Khan,Jatinder Singh,SN Netravalkar,0,0,null,0,0,null,null
6,1.1,Jatinder Singh,Ayan Khan,K Gore,4,0,null,4,0,null,null
7,1.2,Jatinder Singh,Ayan Khan,K Gore,0,0,null,0,0,null,null
8,1.3,Jatinder Singh,Ayan Khan,K Gore,2,0,null,2,0,null,null
9,1.4,Jatinder Singh,Ayan Khan,K Gore,1,0,null,1,0,null,null
10,1.5,Ayan Khan,Jatinder Singh,K Gore,0,0,null,0,0,null,null
11,1.6,Ayan Khan,Jatinder Singh,K Gore,1,0,null,1,0,null,null
12,2.1,Ayan Khan,Jatinder Singh,SN Netravalkar,1,0,null,1,0,null,null
13,2.2,Jatinder Singh,Ayan Khan,SN Netravalkar,0,0,null,0,0,null,null
14,2.3,Jatinder Singh,Ayan Khan,SN Netravalkar,0,0,null,0,1,Jatinder Singh,bowled
15,2.4,Zeeshan Maqsood,Ayan Khan,SN Netravalkar,1,0,null,1,0,null,null
16,2.5,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
17,2.6,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
18,3.1,Zeeshan Maqsood,Ayan Khan,SR Taylor,1,0,null,1,0,null,null
19,3.2,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
20,3.3,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
21,3.4,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
22,3.5,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
23,3.6,Ayan Khan,Zeeshan Maqsood,SR Taylor,1,0,null,1,0,null,null
24,4.1,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
25,4.2,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
26,4.3,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
27,4.4,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
28,4.5,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
29,4.6,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
30,5.1,Zeeshan Maqsood,Ayan Khan,SR Taylor,0,0,null,0,0,null,null
31,5.2,Zeeshan Maqsood,Ayan Khan,SR Taylor,1,0,null,1,0,null,null
32,5.3,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
33,5.4,Ayan Khan,Zeeshan Maqsood,SR Taylor,1,0,null,1,0,null,null
34,5.5,Zeeshan Maqsood,Ayan Khan,SR Taylor,0,0,null,0,0,null,null
35,5.6,Zeeshan Maqsood,Ayan Khan,SR Taylor,0,0,null,0,0,null,null
36,6.1,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
37,6.2,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
38,6.3,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,1,0,null,1,0,null,null
39,6.4,Zeeshan Maqsood,Ayan Khan,SN Netravalkar,0,0,null,0,0,null,null
40,6.5,Zeeshan Maqsood,Ayan Khan,SN Netravalkar,0,0,null,0,0,null,null
41,6.6,Zeeshan Maqsood,Ayan Khan,SN Netravalkar,2,0,null,2,0,null,null
42,7.1,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
43,7.2,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
44,7.3,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
45,7.4,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
46,7.5,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
47,7.6,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
48,8.1,Zeeshan Maqsood,Ayan Khan,SN Netravalkar,1,0,null,1,0,null,null
49,8.2,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
50,8.3,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
51,8.4,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
52,8.5,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,0,0,null,0,0,null,null
53,8.6,Ayan Khan,Zeeshan Maqsood,SN Netravalkar,1,0,null,1,0,null,null
54,9.1,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
55,9.2,Ayan Khan,Zeeshan Maqsood,SR Taylor,0,0,null,0,0,null,null
56,9.3,Ayan Khan,Zeeshan Maqsood,SR Taylor,1,0,null,1,0,null,null
57,9.4,Zeeshan Maqsood,Ayan Khan,SR Taylor,0,0,null,0,0,null,null
58,9.5,Zeeshan Maqsood,Ayan Khan,SR Taylor,0,0,null,0,0,null,null
59,9.6,Zeeshan Maqsood,Ayan Khan,SR Taylor,0,0,null,0,0,null,null
60,10.1,Ayan Khan,Zeeshan Maqsood,EH Hutchinson,0,0,null,0,0,null,null
61,10.2,Ayan Khan,Zeeshan Maqsood,EH Hutchinson,1,0,null,1,0,null,null
