,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SR Watson,DA Warner,KAJ Roach,2,0,null,2,0,null,null
1,0.2,SR Watson,DA Warner,KAJ Roach,0,0,null,0,0,null,null
2,0.3,SR Watson,DA Warner,KAJ Roach,0,0,null,0,0,null,null
3,0.4,SR Watson,DA Warner,KAJ Roach,0,0,null,0,0,null,null
4,0.5,SR Watson,DA Warner,KAJ Roach,0,0,null,0,0,null,null
5,0.6,SR Watson,DA Warner,KAJ Roach,0,0,null,0,0,null,null
6,1.1,DA Warner,SR Watson,DJ Bravo,0,0,null,0,0,null,null
7,1.2,DA Warner,SR Watson,DJ Bravo,0,0,null,0,0,null,null
8,1.3,DA Warner,SR Watson,DJ Bravo,0,0,null,0,0,null,null
9,1.4,DA Warner,SR Watson,DJ Bravo,1,0,null,1,0,null,null
10,1.5,SR Watson,DA Warner,DJ Bravo,2,0,null,2,0,null,null
11,1.6,SR Watson,DA Warner,DJ Bravo,0,0,null,0,0,null,null
12,2.1,DA Warner,SR Watson,KAJ Roach,0,0,null,0,0,null,null
13,2.2,DA Warner,SR Watson,KAJ Roach,0,0,null,0,0,null,null
14,2.3,DA Warner,SR Watson,KAJ Roach,0,0,null,0,0,null,null
15,2.4,DA Warner,SR Watson,KAJ Roach,0,0,null,0,0,null,null
16,2.5,DA Warner,SR Watson,KAJ Roach,0,0,null,0,0,null,null
17,2.6,DA Warner,SR Watson,KAJ Roach,0,0,null,0,0,null,null
18,3.1,SR Watson,DA Warner,DJ Bravo,1,0,null,1,0,null,null
19,3.2,DA Warner,SR Watson,DJ Bravo,2,0,null,2,0,null,null
20,3.3,DA Warner,SR Watson,DJ Bravo,2,0,null,2,0,null,null
21,3.4,DA Warner,SR Watson,DJ Bravo,4,0,null,4,0,null,null
22,3.5,DA Warner,SR Watson,DJ Bravo,0,0,null,0,0,null,null
23,3.6,DA Warner,SR Watson,DJ Bravo,0,0,null,0,0,null,null
24,4.1,SR Watson,DA Warner,KAJ Roach,0,0,null,0,0,null,null
25,4.2,SR Watson,DA Warner,KAJ Roach,1,0,null,1,0,null,null
26,4.3,DA Warner,SR Watson,KAJ Roach,1,0,null,1,0,null,null
27,4.4,SR Watson,DA Warner,KAJ Roach,0,0,null,0,0,null,null
28,4.5,SR Watson,DA Warner,KAJ Roach,0,0,null,0,0,null,null
29,4.6,SR Watson,DA Warner,KAJ Roach,0,0,null,0,0,null,null
30,5.1,DA Warner,SR Watson,DJ Bravo,0,0,null,0,0,null,null
31,5.2,DA Warner,SR Watson,DJ Bravo,3,0,null,3,0,null,null
32,5.3,SR Watson,DA Warner,DJ Bravo,0,0,null,0,0,null,null
33,5.4,SR Watson,DA Warner,DJ Bravo,0,0,null,0,0,null,null
34,5.5,SR Watson,DA Warner,DJ Bravo,0,0,null,0,0,null,null
35,5.6,SR Watson,DA Warner,DJ Bravo,0,0,null,0,0,null,null
36,6.1,DA Warner,SR Watson,KAJ Roach,0,0,null,0,0,null,null
37,6.2,DA Warner,SR Watson,KAJ Roach,0,0,null,0,1,DA Warner,bowled
38,6.3,PJ Forrest,SR Watson,KAJ Roach,0,0,null,0,0,null,null
39,6.4,PJ Forrest,SR Watson,KAJ Roach,0,0,null,0,0,null,null
40,6.5,PJ Forrest,SR Watson,KAJ Roach,0,0,null,0,0,null,null
41,6.6,PJ Forrest,SR Watson,KAJ Roach,0,0,null,0,1,PJ Forrest,caught
42,7.1,SR Watson,MEK Hussey,DJ Bravo,4,0,null,4,0,null,null
43,7.2,SR Watson,MEK Hussey,DJ Bravo,0,0,null,0,0,null,null
44,7.3,SR Watson,MEK Hussey,DJ Bravo,1,0,null,1,0,null,null
45,7.4,MEK Hussey,SR Watson,DJ Bravo,0,1,wides ,1,0,null,null
46,7.5,MEK Hussey,SR Watson,DJ Bravo,1,0,null,1,0,null,null
47,7.6,SR Watson,MEK Hussey,DJ Bravo,0,0,null,0,0,null,null
48,7.7,SR Watson,MEK Hussey,DJ Bravo,0,0,null,0,0,null,null
49,8.1,MEK Hussey,SR Watson,KAJ Roach,0,0,null,0,0,null,null
50,8.2,MEK Hussey,SR Watson,KAJ Roach,0,0,null,0,0,null,null
51,8.3,MEK Hussey,SR Watson,KAJ Roach,0,0,null,0,0,null,null
52,8.4,MEK Hussey,SR Watson,KAJ Roach,0,0,null,0,0,null,null
53,8.5,MEK Hussey,SR Watson,KAJ Roach,0,0,null,0,0,null,null
54,8.6,MEK Hussey,SR Watson,KAJ Roach,0,0,null,0,0,null,null
55,9.1,SR Watson,MEK Hussey,DJG Sammy,0,0,null,0,0,null,null
56,9.2,SR Watson,MEK Hussey,DJG Sammy,1,0,null,1,0,null,null
57,9.3,MEK Hussey,SR Watson,DJG Sammy,1,0,null,1,0,null,null
