,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
1,0.2,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
2,0.3,ADS Fletcher,J Charles,MA Starc,2,0,null,2,0,null,null
3,0.4,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
4,0.5,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
5,0.6,ADS Fletcher,J Charles,MA Starc,0,1,wides ,1,0,null,null
6,0.7,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
7,1.1,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
8,1.2,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
9,1.3,J Charles,ADS Fletcher,JR Hazlewood,4,0,null,4,0,null,null
10,1.4,J Charles,ADS Fletcher,JR Hazlewood,2,0,null,2,0,null,null
11,1.5,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
12,1.6,J Charles,ADS Fletcher,JR Hazlewood,1,0,null,1,0,null,null
13,2.1,J Charles,ADS Fletcher,MA Starc,2,0,null,2,0,null,null
14,2.2,J Charles,ADS Fletcher,MA Starc,0,1,wides ,1,0,null,null
15,2.3,J Charles,ADS Fletcher,MA Starc,0,0,null,0,0,null,null
16,2.4,J Charles,ADS Fletcher,MA Starc,1,0,null,1,0,null,null
17,2.5,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
18,2.6,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
19,2.7,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
20,3.1,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
21,3.2,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
22,3.3,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
23,3.4,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
24,3.5,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
25,3.6,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
26,4.1,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
27,4.2,ADS Fletcher,J Charles,MA Starc,0,1,wides ,1,0,null,null
28,4.3,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
29,4.4,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
30,4.5,ADS Fletcher,J Charles,MA Starc,0,0,null,0,0,null,null
31,4.6,ADS Fletcher,J Charles,MA Starc,1,0,null,1,0,null,null
32,4.7,J Charles,ADS Fletcher,MA Starc,1,0,null,1,0,null,null
33,5.1,J Charles,ADS Fletcher,NM Coulter-Nile,0,0,null,0,0,null,null
34,5.2,J Charles,ADS Fletcher,NM Coulter-Nile,1,0,null,1,0,null,null
35,5.3,ADS Fletcher,J Charles,NM Coulter-Nile,1,0,null,1,0,null,null
36,5.4,J Charles,ADS Fletcher,NM Coulter-Nile,2,0,null,2,0,null,null
37,5.5,J Charles,ADS Fletcher,NM Coulter-Nile,0,0,null,0,0,null,null
38,5.6,J Charles,ADS Fletcher,NM Coulter-Nile,1,0,null,1,0,null,null
39,6.1,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
40,6.2,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
41,6.3,J Charles,ADS Fletcher,JR Hazlewood,6,0,null,6,0,null,null
42,6.4,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
43,6.5,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
44,6.6,J Charles,ADS Fletcher,JR Hazlewood,4,0,null,4,0,null,null
45,7.1,ADS Fletcher,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
46,7.2,ADS Fletcher,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
47,7.3,ADS Fletcher,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
48,7.4,ADS Fletcher,J Charles,NM Coulter-Nile,1,0,null,1,0,null,null
49,7.5,J Charles,ADS Fletcher,NM Coulter-Nile,0,0,null,0,0,null,null
50,7.6,J Charles,ADS Fletcher,NM Coulter-Nile,1,0,null,1,0,null,null
51,8.1,J Charles,ADS Fletcher,JR Hazlewood,4,0,null,4,0,null,null
52,8.2,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
53,8.3,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
54,8.4,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
55,8.5,J Charles,ADS Fletcher,JR Hazlewood,1,0,null,1,0,null,null
56,8.6,ADS Fletcher,J Charles,JR Hazlewood,0,0,null,0,0,null,null
57,9.1,J Charles,ADS Fletcher,NM Coulter-Nile,4,0,null,4,0,null,null
58,9.2,J Charles,ADS Fletcher,NM Coulter-Nile,1,0,null,1,0,null,null
59,9.3,ADS Fletcher,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
60,9.4,ADS Fletcher,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
61,9.5,ADS Fletcher,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
62,9.6,ADS Fletcher,J Charles,NM Coulter-Nile,4,0,null,4,0,null,null
63,10.1,J Charles,ADS Fletcher,JR Hazlewood,0,0,null,0,0,null,null
64,10.2,J Charles,ADS Fletcher,JR Hazlewood,1,0,null,1,0,null,null
65,10.3,ADS Fletcher,J Charles,JR Hazlewood,0,0,null,0,1,ADS Fletcher,caught
66,10.4,DM Bravo,J Charles,JR Hazlewood,0,0,null,0,0,null,null
67,10.5,DM Bravo,J Charles,JR Hazlewood,0,0,null,0,0,null,null
68,10.6,DM Bravo,J Charles,JR Hazlewood,1,0,null,1,0,null,null
69,11.1,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
70,11.2,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
71,11.3,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
72,11.4,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
73,11.5,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
74,11.6,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
75,12.1,J Charles,DM Bravo,NM Coulter-Nile,0,0,null,0,0,null,null
76,12.2,J Charles,DM Bravo,NM Coulter-Nile,0,0,null,0,0,null,null
77,12.3,J Charles,DM Bravo,NM Coulter-Nile,0,0,null,0,0,null,null
78,12.4,J Charles,DM Bravo,NM Coulter-Nile,1,0,null,1,0,null,null
79,12.5,DM Bravo,J Charles,NM Coulter-Nile,4,0,null,4,0,null,null
80,12.6,DM Bravo,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
81,13.1,J Charles,DM Bravo,MR Marsh,0,0,null,0,0,null,null
82,13.2,J Charles,DM Bravo,MR Marsh,1,0,null,1,0,null,null
83,13.3,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
84,13.4,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
85,13.5,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
86,13.6,DM Bravo,J Charles,MR Marsh,0,0,null,0,0,null,null
87,14.1,J Charles,DM Bravo,NM Coulter-Nile,1,0,null,1,0,null,null
88,14.2,DM Bravo,J Charles,NM Coulter-Nile,1,0,null,1,0,null,null
89,14.3,J Charles,DM Bravo,NM Coulter-Nile,1,0,null,1,0,null,null
90,14.4,DM Bravo,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
91,14.5,DM Bravo,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
92,14.6,DM Bravo,J Charles,NM Coulter-Nile,0,0,null,0,0,null,null
93,15.1,J Charles,DM Bravo,A Zampa,0,1,wides ,1,0,null,null
94,15.2,J Charles,DM Bravo,A Zampa,0,0,null,0,0,null,null
95,15.3,J Charles,DM Bravo,A Zampa,0,0,null,0,0,null,null
96,15.4,J Charles,DM Bravo,A Zampa,0,0,null,0,0,null,null
97,15.5,J Charles,DM Bravo,A Zampa,0,0,null,0,0,null,null
98,15.6,J Charles,DM Bravo,A Zampa,0,0,null,0,0,null,null
99,15.7,J Charles,DM Bravo,A Zampa,1,0,null,1,0,null,null
100,16.1,J Charles,DM Bravo,MR Marsh,1,0,null,1,0,null,null
101,16.2,DM Bravo,J Charles,MR Marsh,0,0,null,0,1,DM Bravo,caught
102,16.3,MN Samuels,J Charles,MR Marsh,0,0,null,0,0,null,null
103,16.4,MN Samuels,J Charles,MR Marsh,0,0,null,0,0,null,null
104,16.5,MN Samuels,J Charles,MR Marsh,1,0,null,1,0,null,null
105,16.6,J Charles,MN Samuels,MR Marsh,0,0,null,0,0,null,null
106,17.1,MN Samuels,J Charles,A Zampa,4,0,null,4,0,null,null
107,17.2,MN Samuels,J Charles,A Zampa,0,0,null,0,0,null,null
108,17.3,MN Samuels,J Charles,A Zampa,1,0,null,1,0,null,null
109,17.4,J Charles,MN Samuels,A Zampa,0,0,null,0,0,null,null
110,17.5,J Charles,MN Samuels,A Zampa,0,0,null,0,0,null,null
111,17.6,J Charles,MN Samuels,A Zampa,0,0,null,0,0,null,null
112,18.1,MN Samuels,J Charles,MR Marsh,0,0,null,0,1,MN Samuels,caught
113,18.2,D Ramdin,J Charles,MR Marsh,0,0,null,0,0,null,null
114,18.3,D Ramdin,J Charles,MR Marsh,0,0,null,0,0,null,null
115,18.4,D Ramdin,J Charles,MR Marsh,0,1,noballs ,1,0,null,null
116,18.5,D Ramdin,J Charles,MR Marsh,0,0,null,0,0,null,null
117,18.6,D Ramdin,J Charles,MR Marsh,0,0,null,0,0,null,null
118,18.7,D Ramdin,J Charles,MR Marsh,0,0,null,0,0,null,null
