,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,JJ Roy,JM Bairstow,D Bishoo,0,0,null,0,0,null,null
1,0.2,JJ Roy,JM Bairstow,D Bishoo,1,0,null,1,0,null,null
2,0.3,JM Bairstow,JJ Roy,D Bishoo,0,0,null,0,0,null,null
3,0.4,JM Bairstow,JJ Roy,D Bishoo,0,0,null,0,0,null,null
4,0.5,JM Bairstow,JJ Roy,D Bishoo,0,0,null,0,0,null,null
5,0.6,JM Bairstow,JJ Roy,D Bishoo,1,0,null,1,0,null,null
6,1.1,JM Bairstow,JJ Roy,O Thomas,0,0,null,0,0,null,null
7,1.2,JM Bairstow,JJ Roy,O Thomas,4,0,null,4,0,null,null
8,1.3,JM Bairstow,JJ Roy,O Thomas,0,0,null,0,0,null,null
9,1.4,JM Bairstow,JJ Roy,O Thomas,0,1,wides ,1,0,null,null
10,1.5,JM Bairstow,JJ Roy,O Thomas,0,0,null,0,0,null,null
11,1.6,JM Bairstow,JJ Roy,O Thomas,0,1,legbyes ,1,0,null,null
12,1.7,JJ Roy,JM Bairstow,O Thomas,0,0,null,0,0,null,null
13,2.1,JM Bairstow,JJ Roy,D Bishoo,4,0,null,4,0,null,null
14,2.2,JM Bairstow,JJ Roy,D Bishoo,1,0,null,1,0,null,null
15,2.3,JJ Roy,JM Bairstow,D Bishoo,6,0,null,6,0,null,null
16,2.4,JJ Roy,JM Bairstow,D Bishoo,0,0,null,0,0,null,null
17,2.5,JJ Roy,JM Bairstow,D Bishoo,1,0,null,1,0,null,null
18,2.6,JM Bairstow,JJ Roy,D Bishoo,1,0,null,1,0,null,null
19,3.1,JM Bairstow,JJ Roy,O Thomas,2,0,null,2,0,null,null
20,3.2,JM Bairstow,JJ Roy,O Thomas,0,0,null,0,0,null,null
21,3.3,JM Bairstow,JJ Roy,O Thomas,0,1,wides ,1,0,null,null
22,3.4,JM Bairstow,JJ Roy,O Thomas,0,1,legbyes ,1,0,null,null
23,3.5,JJ Roy,JM Bairstow,O Thomas,2,0,null,2,0,null,null
24,3.6,JJ Roy,JM Bairstow,O Thomas,4,0,null,4,0,null,null
25,3.7,JJ Roy,JM Bairstow,O Thomas,1,0,null,1,0,null,null
26,4.1,JJ Roy,JM Bairstow,D Bishoo,4,0,null,4,0,null,null
27,4.2,JJ Roy,JM Bairstow,D Bishoo,4,0,null,4,0,null,null
28,4.3,JJ Roy,JM Bairstow,D Bishoo,0,0,null,0,0,null,null
29,4.4,JJ Roy,JM Bairstow,D Bishoo,1,0,null,1,0,null,null
30,4.5,JM Bairstow,JJ Roy,D Bishoo,0,0,null,0,0,null,null
31,4.6,JM Bairstow,JJ Roy,D Bishoo,0,0,null,0,0,null,null
32,5.1,JJ Roy,JM Bairstow,O Thomas,4,0,null,4,0,null,null
33,5.2,JJ Roy,JM Bairstow,O Thomas,1,0,null,1,0,null,null
34,5.3,JM Bairstow,JJ Roy,O Thomas,0,0,null,0,0,null,null
35,5.4,JM Bairstow,JJ Roy,O Thomas,4,0,null,4,0,null,null
36,5.5,JM Bairstow,JJ Roy,O Thomas,0,0,null,0,0,null,null
37,5.6,JM Bairstow,JJ Roy,O Thomas,4,0,null,4,0,null,null
38,6.1,JJ Roy,JM Bairstow,JO Holder,0,0,null,0,0,null,null
39,6.2,JJ Roy,JM Bairstow,JO Holder,4,0,null,4,0,null,null
40,6.3,JJ Roy,JM Bairstow,JO Holder,1,0,null,1,0,null,null
41,6.4,JM Bairstow,JJ Roy,JO Holder,0,0,null,0,0,null,null
42,6.5,JM Bairstow,JJ Roy,JO Holder,4,0,null,4,0,null,null
43,6.6,JM Bairstow,JJ Roy,JO Holder,0,0,null,0,0,null,null
44,7.1,JJ Roy,JM Bairstow,CR Brathwaite,0,0,null,0,0,null,null
45,7.2,JJ Roy,JM Bairstow,CR Brathwaite,0,0,null,0,0,null,null
46,7.3,JJ Roy,JM Bairstow,CR Brathwaite,1,0,null,1,0,null,null
47,7.4,JM Bairstow,JJ Roy,CR Brathwaite,1,0,null,1,0,null,null
48,7.5,JJ Roy,JM Bairstow,CR Brathwaite,1,0,null,1,0,null,null
49,7.6,JM Bairstow,JJ Roy,CR Brathwaite,1,0,null,1,0,null,null
50,8.1,JM Bairstow,JJ Roy,JO Holder,1,0,null,1,0,null,null
51,8.2,JJ Roy,JM Bairstow,JO Holder,1,0,null,1,0,null,null
52,8.3,JM Bairstow,JJ Roy,JO Holder,0,0,null,0,0,null,null
53,8.4,JM Bairstow,JJ Roy,JO Holder,0,1,wides ,1,0,null,null
54,8.5,JM Bairstow,JJ Roy,JO Holder,1,0,null,1,0,null,null
55,8.6,JJ Roy,JM Bairstow,JO Holder,4,0,null,4,0,null,null
56,8.7,JJ Roy,JM Bairstow,JO Holder,1,0,null,1,0,null,null
57,9.1,JJ Roy,JM Bairstow,CR Brathwaite,0,1,wides ,1,0,null,null
58,9.2,JJ Roy,JM Bairstow,CR Brathwaite,1,0,null,1,0,null,null
59,9.3,JM Bairstow,JJ Roy,CR Brathwaite,4,0,null,4,0,null,null
60,9.4,JM Bairstow,JJ Roy,CR Brathwaite,1,0,null,1,0,null,null
61,9.5,JJ Roy,JM Bairstow,CR Brathwaite,0,0,null,0,0,null,null
62,9.6,JJ Roy,JM Bairstow,CR Brathwaite,4,0,null,4,0,null,null
63,9.7,JJ Roy,JM Bairstow,CR Brathwaite,1,0,null,1,0,null,null
64,10.1,JJ Roy,JM Bairstow,JO Holder,2,0,null,2,0,null,null
65,10.2,JJ Roy,JM Bairstow,JO Holder,0,0,null,0,0,null,null
66,10.3,JJ Roy,JM Bairstow,JO Holder,1,0,null,1,0,null,null
67,10.4,JM Bairstow,JJ Roy,JO Holder,0,0,null,0,0,null,null
68,10.5,JM Bairstow,JJ Roy,JO Holder,0,0,null,0,1,JM Bairstow,caught
69,10.6,JE Root,JJ Roy,JO Holder,1,0,null,1,0,null,null
70,11.1,JE Root,JJ Roy,CR Brathwaite,1,0,null,1,0,null,null
71,11.2,JJ Roy,JE Root,CR Brathwaite,4,0,null,4,0,null,null
72,11.3,JJ Roy,JE Root,CR Brathwaite,1,0,null,1,0,null,null
73,11.4,JE Root,JJ Roy,CR Brathwaite,1,0,null,1,0,null,null
74,11.5,JJ Roy,JE Root,CR Brathwaite,0,0,null,0,0,null,null
75,11.6,JJ Roy,JE Root,CR Brathwaite,1,0,null,1,0,null,null
76,12.1,JJ Roy,JE Root,JO Holder,1,0,null,1,0,null,null
77,12.2,JE Root,JJ Roy,JO Holder,1,0,null,1,0,null,null
78,12.3,JJ Roy,JE Root,JO Holder,1,0,null,1,0,null,null
79,12.4,JE Root,JJ Roy,JO Holder,1,0,null,1,0,null,null
80,12.5,JJ Roy,JE Root,JO Holder,1,0,null,1,0,null,null
81,12.6,JE Root,JJ Roy,JO Holder,0,0,null,0,0,null,null
82,13.1,JJ Roy,JE Root,CR Brathwaite,1,0,null,1,0,null,null
83,13.2,JE Root,JJ Roy,CR Brathwaite,0,0,null,0,0,null,null
84,13.3,JE Root,JJ Roy,CR Brathwaite,1,0,null,1,0,null,null
85,13.4,JJ Roy,JE Root,CR Brathwaite,0,0,null,0,0,null,null
86,13.5,JJ Roy,JE Root,CR Brathwaite,2,0,null,2,0,null,null
87,13.6,JJ Roy,JE Root,CR Brathwaite,4,0,null,4,0,null,null
88,14.1,JE Root,JJ Roy,D Bishoo,0,0,null,0,0,null,null
89,14.2,JE Root,JJ Roy,D Bishoo,3,0,null,3,0,null,null
90,14.3,JJ Roy,JE Root,D Bishoo,0,0,null,0,0,null,null
91,14.4,JJ Roy,JE Root,D Bishoo,4,0,null,4,0,null,null
92,14.5,JJ Roy,JE Root,D Bishoo,1,0,null,1,0,null,null
93,14.6,JE Root,JJ Roy,D Bishoo,1,0,null,1,0,null,null
94,15.1,JE Root,JJ Roy,AR Nurse,1,0,null,1,0,null,null
95,15.2,JJ Roy,JE Root,AR Nurse,0,0,null,0,0,null,null
96,15.3,JJ Roy,JE Root,AR Nurse,1,0,null,1,0,null,null
97,15.4,JE Root,JJ Roy,AR Nurse,1,0,null,1,0,null,null
98,15.5,JJ Roy,JE Root,AR Nurse,0,0,null,0,0,null,null
99,15.6,JJ Roy,JE Root,AR Nurse,1,0,null,1,0,null,null
100,16.1,JJ Roy,JE Root,JO Holder,1,0,null,1,0,null,null
101,16.2,JE Root,JJ Roy,JO Holder,0,0,null,0,0,null,null
102,16.3,JE Root,JJ Roy,JO Holder,0,0,null,0,0,null,null
103,16.4,JE Root,JJ Roy,JO Holder,1,0,null,1,0,null,null
104,16.5,JJ Roy,JE Root,JO Holder,1,0,null,1,0,null,null
105,16.6,JE Root,JJ Roy,JO Holder,0,1,wides ,1,0,null,null
106,16.7,JE Root,JJ Roy,JO Holder,1,0,null,1,0,null,null
107,17.1,JE Root,JJ Roy,AR Nurse,0,0,null,0,0,null,null
108,17.2,JE Root,JJ Roy,AR Nurse,1,0,null,1,0,null,null
109,17.3,JJ Roy,JE Root,AR Nurse,0,0,null,0,0,null,null
110,17.4,JJ Roy,JE Root,AR Nurse,4,0,null,4,0,null,null
111,17.5,JJ Roy,JE Root,AR Nurse,1,0,null,1,0,null,null
112,17.6,JE Root,JJ Roy,AR Nurse,1,0,null,1,0,null,null
113,18.1,JE Root,JJ Roy,JO Holder,1,0,null,1,0,null,null
114,18.2,JJ Roy,JE Root,JO Holder,1,0,null,1,0,null,null
115,18.3,JE Root,JJ Roy,JO Holder,1,0,null,1,0,null,null
116,18.4,JJ Roy,JE Root,JO Holder,0,0,null,0,0,null,null
117,18.5,JJ Roy,JE Root,JO Holder,1,0,null,1,0,null,null
118,18.6,JE Root,JJ Roy,JO Holder,1,0,null,1,0,null,null
119,19.1,JE Root,JJ Roy,AR Nurse,0,0,null,0,0,null,null
120,19.2,JE Root,JJ Roy,AR Nurse,1,0,null,1,0,null,null
121,19.3,JJ Roy,JE Root,AR Nurse,1,0,null,1,0,null,null
122,19.4,JE Root,JJ Roy,AR Nurse,1,0,null,1,0,null,null
123,19.5,JJ Roy,JE Root,AR Nurse,1,0,null,1,0,null,null
124,19.6,JE Root,JJ Roy,AR Nurse,1,0,null,1,0,null,null
125,20.1,JE Root,JJ Roy,O Thomas,0,0,null,0,0,null,null
126,20.2,JE Root,JJ Roy,O Thomas,1,0,null,1,0,null,null
127,20.3,JJ Roy,JE Root,O Thomas,4,0,null,4,0,null,null
128,20.4,JJ Roy,JE Root,O Thomas,4,0,null,4,0,null,null
129,20.5,JJ Roy,JE Root,O Thomas,0,0,null,0,0,null,null
130,20.6,JJ Roy,JE Root,O Thomas,1,0,null,1,0,null,null
131,21.1,JJ Roy,JE Root,AR Nurse,6,0,null,6,0,null,null
132,21.2,JJ Roy,JE Root,AR Nurse,1,0,null,1,0,null,null
133,21.3,JE Root,JJ Roy,AR Nurse,4,0,null,4,0,null,null
134,21.4,JE Root,JJ Roy,AR Nurse,1,0,null,1,0,null,null
135,21.5,JJ Roy,JE Root,AR Nurse,0,0,null,0,0,null,null
136,21.6,JJ Roy,JE Root,AR Nurse,6,0,null,6,0,null,null
137,22.1,JE Root,JJ Roy,D Bishoo,1,0,null,1,0,null,null
138,22.2,JJ Roy,JE Root,D Bishoo,4,0,null,4,0,null,null
139,22.3,JJ Roy,JE Root,D Bishoo,0,0,null,0,0,null,null
140,22.4,JJ Roy,JE Root,D Bishoo,0,0,null,0,0,null,null
141,22.5,JJ Roy,JE Root,D Bishoo,1,0,null,1,0,null,null
142,22.6,JE Root,JJ Roy,D Bishoo,0,0,null,0,0,null,null
143,23.1,JJ Roy,JE Root,AR Nurse,1,0,null,1,0,null,null
144,23.2,JE Root,JJ Roy,AR Nurse,1,0,null,1,0,null,null
145,23.3,JJ Roy,JE Root,AR Nurse,0,0,null,0,0,null,null
146,23.4,JJ Roy,JE Root,AR Nurse,0,0,null,0,0,null,null
147,23.5,JJ Roy,JE Root,AR Nurse,4,0,null,4,0,null,null
148,23.6,JJ Roy,JE Root,AR Nurse,1,0,null,1,0,null,null
149,24.1,JJ Roy,JE Root,D Bishoo,1,0,null,1,0,null,null
150,24.2,JE Root,JJ Roy,D Bishoo,0,0,null,0,0,null,null
151,24.3,JE Root,JJ Roy,D Bishoo,1,0,null,1,0,null,null
152,24.4,JJ Roy,JE Root,D Bishoo,1,0,null,1,0,null,null
153,24.5,JE Root,JJ Roy,D Bishoo,4,0,null,4,0,null,null
154,24.6,JE Root,JJ Roy,D Bishoo,0,0,null,0,0,null,null
155,25.1,JJ Roy,JE Root,CR Brathwaite,1,0,null,1,0,null,null
156,25.2,JE Root,JJ Roy,CR Brathwaite,0,0,null,0,0,null,null
157,25.3,JE Root,JJ Roy,CR Brathwaite,2,0,null,2,0,null,null
158,25.4,JE Root,JJ Roy,CR Brathwaite,0,0,null,0,0,null,null
159,25.5,JE Root,JJ Roy,CR Brathwaite,1,0,null,1,0,null,null
160,25.6,JJ Roy,JE Root,CR Brathwaite,1,0,null,1,0,null,null
161,26.1,JJ Roy,JE Root,D Bishoo,1,0,null,1,0,null,null
162,26.2,JE Root,JJ Roy,D Bishoo,2,0,null,2,0,null,null
163,26.3,JE Root,JJ Roy,D Bishoo,1,0,null,1,0,null,null
164,26.4,JJ Roy,JE Root,D Bishoo,0,0,null,0,0,null,null
165,26.5,JJ Roy,JE Root,D Bishoo,0,0,null,0,0,null,null
166,26.6,JJ Roy,JE Root,D Bishoo,0,0,null,0,1,JJ Roy,caught
167,27.1,JE Root,EJG Morgan,CR Brathwaite,1,0,null,1,0,null,null
168,27.2,EJG Morgan,JE Root,CR Brathwaite,0,0,null,0,0,null,null
169,27.3,EJG Morgan,JE Root,CR Brathwaite,1,0,null,1,0,null,null
170,27.4,JE Root,EJG Morgan,CR Brathwaite,1,0,null,1,0,null,null
171,27.5,EJG Morgan,JE Root,CR Brathwaite,1,0,null,1,0,null,null
172,27.6,JE Root,EJG Morgan,CR Brathwaite,1,0,null,1,0,null,null
