,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,RG Sharma,Ishan Kishan,KAJ Roach,0,0,null,0,0,null,null
1,0.2,RG Sharma,Ishan Kishan,KAJ Roach,0,1,wides ,1,0,null,null
2,0.3,RG Sharma,Ishan Kishan,KAJ Roach,0,1,wides ,1,0,null,null
3,0.4,RG Sharma,Ishan Kishan,KAJ Roach,0,0,null,0,0,null,null
4,0.5,RG Sharma,Ishan Kishan,KAJ Roach,0,0,null,0,0,null,null
5,0.6,RG Sharma,Ishan Kishan,KAJ Roach,4,0,null,4,0,null,null
6,0.7,RG Sharma,Ishan Kishan,KAJ Roach,0,0,null,0,0,null,null
7,0.8,RG Sharma,Ishan Kishan,KAJ Roach,0,0,null,0,0,null,null
8,1.1,Ishan Kishan,RG Sharma,JO Holder,1,0,null,1,0,null,null
9,1.2,RG Sharma,Ishan Kishan,JO Holder,2,0,null,2,0,null,null
10,1.3,RG Sharma,Ishan Kishan,JO Holder,0,0,null,0,0,null,null
11,1.4,RG Sharma,Ishan Kishan,JO Holder,0,0,null,0,0,null,null
12,1.5,RG Sharma,Ishan Kishan,JO Holder,0,0,null,0,0,null,null
13,1.6,RG Sharma,Ishan Kishan,JO Holder,0,0,null,0,0,null,null
14,2.1,Ishan Kishan,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
15,2.2,Ishan Kishan,RG Sharma,KAJ Roach,0,1,wides ,1,0,null,null
16,2.3,Ishan Kishan,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
17,2.4,Ishan Kishan,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
18,2.5,Ishan Kishan,RG Sharma,KAJ Roach,2,0,null,2,0,null,null
19,2.6,Ishan Kishan,RG Sharma,KAJ Roach,0,1,wides ,1,0,null,null
20,2.7,Ishan Kishan,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
21,2.8,Ishan Kishan,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
22,3.1,RG Sharma,Ishan Kishan,JO Holder,0,0,null,0,0,null,null
23,3.2,RG Sharma,Ishan Kishan,JO Holder,4,0,null,4,0,null,null
24,3.3,RG Sharma,Ishan Kishan,JO Holder,0,0,null,0,0,null,null
25,3.4,RG Sharma,Ishan Kishan,JO Holder,0,0,null,0,0,null,null
26,3.5,RG Sharma,Ishan Kishan,JO Holder,1,0,null,1,0,null,null
27,3.6,Ishan Kishan,RG Sharma,JO Holder,0,0,null,0,0,null,null
28,4.1,RG Sharma,Ishan Kishan,KAJ Roach,1,0,null,1,0,null,null
29,4.2,Ishan Kishan,RG Sharma,KAJ Roach,0,0,null,0,0,null,null
30,4.3,Ishan Kishan,RG Sharma,KAJ Roach,1,0,null,1,0,null,null
31,4.4,RG Sharma,Ishan Kishan,KAJ Roach,2,0,null,2,0,null,null
32,4.5,RG Sharma,Ishan Kishan,KAJ Roach,4,0,null,4,0,null,null
33,4.6,RG Sharma,Ishan Kishan,KAJ Roach,0,0,null,0,0,null,null
34,5.1,Ishan Kishan,RG Sharma,JO Holder,0,0,null,0,0,null,null
