,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,WTS Porterfield,PR Stirling,AS Joseph,0,0,null,0,1,WTS Porterfield,caught
1,0.2,AR McBrine,PR Stirling,AS Joseph,0,1,wides ,1,0,null,null
2,0.3,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
3,0.4,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
4,0.5,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
5,0.6,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
6,0.7,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
7,1.1,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
8,1.2,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
9,1.3,PR Stirling,AR McBrine,R Shepherd,2,0,null,2,0,null,null
10,1.4,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
11,1.5,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
12,1.6,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
13,2.1,AR McBrine,PR Stirling,AS Joseph,4,0,null,4,0,null,null
14,2.2,AR McBrine,PR Stirling,AS Joseph,0,1,wides ,1,0,null,null
15,2.3,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
16,2.4,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
17,2.5,AR McBrine,PR Stirling,AS Joseph,0,1,wides ,1,0,null,null
18,2.6,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
19,2.7,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
20,2.8,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
21,3.1,PR Stirling,AR McBrine,R Shepherd,2,0,null,2,0,null,null
22,3.2,PR Stirling,AR McBrine,R Shepherd,4,0,null,4,0,null,null
23,3.3,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
24,3.4,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
25,3.5,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
26,3.6,PR Stirling,AR McBrine,R Shepherd,2,0,null,2,0,null,null
27,4.1,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
28,4.2,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
29,4.3,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
30,4.4,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
31,4.5,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
32,4.6,AR McBrine,PR Stirling,AS Joseph,0,0,null,0,0,null,null
33,5.1,PR Stirling,AR McBrine,R Shepherd,1,0,null,1,0,null,null
34,5.2,AR McBrine,PR Stirling,R Shepherd,0,0,null,0,0,null,null
35,5.3,AR McBrine,PR Stirling,R Shepherd,0,0,null,0,0,null,null
36,5.4,AR McBrine,PR Stirling,R Shepherd,0,0,null,0,0,null,null
37,5.5,AR McBrine,PR Stirling,R Shepherd,0,0,null,0,0,null,null
38,5.6,AR McBrine,PR Stirling,R Shepherd,0,0,null,0,0,null,null
39,6.1,PR Stirling,AR McBrine,OF Smith,0,1,wides ,1,0,null,null
40,6.2,PR Stirling,AR McBrine,OF Smith,0,1,wides ,1,0,null,null
41,6.3,PR Stirling,AR McBrine,OF Smith,6,0,null,6,0,null,null
42,6.4,PR Stirling,AR McBrine,OF Smith,0,0,null,0,0,null,null
43,6.5,PR Stirling,AR McBrine,OF Smith,0,1,wides ,1,0,null,null
44,6.6,PR Stirling,AR McBrine,OF Smith,1,0,null,1,0,null,null
45,6.7,AR McBrine,PR Stirling,OF Smith,0,0,null,0,0,null,null
46,6.8,AR McBrine,PR Stirling,OF Smith,0,0,null,0,0,null,null
47,6.9,AR McBrine,PR Stirling,OF Smith,0,1,wides ,1,0,null,null
48,6.10,AR McBrine,PR Stirling,OF Smith,0,0,null,0,0,null,null
49,7.1,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
50,7.2,PR Stirling,AR McBrine,R Shepherd,0,0,null,0,0,null,null
51,7.3,PR Stirling,AR McBrine,R Shepherd,4,0,null,4,0,null,null
52,7.4,PR Stirling,AR McBrine,R Shepherd,2,0,null,2,0,null,null
53,7.5,PR Stirling,AR McBrine,R Shepherd,1,0,null,1,0,null,null
54,7.6,AR McBrine,PR Stirling,R Shepherd,0,0,null,0,0,null,null
55,8.1,PR Stirling,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
56,8.2,AR McBrine,PR Stirling,AJ Hosein,0,0,null,0,0,null,null
57,8.3,AR McBrine,PR Stirling,AJ Hosein,4,0,null,4,0,null,null
58,8.4,AR McBrine,PR Stirling,AJ Hosein,1,0,null,1,0,null,null
59,8.5,PR Stirling,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
60,8.6,AR McBrine,PR Stirling,AJ Hosein,0,1,wides ,1,0,null,null
61,8.7,AR McBrine,PR Stirling,AJ Hosein,0,0,null,0,0,null,null
62,9.1,PR Stirling,AR McBrine,JO Holder,0,0,null,0,0,null,null
63,9.2,PR Stirling,AR McBrine,JO Holder,1,0,null,1,0,null,null
64,9.3,AR McBrine,PR Stirling,JO Holder,0,0,null,0,0,null,null
65,9.4,AR McBrine,PR Stirling,JO Holder,2,0,null,2,0,null,null
66,9.5,AR McBrine,PR Stirling,JO Holder,4,0,null,4,0,null,null
67,9.6,AR McBrine,PR Stirling,JO Holder,0,0,null,0,0,null,null
68,10.1,PR Stirling,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
69,10.2,AR McBrine,PR Stirling,AJ Hosein,1,0,null,1,0,null,null
70,10.3,PR Stirling,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
71,10.4,AR McBrine,PR Stirling,AJ Hosein,1,0,null,1,0,null,null
72,10.5,PR Stirling,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
73,10.6,AR McBrine,PR Stirling,AJ Hosein,0,0,null,0,0,null,null
74,11.1,PR Stirling,AR McBrine,JO Holder,4,0,null,4,0,null,null
75,11.2,PR Stirling,AR McBrine,JO Holder,0,0,null,0,0,null,null
76,11.3,PR Stirling,AR McBrine,JO Holder,0,0,null,0,0,null,null
77,11.4,PR Stirling,AR McBrine,JO Holder,1,0,null,1,0,null,null
78,11.5,AR McBrine,PR Stirling,JO Holder,0,0,null,0,0,null,null
79,11.6,AR McBrine,PR Stirling,JO Holder,4,0,null,4,0,null,null
80,12.1,PR Stirling,AR McBrine,AJ Hosein,4,0,null,4,0,null,null
81,12.2,PR Stirling,AR McBrine,AJ Hosein,0,0,null,0,0,null,null
82,12.3,PR Stirling,AR McBrine,AJ Hosein,4,0,null,4,0,null,null
83,12.4,PR Stirling,AR McBrine,AJ Hosein,0,0,null,0,0,null,null
84,12.5,PR Stirling,AR McBrine,AJ Hosein,0,0,null,0,0,null,null
85,12.6,PR Stirling,AR McBrine,AJ Hosein,0,0,null,0,1,PR Stirling,lbw
86,13.1,AR McBrine,HT Tector,AS Joseph,0,1,wides ,1,0,null,null
87,13.2,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
88,13.3,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
89,13.4,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
90,13.5,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
91,13.6,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
92,13.7,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
93,14.1,HT Tector,AR McBrine,AJ Hosein,0,0,null,0,0,null,null
94,14.2,HT Tector,AR McBrine,AJ Hosein,0,0,null,0,0,null,null
95,14.3,HT Tector,AR McBrine,AJ Hosein,0,0,null,0,0,null,null
96,14.4,HT Tector,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
97,14.5,AR McBrine,HT Tector,AJ Hosein,4,0,null,4,0,null,null
98,14.6,AR McBrine,HT Tector,AJ Hosein,1,0,null,1,0,null,null
99,15.1,AR McBrine,HT Tector,AS Joseph,1,0,null,1,0,null,null
100,15.2,HT Tector,AR McBrine,AS Joseph,0,0,null,0,0,null,null
101,15.3,HT Tector,AR McBrine,AS Joseph,0,0,null,0,0,null,null
102,15.4,HT Tector,AR McBrine,AS Joseph,0,1,legbyes ,1,0,null,null
103,15.5,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
104,15.6,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
105,16.1,HT Tector,AR McBrine,AJ Hosein,4,0,null,4,0,null,null
106,16.2,HT Tector,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
107,16.3,AR McBrine,HT Tector,AJ Hosein,1,0,null,1,0,null,null
108,16.4,HT Tector,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
109,16.5,AR McBrine,HT Tector,AJ Hosein,0,0,null,0,0,null,null
110,16.6,AR McBrine,HT Tector,AJ Hosein,2,0,null,2,0,null,null
111,17.1,HT Tector,AR McBrine,AS Joseph,0,1,wides ,1,0,null,null
112,17.2,HT Tector,AR McBrine,AS Joseph,0,0,null,0,0,null,null
113,17.3,HT Tector,AR McBrine,AS Joseph,0,0,null,0,0,null,null
114,17.4,HT Tector,AR McBrine,AS Joseph,0,1,wides ,1,0,null,null
115,17.5,HT Tector,AR McBrine,AS Joseph,1,0,null,1,0,null,null
116,17.6,AR McBrine,HT Tector,AS Joseph,0,1,wides ,1,0,null,null
117,17.7,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
118,17.8,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
119,17.9,AR McBrine,HT Tector,AS Joseph,0,0,null,0,0,null,null
120,18.1,HT Tector,AR McBrine,AJ Hosein,0,0,null,0,0,null,null
121,18.2,HT Tector,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
122,18.3,AR McBrine,HT Tector,AJ Hosein,0,0,null,0,0,null,null
123,18.4,AR McBrine,HT Tector,AJ Hosein,1,0,null,1,0,null,null
124,18.5,HT Tector,AR McBrine,AJ Hosein,1,0,null,1,0,null,null
125,18.6,AR McBrine,HT Tector,AJ Hosein,1,0,null,1,0,null,null
126,19.1,AR McBrine,HT Tector,R Shepherd,0,0,null,0,0,null,null
127,19.2,AR McBrine,HT Tector,R Shepherd,1,0,null,1,0,null,null
128,19.3,HT Tector,AR McBrine,R Shepherd,0,0,null,0,0,null,null
129,19.4,HT Tector,AR McBrine,R Shepherd,1,0,null,1,0,null,null
130,19.5,AR McBrine,HT Tector,R Shepherd,0,1,wides ,1,0,null,null
131,19.6,AR McBrine,HT Tector,R Shepherd,1,0,null,1,0,null,null
132,19.7,HT Tector,AR McBrine,R Shepherd,0,0,null,0,0,null,null
133,20.1,AR McBrine,HT Tector,KA Pollard,2,0,null,2,0,null,null
134,20.2,AR McBrine,HT Tector,KA Pollard,1,0,null,1,0,null,null
135,20.3,HT Tector,AR McBrine,KA Pollard,0,0,null,0,0,null,null
136,20.4,HT Tector,AR McBrine,KA Pollard,1,0,null,1,0,null,null
137,20.5,AR McBrine,HT Tector,KA Pollard,0,0,null,0,0,null,null
138,20.6,AR McBrine,HT Tector,KA Pollard,0,0,null,0,0,null,null
139,21.1,HT Tector,AR McBrine,R Shepherd,1,0,null,1,0,null,null
140,21.2,AR McBrine,HT Tector,R Shepherd,0,0,null,0,0,null,null
141,21.3,AR McBrine,HT Tector,R Shepherd,0,0,null,0,0,null,null
142,21.4,AR McBrine,HT Tector,R Shepherd,0,0,null,0,0,null,null
143,21.5,AR McBrine,HT Tector,R Shepherd,1,0,null,1,0,null,null
144,21.6,HT Tector,AR McBrine,R Shepherd,0,0,null,0,0,null,null
145,22.1,AR McBrine,HT Tector,KA Pollard,1,0,null,1,0,null,null
146,22.2,HT Tector,AR McBrine,KA Pollard,1,0,null,1,0,null,null
147,22.3,AR McBrine,HT Tector,KA Pollard,0,0,null,0,0,null,null
148,22.4,AR McBrine,HT Tector,KA Pollard,0,0,null,0,0,null,null
149,22.5,AR McBrine,HT Tector,KA Pollard,0,0,null,0,0,null,null
150,22.6,AR McBrine,HT Tector,KA Pollard,0,0,null,0,0,null,null
151,23.1,HT Tector,AR McBrine,RL Chase,4,0,null,4,0,null,null
152,23.2,HT Tector,AR McBrine,RL Chase,1,0,null,1,0,null,null
153,23.3,AR McBrine,HT Tector,RL Chase,1,0,null,1,0,null,null
154,23.4,HT Tector,AR McBrine,RL Chase,1,0,null,1,0,null,null
155,23.5,AR McBrine,HT Tector,RL Chase,0,0,null,0,0,null,null
156,23.6,AR McBrine,HT Tector,RL Chase,0,0,null,0,0,null,null
157,24.1,HT Tector,AR McBrine,KA Pollard,0,0,null,0,0,null,null
158,24.2,HT Tector,AR McBrine,KA Pollard,0,0,null,0,0,null,null
159,24.3,HT Tector,AR McBrine,KA Pollard,1,0,null,1,0,null,null
160,24.4,AR McBrine,HT Tector,KA Pollard,1,0,null,1,0,null,null
161,24.5,HT Tector,AR McBrine,KA Pollard,0,0,null,0,0,null,null
162,24.6,HT Tector,AR McBrine,KA Pollard,0,0,null,0,0,null,null
163,25.1,AR McBrine,HT Tector,RL Chase,1,0,null,1,0,null,null
164,25.2,HT Tector,AR McBrine,RL Chase,0,0,null,0,0,null,null
165,25.3,HT Tector,AR McBrine,RL Chase,1,0,null,1,0,null,null
166,25.4,AR McBrine,HT Tector,RL Chase,0,0,null,0,0,null,null
167,25.5,AR McBrine,HT Tector,RL Chase,1,0,null,1,0,null,null
168,25.6,HT Tector,AR McBrine,RL Chase,1,0,null,1,0,null,null
169,26.1,HT Tector,AR McBrine,AS Joseph,3,0,null,3,0,null,null
170,26.2,AR McBrine,HT Tector,AS Joseph,1,0,null,1,0,null,null
171,26.3,HT Tector,AR McBrine,AS Joseph,0,0,null,0,0,null,null
172,26.4,HT Tector,AR McBrine,AS Joseph,1,0,null,1,0,null,null
