,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,RJ Nicol,MJ Guptill,R Rampaul,1,0,null,1,0,null,null
1,0.2,MJ Guptill,RJ Nicol,R Rampaul,0,0,null,0,0,null,null
2,0.3,MJ Guptill,RJ Nicol,R Rampaul,0,0,null,0,0,null,null
3,0.4,MJ Guptill,RJ Nicol,R Rampaul,0,0,null,0,0,null,null
4,0.5,MJ Guptill,RJ Nicol,R Rampaul,0,0,null,0,0,null,null
5,0.6,MJ Guptill,RJ Nicol,R Rampaul,1,0,null,1,0,null,null
6,1.1,MJ Guptill,RJ Nicol,AD Russell,0,1,wides ,1,0,null,null
7,1.2,MJ Guptill,RJ Nicol,AD Russell,0,0,null,0,1,MJ Guptill,caught
8,1.3,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
9,1.4,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
10,1.5,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
11,1.6,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
12,1.7,DR Flynn,RJ Nicol,AD Russell,0,1,wides ,1,0,null,null
13,1.8,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
14,2.1,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
15,2.2,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
16,2.3,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
17,2.4,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
18,2.5,RJ Nicol,DR Flynn,R Rampaul,1,0,null,1,0,null,null
19,2.6,DR Flynn,RJ Nicol,R Rampaul,0,0,null,0,0,null,null
20,3.1,RJ Nicol,DR Flynn,AD Russell,0,0,null,0,0,null,null
21,3.2,RJ Nicol,DR Flynn,AD Russell,0,0,null,0,0,null,null
22,3.3,RJ Nicol,DR Flynn,AD Russell,0,0,null,0,0,null,null
23,3.4,RJ Nicol,DR Flynn,AD Russell,2,0,null,2,0,null,null
24,3.5,RJ Nicol,DR Flynn,AD Russell,0,1,wides ,1,0,null,null
25,3.6,RJ Nicol,DR Flynn,AD Russell,0,0,null,0,0,null,null
26,3.7,RJ Nicol,DR Flynn,AD Russell,0,0,null,0,0,null,null
27,4.1,DR Flynn,RJ Nicol,R Rampaul,3,0,null,3,0,null,null
28,4.2,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
29,4.3,RJ Nicol,DR Flynn,R Rampaul,4,0,null,4,0,null,null
30,4.4,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
31,4.5,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
32,4.6,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
33,5.1,DR Flynn,RJ Nicol,AD Russell,0,1,wides ,1,0,null,null
34,5.2,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
35,5.3,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
36,5.4,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
37,5.5,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
38,5.6,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,0,null,null
39,5.7,DR Flynn,RJ Nicol,AD Russell,4,0,null,4,0,null,null
40,6.1,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
41,6.2,RJ Nicol,DR Flynn,R Rampaul,4,0,null,4,0,null,null
42,6.3,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
43,6.4,RJ Nicol,DR Flynn,R Rampaul,0,0,null,0,0,null,null
44,6.5,RJ Nicol,DR Flynn,R Rampaul,1,0,null,1,0,null,null
45,6.6,DR Flynn,RJ Nicol,R Rampaul,1,0,null,1,0,null,null
46,7.1,DR Flynn,RJ Nicol,AD Russell,4,0,null,4,0,null,null
47,7.2,DR Flynn,RJ Nicol,AD Russell,0,0,null,0,1,DR Flynn,bowled
48,7.3,KS Williamson,RJ Nicol,AD Russell,0,0,null,0,0,null,null
49,7.4,KS Williamson,RJ Nicol,AD Russell,0,0,null,0,0,null,null
50,7.5,KS Williamson,RJ Nicol,AD Russell,0,0,null,0,0,null,null
51,7.6,KS Williamson,RJ Nicol,AD Russell,0,0,null,0,0,null,null
52,8.1,RJ Nicol,KS Williamson,R Rampaul,0,0,null,0,0,null,null
53,8.2,RJ Nicol,KS Williamson,R Rampaul,1,0,null,1,0,null,null
54,8.3,KS Williamson,RJ Nicol,R Rampaul,0,0,null,0,0,null,null
55,8.4,KS Williamson,RJ Nicol,R Rampaul,0,0,null,0,0,null,null
56,8.5,KS Williamson,RJ Nicol,R Rampaul,0,0,null,0,0,null,null
57,8.6,KS Williamson,RJ Nicol,R Rampaul,2,0,null,2,0,null,null
58,9.1,RJ Nicol,KS Williamson,AD Russell,0,0,null,0,0,null,null
59,9.2,RJ Nicol,KS Williamson,AD Russell,0,0,null,0,1,RJ Nicol,caught
