,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,LMP Simmons,KA Edwards,Shahid Afridi,0,0,null,0,0,null,null
1,0.2,LMP Simmons,KA Edwards,Shahid Afridi,0,0,null,0,0,null,null
2,0.3,LMP Simmons,KA Edwards,Shahid Afridi,0,0,null,0,0,null,null
3,0.4,LMP Simmons,KA Edwards,Shahid Afridi,0,0,null,0,0,null,null
4,0.5,LMP Simmons,KA Edwards,Shahid Afridi,4,0,null,4,0,null,null
5,0.6,LMP Simmons,KA Edwards,Shahid Afridi,0,0,null,0,0,null,null
6,1.1,KA Edwards,LMP Simmons,Junaid Khan,0,0,null,0,0,null,null
7,1.2,KA Edwards,LMP Simmons,Junaid Khan,0,0,null,0,0,null,null
8,1.3,KA Edwards,LMP Simmons,Junaid Khan,0,0,null,0,0,null,null
9,1.4,KA Edwards,LMP Simmons,Junaid Khan,0,0,null,0,0,null,null
10,1.5,KA Edwards,LMP Simmons,Junaid Khan,0,0,null,0,0,null,null
11,1.6,KA Edwards,LMP Simmons,Junaid Khan,0,0,null,0,0,null,null
12,2.1,LMP Simmons,KA Edwards,Shahid Afridi,4,0,null,4,0,null,null
13,2.2,LMP Simmons,KA Edwards,Shahid Afridi,0,0,null,0,0,null,null
14,2.3,LMP Simmons,KA Edwards,Shahid Afridi,0,0,null,0,0,null,null
15,2.4,LMP Simmons,KA Edwards,Shahid Afridi,0,0,null,0,0,null,null
16,2.5,LMP Simmons,KA Edwards,Shahid Afridi,0,0,null,0,0,null,null
17,2.6,LMP Simmons,KA Edwards,Shahid Afridi,0,4,legbyes ,4,0,null,null
18,3.1,KA Edwards,LMP Simmons,Junaid Khan,3,0,null,3,0,null,null
19,3.2,LMP Simmons,KA Edwards,Junaid Khan,0,0,null,0,0,null,null
20,3.3,LMP Simmons,KA Edwards,Junaid Khan,2,0,null,2,0,null,null
21,3.4,LMP Simmons,KA Edwards,Junaid Khan,1,0,null,1,0,null,null
22,3.5,KA Edwards,LMP Simmons,Junaid Khan,2,0,null,2,0,null,null
23,3.6,KA Edwards,LMP Simmons,Junaid Khan,1,0,null,1,0,null,null
24,4.1,KA Edwards,LMP Simmons,Shahid Afridi,0,5,wides ,5,0,null,null
25,4.2,KA Edwards,LMP Simmons,Shahid Afridi,0,0,null,0,0,null,null
26,4.3,KA Edwards,LMP Simmons,Shahid Afridi,0,0,null,0,0,null,null
27,4.4,KA Edwards,LMP Simmons,Shahid Afridi,0,0,null,0,0,null,null
28,4.5,KA Edwards,LMP Simmons,Shahid Afridi,0,0,null,0,0,null,null
29,4.6,KA Edwards,LMP Simmons,Shahid Afridi,0,0,null,0,0,null,null
30,4.7,KA Edwards,LMP Simmons,Shahid Afridi,0,0,null,0,0,null,null
31,5.1,LMP Simmons,KA Edwards,Wahab Riaz,0,0,null,0,0,null,null
32,5.2,LMP Simmons,KA Edwards,Wahab Riaz,0,0,null,0,0,null,null
33,5.3,LMP Simmons,KA Edwards,Wahab Riaz,4,0,null,4,0,null,null
34,5.4,LMP Simmons,KA Edwards,Wahab Riaz,0,1,byes ,1,0,null,null
35,5.5,KA Edwards,LMP Simmons,Wahab Riaz,1,0,null,1,0,null,null
36,5.6,LMP Simmons,KA Edwards,Wahab Riaz,2,0,null,2,0,null,null
37,6.1,KA Edwards,LMP Simmons,Saeed Ajmal,0,1,wides ,1,0,null,null
38,6.2,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
39,6.3,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
40,6.4,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
41,6.5,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
42,6.6,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
43,6.7,KA Edwards,LMP Simmons,Saeed Ajmal,0,1,wides ,1,0,null,null
44,6.8,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
45,7.1,LMP Simmons,KA Edwards,Wahab Riaz,0,0,null,0,0,null,null
46,7.2,LMP Simmons,KA Edwards,Wahab Riaz,3,0,null,3,0,null,null
47,7.3,KA Edwards,LMP Simmons,Wahab Riaz,0,0,null,0,0,null,null
48,7.4,KA Edwards,LMP Simmons,Wahab Riaz,0,0,null,0,0,null,null
49,7.5,KA Edwards,LMP Simmons,Wahab Riaz,0,0,null,0,0,null,null
50,7.6,KA Edwards,LMP Simmons,Wahab Riaz,4,0,null,4,0,null,null
51,8.1,LMP Simmons,KA Edwards,Saeed Ajmal,1,0,null,1,0,null,null
52,8.2,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
53,8.3,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
54,8.4,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
55,8.5,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
56,8.6,KA Edwards,LMP Simmons,Saeed Ajmal,0,0,null,0,0,null,null
57,9.1,LMP Simmons,KA Edwards,Wahab Riaz,0,0,null,0,0,null,null
58,9.2,LMP Simmons,KA Edwards,Wahab Riaz,0,0,null,0,0,null,null
59,9.3,LMP Simmons,KA Edwards,Wahab Riaz,0,0,null,0,0,null,null
60,9.4,LMP Simmons,KA Edwards,Wahab Riaz,1,0,null,1,0,null,null
61,9.5,KA Edwards,LMP Simmons,Wahab Riaz,4,0,null,4,0,null,null
62,9.6,KA Edwards,LMP Simmons,Wahab Riaz,0,0,null,0,0,null,null
63,10.1,LMP Simmons,KA Edwards,Saeed Ajmal,0,0,null,0,0,null,null
64,10.2,LMP Simmons,KA Edwards,Saeed Ajmal,0,0,null,0,0,null,null
65,10.3,LMP Simmons,KA Edwards,Saeed Ajmal,4,0,null,4,0,null,null
66,10.4,LMP Simmons,KA Edwards,Saeed Ajmal,0,0,null,0,0,null,null
67,10.5,LMP Simmons,KA Edwards,Saeed Ajmal,0,0,null,0,0,null,null
68,10.6,LMP Simmons,KA Edwards,Saeed Ajmal,4,0,null,4,0,null,null
69,11.1,KA Edwards,LMP Simmons,Mohammad Hafeez,0,0,null,0,0,null,null
70,11.2,KA Edwards,LMP Simmons,Mohammad Hafeez,0,0,null,0,0,null,null
71,11.3,KA Edwards,LMP Simmons,Mohammad Hafeez,1,0,null,1,0,null,null
72,11.4,LMP Simmons,KA Edwards,Mohammad Hafeez,0,0,null,0,0,null,null
73,11.5,LMP Simmons,KA Edwards,Mohammad Hafeez,1,0,null,1,0,null,null
74,11.6,KA Edwards,LMP Simmons,Mohammad Hafeez,1,0,null,1,0,null,null
75,12.1,KA Edwards,LMP Simmons,Saeed Ajmal,1,0,null,1,0,null,null
76,12.2,LMP Simmons,KA Edwards,Saeed Ajmal,0,1,wides ,1,0,null,null
77,12.3,LMP Simmons,KA Edwards,Saeed Ajmal,4,0,null,4,0,null,null
