,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,GC Smith,HH Dippenaar,DBL Powell,0,0,null,0,0,null,null
1,0.2,GC Smith,HH Dippenaar,DBL Powell,4,0,null,4,0,null,null
2,0.3,GC Smith,HH Dippenaar,DBL Powell,1,0,null,1,0,null,null
3,0.4,HH Dippenaar,GC Smith,DBL Powell,1,0,null,1,0,null,null
4,0.5,GC Smith,HH Dippenaar,DBL Powell,0,0,null,0,0,null,null
5,0.6,GC Smith,HH Dippenaar,DBL Powell,1,0,null,1,0,null,null
6,1.1,GC Smith,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
7,1.2,GC Smith,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
8,1.3,GC Smith,HH Dippenaar,IDR Bradshaw,0,0,null,0,1,GC Smith,caught
9,1.4,JH Kallis,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
10,1.5,JH Kallis,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
11,1.6,JH Kallis,HH Dippenaar,IDR Bradshaw,1,0,null,1,0,null,null
12,2.1,JH Kallis,HH Dippenaar,DBL Powell,1,0,null,1,0,null,null
13,2.2,HH Dippenaar,JH Kallis,DBL Powell,0,0,null,0,0,null,null
14,2.3,HH Dippenaar,JH Kallis,DBL Powell,0,1,wides ,1,0,null,null
15,2.4,HH Dippenaar,JH Kallis,DBL Powell,0,0,null,0,0,null,null
16,2.5,HH Dippenaar,JH Kallis,DBL Powell,0,1,wides ,1,0,null,null
17,2.6,HH Dippenaar,JH Kallis,DBL Powell,0,0,null,0,0,null,null
18,2.7,HH Dippenaar,JH Kallis,DBL Powell,0,0,null,0,0,null,null
19,2.8,HH Dippenaar,JH Kallis,DBL Powell,0,0,null,0,0,null,null
20,3.1,JH Kallis,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
21,3.2,JH Kallis,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
22,3.3,JH Kallis,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
23,3.4,JH Kallis,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
24,3.5,JH Kallis,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
25,3.6,JH Kallis,HH Dippenaar,IDR Bradshaw,1,0,null,1,0,null,null
26,4.1,JH Kallis,HH Dippenaar,DBL Powell,4,0,null,4,0,null,null
27,4.2,JH Kallis,HH Dippenaar,DBL Powell,0,0,null,0,0,null,null
28,4.3,JH Kallis,HH Dippenaar,DBL Powell,0,0,null,0,0,null,null
29,4.4,JH Kallis,HH Dippenaar,DBL Powell,0,0,null,0,0,null,null
30,4.5,JH Kallis,HH Dippenaar,DBL Powell,0,0,null,0,0,null,null
31,4.6,JH Kallis,HH Dippenaar,DBL Powell,0,0,null,0,0,null,null
32,5.1,HH Dippenaar,JH Kallis,IDR Bradshaw,0,1,wides ,1,0,null,null
33,5.2,HH Dippenaar,JH Kallis,IDR Bradshaw,1,0,null,1,0,null,null
34,5.3,JH Kallis,HH Dippenaar,IDR Bradshaw,0,0,null,0,0,null,null
35,5.4,JH Kallis,HH Dippenaar,IDR Bradshaw,0,0,null,0,1,JH Kallis,caught
36,5.5,HH Gibbs,HH Dippenaar,IDR Bradshaw,1,0,null,1,0,null,null
37,5.6,HH Dippenaar,HH Gibbs,IDR Bradshaw,0,0,null,0,0,null,null
38,5.7,HH Dippenaar,HH Gibbs,IDR Bradshaw,0,0,null,0,0,null,null
39,6.1,HH Gibbs,HH Dippenaar,DBL Powell,1,0,null,1,0,null,null
