,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CH Gayle,DJ Bravo,WPUJC Vaas,0,0,null,0,0,null,null
1,0.2,CH Gayle,DJ Bravo,WPUJC Vaas,0,0,null,0,0,null,null
2,0.3,CH Gayle,DJ Bravo,WPUJC Vaas,0,0,null,0,0,null,null
3,0.4,CH Gayle,DJ Bravo,WPUJC Vaas,1,0,null,1,0,null,null
4,0.5,DJ Bravo,CH Gayle,WPUJC Vaas,0,0,null,0,0,null,null
5,0.6,DJ Bravo,CH Gayle,WPUJC Vaas,0,0,null,0,0,null,null
6,1.1,CH Gayle,DJ Bravo,SL Malinga,0,0,null,0,0,null,null
7,1.2,CH Gayle,DJ Bravo,SL Malinga,0,0,null,0,0,null,null
8,1.3,CH Gayle,DJ Bravo,SL Malinga,4,0,null,4,0,null,null
9,1.4,CH Gayle,DJ Bravo,SL Malinga,0,0,null,0,0,null,null
10,1.5,CH Gayle,DJ Bravo,SL Malinga,0,0,null,0,0,null,null
11,1.6,CH Gayle,DJ Bravo,SL Malinga,0,0,null,0,0,null,null
12,2.1,DJ Bravo,CH Gayle,WPUJC Vaas,4,0,null,4,0,null,null
13,2.2,DJ Bravo,CH Gayle,WPUJC Vaas,0,0,null,0,0,null,null
14,2.3,DJ Bravo,CH Gayle,WPUJC Vaas,2,0,null,2,0,null,null
15,2.4,DJ Bravo,CH Gayle,WPUJC Vaas,0,0,null,0,0,null,null
16,2.5,DJ Bravo,CH Gayle,WPUJC Vaas,1,0,null,1,0,null,null
17,2.6,CH Gayle,DJ Bravo,WPUJC Vaas,0,0,null,0,0,null,null
18,3.1,DJ Bravo,CH Gayle,SL Malinga,0,0,null,0,0,null,null
19,3.2,DJ Bravo,CH Gayle,SL Malinga,1,0,null,1,0,null,null
20,3.3,CH Gayle,DJ Bravo,SL Malinga,0,0,null,0,0,null,null
