,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,CH Gayle,RS Morton,EC Rainsford,0,1,legbyes ,1,0,null,null
1,0.2,RS Morton,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
2,0.3,RS Morton,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
3,0.4,RS Morton,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
4,0.5,RS Morton,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
5,0.6,RS Morton,CH Gayle,EC Rainsford,0,0,null,0,1,RS Morton,caught
6,1.1,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
7,1.2,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
8,1.3,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
9,1.4,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
10,1.5,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
11,1.6,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
12,2.1,RR Sarwan,CH Gayle,EC Rainsford,4,0,null,4,0,null,null
13,2.2,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
14,2.3,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
15,2.4,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
16,2.5,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
17,2.6,RR Sarwan,CH Gayle,EC Rainsford,1,0,null,1,0,null,null
18,3.1,RR Sarwan,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
19,3.2,RR Sarwan,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
20,3.3,RR Sarwan,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
21,3.4,RR Sarwan,CH Gayle,NB Mahwire,0,1,wides ,1,0,null,null
22,3.5,RR Sarwan,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
23,3.6,RR Sarwan,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
24,3.7,RR Sarwan,CH Gayle,NB Mahwire,0,1,wides ,1,0,null,null
25,3.8,RR Sarwan,CH Gayle,NB Mahwire,2,0,null,2,0,null,null
26,4.1,CH Gayle,RR Sarwan,EC Rainsford,0,1,wides ,1,0,null,null
27,4.2,CH Gayle,RR Sarwan,EC Rainsford,0,1,wides ,1,0,null,null
28,4.3,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
29,4.4,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
30,4.5,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
31,4.6,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
32,4.7,CH Gayle,RR Sarwan,EC Rainsford,4,0,null,4,0,null,null
33,4.8,CH Gayle,RR Sarwan,EC Rainsford,1,0,null,1,0,null,null
34,5.1,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
35,5.2,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
36,5.3,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
37,5.4,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
38,5.5,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
39,5.6,CH Gayle,RR Sarwan,NB Mahwire,1,0,null,1,0,null,null
40,6.1,CH Gayle,RR Sarwan,EC Rainsford,1,0,null,1,0,null,null
41,6.2,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
42,6.3,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
43,6.4,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
44,6.5,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
45,6.6,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
46,7.1,CH Gayle,RR Sarwan,NB Mahwire,0,1,wides ,1,0,null,null
47,7.2,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
48,7.3,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
49,7.4,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
50,7.5,CH Gayle,RR Sarwan,NB Mahwire,0,1,wides ,1,0,null,null
51,7.6,CH Gayle,RR Sarwan,NB Mahwire,0,1,wides ,1,0,null,null
52,7.7,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
53,7.8,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
54,7.9,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
55,8.1,RR Sarwan,CH Gayle,EC Rainsford,4,0,null,4,0,null,null
56,8.2,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
57,8.3,RR Sarwan,CH Gayle,EC Rainsford,0,0,null,0,0,null,null
58,8.4,RR Sarwan,CH Gayle,EC Rainsford,1,0,null,1,0,null,null
59,8.5,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
60,8.6,CH Gayle,RR Sarwan,EC Rainsford,0,1,wides ,1,0,null,null
61,8.7,CH Gayle,RR Sarwan,EC Rainsford,2,0,null,2,0,null,null
62,9.1,RR Sarwan,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
63,9.2,RR Sarwan,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
64,9.3,RR Sarwan,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
65,9.4,RR Sarwan,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
66,9.5,RR Sarwan,CH Gayle,NB Mahwire,1,0,null,1,0,null,null
67,9.6,CH Gayle,RR Sarwan,NB Mahwire,1,0,null,1,0,null,null
68,10.1,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
69,10.2,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
70,10.3,CH Gayle,RR Sarwan,EC Rainsford,4,0,null,4,0,null,null
71,10.4,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
72,10.5,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
73,10.6,CH Gayle,RR Sarwan,EC Rainsford,0,0,null,0,0,null,null
74,11.1,RR Sarwan,CH Gayle,NB Mahwire,1,0,null,1,0,null,null
75,11.2,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
76,11.3,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,0,null,null
77,11.4,CH Gayle,RR Sarwan,NB Mahwire,0,1,wides ,1,0,null,null
78,11.5,CH Gayle,RR Sarwan,NB Mahwire,0,0,null,0,1,RR Sarwan,run out
79,11.6,D Ramdin,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
80,11.7,D Ramdin,CH Gayle,NB Mahwire,0,0,null,0,0,null,null
81,12.1,CH Gayle,D Ramdin,CJ Chibhabha,0,0,null,0,0,null,null
82,12.2,CH Gayle,D Ramdin,CJ Chibhabha,0,0,null,0,0,null,null
83,12.3,CH Gayle,D Ramdin,CJ Chibhabha,0,0,null,0,0,null,null
84,12.4,CH Gayle,D Ramdin,CJ Chibhabha,0,0,null,0,0,null,null
85,12.5,CH Gayle,D Ramdin,CJ Chibhabha,0,0,null,0,0,null,null
86,12.6,CH Gayle,D Ramdin,CJ Chibhabha,4,0,null,4,0,null,null
87,13.1,D Ramdin,CH Gayle,P Utseya,2,0,null,2,0,null,null
88,13.2,D Ramdin,CH Gayle,P Utseya,0,0,null,0,0,null,null
89,13.3,D Ramdin,CH Gayle,P Utseya,0,0,null,0,0,null,null
90,13.4,D Ramdin,CH Gayle,P Utseya,1,0,null,1,0,null,null
91,13.5,CH Gayle,D Ramdin,P Utseya,0,0,null,0,0,null,null
92,13.6,CH Gayle,D Ramdin,P Utseya,0,0,null,0,0,null,null
93,14.1,D Ramdin,CH Gayle,CJ Chibhabha,0,0,null,0,0,null,null
94,14.2,D Ramdin,CH Gayle,CJ Chibhabha,1,0,null,1,0,null,null
95,14.3,CH Gayle,D Ramdin,CJ Chibhabha,2,0,null,2,0,null,null
96,14.4,CH Gayle,D Ramdin,CJ Chibhabha,0,0,null,0,0,null,null
97,14.5,CH Gayle,D Ramdin,CJ Chibhabha,0,0,null,0,0,null,null
98,14.6,CH Gayle,D Ramdin,CJ Chibhabha,0,0,null,0,0,null,null
99,15.1,D Ramdin,CH Gayle,RS Higgins,0,0,null,0,0,null,null
100,15.2,D Ramdin,CH Gayle,RS Higgins,1,0,null,1,0,null,null
101,15.3,CH Gayle,D Ramdin,RS Higgins,2,0,null,2,0,null,null
102,15.4,CH Gayle,D Ramdin,RS Higgins,1,0,null,1,0,null,null
103,15.5,D Ramdin,CH Gayle,RS Higgins,1,0,null,1,0,null,null
104,15.6,CH Gayle,D Ramdin,RS Higgins,1,0,null,1,0,null,null
105,16.1,CH Gayle,D Ramdin,P Utseya,0,0,null,0,0,null,null
106,16.2,CH Gayle,D Ramdin,P Utseya,0,0,null,0,0,null,null
107,16.3,CH Gayle,D Ramdin,P Utseya,0,0,null,0,0,null,null
108,16.4,CH Gayle,D Ramdin,P Utseya,0,1,noballs ,1,0,null,null
109,16.5,CH Gayle,D Ramdin,P Utseya,0,0,null,0,0,null,null
110,16.6,CH Gayle,D Ramdin,P Utseya,1,0,null,1,0,null,null
111,16.7,D Ramdin,CH Gayle,P Utseya,1,0,null,1,0,null,null
112,17.1,D Ramdin,CH Gayle,RS Higgins,0,0,null,0,0,null,null
113,17.2,D Ramdin,CH Gayle,RS Higgins,1,0,null,1,0,null,null
114,17.3,CH Gayle,D Ramdin,RS Higgins,0,0,null,0,0,null,null
115,17.4,CH Gayle,D Ramdin,RS Higgins,1,0,null,1,0,null,null
116,17.5,D Ramdin,CH Gayle,RS Higgins,0,0,null,0,0,null,null
117,17.6,D Ramdin,CH Gayle,RS Higgins,2,0,null,2,0,null,null
118,18.1,CH Gayle,D Ramdin,P Utseya,6,0,null,6,0,null,null
119,18.2,CH Gayle,D Ramdin,P Utseya,0,0,null,0,0,null,null
120,18.3,CH Gayle,D Ramdin,P Utseya,0,0,null,0,0,null,null
121,18.4,CH Gayle,D Ramdin,P Utseya,1,0,null,1,0,null,null
122,18.5,D Ramdin,CH Gayle,P Utseya,1,0,null,1,0,null,null
123,18.6,CH Gayle,D Ramdin,P Utseya,1,0,null,1,0,null,null
124,19.1,CH Gayle,D Ramdin,RS Higgins,0,0,null,0,0,null,null
125,19.2,CH Gayle,D Ramdin,RS Higgins,0,0,null,0,0,null,null
126,19.3,CH Gayle,D Ramdin,RS Higgins,0,0,null,0,0,null,null
127,19.4,CH Gayle,D Ramdin,RS Higgins,1,0,null,1,0,null,null
128,19.5,D Ramdin,CH Gayle,RS Higgins,0,0,null,0,0,null,null
129,19.6,D Ramdin,CH Gayle,RS Higgins,0,0,null,0,0,null,null
130,20.1,CH Gayle,D Ramdin,P Utseya,0,0,null,0,1,CH Gayle,caught
131,20.2,S Chanderpaul,D Ramdin,P Utseya,0,0,null,0,0,null,null
132,20.3,S Chanderpaul,D Ramdin,P Utseya,0,0,null,0,0,null,null
133,20.4,S Chanderpaul,D Ramdin,P Utseya,0,0,null,0,0,null,null
134,20.5,S Chanderpaul,D Ramdin,P Utseya,0,0,null,0,0,null,null
135,20.6,S Chanderpaul,D Ramdin,P Utseya,0,0,null,0,0,null,null
136,21.1,D Ramdin,S Chanderpaul,RS Higgins,1,0,null,1,0,null,null
137,21.2,S Chanderpaul,D Ramdin,RS Higgins,0,0,null,0,0,null,null
138,21.3,S Chanderpaul,D Ramdin,RS Higgins,1,0,null,1,0,null,null
139,21.4,D Ramdin,S Chanderpaul,RS Higgins,1,0,null,1,0,null,null
140,21.5,S Chanderpaul,D Ramdin,RS Higgins,1,0,null,1,0,null,null
