,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,SF Mire,PJ Moor,Dawlat Zadran,0,0,null,0,0,null,null
1,0.2,SF Mire,PJ Moor,Dawlat Zadran,4,0,null,4,0,null,null
2,0.3,SF Mire,PJ Moor,Dawlat Zadran,0,0,null,0,0,null,null
3,0.4,SF Mire,PJ Moor,Dawlat Zadran,4,0,null,4,0,null,null
4,0.5,SF Mire,PJ Moor,Dawlat Zadran,0,1,noballs ,1,0,null,null
5,0.6,SF Mire,PJ Moor,Dawlat Zadran,3,0,null,3,0,null,null
6,0.7,PJ Moor,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
7,1.1,SF Mire,PJ Moor,Amir Hamza,2,0,null,2,0,null,null
8,1.2,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
9,1.3,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
10,1.4,SF Mire,PJ Moor,Amir Hamza,1,0,null,1,0,null,null
11,1.5,PJ Moor,SF Mire,Amir Hamza,1,0,null,1,0,null,null
12,1.6,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
13,2.1,PJ Moor,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
14,2.2,PJ Moor,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
15,2.3,PJ Moor,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
16,2.4,PJ Moor,SF Mire,Dawlat Zadran,0,0,null,0,0,null,null
17,2.5,PJ Moor,SF Mire,Dawlat Zadran,1,0,null,1,0,null,null
18,2.6,SF Mire,PJ Moor,Dawlat Zadran,0,0,null,0,0,null,null
19,3.1,PJ Moor,SF Mire,Amir Hamza,0,0,null,0,0,null,null
20,3.2,PJ Moor,SF Mire,Amir Hamza,0,0,null,0,0,null,null
21,3.3,PJ Moor,SF Mire,Amir Hamza,1,0,null,1,0,null,null
22,3.4,SF Mire,PJ Moor,Amir Hamza,1,0,null,1,0,null,null
23,3.5,PJ Moor,SF Mire,Amir Hamza,1,0,null,1,0,null,null
24,3.6,SF Mire,PJ Moor,Amir Hamza,1,0,null,1,0,null,null
25,4.1,SF Mire,PJ Moor,Dawlat Zadran,0,0,null,0,0,null,null
26,4.2,SF Mire,PJ Moor,Dawlat Zadran,0,0,null,0,0,null,null
27,4.3,SF Mire,PJ Moor,Dawlat Zadran,4,0,null,4,0,null,null
28,4.4,SF Mire,PJ Moor,Dawlat Zadran,4,0,null,4,0,null,null
29,4.5,SF Mire,PJ Moor,Dawlat Zadran,0,0,null,0,0,null,null
30,4.6,SF Mire,PJ Moor,Dawlat Zadran,1,0,null,1,0,null,null
31,5.1,SF Mire,PJ Moor,Mohammad Nabi,0,0,null,0,0,null,null
32,5.2,SF Mire,PJ Moor,Mohammad Nabi,1,0,null,1,0,null,null
33,5.3,PJ Moor,SF Mire,Mohammad Nabi,1,0,null,1,0,null,null
34,5.4,SF Mire,PJ Moor,Mohammad Nabi,1,0,null,1,0,null,null
35,5.5,PJ Moor,SF Mire,Mohammad Nabi,0,0,null,0,0,null,null
36,5.6,PJ Moor,SF Mire,Mohammad Nabi,0,0,null,0,0,null,null
37,6.1,SF Mire,PJ Moor,Amir Hamza,1,0,null,1,0,null,null
38,6.2,PJ Moor,SF Mire,Amir Hamza,0,0,null,0,0,null,null
39,6.3,PJ Moor,SF Mire,Amir Hamza,3,0,null,3,0,null,null
40,6.4,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
41,6.5,SF Mire,PJ Moor,Amir Hamza,4,0,null,4,0,null,null
42,6.6,SF Mire,PJ Moor,Amir Hamza,4,0,null,4,0,null,null
43,7.1,PJ Moor,SF Mire,Mohammad Nabi,0,0,null,0,0,null,null
44,7.2,PJ Moor,SF Mire,Mohammad Nabi,0,0,null,0,0,null,null
45,7.3,PJ Moor,SF Mire,Mohammad Nabi,0,0,null,0,0,null,null
46,7.4,PJ Moor,SF Mire,Mohammad Nabi,0,0,null,0,0,null,null
47,7.5,PJ Moor,SF Mire,Mohammad Nabi,1,0,null,1,0,null,null
48,7.6,SF Mire,PJ Moor,Mohammad Nabi,1,0,null,1,0,null,null
49,8.1,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
50,8.2,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
51,8.3,SF Mire,PJ Moor,Amir Hamza,4,0,null,4,0,null,null
52,8.4,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
53,8.5,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
54,8.6,SF Mire,PJ Moor,Amir Hamza,1,0,null,1,0,null,null
55,9.1,SF Mire,PJ Moor,Mohammad Nabi,0,0,null,0,0,null,null
56,9.2,SF Mire,PJ Moor,Mohammad Nabi,0,0,null,0,0,null,null
57,9.3,SF Mire,PJ Moor,Mohammad Nabi,0,0,null,0,0,null,null
58,9.4,SF Mire,PJ Moor,Mohammad Nabi,0,0,null,0,0,null,null
59,9.5,SF Mire,PJ Moor,Mohammad Nabi,0,0,null,0,0,null,null
60,9.6,SF Mire,PJ Moor,Mohammad Nabi,1,0,null,1,0,null,null
61,10.1,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
62,10.2,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
63,10.3,SF Mire,PJ Moor,Amir Hamza,0,0,null,0,0,null,null
64,10.4,SF Mire,PJ Moor,Amir Hamza,1,0,null,1,0,null,null
65,10.5,PJ Moor,SF Mire,Amir Hamza,1,0,null,1,0,null,null
