,delivery,batter,non_striker,bowler,run_hit,extras,type_of_extras,total,wicket,player_dismissed,mode_of_dismissal
0,0.1,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
1,0.2,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
2,0.3,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
3,0.4,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
4,0.5,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
5,0.6,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
6,1.1,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
7,1.2,Usman Ghani,Noor Ali Zadran,DT Tiripano,4,0,null,4,0,null,null
8,1.3,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
9,1.4,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
10,1.5,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
11,1.6,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
12,2.1,Noor Ali Zadran,Usman Ghani,T Panyangara,1,0,null,1,0,null,null
13,2.2,Usman Ghani,Noor Ali Zadran,T Panyangara,0,0,null,0,0,null,null
14,2.3,Usman Ghani,Noor Ali Zadran,T Panyangara,1,0,null,1,0,null,null
15,2.4,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
16,2.5,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
17,2.6,Noor Ali Zadran,Usman Ghani,T Panyangara,4,0,null,4,0,null,null
18,3.1,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
19,3.2,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
20,3.3,Usman Ghani,Noor Ali Zadran,DT Tiripano,4,0,null,4,0,null,null
21,3.4,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
22,3.5,Usman Ghani,Noor Ali Zadran,DT Tiripano,1,0,null,1,0,null,null
23,3.6,Noor Ali Zadran,Usman Ghani,DT Tiripano,2,0,null,2,0,null,null
24,4.1,Usman Ghani,Noor Ali Zadran,SW Masakadza,0,1,wides ,1,0,null,null
25,4.2,Usman Ghani,Noor Ali Zadran,SW Masakadza,0,0,null,0,0,null,null
26,4.3,Usman Ghani,Noor Ali Zadran,SW Masakadza,1,0,null,1,0,null,null
27,4.4,Noor Ali Zadran,Usman Ghani,SW Masakadza,0,0,null,0,0,null,null
28,4.5,Noor Ali Zadran,Usman Ghani,SW Masakadza,0,0,null,0,0,null,null
29,4.6,Noor Ali Zadran,Usman Ghani,SW Masakadza,4,0,null,4,0,null,null
30,4.7,Noor Ali Zadran,Usman Ghani,SW Masakadza,0,0,null,0,0,null,null
31,5.1,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
32,5.2,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
33,5.3,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
34,5.4,Usman Ghani,Noor Ali Zadran,DT Tiripano,0,0,null,0,0,null,null
35,5.5,Usman Ghani,Noor Ali Zadran,DT Tiripano,1,0,null,1,0,null,null
36,5.6,Noor Ali Zadran,Usman Ghani,DT Tiripano,0,0,null,0,0,null,null
37,6.1,Usman Ghani,Noor Ali Zadran,SW Masakadza,0,0,null,0,0,null,null
38,6.2,Usman Ghani,Noor Ali Zadran,SW Masakadza,2,0,null,2,0,null,null
39,6.3,Usman Ghani,Noor Ali Zadran,SW Masakadza,2,0,null,2,0,null,null
40,6.4,Usman Ghani,Noor Ali Zadran,SW Masakadza,0,0,null,0,0,null,null
41,6.5,Usman Ghani,Noor Ali Zadran,SW Masakadza,0,0,null,0,0,null,null
42,6.6,Usman Ghani,Noor Ali Zadran,SW Masakadza,0,0,null,0,0,null,null
43,7.1,Noor Ali Zadran,Usman Ghani,T Panyangara,0,1,wides ,1,0,null,null
44,7.2,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
45,7.3,Noor Ali Zadran,Usman Ghani,T Panyangara,1,0,null,1,0,null,null
46,7.4,Usman Ghani,Noor Ali Zadran,T Panyangara,0,0,null,0,0,null,null
47,7.5,Usman Ghani,Noor Ali Zadran,T Panyangara,0,0,null,0,0,null,null
48,7.6,Usman Ghani,Noor Ali Zadran,T Panyangara,0,0,null,0,0,null,null
49,7.7,Usman Ghani,Noor Ali Zadran,T Panyangara,2,0,null,2,0,null,null
50,8.1,Noor Ali Zadran,Usman Ghani,SW Masakadza,0,0,null,0,0,null,null
51,8.2,Noor Ali Zadran,Usman Ghani,SW Masakadza,0,0,null,0,0,null,null
52,8.3,Noor Ali Zadran,Usman Ghani,SW Masakadza,0,0,null,0,0,null,null
53,8.4,Noor Ali Zadran,Usman Ghani,SW Masakadza,0,0,null,0,0,null,null
54,8.5,Noor Ali Zadran,Usman Ghani,SW Masakadza,0,0,null,0,0,null,null
55,8.6,Noor Ali Zadran,Usman Ghani,SW Masakadza,1,0,null,1,0,null,null
56,9.1,Noor Ali Zadran,Usman Ghani,T Panyangara,0,0,null,0,1,Noor Ali Zadran,bowled
57,9.2,Rahmat Shah,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
58,9.3,Rahmat Shah,Usman Ghani,T Panyangara,0,0,null,0,0,null,null
59,9.4,Rahmat Shah,Usman Ghani,T Panyangara,1,0,null,1,0,null,null
60,9.5,Usman Ghani,Rahmat Shah,T Panyangara,0,0,null,0,0,null,null
61,9.6,Usman Ghani,Rahmat Shah,T Panyangara,0,4,byes ,4,0,null,null
62,10.1,Rahmat Shah,Usman Ghani,SW Masakadza,0,0,null,0,0,null,null
63,10.2,Rahmat Shah,Usman Ghani,SW Masakadza,1,0,null,1,0,null,null
64,10.3,Usman Ghani,Rahmat Shah,SW Masakadza,2,0,null,2,0,null,null
65,10.4,Usman Ghani,Rahmat Shah,SW Masakadza,0,0,null,0,0,null,null
